loyalty_id,customer_id,points_earned,source,date_earned
100,6122,269,Purchase,2025-03-01
101,15086,442,Bonus,2026-01-29
102,10205,450,Bonus,2025-09-17
103,32685,215,Purchase,2025-08-05
104,6835,53,Referral,2025-05-04
105,5132,43,Referral,2025-11-06
106,20353,167,Purchase,2025-05-21
107,10317,122,Purchase,2025-12-13
108,20035,431,Bonus,2025-11-04
109,28517,200,Bonus,2025-10-31
110,19119,496,Referral,2025-08-26
111,24857,423,Bonus,2025-12-01
112,4429,336,Referral,2025-04-12
113,31788,236,Referral,2026-02-22
114,14024,130,Purchase,2025-06-24
115,49701,423,Referral,2025-08-14
116,10179,212,Bonus,2025-06-27
117,14510,343,Purchase,2025-10-04
118,5425,193,Purchase,2025-03-20
119,27692,448,Purchase,2025-11-10
120,24272,77,Bonus,2025-09-26
121,18238,327,Referral,2025-12-09
122,45774,352,Bonus,2026-01-05
123,2120,226,Bonus,2025-09-08
124,40534,248,Purchase,2025-04-20
125,9168,68,Referral,2026-02-10
126,49541,199,Purchase,2025-03-16
127,31356,134,Referral,2025-05-26
128,42423,278,Purchase,2025-08-06
129,31173,46,Bonus,2025-04-22
130,23339,319,Purchase,2025-11-04
131,42843,47,Bonus,2026-01-08
132,15266,239,Referral,2025-08-07
133,7083,99,Referral,2025-09-06
134,34533,145,Purchase,2025-08-17
135,5485,23,Purchase,2025-04-25
136,4335,178,Referral,2025-10-27
137,30937,327,Referral,2025-07-19
138,6997,356,Purchase,2025-06-09
139,26932,78,Referral,2025-06-22
140,7933,332,Purchase,2025-09-20
141,36199,132,Referral,2026-02-04
142,23568,60,Purchase,2025-10-01
143,38223,457,Referral,2025-12-07
144,10360,73,Bonus,2025-02-28
145,7073,76,Bonus,2025-04-10
146,21144,124,Bonus,2025-04-14
147,15904,439,Purchase,2025-04-14
148,37954,258,Purchase,2025-09-23
149,38599,152,Bonus,2025-06-30
150,7152,398,Purchase,2025-11-21
151,27520,476,Bonus,2025-05-29
152,25422,272,Referral,2025-10-20
153,49963,56,Bonus,2025-07-16
154,6764,191,Bonus,2025-03-08
155,11651,183,Purchase,2025-08-14
156,11916,462,Referral,2025-06-15
157,16572,374,Bonus,2026-02-25
158,38055,21,Purchase,2025-06-12
159,21839,231,Referral,2026-01-24
160,39996,355,Purchase,2025-12-17
161,6387,45,Bonus,2026-01-29
162,25351,341,Referral,2025-10-15
163,7650,162,Purchase,2025-05-13
164,3221,427,Bonus,2025-03-04
165,43730,269,Referral,2025-05-24
166,5386,69,Purchase,2025-11-11
167,22339,187,Bonus,2025-08-27
168,42546,207,Referral,2025-03-09
169,39547,361,Purchase,2025-03-01
170,7012,420,Bonus,2025-03-11
171,12729,317,Referral,2025-08-15
172,38377,178,Bonus,2025-07-24
173,22415,392,Bonus,2025-10-04
174,30033,399,Referral,2025-12-18
175,6386,239,Purchase,2025-12-13
176,7859,266,Purchase,2025-06-27
177,19664,281,Bonus,2026-01-20
178,43515,338,Purchase,2025-03-17
179,43960,236,Referral,2025-08-06
180,15830,412,Purchase,2025-06-07
181,35297,390,Purchase,2025-03-17
182,11388,490,Purchase,2025-09-19
183,2734,306,Purchase,2025-11-23
184,12524,313,Purchase,2025-09-26
185,39276,37,Bonus,2025-09-18
186,6101,468,Referral,2025-08-17
187,20646,409,Purchase,2025-08-16
188,1878,137,Purchase,2025-05-03
189,19643,382,Bonus,2025-06-02
190,330,302,Purchase,2025-04-20
191,47026,388,Bonus,2025-06-01
192,29908,62,Bonus,2025-06-11
193,22457,80,Purchase,2025-09-18
194,32295,186,Purchase,2025-02-28
195,14026,60,Purchase,2025-09-10
196,22688,425,Bonus,2025-08-04
197,28479,413,Purchase,2025-08-26
198,11607,45,Bonus,2025-07-25
199,236,324,Bonus,2025-07-18
200,43912,439,Purchase,2025-04-19
201,45514,82,Bonus,2025-08-27
202,1627,262,Referral,2025-11-18
203,30891,259,Referral,2025-12-24
204,22469,349,Referral,2025-09-19
205,27397,464,Referral,2025-03-30
206,13988,161,Purchase,2025-04-12
207,39306,477,Purchase,2025-07-10
208,19610,208,Bonus,2026-02-08
209,22548,186,Bonus,2025-11-19
210,45836,458,Purchase,2026-02-17
211,14772,498,Referral,2025-08-10
212,23062,422,Referral,2025-10-15
213,39476,370,Referral,2025-06-20
214,5225,74,Bonus,2025-05-08
215,11470,115,Referral,2026-02-24
216,4716,374,Referral,2026-01-15
217,19146,36,Bonus,2025-05-22
218,43766,274,Bonus,2025-09-23
219,8417,449,Referral,2025-07-06
220,36293,326,Referral,2025-07-23
221,22791,24,Bonus,2026-02-10
222,16603,269,Purchase,2025-12-09
223,29800,197,Purchase,2025-08-16
224,47463,360,Bonus,2026-01-05
225,11921,34,Bonus,2025-03-19
226,26038,40,Purchase,2026-02-08
227,26313,189,Bonus,2026-02-11
228,28525,155,Referral,2026-02-23
229,30614,261,Bonus,2025-11-07
230,21056,52,Referral,2025-05-23
231,3398,322,Bonus,2025-07-24
232,25079,55,Bonus,2025-06-30
233,27097,450,Purchase,2025-03-27
234,37561,325,Purchase,2025-07-15
235,22442,435,Referral,2025-04-01
236,6943,17,Purchase,2025-09-29
237,11204,213,Bonus,2025-05-27
238,39512,190,Purchase,2025-04-01
239,21452,192,Purchase,2025-06-25
240,11024,478,Bonus,2025-04-10
241,5528,414,Referral,2025-08-11
242,696,19,Referral,2026-02-19
243,24574,85,Bonus,2025-04-13
244,33092,481,Bonus,2025-11-01
245,33735,74,Purchase,2025-11-27
246,5167,477,Bonus,2025-08-29
247,23339,363,Referral,2025-06-15
248,21926,249,Bonus,2025-10-24
249,18377,203,Purchase,2025-05-28
250,11272,477,Bonus,2025-02-26
251,47703,234,Purchase,2026-02-14
252,33442,64,Purchase,2025-07-15
253,6742,274,Bonus,2025-05-29
254,38715,193,Purchase,2025-03-31
255,6344,124,Bonus,2025-04-27
256,15757,416,Purchase,2025-08-18
257,41367,447,Referral,2026-01-11
258,28004,163,Referral,2025-09-26
259,2489,323,Purchase,2025-07-26
260,44403,333,Purchase,2025-06-27
261,2466,114,Bonus,2025-05-01
262,34958,339,Bonus,2025-06-09
263,11715,249,Purchase,2026-01-23
264,26641,76,Bonus,2025-08-10
265,27667,258,Referral,2025-10-22
266,35315,146,Purchase,2025-03-18
267,9549,172,Referral,2025-03-10
268,13093,399,Bonus,2025-11-02
269,14947,67,Bonus,2025-11-07
270,18577,227,Bonus,2025-12-26
271,46530,424,Referral,2025-06-09
272,21210,193,Referral,2025-02-25
273,6288,126,Referral,2025-12-28
274,28306,242,Purchase,2025-12-23
275,11113,458,Purchase,2025-10-12
276,18959,129,Purchase,2025-03-13
277,9935,128,Bonus,2025-06-17
278,45483,351,Bonus,2025-07-05
279,27305,135,Bonus,2025-05-04
280,43869,137,Referral,2025-11-14
281,33158,69,Purchase,2026-01-04
282,45457,454,Purchase,2025-03-16
283,8860,426,Bonus,2026-01-18
284,38285,310,Bonus,2025-09-01
285,13408,442,Referral,2025-10-09
286,27655,372,Referral,2026-02-18
287,22970,423,Bonus,2025-04-05
288,31224,418,Referral,2025-03-22
289,35008,57,Bonus,2025-07-22
290,45604,219,Purchase,2026-01-23
291,17433,482,Referral,2025-03-29
292,6657,238,Purchase,2026-02-22
293,27586,162,Referral,2025-03-31
294,47540,15,Bonus,2025-12-16
295,13532,442,Purchase,2025-05-10
296,17953,194,Purchase,2025-09-05
297,9567,292,Purchase,2025-08-02
298,37464,307,Bonus,2025-12-30
299,42577,129,Purchase,2025-04-12
300,33972,432,Referral,2025-06-26
301,22968,219,Purchase,2025-11-27
302,9064,105,Referral,2025-08-09
303,26346,105,Referral,2025-05-24
304,28054,452,Purchase,2025-09-09
305,21363,306,Bonus,2026-01-19
306,10194,287,Purchase,2026-02-13
307,15458,500,Bonus,2025-12-25
308,36221,132,Referral,2025-10-28
309,38996,244,Purchase,2025-09-05
310,25724,357,Referral,2025-11-24
311,25196,279,Bonus,2025-06-12
312,889,333,Bonus,2025-10-18
313,37502,188,Bonus,2025-03-30
314,48096,58,Bonus,2025-03-04
315,28889,305,Purchase,2025-07-31
316,3530,476,Referral,2025-11-21
317,3593,197,Referral,2025-05-22
318,21987,178,Bonus,2025-11-01
319,26306,139,Purchase,2026-02-22
320,9563,458,Purchase,2025-12-16
321,347,211,Bonus,2025-05-13
322,32524,201,Bonus,2025-05-27
323,24406,111,Referral,2025-04-19
324,26721,356,Purchase,2025-07-27
325,30314,50,Referral,2025-07-27
326,17899,471,Bonus,2025-12-23
327,312,358,Purchase,2025-12-24
328,13963,353,Purchase,2026-01-13
329,35895,189,Referral,2025-09-19
330,20767,368,Bonus,2025-04-15
331,26071,394,Bonus,2025-07-01
332,3816,495,Referral,2025-11-23
333,21644,281,Bonus,2025-11-26
334,45202,389,Bonus,2026-01-11
335,108,111,Bonus,2025-09-29
336,30286,425,Purchase,2025-03-06
337,38800,157,Bonus,2025-09-11
338,33117,151,Referral,2026-01-05
339,323,284,Bonus,2025-03-26
340,42399,191,Bonus,2025-02-25
341,13399,205,Referral,2025-11-15
342,44594,71,Purchase,2025-04-25
343,978,443,Bonus,2026-01-11
344,15801,354,Referral,2025-04-14
345,45662,408,Bonus,2025-08-28
346,7249,497,Bonus,2025-08-24
347,9178,311,Bonus,2026-02-22
348,14671,260,Referral,2026-01-13
349,38087,320,Referral,2025-07-01
350,8274,481,Purchase,2025-07-24
351,21331,151,Bonus,2025-04-01
352,2755,65,Bonus,2025-03-25
353,26741,165,Referral,2025-08-06
354,22873,389,Referral,2025-05-08
355,38370,76,Bonus,2025-10-20
356,21786,279,Bonus,2025-03-17
357,3621,310,Referral,2025-10-30
358,25503,212,Purchase,2025-09-14
359,16730,26,Bonus,2026-01-23
360,48847,343,Bonus,2025-09-18
361,2895,139,Bonus,2025-05-13
362,9469,27,Bonus,2026-02-22
363,46934,403,Referral,2025-03-13
364,38576,141,Referral,2025-07-02
365,10749,159,Bonus,2025-08-27
366,49322,156,Referral,2025-11-10
367,1943,191,Purchase,2025-04-01
368,18072,43,Purchase,2025-10-05
369,48397,165,Purchase,2025-07-25
370,33981,388,Referral,2026-02-16
371,1487,118,Purchase,2025-05-14
372,20129,195,Referral,2025-08-12
373,20446,335,Referral,2025-05-09
374,21967,444,Purchase,2026-01-19
375,16486,229,Referral,2025-08-23
376,1295,237,Bonus,2025-08-27
377,17192,124,Bonus,2025-07-23
378,24146,494,Referral,2025-08-15
379,44998,18,Bonus,2025-06-16
380,14727,460,Referral,2026-01-07
381,11233,259,Bonus,2025-05-02
382,41368,418,Bonus,2025-03-25
383,19706,285,Bonus,2025-04-12
384,45928,375,Referral,2026-01-01
385,10043,254,Purchase,2025-07-17
386,34890,397,Referral,2025-08-19
387,17982,394,Purchase,2025-09-27
388,49693,213,Referral,2025-08-08
389,15413,236,Bonus,2025-05-20
390,26340,55,Referral,2025-03-18
391,6837,382,Bonus,2025-08-17
392,34892,75,Referral,2025-04-26
393,2799,231,Bonus,2025-07-15
394,35421,262,Purchase,2025-11-15
395,34645,450,Bonus,2026-01-10
396,25880,11,Bonus,2025-07-25
397,18085,320,Purchase,2025-05-24
398,39390,217,Bonus,2025-05-23
399,29407,205,Referral,2025-09-18
400,5439,178,Bonus,2025-08-30
401,33987,295,Purchase,2025-05-10
402,36791,184,Referral,2025-08-19
403,31177,160,Referral,2025-12-29
404,5527,326,Bonus,2025-06-11
405,32586,112,Bonus,2025-12-10
406,7323,218,Purchase,2025-12-06
407,22033,345,Bonus,2026-02-06
408,21079,231,Bonus,2025-07-11
409,22531,304,Referral,2025-09-07
410,20863,248,Bonus,2025-12-12
411,34682,345,Referral,2025-05-14
412,1065,339,Bonus,2026-02-12
413,4517,385,Referral,2025-07-23
414,4840,99,Referral,2025-06-26
415,23587,324,Referral,2026-01-30
416,19215,213,Bonus,2026-01-29
417,20353,384,Bonus,2025-07-23
418,33065,64,Purchase,2025-10-23
419,41452,481,Bonus,2025-04-07
420,15224,178,Purchase,2025-07-06
421,22818,138,Purchase,2025-04-17
422,32809,367,Purchase,2025-06-17
423,158,383,Referral,2025-07-24
424,34576,445,Referral,2025-05-21
425,21014,415,Referral,2025-04-07
426,28269,497,Bonus,2025-12-01
427,39162,493,Bonus,2025-07-06
428,47761,39,Purchase,2025-03-31
429,15334,323,Referral,2026-01-15
430,41929,463,Bonus,2025-08-07
431,25060,258,Bonus,2025-10-24
432,3898,45,Purchase,2025-05-02
433,3663,190,Purchase,2025-10-06
434,37415,301,Bonus,2025-11-06
435,48415,97,Bonus,2025-11-22
436,19660,497,Purchase,2026-02-25
437,20285,197,Purchase,2025-07-17
438,16939,340,Bonus,2025-05-01
439,13506,235,Referral,2026-01-03
440,22017,138,Bonus,2025-09-17
441,9027,220,Purchase,2025-07-17
442,32642,282,Purchase,2025-12-29
443,34346,285,Referral,2026-01-10
444,38929,211,Bonus,2025-11-12
445,47882,163,Bonus,2025-07-25
446,1688,210,Purchase,2026-01-02
447,3224,350,Bonus,2025-04-23
448,47541,456,Bonus,2026-01-12
449,5184,422,Bonus,2025-03-12
450,45628,292,Purchase,2025-04-20
451,11405,297,Purchase,2025-12-31
452,45463,475,Referral,2025-04-20
453,18707,112,Purchase,2025-08-27
454,4120,268,Referral,2025-12-16
455,43297,156,Referral,2025-12-10
456,27687,151,Referral,2025-08-12
457,3614,133,Bonus,2025-03-26
458,42338,493,Purchase,2026-02-11
459,18419,29,Purchase,2025-07-26
460,8122,117,Referral,2025-08-07
461,40058,142,Purchase,2025-03-21
462,24090,62,Referral,2025-09-15
463,5676,37,Purchase,2025-08-14
464,39054,365,Purchase,2025-07-26
465,10330,44,Referral,2025-11-20
466,11699,309,Referral,2025-09-06
467,3888,360,Referral,2025-05-23
468,1810,405,Purchase,2025-10-05
469,49015,264,Referral,2025-12-15
470,49482,437,Bonus,2025-09-10
471,21983,432,Referral,2025-11-28
472,40896,211,Purchase,2025-02-27
473,29445,405,Referral,2025-03-27
474,44793,161,Bonus,2025-10-01
475,20074,33,Purchase,2025-12-19
476,33637,36,Purchase,2025-10-18
477,1028,470,Purchase,2025-06-02
478,23721,377,Purchase,2025-08-04
479,4212,103,Referral,2025-10-26
480,33522,434,Referral,2025-05-31
481,43842,249,Referral,2026-01-31
482,37569,115,Referral,2026-02-06
483,6345,451,Referral,2025-09-11
484,20629,394,Purchase,2025-07-31
485,48699,98,Purchase,2025-09-26
486,49463,389,Referral,2025-06-17
487,1479,83,Purchase,2025-12-11
488,20029,208,Purchase,2025-05-01
489,18371,165,Purchase,2025-08-21
490,25821,228,Purchase,2025-12-01
491,47277,409,Bonus,2025-12-30
492,39744,144,Bonus,2025-11-02
493,44751,51,Purchase,2025-07-19
494,715,326,Referral,2026-01-13
495,47041,232,Referral,2025-07-27
496,29925,194,Referral,2025-11-08
497,47290,279,Bonus,2025-06-25
498,17495,262,Bonus,2025-12-04
499,1189,473,Bonus,2025-05-22
500,28488,320,Referral,2025-06-28
501,17538,281,Referral,2025-06-01
502,28808,310,Bonus,2025-11-18
503,39577,476,Purchase,2026-01-29
504,11253,331,Purchase,2025-05-06
505,8551,91,Bonus,2025-04-19
506,28025,350,Referral,2026-02-18
507,34777,110,Purchase,2026-02-08
508,6987,393,Purchase,2025-08-13
509,1196,256,Purchase,2025-05-22
510,6436,270,Referral,2025-09-22
511,19917,45,Bonus,2025-06-23
512,13314,310,Purchase,2026-01-20
513,44766,492,Bonus,2025-08-27
514,31272,103,Purchase,2025-04-21
515,31127,279,Bonus,2026-02-22
516,40603,93,Referral,2025-11-08
517,20766,373,Bonus,2026-02-23
518,39280,53,Bonus,2025-04-11
519,18636,407,Bonus,2025-09-02
520,11632,140,Bonus,2026-02-10
521,23068,90,Bonus,2025-07-15
522,968,50,Purchase,2025-06-07
523,23304,327,Referral,2025-07-22
524,45599,31,Referral,2025-11-21
525,855,164,Purchase,2025-05-31
526,5690,219,Purchase,2025-07-16
527,45105,12,Bonus,2026-01-16
528,4438,475,Bonus,2025-08-04
529,30934,371,Bonus,2025-10-05
530,9420,36,Referral,2025-08-17
531,34774,481,Bonus,2025-09-14
532,26270,433,Referral,2025-10-02
533,26525,78,Referral,2025-08-29
534,40799,91,Purchase,2026-02-23
535,7241,474,Referral,2025-06-22
536,45041,307,Purchase,2025-09-28
537,36829,232,Bonus,2025-09-04
538,2851,160,Referral,2025-08-29
539,15726,469,Purchase,2025-07-26
540,24279,367,Referral,2025-05-27
541,45265,169,Referral,2025-03-15
542,17427,255,Referral,2025-09-04
543,17129,35,Referral,2025-04-03
544,46965,72,Purchase,2025-12-07
545,45196,151,Bonus,2025-09-13
546,49895,306,Purchase,2025-11-11
547,26080,400,Purchase,2025-12-13
548,43629,180,Referral,2025-11-15
549,16983,345,Purchase,2025-04-14
550,9986,108,Purchase,2025-05-14
551,27677,359,Purchase,2025-08-26
552,36377,242,Referral,2026-01-12
553,21790,391,Purchase,2026-02-06
554,17746,155,Referral,2026-01-15
555,7304,489,Bonus,2026-02-15
556,16148,229,Purchase,2026-01-09
557,40687,102,Purchase,2025-06-06
558,16663,190,Bonus,2025-03-27
559,32339,12,Purchase,2025-06-22
560,13831,371,Bonus,2025-08-08
561,44467,247,Purchase,2025-12-31
562,44599,380,Purchase,2025-06-26
563,45890,283,Purchase,2025-12-26
564,14132,40,Referral,2025-12-27
565,19096,323,Referral,2025-03-29
566,43236,489,Referral,2025-03-03
567,46049,48,Referral,2025-09-17
568,46068,387,Referral,2025-12-10
569,4340,22,Purchase,2025-09-09
570,39128,439,Referral,2025-12-24
571,47903,462,Purchase,2025-05-02
572,44026,329,Bonus,2025-10-29
573,9472,428,Bonus,2026-02-08
574,19579,448,Bonus,2025-06-14
575,44273,165,Referral,2025-09-18
576,41072,162,Purchase,2026-01-28
577,32607,251,Bonus,2025-07-25
578,39186,64,Purchase,2025-03-27
579,28717,372,Bonus,2025-08-01
580,47743,296,Bonus,2025-04-10
581,2958,185,Purchase,2025-11-13
582,24546,369,Purchase,2025-10-29
583,22281,320,Referral,2025-12-22
584,32944,42,Purchase,2025-12-30
585,46810,388,Referral,2025-05-18
586,28772,221,Bonus,2025-04-17
587,31253,401,Referral,2025-10-31
588,27280,445,Referral,2025-11-27
589,20147,463,Bonus,2025-05-26
590,48117,422,Referral,2025-09-11
591,10691,289,Bonus,2026-01-07
592,35804,287,Purchase,2025-06-02
593,30569,327,Referral,2025-12-29
594,49096,333,Bonus,2025-03-05
595,22550,482,Purchase,2025-12-04
596,13701,338,Referral,2025-04-29
597,23986,87,Bonus,2025-03-21
598,15205,134,Purchase,2026-01-22
599,40131,349,Bonus,2025-09-10
600,20356,151,Referral,2025-10-02
601,14403,452,Purchase,2025-04-01
602,11357,264,Referral,2025-11-11
603,37660,210,Referral,2025-06-14
604,17951,385,Purchase,2025-08-24
605,22053,370,Purchase,2025-03-24
606,40375,307,Bonus,2025-04-30
607,38443,108,Referral,2025-04-06
608,29894,206,Purchase,2025-11-30
609,25978,107,Purchase,2025-12-01
610,7348,52,Purchase,2026-02-25
611,19225,322,Bonus,2025-09-16
612,4375,283,Referral,2026-01-30
613,16203,236,Bonus,2025-09-07
614,15061,397,Bonus,2025-03-29
615,23332,164,Bonus,2025-04-15
616,46659,76,Purchase,2025-12-22
617,21236,82,Referral,2025-07-13
618,5961,134,Referral,2025-02-27
619,21683,121,Bonus,2025-12-21
620,37985,475,Purchase,2025-06-05
621,11935,221,Bonus,2025-03-10
622,11520,237,Referral,2025-07-22
623,49954,114,Referral,2025-10-24
624,9860,252,Purchase,2025-07-07
625,47786,337,Purchase,2025-08-14
626,49576,108,Bonus,2026-01-09
627,3354,269,Referral,2025-03-08
628,28604,393,Bonus,2025-03-08
629,24255,375,Bonus,2025-05-30
630,44373,12,Purchase,2026-01-02
631,27109,485,Referral,2025-12-15
632,18137,160,Referral,2025-07-24
633,29084,240,Purchase,2025-06-28
634,25121,161,Referral,2025-05-11
635,33962,72,Referral,2025-07-31
636,8031,303,Bonus,2025-05-04
637,22983,426,Bonus,2025-10-12
638,28671,147,Bonus,2025-11-10
639,6838,147,Referral,2026-02-11
640,2387,60,Referral,2025-08-27
641,45549,13,Bonus,2025-06-05
642,35944,63,Purchase,2025-07-19
643,35719,219,Purchase,2025-07-30
644,45983,298,Referral,2025-05-20
645,45349,333,Referral,2025-11-25
646,38760,273,Referral,2025-04-09
647,36126,286,Purchase,2025-10-29
648,17293,13,Purchase,2025-02-27
649,15582,430,Purchase,2025-04-17
650,33176,321,Referral,2025-09-30
651,48727,228,Purchase,2025-12-18
652,9203,324,Bonus,2025-04-25
653,11019,91,Purchase,2026-02-08
654,33719,335,Referral,2025-10-30
655,11314,155,Purchase,2026-02-09
656,19836,400,Purchase,2026-02-10
657,11525,175,Purchase,2025-06-02
658,12008,366,Purchase,2026-01-31
659,10123,303,Bonus,2025-05-07
660,8812,302,Referral,2025-11-23
661,34696,430,Purchase,2025-03-01
662,7188,447,Bonus,2025-11-24
663,32319,388,Bonus,2025-04-14
664,18266,229,Referral,2025-11-07
665,317,383,Purchase,2025-09-10
666,11254,321,Purchase,2025-10-05
667,7573,316,Purchase,2026-01-28
668,48544,77,Bonus,2025-07-05
669,4216,465,Purchase,2025-09-30
670,2442,221,Bonus,2025-08-03
671,18573,373,Bonus,2025-02-26
672,23130,48,Referral,2025-04-05
673,10130,486,Bonus,2025-07-18
674,19763,226,Purchase,2026-02-09
675,31373,64,Referral,2025-07-19
676,3949,333,Referral,2025-07-22
677,27820,12,Bonus,2025-08-05
678,24228,64,Purchase,2026-02-23
679,36895,171,Bonus,2025-07-23
680,21075,390,Purchase,2025-05-04
681,48222,144,Purchase,2025-04-17
682,35611,71,Purchase,2025-06-10
683,13715,293,Purchase,2025-04-03
684,14366,49,Bonus,2025-06-26
685,35687,472,Bonus,2025-06-30
686,16745,219,Referral,2025-03-19
687,42819,201,Purchase,2025-11-14
688,37729,21,Referral,2026-02-13
689,41729,170,Referral,2025-12-10
690,15750,119,Purchase,2025-03-03
691,32803,382,Purchase,2025-07-13
692,47598,456,Purchase,2025-04-13
693,49231,383,Purchase,2025-07-05
694,17397,280,Referral,2025-11-16
695,3602,297,Referral,2026-01-21
696,38721,241,Purchase,2025-03-18
697,16934,77,Referral,2026-02-14
698,34777,178,Referral,2025-10-16
699,47736,215,Purchase,2025-09-30
700,6723,63,Referral,2025-03-31
701,48657,298,Purchase,2025-08-17
702,4024,486,Bonus,2025-12-18
703,13886,278,Bonus,2025-03-08
704,43995,454,Bonus,2025-05-21
705,28108,250,Purchase,2025-05-22
706,48877,161,Referral,2025-08-20
707,40055,380,Referral,2025-08-17
708,463,62,Referral,2025-07-19
709,39408,234,Purchase,2025-05-01
710,32451,132,Bonus,2025-03-31
711,37076,499,Bonus,2025-07-26
712,34917,499,Referral,2026-01-21
713,3736,445,Referral,2025-05-14
714,14792,316,Referral,2026-01-21
715,12370,474,Bonus,2025-07-20
716,9548,344,Referral,2026-02-18
717,44625,404,Purchase,2025-11-28
718,11162,155,Referral,2025-12-09
719,3795,154,Referral,2026-01-14
720,9321,374,Bonus,2025-07-08
721,7713,350,Referral,2025-08-16
722,33701,88,Bonus,2025-12-08
723,10673,216,Referral,2025-08-17
724,17102,56,Purchase,2025-06-28
725,37021,487,Bonus,2025-08-04
726,9720,341,Bonus,2025-05-27
727,32267,104,Purchase,2025-05-21
728,35022,267,Purchase,2025-05-30
729,23184,204,Purchase,2025-06-08
730,10336,247,Referral,2025-12-23
731,17804,266,Referral,2025-06-06
732,19024,85,Purchase,2025-05-31
733,4425,226,Bonus,2025-12-29
734,11854,70,Bonus,2025-11-29
735,37902,292,Purchase,2026-02-18
736,47626,25,Referral,2025-02-25
737,2718,198,Referral,2025-07-06
738,9228,391,Referral,2026-01-19
739,21720,22,Purchase,2026-01-26
740,8121,330,Bonus,2025-11-03
741,7001,358,Bonus,2025-07-05
742,49547,337,Purchase,2025-03-19
743,21980,159,Bonus,2026-01-08
744,11272,461,Referral,2025-09-20
745,46717,227,Referral,2025-12-04
746,29026,144,Referral,2025-11-28
747,308,376,Referral,2026-01-21
