customer_id,tier_id,points_balance,join_date
48545,3,6734,2025-02-27
41090,3,8830,2025-05-16
11684,3,9186,2023-09-10
40499,3,6727,2021-03-27
38583,3,8895,2025-11-06
9701,4,14767,2022-02-21
24404,3,6246,2021-09-02
17846,4,10579,2023-02-23
48606,4,10388,2025-04-06
23681,2,4584,2025-04-17
38585,1,341,2025-08-25
21201,2,2681,2021-09-22
49135,2,2265,2021-05-20
20460,3,7281,2022-03-04
27958,3,9425,2023-04-08
40311,3,8599,2024-12-11
32483,2,3604,2024-04-04
13512,3,8268,2026-02-02
30311,3,5123,2024-12-23
17150,3,5563,2022-05-05
49762,4,13131,2021-09-04
6285,4,10008,2021-05-01
44699,3,5287,2022-05-13
27712,2,3119,2024-04-29
11429,4,14445,2025-05-27
41333,2,4431,2021-05-19
14283,4,12052,2022-05-07
18615,2,3129,2021-09-15
44177,1,137,2024-03-22
8061,2,1851,2024-09-23
27340,3,7128,2022-12-12
43585,4,14829,2021-06-02
1562,3,6529,2025-10-30
11217,2,4433,2022-11-01
39698,2,2996,2025-02-08
32007,4,13626,2021-11-17
10560,3,7487,2023-03-08
48104,4,12961,2025-09-20
24774,2,3475,2023-06-14
39758,3,6684,2021-08-13
33893,1,618,2023-12-28
47879,2,3419,2022-03-22
49583,4,10590,2023-09-11
9234,3,9183,2022-04-18
30233,3,8790,2022-10-30
28962,3,5939,2024-04-05
33809,4,14839,2024-11-20
32513,3,6129,2024-05-04
10471,3,9094,2022-12-17
33840,2,1467,2024-08-28
14689,4,14520,2025-11-17
13115,4,13019,2023-05-27
24648,2,2988,2025-07-03
30417,1,542,2022-12-13
38099,3,7876,2022-02-27
3487,4,11586,2025-07-31
2719,4,13495,2023-10-01
27983,2,2606,2025-01-16
34611,4,12406,2021-04-05
37414,4,12549,2024-09-29
16155,4,13912,2025-09-28
42298,4,14721,2026-02-25
35795,2,1900,2023-07-16
47786,4,12424,2022-08-23
21631,2,4269,2025-02-18
45250,2,3880,2021-03-13
44590,3,7664,2025-01-29
11629,3,5189,2022-11-11
14358,3,5476,2025-10-12
42356,3,9720,2021-10-10
39240,2,4277,2025-12-01
13701,3,9461,2022-02-02
28702,2,4442,2024-07-15
27948,3,8624,2023-04-21
25191,3,5863,2022-09-11
34394,4,10761,2021-10-07
6929,2,3349,2023-03-20
22315,4,11714,2022-08-04
36005,2,2860,2025-10-15
8128,1,339,2021-05-14
27046,3,7455,2023-05-08
31047,4,11400,2025-08-26
6891,2,4584,2022-11-27
12665,2,3432,2024-10-14
1343,3,8562,2025-07-22
34156,4,10085,2025-03-18
2461,4,13860,2021-05-11
4422,3,5021,2025-01-06
13745,4,10416,2023-08-29
12833,4,10647,2024-09-02
8046,3,9630,2025-05-26
20258,2,1521,2023-05-21
21057,3,8319,2024-02-24
17929,4,11859,2021-09-01
23734,3,9789,2024-10-31
46272,2,1307,2021-08-01
1984,3,8369,2022-06-30
17735,4,11806,2023-02-14
27078,3,5057,2022-10-23
26350,2,1435,2025-08-15
23474,4,11842,2022-06-01
7426,3,8275,2022-11-15
38849,4,12537,2021-07-11
13924,2,3232,2022-02-01
46598,1,405,2022-09-21
37789,3,7115,2022-02-26
42587,2,1936,2026-02-06
653,1,167,2022-05-14
29404,2,2755,2025-03-28
34855,4,14909,2025-04-01
44797,4,10353,2023-01-05
16868,2,4142,2025-03-29
7115,3,6352,2023-02-20
9384,3,9725,2025-10-26
29555,4,14655,2022-01-05
32753,2,4909,2025-10-09
27168,3,7597,2023-04-06
1086,2,1757,2022-07-28
23827,4,11542,2024-09-11
35404,3,8907,2023-03-14
2956,3,6573,2024-04-15
1032,1,572,2023-06-17
1906,2,3044,2023-01-19
10726,4,12450,2025-12-27
49232,1,22,2021-10-18
27830,3,5226,2025-10-11
47154,3,6122,2025-04-15
33187,3,8950,2023-08-12
38252,3,7132,2025-06-25
41033,4,14115,2023-06-24
4471,3,6602,2024-11-09
17470,4,11933,2024-07-20
28626,3,6815,2024-10-06
21395,3,8901,2022-06-09
10918,3,5778,2023-07-31
6512,2,3132,2022-09-13
13307,2,4535,2025-02-01
24190,2,1965,2024-08-20
21474,3,7182,2025-09-18
25786,4,14141,2021-05-06
48577,4,14617,2025-05-03
48377,2,2787,2024-01-16
2253,3,7821,2021-06-11
16964,2,1351,2025-09-22
43132,3,8996,2025-05-06
17386,2,4903,2021-11-29
33753,4,14343,2023-05-28
14247,1,519,2025-09-30
25999,3,5149,2023-09-18
35732,4,12357,2025-03-07
17553,2,2322,2021-08-11
18958,1,870,2023-07-01
12367,3,9589,2024-06-30
9087,4,12122,2024-12-17
3515,4,11366,2024-06-15
18665,4,12108,2023-10-29
20541,2,2716,2024-04-12
22455,4,10741,2021-11-20
18963,3,5060,2025-07-16
36510,2,2986,2024-04-21
8173,4,12860,2022-08-29
47065,4,14549,2022-06-12
1077,2,4808,2022-04-28
49947,2,1186,2023-07-24
32434,2,1573,2023-10-05
22019,3,6331,2024-08-01
32621,2,2252,2025-01-27
5728,4,13473,2022-12-18
3433,3,8392,2022-10-17
48593,4,14213,2024-09-30
20485,2,4556,2022-02-19
35192,4,14424,2023-12-20
32694,3,9009,2021-12-19
45875,4,10373,2024-05-11
9052,2,2515,2021-04-06
38938,2,4011,2025-10-15
31451,2,1552,2024-06-15
19389,3,7014,2022-12-14
33334,3,9893,2026-02-19
37196,4,12742,2025-11-01
30986,4,13062,2024-01-05
26487,4,13845,2025-08-20
3231,4,11425,2021-03-07
43204,4,13183,2022-11-21
4071,4,10020,2022-02-24
13693,4,10498,2022-09-07
4174,2,4444,2023-06-23
24486,3,8772,2023-11-18
7326,3,8462,2023-08-31
40152,3,8740,2021-08-31
24631,4,12043,2021-06-20
27604,3,7891,2023-09-02
44437,4,13463,2023-01-18
532,3,6391,2023-04-30
15608,4,10043,2021-07-15
5107,4,10168,2023-11-16
12654,4,11643,2021-07-21
27985,2,1951,2021-03-21
14845,2,2199,2022-05-04
28069,4,11265,2024-12-23
39166,3,7857,2023-07-28
25150,4,14804,2023-05-28
30379,3,7102,2025-07-02
17094,3,8673,2022-01-31
1075,2,4244,2024-04-22
24998,2,2422,2025-04-03
23481,2,3663,2023-09-23
37818,4,11530,2025-01-18
23379,2,3746,2025-07-04
19214,2,4263,2024-04-10
44795,4,14608,2024-06-03
36097,3,7852,2023-07-08
10412,1,663,2023-03-24
41945,1,554,2022-05-05
16737,2,3038,2025-05-31
4309,3,8848,2022-06-08
25189,4,12247,2024-08-14
6241,4,13568,2022-07-15
34134,3,9879,2021-10-21
38462,2,1372,2024-01-12
26048,1,750,2022-12-02
9231,1,603,2025-12-06
39190,2,1288,2025-05-04
6172,2,4415,2022-09-22
2391,2,1680,2021-11-26
8116,1,790,2025-01-03
33778,4,11371,2025-04-01
38198,4,14690,2022-09-28
19585,1,782,2021-05-08
43508,3,8268,2023-09-15
45287,2,3049,2021-05-16
49054,2,1571,2025-09-14
14353,2,2651,2021-12-29
23651,3,7585,2025-09-01
5228,4,13552,2024-12-03
21154,1,476,2023-10-06
1493,4,13479,2024-12-16
19095,4,12638,2021-11-07
32208,3,5918,2022-02-25
23007,3,7465,2023-08-20
1720,2,4470,2023-12-11
2281,3,8094,2022-08-31
28083,4,13261,2022-08-10
47881,2,1228,2024-01-28
18999,3,6809,2024-01-10
45050,3,5975,2023-01-10
13155,4,10870,2024-05-20
46359,2,2732,2021-06-10
24712,4,10724,2022-03-01
887,4,12115,2024-02-11
32089,3,6607,2021-03-12
43063,4,14837,2024-11-17
24776,3,8177,2022-01-05
47483,4,11388,2024-04-25
43519,2,4413,2025-05-15
37534,3,7038,2021-07-16
35131,4,10336,2024-10-22
11868,2,4055,2022-12-24
34217,3,8438,2024-04-30
19553,4,12108,2021-07-03
30881,1,900,2025-05-04
42988,2,4437,2024-10-19
29004,3,7011,2025-05-29
12547,3,8596,2021-05-09
9663,2,4583,2021-12-07
21454,3,6808,2023-12-24
8492,2,2443,2021-05-02
31216,2,2151,2024-03-10
7228,3,7093,2022-07-08
31611,4,12812,2022-04-20
24257,4,11941,2026-01-07
17175,3,7233,2022-06-10
35583,4,14861,2022-05-07
31464,2,2544,2025-06-16
17161,4,10062,2025-05-22
46608,3,9969,2023-02-28
45260,2,2463,2022-05-07
18881,3,8490,2021-10-29
18592,2,2079,2024-04-15
42805,3,9968,2021-11-30
47972,3,6051,2022-11-08
41140,4,10146,2025-12-28
37851,4,13765,2024-12-21
32869,3,8193,2025-10-31
3643,4,11066,2021-06-21
33456,2,1975,2024-06-15
38806,4,14275,2022-04-16
24025,2,1670,2025-05-04
8068,2,3682,2024-09-11
19012,3,5412,2023-04-02
38023,4,10263,2022-10-07
30766,3,5822,2023-08-01
22129,2,3050,2021-11-18
20783,2,3340,2023-09-23
15987,3,5348,2022-07-10
11734,2,3056,2024-02-11
391,2,3855,2024-09-11
46302,2,3481,2023-03-31
15939,4,14139,2025-04-04
19804,1,511,2022-09-02
42167,2,1384,2025-12-22
39500,4,11423,2023-03-14
13870,4,12601,2024-04-15
2402,2,2257,2021-10-06
33768,4,11631,2025-06-17
12620,2,4556,2025-07-19
10037,3,9814,2024-10-22
40710,2,3312,2022-09-15
2555,4,12255,2021-09-18
47616,3,7022,2022-04-22
41662,4,12643,2023-07-24
34061,1,770,2021-11-17
46904,2,4072,2024-06-18
13460,4,13422,2022-09-30
47386,3,9149,2025-09-24
27123,4,14989,2026-01-27
43161,4,12887,2023-02-26
34282,4,12416,2023-08-14
47750,2,3980,2025-06-05
39099,3,7183,2021-04-30
33785,4,12370,2025-05-06
1879,1,214,2021-03-30
24406,2,1153,2022-02-18
19894,2,1096,2024-12-18
39100,2,1213,2025-02-04
38364,1,400,2023-02-03
22331,3,6041,2022-06-22
42299,3,8773,2024-02-23
40647,2,2410,2022-02-05
8967,2,4471,2022-04-14
1930,3,7711,2026-02-15
26256,2,1792,2023-05-12
15709,4,12527,2025-04-07
5348,2,3125,2021-05-14
12526,2,3296,2023-03-23
22165,3,8332,2023-08-06
37740,3,8618,2023-07-14
8013,2,1391,2025-08-17
19180,3,6944,2021-10-16
44655,4,10738,2025-03-25
46045,4,11300,2025-09-30
16372,4,14921,2023-11-30
925,4,13762,2021-06-16
28369,4,12288,2025-09-28
7962,4,13723,2024-04-20
46308,2,4827,2024-01-13
29456,4,14414,2023-01-28
47438,4,10479,2022-10-29
33506,2,3244,2024-08-30
312,4,10835,2021-04-15
16855,2,4553,2022-04-28
11726,3,5345,2024-10-17
12429,3,6500,2023-11-22
44701,1,592,2022-10-14
39945,4,11831,2022-05-05
29533,3,9078,2025-09-11
36063,4,11115,2024-06-23
17118,2,1587,2023-08-30
44007,2,3622,2023-10-26
49336,3,5515,2024-04-06
9979,4,12089,2022-04-04
15326,3,9080,2021-08-13
36217,4,13370,2023-03-23
29934,4,12215,2024-02-07
49279,3,5538,2022-03-03
43088,4,14802,2025-04-17
12902,2,1832,2025-09-06
33634,3,5581,2022-02-27
33404,3,7592,2026-01-08
4712,4,13518,2021-12-14
22275,3,9433,2023-07-05
47521,2,3018,2021-10-22
11056,3,7720,2025-02-19
41697,3,9250,2024-10-14
35175,3,9333,2023-05-17
3820,3,7200,2021-11-12
16735,4,13785,2021-10-26
24004,3,8745,2021-12-17
45458,3,5237,2021-10-02
18360,3,7043,2025-08-14
8142,4,14939,2025-01-30
25137,2,4582,2022-10-28
3910,2,1174,2022-12-24
40895,1,318,2021-06-06
2937,2,4986,2021-08-05
1215,1,737,2022-04-04
45272,4,14746,2021-07-18
44381,4,10185,2022-09-05
3093,4,11109,2022-04-05
24893,4,12819,2024-03-02
28657,4,13477,2025-07-11
40573,3,5357,2024-02-29
18649,3,8225,2022-03-13
30822,3,6158,2023-01-25
33641,4,14617,2023-11-08
29912,3,6967,2024-06-19
17200,4,12525,2022-12-11
3870,4,14304,2025-09-24
12532,2,1889,2021-03-13
40448,3,8685,2022-11-05
19196,3,7136,2025-11-04
5163,2,4066,2023-08-31
44301,4,12207,2021-06-02
42779,2,3717,2023-12-04
18272,4,11841,2022-09-05
6857,2,4952,2023-12-15
38294,4,14656,2024-07-09
17308,4,11836,2023-07-05
32791,4,12157,2026-01-04
22830,2,3786,2021-03-16
33085,2,3026,2023-06-06
13896,3,8579,2021-09-17
9756,2,4758,2025-10-30
27599,2,4890,2024-07-13
41496,2,3305,2021-12-13
34513,2,1212,2025-08-27
133,2,1348,2024-02-24
35350,1,903,2022-07-26
41400,2,2322,2025-06-02
19480,2,3049,2024-01-23
10028,2,4597,2021-08-05
38682,2,2366,2025-04-24
33645,4,12282,2023-10-17
23856,2,4793,2025-08-10
8697,3,5519,2025-04-04
16614,3,6407,2021-10-27
48954,2,3655,2022-06-10
27153,4,11845,2025-11-04
38093,4,10716,2025-03-10
16164,4,10685,2022-11-25
15254,4,10703,2024-03-16
49572,2,4310,2022-02-19
42133,4,11796,2022-09-09
19149,2,1464,2022-07-23
2843,3,9682,2021-11-25
5473,4,14153,2024-07-27
37856,3,8855,2024-10-11
5503,2,1573,2021-04-30
6532,3,7871,2023-07-23
13430,4,10562,2024-02-03
33192,4,13676,2022-01-23
32942,2,2332,2025-06-02
41930,3,6819,2022-04-20
18653,2,1629,2025-08-31
16835,1,903,2024-03-10
21351,2,1227,2021-03-12
42354,3,6434,2024-07-20
16718,4,14064,2024-04-24
10052,2,4571,2025-01-04
7262,3,6308,2021-09-19
20129,4,14291,2021-04-01
26596,3,6424,2024-11-26
23985,2,3361,2022-09-23
7688,2,1055,2025-08-10
1931,4,12574,2021-12-11
35708,2,1186,2023-08-06
38658,3,8305,2022-11-23
23156,2,2066,2021-05-26
43039,2,4247,2024-01-04
42766,4,13759,2021-04-28
23809,1,444,2026-01-11
3293,3,8974,2023-06-24
41055,4,12352,2025-12-18
30512,2,3378,2026-02-17
44900,3,5362,2023-10-20
3146,4,14077,2022-09-01
32097,3,8250,2023-02-12
13871,2,4102,2022-07-17
43483,2,4109,2021-06-14
24118,3,5156,2025-09-30
31701,2,4927,2025-09-15
44268,4,10533,2021-08-15
28476,4,13218,2024-02-12
47933,4,13221,2022-04-01
49164,4,10738,2025-05-05
44278,2,2609,2021-12-08
39078,3,8413,2022-08-22
32759,4,11687,2024-03-29
35538,4,11023,2023-10-30
44626,2,1008,2022-06-16
45106,3,9537,2023-11-04
48832,4,11632,2023-03-23
43112,3,5153,2025-03-02
3824,2,2099,2022-06-24
17220,3,6944,2022-03-08
539,3,9098,2022-01-16
39817,3,6682,2022-01-28
15836,2,1043,2025-01-04
11819,3,7436,2023-11-16
36060,3,8678,2022-06-22
13726,3,5037,2023-08-24
3138,4,10612,2025-04-27
39848,4,11064,2025-08-11
31487,4,12607,2021-03-13
17998,4,11314,2025-10-15
41477,2,4165,2025-05-05
22490,1,935,2024-04-10
31993,4,13756,2021-07-19
30168,4,10131,2025-03-13
2857,4,12217,2023-12-28
39914,1,44,2025-10-07
30419,4,12766,2025-06-04
24905,2,3725,2024-04-24
9802,4,13650,2025-02-19
3166,2,2524,2023-06-14
39690,3,7149,2022-02-23
8725,2,3764,2025-05-11
39022,3,9429,2025-08-26
49904,3,7171,2023-02-08
21812,3,9336,2025-03-05
46285,3,8087,2024-07-08
37009,3,7665,2023-10-24
27095,3,5067,2021-10-01
35024,3,5507,2021-10-23
5330,3,9520,2024-04-19
2528,3,6200,2024-08-21
25604,3,7754,2024-10-06
12441,2,3954,2021-07-29
16935,4,11091,2022-04-01
12950,2,4457,2022-06-12
35660,3,5297,2024-08-25
34954,4,13715,2023-11-28
8468,2,2303,2023-10-12
9616,2,2243,2025-06-10
49901,2,4042,2023-08-16
20660,3,6515,2022-10-22
6247,2,4618,2025-08-10
31385,1,329,2025-07-26
17860,3,9184,2025-02-28
19867,4,13997,2024-09-10
27784,4,12492,2024-07-12
18280,2,2659,2021-06-28
12890,4,11156,2024-02-03
28586,3,9079,2025-09-16
45210,4,12928,2025-08-02
12433,2,4741,2025-12-23
34482,4,13328,2022-03-10
45087,4,14498,2022-01-02
33402,3,7731,2022-04-08
33024,3,7125,2022-02-08
3007,4,12193,2022-01-23
36987,4,12067,2024-09-28
45510,3,9549,2024-03-06
6730,4,13552,2021-11-01
17406,2,4324,2021-11-24
32921,3,8132,2025-12-20
49794,2,2427,2023-08-28
30176,2,2127,2025-01-22
49106,4,13161,2022-08-21
31940,4,11954,2021-10-06
49338,4,14206,2024-07-25
29177,4,10648,2024-09-10
33550,2,1474,2023-03-28
4859,2,3616,2024-02-29
32405,2,2241,2025-03-21
47365,3,5833,2024-08-18
