promo_id,promo_name,discount_percent,start_date,end_date,active
115,Customer-focused Sale,25,2024-07-28,2024-08-04,True
116,Reduced Sale,50,2025-08-12,2025-08-24,True
117,Adaptive Sale,20,2024-03-14,2024-03-20,True
118,Vision-oriented Sale,50,2024-11-02,2024-11-11,False
119,Inverse Sale,5,2025-02-24,2025-03-10,True
120,Stand-alone Sale,10,2025-05-23,2025-06-03,False
121,Open-source Sale,25,2025-01-28,2025-01-31,True
122,Seamless Sale,25,2025-09-13,2025-09-20,True
123,Universal Sale,5,2025-09-07,2025-09-12,False
124,Grass-roots Sale,25,2025-12-07,2025-12-12,True
125,Progressive Sale,15,2025-01-12,2025-01-15,True
126,Configurable Sale,15,2025-08-29,2025-09-05,True
127,Open-architected Sale,20,2024-12-27,2025-01-10,False
128,Devolved Sale,15,2024-11-26,2024-12-11,True
129,Down-sized Sale,50,2025-04-03,2025-04-13,True
130,Adaptive Sale,10,2024-11-01,2024-11-06,True
131,Networked Sale,25,2025-10-12,2025-10-16,True
132,Grass-roots Sale,15,2024-07-01,2024-07-08,True
133,User-centric Sale,50,2025-02-17,2025-02-22,True
134,Implemented Sale,50,2025-09-06,2025-09-10,False
135,Advanced Sale,5,2025-07-26,2025-08-09,False
136,Quality-focused Sale,20,2025-03-19,2025-03-27,True
137,Secured Sale,20,2024-05-02,2024-05-17,False
138,Organized Sale,50,2026-01-09,2026-01-19,False
139,Diverse Sale,25,2024-04-03,2024-04-09,True
140,Switchable Sale,50,2025-08-28,2025-09-09,True
141,Optional Sale,20,2024-12-03,2024-12-09,False
142,Exclusive Sale,10,2024-09-19,2024-09-25,True
143,Horizontal Sale,5,2025-10-12,2025-10-24,False
144,Vision-oriented Sale,50,2024-07-12,2024-07-26,False
145,Programmable Sale,50,2025-07-14,2025-07-17,True
146,Progressive Sale,15,2024-12-01,2024-12-10,False
147,Fully-configurable Sale,20,2024-07-17,2024-07-25,True
148,Extended Sale,15,2025-11-01,2025-11-05,True
149,Enterprise-wide Sale,5,2024-08-25,2024-09-07,False
150,Persevering Sale,5,2025-08-28,2025-09-10,True
151,Progressive Sale,50,2025-06-26,2025-07-07,False
152,Reactive Sale,10,2026-01-28,2026-02-12,True
153,Enterprise-wide Sale,5,2024-08-20,2024-08-25,False
154,Right-sized Sale,10,2024-08-14,2024-08-18,False
155,Streamlined Sale,5,2025-05-14,2025-05-21,True
156,Cross-group Sale,20,2025-08-22,2025-09-06,True
157,Virtual Sale,10,2024-08-15,2024-08-21,False
158,Secured Sale,5,2025-03-11,2025-03-25,True
159,Multi-layered Sale,50,2024-08-13,2024-08-28,True
160,Object-based Sale,50,2024-06-05,2024-06-13,False
161,Inverse Sale,25,2024-12-24,2025-01-08,True
162,Cross-group Sale,25,2025-09-19,2025-09-30,True
163,Re-contextualized Sale,15,2025-07-26,2025-07-31,True
164,Phased Sale,5,2024-04-19,2024-04-25,False
165,Down-sized Sale,25,2025-08-09,2025-08-14,False
166,Public-key Sale,15,2025-08-12,2025-08-18,True
167,Networked Sale,20,2024-02-26,2024-03-06,True
168,Persistent Sale,5,2025-06-27,2025-07-05,False
169,Secured Sale,20,2025-04-27,2025-05-03,False
170,Virtual Sale,20,2024-03-13,2024-03-23,False
171,Ameliorated Sale,25,2025-06-24,2025-07-07,True
172,Multi-channeled Sale,25,2024-06-14,2024-06-18,False
173,Down-sized Sale,15,2024-10-17,2024-10-26,False
174,Total Sale,10,2024-11-08,2024-11-20,True
175,Self-enabling Sale,5,2024-10-14,2024-10-27,False
176,Proactive Sale,10,2025-05-31,2025-06-13,False
177,Implemented Sale,50,2024-07-14,2024-07-28,True
178,Multi-lateral Sale,25,2025-02-17,2025-02-25,True
179,Automated Sale,25,2025-07-23,2025-08-05,False
180,Mandatory Sale,5,2024-12-28,2024-12-31,True
181,Profound Sale,15,2024-05-03,2024-05-16,True
182,Phased Sale,5,2025-07-08,2025-07-22,True
183,Multi-tiered Sale,50,2025-08-20,2025-08-25,True
184,Mandatory Sale,5,2024-10-10,2024-10-23,True
185,Open-architected Sale,5,2024-07-19,2024-07-26,True
186,Open-architected Sale,15,2026-01-24,2026-02-07,True
187,Quality-focused Sale,25,2026-02-04,2026-02-09,True
188,Balanced Sale,25,2024-09-05,2024-09-10,True
189,Robust Sale,25,2024-03-06,2024-03-19,True
190,Exclusive Sale,20,2024-09-11,2024-09-14,True
191,Focused Sale,25,2025-01-12,2025-01-18,False
192,Operative Sale,15,2024-10-27,2024-10-30,False
193,Streamlined Sale,10,2024-08-29,2024-09-11,True
194,Persistent Sale,5,2025-12-13,2025-12-26,True
195,Advanced Sale,50,2025-04-14,2025-04-20,False
196,Devolved Sale,25,2025-12-17,2025-12-29,True
197,Innovative Sale,15,2024-09-13,2024-09-28,True
198,Face-to-face Sale,15,2025-10-17,2025-10-30,True
199,Robust Sale,5,2025-11-03,2025-11-18,True
200,Enhanced Sale,50,2025-12-22,2025-12-26,True
201,Self-enabling Sale,5,2024-12-10,2024-12-17,True
202,Ameliorated Sale,10,2024-11-10,2024-11-22,False
203,Versatile Sale,5,2025-04-03,2025-04-13,False
204,Pre-emptive Sale,50,2024-11-16,2024-11-29,True
205,Managed Sale,15,2025-12-09,2025-12-21,False
206,Object-based Sale,20,2025-10-29,2025-11-08,True
207,Team-oriented Sale,25,2025-12-01,2025-12-15,True
208,Implemented Sale,15,2025-01-01,2025-01-16,False
209,Synergistic Sale,5,2025-05-25,2025-06-02,False
210,Persevering Sale,25,2026-02-05,2026-02-16,False
211,Face-to-face Sale,50,2024-10-22,2024-10-28,True
212,Cross-group Sale,10,2025-08-13,2025-08-28,False
213,Self-enabling Sale,10,2026-02-22,2026-03-09,False
214,Streamlined Sale,50,2024-04-07,2024-04-15,False
215,Configurable Sale,5,2025-05-30,2025-06-06,False
216,Function-based Sale,20,2025-12-09,2025-12-18,True
217,Total Sale,25,2026-01-04,2026-01-18,True
218,Progressive Sale,10,2025-12-29,2026-01-11,True
219,Mandatory Sale,15,2024-12-06,2024-12-20,False
220,Multi-lateral Sale,20,2025-09-19,2025-10-04,True
221,Programmable Sale,50,2025-02-02,2025-02-06,True
222,Universal Sale,5,2025-07-29,2025-08-11,False
223,Cross-group Sale,15,2025-12-10,2025-12-16,True
224,Fully-configurable Sale,25,2025-11-11,2025-11-21,True
225,Versatile Sale,15,2025-09-26,2025-10-07,False
226,Re-engineered Sale,10,2024-04-22,2024-04-26,False
227,Cross-group Sale,5,2025-01-31,2025-02-06,False
228,Upgradable Sale,15,2025-10-29,2025-11-10,False
229,Focused Sale,15,2024-12-22,2025-01-04,True
230,Grass-roots Sale,15,2024-08-13,2024-08-27,True
231,Open-architected Sale,5,2026-02-23,2026-03-10,True
232,Sharable Sale,25,2025-01-03,2025-01-10,True
233,Multi-lateral Sale,5,2025-10-11,2025-10-16,True
234,Cloned Sale,25,2024-05-09,2024-05-18,False
235,Intuitive Sale,5,2024-08-14,2024-08-28,True
236,Exclusive Sale,20,2025-09-01,2025-09-08,True
237,Right-sized Sale,10,2025-04-15,2025-04-18,True
238,Persevering Sale,20,2024-11-04,2024-11-18,False
239,Re-engineered Sale,5,2025-08-17,2025-08-28,True
240,Ameliorated Sale,50,2025-12-08,2025-12-16,True
241,Synergized Sale,25,2025-05-31,2025-06-05,True
242,Ameliorated Sale,5,2026-02-04,2026-02-16,True
243,Cross-platform Sale,20,2025-11-20,2025-12-02,True
244,Inverse Sale,10,2024-07-13,2024-07-16,False
245,Versatile Sale,15,2025-08-04,2025-08-19,True
246,Networked Sale,5,2024-12-21,2024-12-28,True
247,Phased Sale,25,2025-09-28,2025-10-13,True
248,Decentralized Sale,50,2024-09-22,2024-10-02,True
249,Multi-lateral Sale,10,2024-02-27,2024-03-13,False
250,Public-key Sale,10,2025-04-16,2025-04-22,False
251,Polarized Sale,25,2025-11-07,2025-11-17,False
252,Focused Sale,15,2026-01-19,2026-01-29,False
253,Enhanced Sale,15,2024-07-26,2024-08-04,False
254,Upgradable Sale,15,2024-05-22,2024-06-06,False
255,Monitored Sale,15,2024-12-30,2025-01-08,False
256,Streamlined Sale,25,2025-10-19,2025-10-29,False
257,Assimilated Sale,25,2025-02-18,2025-02-23,False
258,Virtual Sale,15,2024-05-23,2024-06-07,False
259,Sharable Sale,15,2024-06-12,2024-06-22,True
260,De-engineered Sale,10,2025-05-16,2025-05-26,False
261,Multi-channeled Sale,25,2025-01-23,2025-01-30,False
262,Object-based Sale,15,2026-02-08,2026-02-20,False
263,Public-key Sale,25,2025-10-13,2025-10-28,False
264,Open-architected Sale,10,2025-06-30,2025-07-03,True
265,Cross-platform Sale,25,2024-07-08,2024-07-15,True
266,Managed Sale,5,2024-03-09,2024-03-15,False
267,Business-focused Sale,50,2025-07-22,2025-08-04,True
268,Up-sized Sale,5,2025-10-31,2025-11-06,False
269,Vision-oriented Sale,25,2024-12-19,2024-12-24,True
270,Devolved Sale,15,2026-02-15,2026-02-22,True
271,Seamless Sale,15,2024-11-17,2024-11-23,True
272,Cross-group Sale,15,2025-11-23,2025-12-03,False
273,Enterprise-wide Sale,20,2025-03-27,2025-04-06,True
274,Monitored Sale,10,2026-01-11,2026-01-18,True
275,Monitored Sale,15,2025-10-12,2025-10-26,False
276,Triple-buffered Sale,15,2025-07-31,2025-08-13,True
277,Visionary Sale,15,2025-05-02,2025-05-10,True
278,Cloned Sale,50,2024-09-22,2024-09-30,True
279,Function-based Sale,50,2024-04-21,2024-04-30,False
280,Synchronized Sale,10,2025-05-30,2025-06-03,True
281,Operative Sale,50,2024-10-17,2024-10-24,True
282,Balanced Sale,25,2024-07-12,2024-07-17,True
283,Monitored Sale,15,2024-03-14,2024-03-28,False
284,Organic Sale,10,2024-04-21,2024-04-26,False
285,Extended Sale,15,2025-11-23,2025-12-05,True
286,Monitored Sale,25,2025-10-02,2025-10-17,True
287,Mandatory Sale,20,2026-02-07,2026-02-17,True
288,User-centric Sale,10,2025-11-16,2025-11-21,False
289,Digitized Sale,15,2024-09-26,2024-10-05,False
290,Integrated Sale,50,2024-05-27,2024-05-30,True
291,Expanded Sale,50,2025-07-13,2025-07-17,False
292,De-engineered Sale,10,2025-07-23,2025-08-06,True
293,Integrated Sale,25,2025-06-24,2025-07-05,False
294,De-engineered Sale,20,2025-11-22,2025-12-06,False
295,Synchronized Sale,10,2025-01-27,2025-02-11,False
296,Ergonomic Sale,5,2025-05-06,2025-05-14,True
297,Pre-emptive Sale,15,2024-02-29,2024-03-09,False
298,Persevering Sale,10,2024-10-29,2024-11-01,False
299,Stand-alone Sale,10,2024-06-12,2024-06-21,False
300,Mandatory Sale,5,2024-07-20,2024-07-27,True
301,Stand-alone Sale,25,2024-06-19,2024-07-04,True
302,Multi-channeled Sale,10,2025-03-17,2025-03-23,True
303,Advanced Sale,10,2024-04-07,2024-04-13,False
304,Cross-group Sale,25,2024-11-29,2024-12-08,True
305,Open-architected Sale,50,2025-04-13,2025-04-24,False
306,Exclusive Sale,50,2025-06-09,2025-06-22,True
307,Cloned Sale,20,2024-12-19,2024-12-24,True
308,Multi-channeled Sale,15,2024-03-23,2024-04-04,False
309,Polarized Sale,10,2024-08-11,2024-08-23,False
310,Robust Sale,10,2025-09-12,2025-09-15,True
311,Persistent Sale,25,2025-06-21,2025-07-02,True
312,Cross-platform Sale,15,2024-05-25,2024-05-30,False
313,Seamless Sale,5,2024-07-08,2024-07-11,True
314,Extended Sale,15,2025-02-22,2025-03-07,False
315,Switchable Sale,20,2025-05-13,2025-05-22,False
316,Open-source Sale,5,2025-04-25,2025-04-28,False
317,Optional Sale,5,2026-01-16,2026-01-22,False
318,Focused Sale,15,2025-08-01,2025-08-13,False
319,Face-to-face Sale,5,2025-12-04,2025-12-17,False
320,Vision-oriented Sale,20,2025-03-30,2025-04-11,False
321,Multi-channeled Sale,20,2025-02-16,2025-02-23,True
322,De-engineered Sale,50,2024-05-07,2024-05-10,True
323,Implemented Sale,10,2024-05-20,2024-05-31,False
324,Decentralized Sale,25,2025-04-19,2025-05-01,False
325,Reverse-engineered Sale,15,2024-07-22,2024-08-06,True
326,Distributed Sale,50,2024-09-14,2024-09-25,False
327,Organized Sale,20,2025-01-07,2025-01-14,True
328,Integrated Sale,15,2025-10-09,2025-10-20,True
329,Diverse Sale,10,2025-03-21,2025-03-25,False
330,Profound Sale,50,2024-11-02,2024-11-07,False
331,Extended Sale,50,2024-06-29,2024-07-02,True
332,Inverse Sale,25,2026-02-21,2026-02-24,False
333,Multi-lateral Sale,25,2024-12-12,2024-12-20,False
334,Advanced Sale,5,2025-10-05,2025-10-17,True
335,Synergized Sale,5,2025-04-24,2025-05-01,False
336,User-centric Sale,5,2025-11-26,2025-12-07,True
337,Seamless Sale,15,2026-02-24,2026-03-06,True
338,Operative Sale,20,2025-05-28,2025-06-01,False
339,Adaptive Sale,15,2025-02-18,2025-03-04,True
340,Self-enabling Sale,15,2024-12-23,2025-01-03,False
341,Extended Sale,5,2024-03-11,2024-03-20,True
342,Cross-platform Sale,10,2025-01-07,2025-01-17,True
343,Versatile Sale,15,2025-02-03,2025-02-10,True
344,Organized Sale,10,2024-03-22,2024-04-02,False
345,Cloned Sale,20,2026-02-06,2026-02-14,False
346,Function-based Sale,10,2025-12-22,2025-12-27,False
347,Grass-roots Sale,50,2025-12-10,2025-12-18,False
348,Operative Sale,20,2025-03-29,2025-04-04,False
349,Public-key Sale,15,2026-01-06,2026-01-14,False
350,Reverse-engineered Sale,25,2024-08-27,2024-09-08,True
351,User-centric Sale,15,2024-10-06,2024-10-13,False
352,Progressive Sale,5,2024-04-14,2024-04-24,False
353,Reverse-engineered Sale,15,2024-06-13,2024-06-21,False
354,Synergistic Sale,20,2025-08-20,2025-08-27,True
355,Enterprise-wide Sale,5,2025-03-20,2025-03-23,True
356,Profound Sale,15,2024-10-10,2024-10-15,False
357,Enterprise-wide Sale,50,2024-09-27,2024-10-05,False
358,Organized Sale,10,2025-03-04,2025-03-13,False
359,Profound Sale,10,2025-01-13,2025-01-21,False
360,Advanced Sale,10,2025-06-06,2025-06-14,False
361,Multi-lateral Sale,5,2024-07-27,2024-08-09,False
362,Team-oriented Sale,15,2025-03-08,2025-03-20,False
363,Polarized Sale,15,2025-07-06,2025-07-21,False
364,Optimized Sale,5,2024-07-09,2024-07-14,False
365,Distributed Sale,10,2025-09-12,2025-09-26,True
366,Pre-emptive Sale,15,2024-07-24,2024-07-30,False
367,Ameliorated Sale,50,2025-09-30,2025-10-04,True
368,Compatible Sale,10,2024-09-19,2024-09-25,False
369,Triple-buffered Sale,20,2025-11-10,2025-11-22,False
370,Programmable Sale,25,2025-03-17,2025-03-20,False
371,Implemented Sale,15,2025-05-10,2025-05-20,False
372,Future-proofed Sale,5,2025-08-02,2025-08-09,False
373,Down-sized Sale,10,2025-12-11,2025-12-21,False
374,Open-source Sale,50,2025-11-17,2025-11-21,True
375,Multi-channeled Sale,5,2024-09-23,2024-10-08,True
376,Right-sized Sale,10,2026-01-04,2026-01-12,False
377,Total Sale,20,2025-11-26,2025-12-06,True
378,Fully-configurable Sale,15,2025-07-21,2025-07-26,False
379,Grass-roots Sale,50,2025-10-10,2025-10-23,True
380,User-friendly Sale,25,2025-02-20,2025-03-01,False
381,Quality-focused Sale,50,2024-10-07,2024-10-17,True
382,Horizontal Sale,10,2025-09-13,2025-09-20,True
383,Sharable Sale,20,2025-03-19,2025-04-02,False
384,Visionary Sale,5,2025-11-14,2025-11-27,False
385,Enterprise-wide Sale,25,2025-08-30,2025-09-04,True
386,Persevering Sale,50,2024-08-26,2024-09-09,True
387,Enhanced Sale,5,2024-12-24,2024-12-29,False
388,Digitized Sale,20,2024-12-18,2024-12-30,True
389,Progressive Sale,20,2025-07-11,2025-07-19,False
390,Customizable Sale,25,2024-07-29,2024-08-05,False
391,Balanced Sale,5,2025-11-15,2025-11-29,False
392,Upgradable Sale,10,2025-08-08,2025-08-11,True
393,Balanced Sale,20,2025-09-13,2025-09-28,True
394,Customer-focused Sale,20,2025-07-03,2025-07-15,True
395,Visionary Sale,20,2025-08-24,2025-09-04,True
396,Down-sized Sale,50,2025-11-17,2025-11-21,True
397,Streamlined Sale,15,2024-11-13,2024-11-27,False
398,Business-focused Sale,50,2024-02-27,2024-03-11,False
399,Seamless Sale,5,2024-11-13,2024-11-17,False
400,Synergized Sale,10,2024-06-18,2024-06-24,False
401,Function-based Sale,25,2025-11-20,2025-11-25,False
402,Pre-emptive Sale,15,2025-04-19,2025-04-29,False
403,Optional Sale,25,2024-07-02,2024-07-09,True
404,Extended Sale,5,2024-05-06,2024-05-15,False
405,User-friendly Sale,20,2025-03-10,2025-03-13,False
406,Reduced Sale,5,2025-11-03,2025-11-14,True
407,Multi-lateral Sale,50,2025-12-04,2025-12-09,True
408,Ergonomic Sale,5,2025-09-07,2025-09-21,False
409,Balanced Sale,25,2026-02-11,2026-02-16,True
410,Versatile Sale,5,2025-02-12,2025-02-27,True
411,Organized Sale,25,2025-07-16,2025-07-19,False
412,Synchronized Sale,15,2024-08-30,2024-09-13,True
413,Digitized Sale,5,2025-07-07,2025-07-10,False
414,Multi-channeled Sale,10,2025-04-06,2025-04-15,True
415,Open-source Sale,50,2024-05-19,2024-06-03,True
416,Visionary Sale,10,2025-05-10,2025-05-13,False
417,Function-based Sale,50,2024-05-20,2024-05-30,True
418,Advanced Sale,20,2025-06-25,2025-07-07,False
419,Optimized Sale,10,2025-10-03,2025-10-18,False
420,Centralized Sale,15,2025-01-27,2025-02-09,False
421,Diverse Sale,10,2025-08-13,2025-08-27,False
422,Assimilated Sale,50,2025-04-11,2025-04-15,False
423,Triple-buffered Sale,5,2024-04-17,2024-04-22,True
424,Progressive Sale,10,2024-07-10,2024-07-19,True
425,Sharable Sale,20,2025-09-10,2025-09-14,False
426,Up-sized Sale,5,2025-10-14,2025-10-24,False
427,Multi-channeled Sale,5,2024-04-01,2024-04-08,False
428,Persistent Sale,20,2024-03-06,2024-03-09,True
429,Secured Sale,25,2025-08-28,2025-09-12,False
430,Business-focused Sale,15,2024-05-26,2024-06-07,True
431,Advanced Sale,10,2025-03-13,2025-03-26,True
432,Horizontal Sale,15,2025-12-25,2025-12-29,False
433,Innovative Sale,10,2024-03-26,2024-04-02,False
434,Sharable Sale,50,2025-01-09,2025-01-18,True
435,Enhanced Sale,15,2025-10-12,2025-10-23,False
436,Customizable Sale,5,2025-06-29,2025-07-13,True
437,Up-sized Sale,50,2025-10-01,2025-10-04,False
438,Decentralized Sale,25,2025-05-05,2025-05-20,True
439,Grass-roots Sale,20,2025-08-24,2025-08-31,False
440,Focused Sale,10,2025-04-13,2025-04-21,False
441,Seamless Sale,15,2025-10-08,2025-10-13,False
442,Implemented Sale,10,2025-03-18,2025-03-26,True
443,Triple-buffered Sale,25,2024-10-26,2024-11-09,True
444,Open-source Sale,25,2025-10-12,2025-10-24,True
445,Function-based Sale,15,2024-03-14,2024-03-23,True
446,Organic Sale,15,2025-03-20,2025-03-25,True
447,Persevering Sale,20,2025-05-10,2025-05-15,False
448,Reactive Sale,5,2026-02-05,2026-02-14,False
449,Robust Sale,5,2024-05-29,2024-06-01,True
450,Innovative Sale,5,2025-05-15,2025-05-19,True
451,Grass-roots Sale,50,2024-05-22,2024-06-03,False
452,Future-proofed Sale,25,2025-10-15,2025-10-18,True
453,De-engineered Sale,15,2025-09-29,2025-10-10,True
454,Horizontal Sale,10,2025-11-08,2025-11-12,False
455,Sharable Sale,20,2025-07-31,2025-08-15,False
456,Cross-platform Sale,50,2024-05-24,2024-05-27,True
457,Decentralized Sale,50,2025-08-19,2025-08-25,False
458,Optimized Sale,5,2024-11-19,2024-11-22,False
459,Function-based Sale,25,2024-10-06,2024-10-21,False
460,Polarized Sale,20,2025-09-05,2025-09-20,True
461,Synergized Sale,20,2025-05-15,2025-05-30,False
462,Networked Sale,25,2025-05-05,2025-05-13,True
463,Face-to-face Sale,15,2024-12-29,2025-01-08,True
464,Multi-layered Sale,15,2024-11-23,2024-12-05,True
465,Down-sized Sale,10,2024-04-24,2024-04-29,False
466,Multi-layered Sale,10,2026-01-18,2026-01-29,False
467,Customer-focused Sale,25,2024-07-18,2024-07-28,True
468,Multi-channeled Sale,5,2025-03-11,2025-03-16,True
469,Front-line Sale,15,2024-12-19,2025-01-02,True
470,De-engineered Sale,15,2025-08-09,2025-08-23,False
471,Robust Sale,25,2025-02-27,2025-03-02,True
472,Streamlined Sale,15,2025-04-11,2025-04-20,False
473,Optional Sale,25,2024-11-08,2024-11-23,True
474,Ameliorated Sale,50,2025-11-05,2025-11-09,True
475,Virtual Sale,15,2026-02-16,2026-03-02,True
476,Expanded Sale,5,2024-06-20,2024-06-24,False
477,Polarized Sale,15,2025-01-10,2025-01-22,True
478,Reduced Sale,5,2025-02-16,2025-02-26,True
479,Intuitive Sale,20,2025-02-16,2025-02-22,False
480,Automated Sale,50,2024-04-07,2024-04-19,False
481,Customer-focused Sale,50,2024-03-26,2024-04-01,True
482,Operative Sale,5,2025-08-26,2025-09-09,False
483,Progressive Sale,5,2025-03-28,2025-04-10,True
484,Implemented Sale,5,2025-06-05,2025-06-19,False
485,Assimilated Sale,15,2024-08-18,2024-08-31,False
486,Multi-channeled Sale,10,2025-08-28,2025-09-02,True
