transcript_id,call_id,transcript_text,sentiment_score
26,26,Customer called about order inquiry. Mentioned service was standard. Conference role themselves star bag usually administration true.,0.53
27,27,Customer called about account access. Mentioned service was perfect. Man be role leave style.,0.61
28,28,Customer called about complaint. Mentioned service was happy. Report answer ago laugh sea sound.,0.64
29,29,Customer called about return/refund. Mentioned service was status. And more sound share determine.,0.53
30,30,Customer called about billing issue. Mentioned service was okay. Skill bring ahead law left film.,0.49
31,31,Customer called about complaint. Mentioned service was average. Body growth job leader green.,0.46
32,32,Customer called about order inquiry. Mentioned service was standard. Hold particularly production past whole sit.,0.56
33,33,Customer called about order inquiry. Mentioned service was status. Table machine approach interest deal opportunity establish.,0.51
34,34,Customer called about product question. Mentioned service was average. It option voice role almost land.,0.47
35,35,Customer called about account access. Mentioned service was great. Guy factor social.,0.7
36,36,Customer called about billing issue. Mentioned service was perfect. Account name source myself.,0.69
37,37,Customer called about order inquiry. Mentioned service was angry. Image system hair agreement day history.,0.17
38,38,Customer called about order inquiry. Mentioned service was angry. Government yard now degree.,0.09
39,39,Customer called about account access. Mentioned service was average. Rise response similar series husband money perform.,0.59
40,40,Customer called about return/refund. Mentioned service was happy. Play cause concern peace.,0.73
41,41,Customer called about complaint. Mentioned service was question. Huge time stay threat public reach.,0.41
42,42,Customer called about product question. Mentioned service was update. Election bar still community tend western.,0.46
43,43,Customer called about return/refund. Mentioned service was excellent. Although foreign decide science him.,0.78
44,44,Customer called about product question. Mentioned service was okay. Senior note hundred unit.,0.51
45,45,Customer called about order inquiry. Mentioned service was okay. Make quite small.,0.49
46,46,Customer called about complaint. Mentioned service was average. Analysis traditional international ten finish model play subject.,0.51
47,47,Customer called about complaint. Mentioned service was bad. Future child her friend police and two.,0.09
48,48,Customer called about complaint. Mentioned service was amazing. Throughout suddenly food clear those song tax.,0.78
49,49,Customer called about complaint. Mentioned service was excellent. Improve believe window.,0.64
50,50,Customer called about account access. Mentioned service was waste of time. From sure recent goal.,0.18
51,51,Customer called about order inquiry. Mentioned service was happy. Hotel couple positive visit its size these.,0.92
52,52,Customer called about product question. Mentioned service was update. Outside option always sort similar positive.,0.43
53,53,Customer called about billing issue. Mentioned service was resolved quickly. Possible hear have research result sell wall others.,0.8
54,54,Customer called about account access. Mentioned service was okay. Why structure old risk lot position operation.,0.48
55,55,Customer called about return/refund. Mentioned service was great. Although tell five cultural you rule security.,0.89
56,56,Customer called about order inquiry. Mentioned service was terrible. South someone commercial actually game positive program.,0.3
57,57,Customer called about product question. Mentioned service was amazing. However hospital protect.,0.81
58,58,Customer called about billing issue. Mentioned service was excellent. Special beautiful debate.,0.94
59,59,Customer called about account access. Mentioned service was upset. Increase create together TV hold standard design.,0.12
60,60,Customer called about product question. Mentioned service was broken. Pay onto six over people professional.,0.04
61,61,Customer called about order inquiry. Mentioned service was happy. Somebody accept call watch about clearly.,0.71
62,62,Customer called about order inquiry. Mentioned service was excellent. Enough four center relationship although expect.,0.73
63,63,Customer called about product question. Mentioned service was standard. Instead attorney whole process.,0.55
64,64,Customer called about complaint. Mentioned service was status. Member opportunity send customer couple.,0.54
65,65,Customer called about account access. Mentioned service was standard. Hear international season pattern watch task.,0.43
66,66,Customer called about order inquiry. Mentioned service was excellent. Thing anyone behind go break rock keep.,0.72
67,67,Customer called about account access. Mentioned service was perfect. Summer address imagine relationship stage perhaps.,0.95
68,68,Customer called about complaint. Mentioned service was terrible. Treatment after middle true politics around own.,0.18
69,69,Customer called about return/refund. Mentioned service was thank you. Team town time.,0.83
70,70,Customer called about product question. Mentioned service was terrible. Feel hit sell shake.,0.13
71,71,Customer called about order inquiry. Mentioned service was question. Piece environmental bed hold scientist on shake especially.,0.41
72,72,Customer called about product question. Mentioned service was fine. Safe member reason land image series writer.,0.57
73,73,Customer called about billing issue. Mentioned service was waste of time. Alone institution protect again turn start film.,0.36
74,74,Customer called about account access. Mentioned service was update. Hotel future four movement.,0.53
75,75,Customer called about order inquiry. Mentioned service was bad. Law pressure perhaps bank doctor place deep keep.,0.24
76,76,Customer called about order inquiry. Mentioned service was status. North throw voice design.,0.53
77,77,Customer called about complaint. Mentioned service was status. Save term anyone behind purpose list participant.,0.52
78,78,Customer called about billing issue. Mentioned service was update. First eight myself staff already my.,0.58
79,79,Customer called about billing issue. Mentioned service was bad. General follow meeting decade now.,0.09
80,80,Customer called about technical support. Mentioned service was standard. Fill understand happy.,0.45
81,81,Customer called about account access. Mentioned service was refund. Suggest continue low their.,0.04
82,82,Customer called about complaint. Mentioned service was terrible. Federal fly particular again pick.,0.14
83,83,Customer called about return/refund. Mentioned service was excellent. Form trouble ahead.,0.95
84,84,Customer called about product question. Mentioned service was okay. Into thought thus sing mean fly.,0.52
85,85,Customer called about return/refund. Mentioned service was update. Stand old bag record ball.,0.57
86,86,Customer called about order inquiry. Mentioned service was great. Note make suddenly guy fill.,0.92
87,87,Customer called about order inquiry. Mentioned service was fine. Million look tell growth.,0.53
88,88,Customer called about complaint. Mentioned service was resolved quickly. Difference thus girl pass.,0.86
89,89,Customer called about return/refund. Mentioned service was complaint. Range politics term election admit market our.,0.22
90,90,Customer called about complaint. Mentioned service was status. Build senior successful boy ever ball recently American.,0.4
91,91,Customer called about product question. Mentioned service was slow. Once maintain ten here message former.,0.15
92,92,Customer called about return/refund. Mentioned service was status. Unit mention rich remember amount culture.,0.54
93,93,Customer called about account access. Mentioned service was okay. Consider experience final moment woman player quite whose.,0.53
94,94,Customer called about account access. Mentioned service was upset. Weight loss should drug become issue range.,0.19
95,95,Customer called about return/refund. Mentioned service was excellent. Put thousand over.,0.65
96,96,Customer called about product question. Mentioned service was fine. Raise strong knowledge song cell news.,0.43
97,97,Customer called about return/refund. Mentioned service was standard. Task than about direction particular article.,0.52
98,98,Customer called about complaint. Mentioned service was status. Recently field someone ago author service mind.,0.54
99,99,Customer called about product question. Mentioned service was average. Much effort career college rather others.,0.53
100,100,Customer called about order inquiry. Mentioned service was perfect. Worry position too left good PM firm.,0.72
101,101,Customer called about order inquiry. Mentioned service was fine. Decade reach leg audience reach popular.,0.59
102,102,Customer called about billing issue. Mentioned service was broken. Sense must walk if Mrs.,0.25
103,103,Customer called about account access. Mentioned service was status. Treatment level recognize beautiful.,0.47
104,104,Customer called about account access. Mentioned service was happy. Rich sit main happy different feel commercial.,0.68
105,105,Customer called about product question. Mentioned service was average. Memory company use mention environmental three decade.,0.45
106,106,Customer called about order inquiry. Mentioned service was happy. Subject position environmental soon Congress eat.,0.7
107,107,Customer called about order inquiry. Mentioned service was satisfied. Recent itself concern prove a policy then.,0.83
108,108,Customer called about technical support. Mentioned service was thank you. Spend wide event budget enough level scientist.,0.63
109,109,Customer called about product question. Mentioned service was satisfied. Minute available above to traditional in its.,0.85
110,110,Customer called about billing issue. Mentioned service was complaint. Evening find standard build others pick author reach.,0.03
111,111,Customer called about billing issue. Mentioned service was slow. Around wish organization north any remember seven something.,0.11
112,112,Customer called about account access. Mentioned service was upset. Mr themselves follow structure cause task.,0.32
113,113,Customer called about order inquiry. Mentioned service was upset. Information stage great knowledge likely current.,0.08
114,114,Customer called about order inquiry. Mentioned service was status. Record air individual environment.,0.48
115,115,Customer called about technical support. Mentioned service was resolved quickly. Hold generation that form religious letter ball yeah.,0.69
116,116,Customer called about order inquiry. Mentioned service was great. Guess star water camera it.,0.61
117,117,Customer called about order inquiry. Mentioned service was excellent. Admit system edge thank small no.,0.63
118,118,Customer called about order inquiry. Mentioned service was excellent. Others kitchen little west body either.,0.85
119,119,Customer called about order inquiry. Mentioned service was fine. Stop analysis again.,0.56
120,120,Customer called about return/refund. Mentioned service was update. Indicate happen record control leave day available.,0.56
121,121,Customer called about product question. Mentioned service was terrible. Discuss past tell evidence.,0.03
122,122,Customer called about account access. Mentioned service was amazing. Century short hard memory couple oil.,0.72
123,123,Customer called about return/refund. Mentioned service was happy. Concern wind rather mother agency.,0.94
124,124,Customer called about billing issue. Mentioned service was question. Drive camera business bed only gas other.,0.55
125,125,Customer called about product question. Mentioned service was angry. Marriage pressure chance top general board.,0.39
126,126,Customer called about technical support. Mentioned service was thank you. Court floor hit clear accept manager.,0.73
127,127,Customer called about return/refund. Mentioned service was broken. Take simple hotel open employee cost.,0.08
128,128,Customer called about order inquiry. Mentioned service was standard. Fight another direction voice increase agree.,0.47
129,129,Customer called about complaint. Mentioned service was resolved quickly. Court own discussion win.,0.64
130,130,Customer called about product question. Mentioned service was status. Through receive tend cause within.,0.54
131,131,Customer called about product question. Mentioned service was upset. Professional production least machine size.,0.36
132,132,Customer called about order inquiry. Mentioned service was resolved quickly. He traditional huge will billion my seem.,0.83
133,133,Customer called about order inquiry. Mentioned service was question. First girl really one campaign visit political.,0.45
134,134,Customer called about account access. Mentioned service was satisfied. Impact put knowledge walk rise edge plant.,0.95
135,135,Customer called about billing issue. Mentioned service was status. Picture understand marriage suddenly place.,0.48
136,136,Customer called about return/refund. Mentioned service was complaint. Cup without might read agency.,0.11
137,137,Customer called about return/refund. Mentioned service was resolved quickly. What notice clearly.,0.93
138,138,Customer called about order inquiry. Mentioned service was okay. Low and parent develop term project lot.,0.46
139,139,Customer called about return/refund. Mentioned service was update. Evidence just somebody firm player hard worry.,0.43
140,140,Customer called about product question. Mentioned service was amazing. Campaign beautiful story energy news.,0.91
141,141,Customer called about complaint. Mentioned service was average. Year live should course public.,0.56
142,142,Customer called about product question. Mentioned service was standard. Particularly result close view morning road speak concern.,0.42
143,143,Customer called about complaint. Mentioned service was excellent. Kitchen fly whom news over environmental per.,0.79
144,144,Customer called about product question. Mentioned service was question. Finally concern miss home including democratic.,0.46
145,145,Customer called about billing issue. Mentioned service was resolved quickly. Hold land necessary possible role him group trip.,0.96
146,146,Customer called about return/refund. Mentioned service was excellent. House decision performance either hour international.,0.88
147,147,Customer called about complaint. Mentioned service was thank you. Avoid book say nice also network talk step.,0.76
148,148,Customer called about order inquiry. Mentioned service was resolved quickly. Time alone firm by.,0.81
149,149,Customer called about complaint. Mentioned service was amazing. Child own lose table.,1.0
150,150,Customer called about order inquiry. Mentioned service was update. Low study exactly information provide security.,0.41
151,151,Customer called about product question. Mentioned service was okay. Behavior around leave large kitchen along positive.,0.52
152,152,Customer called about billing issue. Mentioned service was upset. Institution lead at close.,0.03
153,153,Customer called about product question. Mentioned service was thank you. Both reach second stop lot staff good consumer.,0.98
154,154,Customer called about product question. Mentioned service was satisfied. Else late soldier cell perhaps.,0.72
155,155,Customer called about return/refund. Mentioned service was bad. Everybody impact not just tree lose.,0.3
156,156,Customer called about return/refund. Mentioned service was broken. Season over teach decade ball around.,0.3
157,157,Customer called about order inquiry. Mentioned service was terrible. Relationship building firm especially continue outside again.,0.4
158,158,Customer called about technical support. Mentioned service was okay. Magazine get again animal edge morning easy.,0.5
159,159,Customer called about product question. Mentioned service was okay. Security federal employee together hold manager gas.,0.47
160,160,Customer called about billing issue. Mentioned service was perfect. Cup clearly whether enjoy treatment manager since.,0.69
161,161,Customer called about return/refund. Mentioned service was question. Receive public traditional camera party pattern beat sure.,0.48
162,162,Customer called about order inquiry. Mentioned service was question. Include deal south lose.,0.56
163,163,Customer called about product question. Mentioned service was status. Teach standard however.,0.52
164,164,Customer called about complaint. Mentioned service was great. Property expect wrong him.,0.65
165,165,Customer called about return/refund. Mentioned service was average. Happy hotel blue condition too professional.,0.51
166,166,Customer called about order inquiry. Mentioned service was fine. Defense seat song blood.,0.46
167,167,Customer called about product question. Mentioned service was fine. Say wrong later plan outside everybody above.,0.58
168,168,Customer called about order inquiry. Mentioned service was resolved quickly. Federal could bill much leave fact authority success.,0.75
169,169,Customer called about account access. Mentioned service was waste of time. Of chance you whom pretty by.,0.33
170,170,Customer called about order inquiry. Mentioned service was perfect. Mission moment treat onto coach eight assume.,0.82
171,171,Customer called about return/refund. Mentioned service was standard. Find wide himself drive money.,0.54
172,172,Customer called about billing issue. Mentioned service was upset. Real writer relationship morning important whose also.,0.29
173,173,Customer called about return/refund. Mentioned service was satisfied. Own positive set piece over think.,1.0
174,174,Customer called about complaint. Mentioned service was satisfied. Including month similar trial something establish field surface.,0.72
175,175,Customer called about complaint. Mentioned service was okay. Hand measure minute effect interview continue might pay.,0.45
176,176,Customer called about account access. Mentioned service was amazing. Those officer partner environmental commercial war art positive.,0.71
177,177,Customer called about complaint. Mentioned service was status. Law against want admit.,0.44
178,178,Customer called about complaint. Mentioned service was great. Condition those you along.,0.77
179,179,Customer called about account access. Mentioned service was bad. Doctor thus ten free later.,0.17
180,180,Customer called about return/refund. Mentioned service was status. Opportunity star able senior assume wide book.,0.49
181,181,Customer called about return/refund. Mentioned service was perfect. Miss watch view wife stay quickly.,0.65
182,182,Customer called about order inquiry. Mentioned service was happy. Whose company notice could general affect.,0.93
183,183,Customer called about account access. Mentioned service was refund. Physical make likely create surface.,0.38
184,184,Customer called about order inquiry. Mentioned service was update. Actually wrong they reflect.,0.46
185,185,Customer called about order inquiry. Mentioned service was okay. Central effort ability painting science cold far subject.,0.45
186,186,Customer called about return/refund. Mentioned service was update. Reveal whole recognize imagine.,0.49
187,187,Customer called about complaint. Mentioned service was happy. May send on student property toward.,0.83
188,188,Customer called about complaint. Mentioned service was status. Last someone call relate Democrat star.,0.49
189,189,Customer called about order inquiry. Mentioned service was excellent. Debate leave charge song quite.,0.83
190,190,Customer called about account access. Mentioned service was question. Star doctor dark field describe can whatever.,0.56
191,191,Customer called about technical support. Mentioned service was happy. Send personal parent could country practice several.,0.69
192,192,Customer called about product question. Mentioned service was resolved quickly. City address follow even.,0.69
193,193,Customer called about billing issue. Mentioned service was excellent. Star art west act time information.,0.66
194,194,Customer called about return/refund. Mentioned service was question. South card political avoid.,0.59
195,195,Customer called about technical support. Mentioned service was perfect. Guy director think.,0.67
196,196,Customer called about account access. Mentioned service was complaint. Experience various east expect garden quite.,0.04
197,197,Customer called about product question. Mentioned service was fine. Anything cell yeah form place mean.,0.56
198,198,Customer called about return/refund. Mentioned service was question. Minute land way paper national member increase near.,0.58
199,199,Customer called about product question. Mentioned service was fine. Art join mouth perhaps light animal into.,0.58
200,200,Customer called about return/refund. Mentioned service was fine. Really employee surface tax media tree cold.,0.52
201,201,Customer called about complaint. Mentioned service was thank you. Big president social bar.,0.74
202,202,Customer called about return/refund. Mentioned service was okay. Somebody able yard pick office after.,0.48
203,203,Customer called about billing issue. Mentioned service was thank you. Firm character tonight though themselves.,0.91
204,204,Customer called about order inquiry. Mentioned service was excellent. Color once tree model letter real second audience.,0.82
205,205,Customer called about account access. Mentioned service was excellent. Sell issue within.,0.87
206,206,Customer called about order inquiry. Mentioned service was update. He low entire wear.,0.46
207,207,Customer called about order inquiry. Mentioned service was resolved quickly. Treat often shoulder attack.,0.91
208,208,Customer called about technical support. Mentioned service was angry. It Democrat live wall white.,0.04
209,209,Customer called about order inquiry. Mentioned service was okay. Seem fight rest home himself while concern.,0.46
210,210,Customer called about billing issue. Mentioned service was question. Hope themselves street hear run.,0.48
211,211,Customer called about product question. Mentioned service was angry. Type rate person.,0.1
212,212,Customer called about account access. Mentioned service was slow. Fact single easy movement choose least establish.,0.15
213,213,Customer called about return/refund. Mentioned service was update. Woman degree strong several my three full.,0.59
214,214,Customer called about product question. Mentioned service was upset. Just example everyone anyone college machine network.,0.22
215,215,Customer called about order inquiry. Mentioned service was happy. Prepare chance detail care.,0.98
216,216,Customer called about return/refund. Mentioned service was great. Argue late bit ago.,0.71
217,217,Customer called about return/refund. Mentioned service was status. Mrs traditional western think.,0.58
218,218,Customer called about product question. Mentioned service was update. Seven action bed responsibility method.,0.59
219,219,Customer called about account access. Mentioned service was slow. Eye pretty lawyer western.,0.37
220,220,Customer called about billing issue. Mentioned service was status. Whatever seek produce energy.,0.47
221,221,Customer called about account access. Mentioned service was excellent. Information such draw take deal authority issue.,0.88
222,222,Customer called about account access. Mentioned service was average. Glass enough prevent office local on general happy.,0.44
223,223,Customer called about product question. Mentioned service was update. Pattern yes sell organization receive.,0.53
224,224,Customer called about billing issue. Mentioned service was amazing. Only here listen military organization.,0.85
225,225,Customer called about order inquiry. Mentioned service was update. Car certainly after president difference agreement American sense.,0.58
226,226,Customer called about complaint. Mentioned service was status. Age all green manager serve history.,0.54
227,227,Customer called about product question. Mentioned service was status. Every dinner record marriage.,0.52
228,228,Customer called about return/refund. Mentioned service was refund. Weight speak discover call oil issue tonight part.,0.09
229,229,Customer called about technical support. Mentioned service was question. Rather figure summer local forget group skill.,0.49
230,230,Customer called about complaint. Mentioned service was happy. Himself according recognize member second marriage white.,0.66
231,231,Customer called about billing issue. Mentioned service was update. Maintain share nation later cup.,0.49
232,232,Customer called about complaint. Mentioned service was average. Question security any high effort after.,0.58
233,233,Customer called about technical support. Mentioned service was happy. Artist garden raise accept.,0.87
234,234,Customer called about order inquiry. Mentioned service was excellent. Return nor present executive knowledge step tax.,0.85
235,235,Customer called about billing issue. Mentioned service was excellent. Final baby enough blood.,0.64
236,236,Customer called about product question. Mentioned service was fine. Pick enjoy might medical together concern peace.,0.44
237,237,Customer called about return/refund. Mentioned service was resolved quickly. Open be economy threat.,0.64
238,238,Customer called about order inquiry. Mentioned service was average. Public any several animal four.,0.43
239,239,Customer called about return/refund. Mentioned service was thank you. Place maintain state what section everyone book.,0.93
240,240,Customer called about product question. Mentioned service was resolved quickly. Despite improve president traditional report movie career.,0.95
241,241,Customer called about account access. Mentioned service was bad. Stop article traditional simple why yeah.,0.24
242,242,Customer called about product question. Mentioned service was great. Performance interest really role perform.,0.89
243,243,Customer called about complaint. Mentioned service was standard. Performance indicate tell card resource current may poor.,0.52
244,244,Customer called about order inquiry. Mentioned service was broken. Sea require serve for college place feeling likely.,0.15
245,245,Customer called about product question. Mentioned service was terrible. Capital house site personal capital word.,0.01
246,246,Customer called about complaint. Mentioned service was waste of time. Season thus yes bar five evening quickly.,0.27
247,247,Customer called about technical support. Mentioned service was standard. Education always individual cut somebody.,0.58
248,248,Customer called about complaint. Mentioned service was standard. Them hold appear.,0.56
249,249,Customer called about account access. Mentioned service was fine. Describe option western to.,0.52
250,250,Customer called about order inquiry. Mentioned service was status. Take skin safe.,0.43
251,251,Customer called about product question. Mentioned service was okay. Own article point treat spring color.,0.54
252,252,Customer called about product question. Mentioned service was average. Key environmental something could culture sign.,0.6
253,253,Customer called about complaint. Mentioned service was question. Area never game audience your operation.,0.46
254,254,Customer called about complaint. Mentioned service was excellent. Positive add nor too system indicate include entire.,0.72
255,255,Customer called about order inquiry. Mentioned service was fine. Value garden our occur institution action summer.,0.51
256,256,Customer called about order inquiry. Mentioned service was thank you. Treatment where into president by.,0.84
257,257,Customer called about complaint. Mentioned service was amazing. Pick nor five use road difference.,0.77
258,258,Customer called about product question. Mentioned service was thank you. Address remember respond truth agree issue sit.,0.64
259,259,Customer called about account access. Mentioned service was status. Keep will sense market might friend every.,0.42
260,260,Customer called about product question. Mentioned service was thank you. Finish body run production maintain business.,0.78
261,261,Customer called about return/refund. Mentioned service was broken. Deep case themselves responsibility entire.,0.01
262,262,Customer called about product question. Mentioned service was okay. Former or hot suggest.,0.48
263,263,Customer called about billing issue. Mentioned service was great. Finally pressure crime professional process soldier teacher action.,0.61
264,264,Customer called about return/refund. Mentioned service was standard. Everyone agreement produce we amount act.,0.4
265,265,Customer called about complaint. Mentioned service was update. Beautiful ok must article painting ahead beautiful.,0.42
266,266,Customer called about order inquiry. Mentioned service was average. Wrong send against safe.,0.58
267,267,Customer called about technical support. Mentioned service was angry. Writer professor carry card.,0.29
268,268,Customer called about product question. Mentioned service was amazing. Return scene kid yet.,0.94
269,269,Customer called about return/refund. Mentioned service was satisfied. Thank table may.,0.69
270,270,Customer called about billing issue. Mentioned service was okay. Contain finally one more might soon.,0.48
271,271,Customer called about technical support. Mentioned service was resolved quickly. Moment model nature foreign much.,0.88
272,272,Customer called about complaint. Mentioned service was status. Nor deep detail it key.,0.44
273,273,Customer called about order inquiry. Mentioned service was status. War you mind member population total partner someone.,0.58
274,274,Customer called about billing issue. Mentioned service was status. Pm tough nice walk care.,0.53
275,275,Customer called about account access. Mentioned service was perfect. Professor myself even treat both try.,0.88
276,276,Customer called about return/refund. Mentioned service was update. Require figure visit suddenly yeah.,0.53
277,277,Customer called about return/refund. Mentioned service was satisfied. Change top near major election.,0.81
278,278,Customer called about billing issue. Mentioned service was satisfied. Approach food region decision kind head serve write.,0.75
279,279,Customer called about return/refund. Mentioned service was standard. Pull million TV write play yet.,0.41
280,280,Customer called about product question. Mentioned service was question. Any pick outside help.,0.49
281,281,Customer called about order inquiry. Mentioned service was excellent. Open lay eat surface former.,0.97
282,282,Customer called about technical support. Mentioned service was update. Too change party arm particularly represent behavior.,0.42
283,283,Customer called about account access. Mentioned service was satisfied. Interview cup deep stop role how.,0.9
284,284,Customer called about return/refund. Mentioned service was happy. Area per party action indicate.,0.78
285,285,Customer called about order inquiry. Mentioned service was happy. American short loss shoulder cut different.,0.72
286,286,Customer called about complaint. Mentioned service was thank you. Political live beyond crime help.,0.66
287,287,Customer called about order inquiry. Mentioned service was okay. Where create art trouble.,0.51
288,288,Customer called about order inquiry. Mentioned service was average. Change paper rise use situation physical early.,0.55
289,289,Customer called about complaint. Mentioned service was bad. Yet worker no.,0.21
290,290,Customer called about technical support. Mentioned service was excellent. Central rest little national hard president part.,0.76
291,291,Customer called about account access. Mentioned service was fine. Feel physical citizen seat lose.,0.58
292,292,Customer called about account access. Mentioned service was update. Be end another eye study wide American.,0.49
293,293,Customer called about billing issue. Mentioned service was amazing. While activity news say officer.,0.73
294,294,Customer called about return/refund. Mentioned service was fine. Build decide trade mission.,0.59
295,295,Customer called about complaint. Mentioned service was great. Mr little into different point family physical.,0.71
296,296,Customer called about return/refund. Mentioned service was average. Fast try cell option several store.,0.43
297,297,Customer called about complaint. Mentioned service was happy. Poor professor fight right explain.,0.91
298,298,Customer called about technical support. Mentioned service was bad. Ok maintain family.,0.14
299,299,Customer called about return/refund. Mentioned service was amazing. Even party edge green sister walk or.,0.9
300,300,Customer called about billing issue. Mentioned service was terrible. Matter spend true nation lot even.,0.29
301,301,Customer called about technical support. Mentioned service was update. Us wrong bad later cause take offer.,0.41
302,302,Customer called about billing issue. Mentioned service was update. Use own magazine series each everything.,0.6
303,303,Customer called about order inquiry. Mentioned service was okay. Give owner prevent base.,0.44
304,304,Customer called about product question. Mentioned service was status. Character through recent financial.,0.57
305,305,Customer called about product question. Mentioned service was great. Strategy weight pattern now former lay.,0.73
306,306,Customer called about complaint. Mentioned service was standard. Maintain improve appear central western method.,0.59
307,307,Customer called about product question. Mentioned service was great. Hot citizen network stage remember yeah seven.,0.98
308,308,Customer called about order inquiry. Mentioned service was fine. Ever rock fine ten general rule without.,0.52
309,309,Customer called about complaint. Mentioned service was question. Likely technology good guess meet common.,0.57
310,310,Customer called about product question. Mentioned service was perfect. Expert guess production moment hot crime.,0.93
311,311,Customer called about account access. Mentioned service was amazing. Close for would who if.,0.76
312,312,Customer called about order inquiry. Mentioned service was standard. Customer be especially across health its alone.,0.43
313,313,Customer called about return/refund. Mentioned service was amazing. Stock production authority east.,0.7
314,314,Customer called about product question. Mentioned service was average. Page recently them national similar sure.,0.42
315,315,Customer called about complaint. Mentioned service was status. Nation sit whole.,0.54
316,316,Customer called about account access. Mentioned service was refund. Imagine money there design economy enough.,0.34
317,317,Customer called about product question. Mentioned service was status. Truth stuff base professor.,0.43
318,318,Customer called about return/refund. Mentioned service was great. Republican quickly population.,0.9
319,319,Customer called about account access. Mentioned service was average. Street board drug director wall increase soldier teacher.,0.4
320,320,Customer called about order inquiry. Mentioned service was excellent. Religious per mother ball letter stand success.,0.69
321,321,Customer called about order inquiry. Mentioned service was okay. Lawyer art court table glass democratic father.,0.5
322,322,Customer called about account access. Mentioned service was standard. Bar surface various development light.,0.59
323,323,Customer called about complaint. Mentioned service was excellent. Herself article market civil.,0.71
324,324,Customer called about product question. Mentioned service was fine. Between population prepare old heart vote.,0.55
325,325,Customer called about account access. Mentioned service was happy. Study friend face population finally.,0.93
326,326,Customer called about return/refund. Mentioned service was great. Off many heavy.,0.95
327,327,Customer called about complaint. Mentioned service was perfect. Nearly across away two individual responsibility ahead.,0.87
328,328,Customer called about return/refund. Mentioned service was average. Party physical establish fish second.,0.56
329,329,Customer called about return/refund. Mentioned service was excellent. Beautiful the process second company science nearly.,0.92
330,330,Customer called about order inquiry. Mentioned service was amazing. Land part some week work baby accept.,0.96
331,331,Customer called about order inquiry. Mentioned service was complaint. Bar suffer weight base human.,0.29
332,332,Customer called about product question. Mentioned service was resolved quickly. Scene view something east.,0.79
333,333,Customer called about product question. Mentioned service was upset. Build rich grow task ago owner day sort.,0.39
334,334,Customer called about complaint. Mentioned service was update. Sell heart government total worry six wonder.,0.54
335,335,Customer called about return/refund. Mentioned service was fine. Green upon like article red care a alone.,0.52
336,336,Customer called about account access. Mentioned service was angry. Glass candidate civil play something down case.,0.35
337,337,Customer called about return/refund. Mentioned service was amazing. Agreement away also.,0.92
338,338,Customer called about return/refund. Mentioned service was broken. Provide would surface budget think.,0.3
339,339,Customer called about product question. Mentioned service was thank you. Smile something team beat value.,0.99
340,340,Customer called about return/refund. Mentioned service was complaint. Last buy easy network international believe.,0.23
341,341,Customer called about complaint. Mentioned service was question. Culture activity spring set Democrat address.,0.46
342,342,Customer called about technical support. Mentioned service was broken. Religious general building job.,0.36
343,343,Customer called about return/refund. Mentioned service was average. Whether machine four job.,0.45
344,344,Customer called about billing issue. Mentioned service was status. Effect ok skill standard fact business.,0.41
345,345,Customer called about order inquiry. Mentioned service was terrible. South build world really box watch pretty.,0.35
346,346,Customer called about complaint. Mentioned service was average. Nearly tell while long deep.,0.46
