call_id,customer_id,agent_id,call_start_time,call_duration_seconds,call_reason,status
59,23038,357,2025-05-28 18:57:46.114084,1344,Account Access,Pending
60,4872,2579,2025-10-13 03:49:09.276995,1276,Product Question,Pending
61,49879,2100,2025-10-26 00:30:03.186936,1103,Order Inquiry,Dropped
62,37994,2718,2025-04-21 14:17:01.318681,779,Order Inquiry,Escalated
63,41859,1425,2025-03-05 20:26:33.788769,821,Product Question,Resolved
64,20978,1491,2025-04-18 09:10:04.331357,1768,Complaint,Escalated
65,17087,888,2025-05-15 21:20:09.538513,66,Account Access,Escalated
66,29501,1262,2025-09-24 21:37:00.729546,396,Order Inquiry,Resolved
67,18740,2287,2025-05-21 18:48:35.446940,857,Account Access,Dropped
68,27940,1957,2025-12-21 01:41:05.943568,1353,Complaint,Escalated
69,6711,31,2025-12-04 12:33:31.053046,214,Return/Refund,Resolved
70,8719,2273,2025-10-10 21:58:52.466861,1094,Product Question,Dropped
71,16242,2303,2026-01-12 16:21:12.412215,1096,Order Inquiry,Pending
72,31779,529,2025-11-11 22:46:08.468632,154,Product Question,Resolved
73,18950,922,2025-07-22 23:17:37.475007,1301,Billing Issue,Resolved
74,3656,336,2025-11-17 00:23:20.268866,631,Account Access,Dropped
75,11343,2777,2025-04-08 21:47:59.936461,1400,Order Inquiry,Pending
76,19878,1069,2026-01-15 08:13:08.673633,1377,Order Inquiry,Dropped
77,48130,894,2025-12-03 15:02:17.529346,1736,Complaint,Pending
78,42812,2707,2025-03-23 07:30:45.683741,1336,Billing Issue,Resolved
79,48966,1922,2025-11-10 09:54:27.762127,1604,Billing Issue,Escalated
80,12098,2234,2025-03-24 18:12:08.539990,667,Technical Support,Pending
81,12611,896,2025-07-05 18:18:01.643913,1205,Account Access,Dropped
82,43242,2719,2026-02-06 17:16:43.813886,303,Complaint,Dropped
83,38784,1973,2025-09-30 09:01:45.522317,487,Return/Refund,Escalated
84,10647,1491,2025-04-22 15:21:26.789285,163,Product Question,Resolved
85,32143,1310,2025-08-17 00:57:39.555520,1684,Return/Refund,Dropped
86,8631,2386,2025-04-10 05:06:45.048579,1552,Order Inquiry,Escalated
87,32899,2496,2025-03-05 20:02:53.993336,1799,Order Inquiry,Pending
88,21217,915,2026-01-22 12:19:42.662769,318,Complaint,Resolved
89,18119,2286,2025-07-27 06:06:16.379117,467,Return/Refund,Resolved
90,23603,1525,2025-05-13 10:52:45.294982,1649,Complaint,Resolved
91,27253,849,2025-08-07 16:59:41.339156,458,Product Question,Dropped
92,45852,1291,2025-10-03 09:50:58.413464,386,Return/Refund,Dropped
93,12921,484,2025-12-08 13:34:39.372558,706,Account Access,Pending
94,18794,1264,2025-08-29 05:32:36.551544,1439,Account Access,Resolved
95,46148,1168,2025-12-08 17:41:06.855726,401,Return/Refund,Dropped
96,30462,920,2025-09-23 19:10:20.794162,250,Product Question,Escalated
97,33164,581,2026-01-10 19:09:26.770239,795,Return/Refund,Dropped
98,20927,646,2025-10-30 16:01:02.578233,1020,Complaint,Escalated
99,5067,2731,2025-09-09 21:13:07.158797,756,Product Question,Resolved
100,15407,2827,2025-11-01 13:32:04.264785,440,Order Inquiry,Resolved
101,47520,1486,2026-02-14 21:43:34.307441,1580,Order Inquiry,Resolved
102,19654,668,2025-09-30 13:02:30.578004,1741,Billing Issue,Escalated
103,36755,1405,2025-05-09 05:50:32.708893,977,Account Access,Resolved
104,39460,784,2025-12-05 21:18:36.758842,389,Account Access,Pending
105,29903,1870,2026-01-26 01:07:54.086058,1241,Product Question,Escalated
106,12911,1025,2025-12-06 18:55:08.237351,1248,Order Inquiry,Dropped
107,22869,1745,2025-12-31 14:46:05.559486,1618,Order Inquiry,Escalated
108,21726,2022,2025-06-18 07:55:10.786546,993,Technical Support,Resolved
109,7720,433,2025-05-24 13:48:07.463038,442,Product Question,Resolved
110,17261,436,2025-03-04 02:41:54.509668,533,Billing Issue,Resolved
111,38282,894,2025-04-18 14:16:41.057235,1452,Billing Issue,Dropped
112,4455,199,2026-01-09 19:27:55.204535,671,Account Access,Pending
113,7728,1785,2025-09-09 17:44:30.695339,1773,Order Inquiry,Pending
114,29616,1674,2025-04-07 19:55:03.599896,274,Order Inquiry,Pending
115,48909,2191,2025-05-07 17:50:47.592485,229,Technical Support,Pending
116,41687,77,2025-10-01 08:43:51.164923,1690,Order Inquiry,Dropped
117,33857,1204,2025-10-15 05:34:42.982163,139,Order Inquiry,Resolved
118,13832,2565,2025-06-18 05:48:34.905988,119,Order Inquiry,Dropped
119,38672,1390,2025-05-06 12:59:00.664886,223,Order Inquiry,Resolved
120,41328,1630,2025-07-23 05:09:39.980488,1497,Return/Refund,Escalated
121,33885,789,2025-12-30 04:22:47.446411,715,Product Question,Escalated
122,6541,1799,2025-09-09 19:08:27.164188,386,Account Access,Dropped
123,11162,430,2025-09-13 11:15:08.258793,1630,Return/Refund,Pending
124,10603,2390,2025-10-04 13:36:21.503021,1380,Billing Issue,Escalated
125,45974,2775,2025-12-17 18:23:07.064025,425,Product Question,Resolved
126,35692,134,2025-05-25 16:31:02.728760,1629,Technical Support,Escalated
127,16794,2286,2025-12-04 03:23:00.957680,1691,Return/Refund,Resolved
128,44421,2041,2025-12-29 03:40:10.858324,1717,Order Inquiry,Escalated
129,41694,1405,2026-01-03 09:20:04.707684,1615,Complaint,Dropped
130,33523,1768,2025-09-20 04:47:28.983241,670,Product Question,Escalated
131,40387,436,2025-08-29 00:22:31.267532,1627,Product Question,Resolved
132,20218,1151,2025-04-08 11:28:48.512123,816,Order Inquiry,Resolved
133,18808,1053,2025-03-29 21:34:07.675521,1438,Order Inquiry,Pending
134,33717,2775,2025-10-06 23:58:38.492210,345,Account Access,Escalated
135,22424,82,2025-09-25 23:10:31.164623,554,Billing Issue,Resolved
136,13979,125,2025-05-11 14:21:32.358787,1050,Return/Refund,Escalated
137,12026,326,2025-05-31 06:49:06.774098,651,Return/Refund,Dropped
138,2719,2395,2026-02-21 17:44:54.510296,1777,Order Inquiry,Pending
139,283,668,2025-04-12 14:01:05.627783,1301,Return/Refund,Escalated
140,43354,2234,2026-01-14 23:36:20.596029,799,Product Question,Escalated
141,35002,2448,2025-07-26 18:33:39.491688,581,Complaint,Resolved
142,47308,305,2025-04-29 01:39:29.262765,1285,Product Question,Dropped
143,8089,922,2025-05-08 19:04:35.076793,1431,Complaint,Pending
144,4223,2250,2025-10-25 06:06:32.395185,1484,Product Question,Pending
145,17203,2166,2025-08-15 18:18:15.542807,1129,Billing Issue,Pending
146,10174,326,2025-07-12 12:05:24.213368,1060,Return/Refund,Resolved
147,47331,134,2025-09-04 14:42:23.987962,1302,Complaint,Escalated
148,5599,799,2025-07-03 13:17:11.454115,1421,Order Inquiry,Resolved
149,40669,784,2025-12-19 04:05:56.264846,1410,Complaint,Dropped
150,47748,548,2025-07-03 13:29:26.275095,1400,Order Inquiry,Resolved
151,39253,1470,2025-06-01 04:00:01.691825,1189,Product Question,Pending
152,42647,1630,2025-08-04 18:10:44.367818,326,Billing Issue,Pending
153,21558,2395,2025-12-10 07:06:08.870543,86,Product Question,Resolved
154,1699,1491,2025-04-03 22:11:47.838106,1787,Product Question,Escalated
155,48740,2273,2025-05-15 18:53:34.196705,1078,Return/Refund,Escalated
156,7864,878,2025-05-16 08:46:56.717056,1463,Return/Refund,Resolved
157,33736,888,2025-03-03 12:25:25.282593,293,Order Inquiry,Resolved
158,31940,2393,2026-01-16 09:10:19.746048,1475,Technical Support,Resolved
159,44140,2986,2026-01-28 22:16:38.903223,1301,Product Question,Resolved
160,45095,1151,2025-09-17 17:01:20.675963,1159,Billing Issue,Escalated
161,27529,1025,2025-05-05 05:51:50.056496,1515,Return/Refund,Escalated
162,1855,2033,2025-11-08 07:11:48.357514,1588,Order Inquiry,Pending
163,42081,425,2025-03-08 17:10:43.256882,886,Product Question,Pending
164,36416,1778,2025-12-09 12:02:34.038593,1663,Complaint,Escalated
165,33983,1018,2026-02-24 23:08:43.319909,917,Return/Refund,Dropped
166,39881,898,2025-05-25 11:12:58.819962,1027,Order Inquiry,Resolved
167,33057,849,2025-03-01 22:33:55.986207,1368,Product Question,Escalated
168,32599,447,2025-11-08 23:50:20.267708,561,Order Inquiry,Escalated
169,39587,127,2025-07-20 02:28:20.080437,1572,Account Access,Resolved
170,38150,602,2025-09-14 02:21:50.321361,893,Order Inquiry,Escalated
171,43943,967,2026-01-20 12:49:42.177094,464,Return/Refund,Dropped
172,26548,1870,2026-02-13 07:14:20.981339,132,Billing Issue,Resolved
173,1273,447,2025-07-30 09:27:47.774234,1698,Return/Refund,Escalated
174,17737,548,2025-05-20 22:08:29.911897,668,Complaint,Escalated
175,42934,242,2025-05-17 01:43:55.858064,1766,Complaint,Escalated
176,19444,2192,2025-11-01 06:50:48.444678,574,Account Access,Escalated
177,34854,1025,2025-08-23 11:12:00.733711,945,Complaint,Dropped
178,24294,369,2025-03-08 04:45:33.299191,1787,Complaint,Escalated
179,2409,967,2025-12-07 10:50:34.813918,1667,Account Access,Resolved
180,32300,392,2025-08-02 20:52:38.593647,1325,Return/Refund,Dropped
181,20323,1370,2025-08-09 17:42:57.347443,981,Return/Refund,Dropped
182,45183,888,2025-07-18 18:37:46.566751,1778,Order Inquiry,Dropped
183,11089,1262,2025-07-01 21:15:01.250892,233,Account Access,Pending
184,41966,784,2026-02-25 05:26:52.119220,1765,Order Inquiry,Resolved
185,26159,2390,2025-10-21 04:03:13.344809,1424,Order Inquiry,Escalated
186,36217,1525,2026-02-05 15:46:38.370012,213,Return/Refund,Pending
187,48519,305,2025-09-16 10:57:50.151147,1774,Complaint,Pending
188,98,2033,2025-06-09 13:26:54.373156,740,Complaint,Dropped
189,43230,888,2025-04-08 08:20:29.018310,1140,Order Inquiry,Pending
190,14130,1219,2026-01-02 03:44:34.081886,1526,Account Access,Pending
191,8562,678,2026-02-14 11:05:33.791246,417,Technical Support,Escalated
192,36460,1262,2025-11-01 16:32:09.995552,460,Product Question,Pending
193,26987,433,2025-04-10 10:54:32.667861,1487,Billing Issue,Pending
194,8362,4,2025-11-11 12:39:14.924777,845,Return/Refund,Dropped
195,3110,1785,2025-07-13 22:52:08.452481,644,Technical Support,Dropped
196,37433,2192,2025-10-11 05:03:40.695234,1281,Account Access,Pending
197,24726,1168,2025-12-11 19:40:44.783601,212,Product Question,Escalated
198,29916,342,2025-06-13 14:05:35.619184,1651,Return/Refund,Resolved
199,25025,2100,2025-07-28 22:33:44.135777,1494,Product Question,Dropped
200,30813,1549,2025-05-01 17:16:59.012914,818,Return/Refund,Escalated
201,23339,529,2025-11-17 16:50:25.000206,537,Complaint,Dropped
202,34295,357,2025-05-03 17:55:44.033421,1744,Return/Refund,Pending
203,12867,2202,2025-03-04 16:17:32.566420,1222,Billing Issue,Resolved
204,17017,1168,2026-02-17 05:49:13.638639,1752,Order Inquiry,Escalated
205,6407,1548,2026-01-04 23:33:59.931057,1178,Account Access,Resolved
206,10093,2395,2026-02-20 11:31:16.245833,774,Order Inquiry,Dropped
207,15577,529,2025-11-20 05:13:56.626123,1770,Order Inquiry,Escalated
208,1748,2393,2025-12-28 16:12:31.751355,664,Technical Support,Pending
209,478,2273,2025-08-24 02:08:11.625467,540,Order Inquiry,Pending
210,6801,2073,2025-06-01 07:15:32.606212,1654,Billing Issue,Escalated
211,12956,1630,2025-04-21 23:49:14.972327,185,Product Question,Escalated
212,44062,2775,2025-06-06 10:32:58.155785,1110,Account Access,Escalated
213,15023,237,2026-01-06 03:39:35.017348,1367,Return/Refund,Pending
214,36341,602,2026-01-29 05:12:24.077246,326,Product Question,Resolved
215,19038,2022,2025-04-19 16:14:54.766542,612,Order Inquiry,Dropped
216,45135,242,2025-12-12 18:03:46.984350,932,Return/Refund,Pending
217,1329,1763,2025-11-22 17:28:48.124592,225,Return/Refund,Dropped
218,29151,799,2025-06-16 02:52:56.183796,1393,Product Question,Resolved
219,1899,2466,2026-02-03 21:15:10.120282,559,Account Access,Dropped
220,28755,1630,2025-03-02 02:02:58.590043,1230,Billing Issue,Pending
221,32308,199,2025-12-02 00:08:15.598924,890,Account Access,Dropped
222,36077,898,2025-08-22 07:15:44.615687,1691,Account Access,Resolved
223,4750,2565,2026-01-29 16:27:56.931785,484,Product Question,Pending
224,3455,2605,2025-11-04 18:15:16.439131,992,Billing Issue,Escalated
225,18251,602,2025-07-02 14:11:46.375367,1099,Order Inquiry,Pending
226,9176,2395,2026-01-18 17:52:22.206995,427,Complaint,Escalated
227,35210,1605,2026-02-04 05:08:04.400062,1635,Product Question,Resolved
228,39077,240,2025-11-30 20:57:36.944047,1698,Return/Refund,Escalated
229,4303,1799,2025-08-25 07:14:02.337285,1799,Technical Support,Pending
230,3526,134,2025-12-03 06:30:51.315436,1181,Complaint,Dropped
231,3671,2963,2025-12-08 13:32:30.139482,278,Billing Issue,Dropped
232,9228,2496,2025-10-22 22:55:00.140546,548,Complaint,Resolved
233,3217,922,2025-02-27 07:37:30.096038,1148,Technical Support,Escalated
234,18844,1370,2025-11-20 10:04:41.095450,416,Order Inquiry,Dropped
235,31795,1053,2025-04-25 13:11:25.205841,1334,Billing Issue,Pending
236,49131,2303,2025-12-01 14:40:12.295394,303,Product Question,Escalated
237,16406,1870,2026-01-11 14:10:13.845588,1399,Return/Refund,Dropped
238,35156,101,2025-06-15 04:30:09.796268,1059,Order Inquiry,Dropped
239,19878,342,2025-10-06 13:53:40.716645,1274,Return/Refund,Dropped
240,12107,1279,2025-02-28 19:06:40.142072,1118,Product Question,Pending
241,24816,2033,2026-02-11 17:50:49.276755,487,Account Access,Dropped
242,41261,1869,2026-01-21 14:50:39.228216,1076,Product Question,Resolved
243,24757,1211,2025-12-14 12:21:06.807079,345,Complaint,Resolved
244,5826,1421,2025-10-10 08:25:58.118027,1354,Order Inquiry,Pending
245,25683,2390,2025-11-26 14:38:51.426026,270,Product Question,Dropped
246,14281,784,2026-01-30 05:18:56.431869,749,Complaint,Dropped
247,11102,392,2025-11-15 03:02:41.283667,143,Technical Support,Escalated
248,19020,430,2025-07-24 08:50:03.763324,241,Complaint,Pending
249,37507,849,2025-07-31 22:09:33.894823,134,Account Access,Pending
250,19109,74,2025-11-09 18:51:06.018134,302,Order Inquiry,Pending
251,16327,647,2025-08-30 16:05:04.357952,1187,Product Question,Resolved
252,1965,31,2025-09-21 12:23:02.795461,72,Product Question,Escalated
253,18723,1507,2025-12-19 22:37:13.157506,132,Complaint,Resolved
254,10239,1549,2025-04-06 22:16:16.365376,521,Complaint,Escalated
255,36031,2875,2025-12-05 02:18:34.403372,89,Order Inquiry,Resolved
256,42146,357,2026-01-23 02:06:14.750893,1611,Order Inquiry,Dropped
257,20581,2033,2026-02-10 23:27:45.204182,986,Complaint,Escalated
258,26744,2273,2025-10-12 20:56:36.104768,1524,Product Question,Pending
259,42748,1575,2025-03-03 16:21:32.229362,214,Account Access,Pending
260,415,2390,2025-10-26 06:25:59.667801,1027,Product Question,Dropped
261,38234,529,2025-06-16 04:33:24.768192,134,Return/Refund,Resolved
262,1542,32,2026-02-10 04:59:36.099981,844,Product Question,Resolved
263,999,1168,2025-08-01 04:59:56.228567,756,Billing Issue,Resolved
264,37124,2605,2025-10-15 11:10:42.276406,169,Return/Refund,Pending
265,26292,791,2025-03-25 02:29:00.048956,704,Complaint,Dropped
266,30121,1370,2025-06-21 20:40:48.839431,207,Order Inquiry,Resolved
267,30480,1264,2025-09-30 04:20:19.264748,737,Technical Support,Resolved
268,43454,846,2025-08-15 02:45:56.067082,209,Product Question,Pending
269,30622,1279,2026-01-02 11:48:51.174149,356,Return/Refund,Dropped
270,30115,1626,2025-05-08 13:58:31.777092,1343,Billing Issue,Pending
271,36898,2963,2025-08-22 23:02:53.778834,870,Technical Support,Resolved
272,41942,2286,2025-05-30 01:44:20.553275,760,Complaint,Dropped
273,49980,392,2026-01-06 21:10:17.120214,764,Order Inquiry,Pending
274,47206,2192,2025-09-13 05:39:16.553837,609,Billing Issue,Escalated
275,48689,849,2025-11-18 15:44:11.705272,680,Account Access,Dropped
276,44629,2579,2025-10-25 06:54:29.069972,1171,Return/Refund,Pending
277,48084,37,2025-07-01 11:40:52.768083,610,Return/Refund,Resolved
278,14550,967,2025-04-21 21:56:24.443851,650,Billing Issue,Dropped
279,38199,1891,2025-09-03 07:47:59.579678,446,Return/Refund,Pending
280,18166,2166,2026-02-07 12:34:20.435591,321,Product Question,Pending
281,4442,668,2026-02-17 10:33:23.493973,1785,Order Inquiry,Escalated
282,38991,2951,2025-12-01 23:25:31.974511,1458,Technical Support,Resolved
283,44164,2767,2025-04-26 16:57:03.560780,1363,Account Access,Pending
284,7444,134,2025-05-24 11:53:19.857960,127,Return/Refund,Pending
285,39517,1405,2025-03-02 20:46:12.760078,1414,Order Inquiry,Dropped
286,42288,1310,2025-10-06 00:24:44.523810,1426,Complaint,Resolved
287,33728,922,2025-10-05 22:05:36.662109,1614,Order Inquiry,Dropped
288,4251,668,2025-11-10 19:21:32.310931,1688,Order Inquiry,Pending
289,28708,846,2025-09-01 13:01:35.655054,349,Complaint,Pending
290,32151,1674,2025-03-17 16:25:22.541678,753,Technical Support,Resolved
291,20752,2041,2025-09-23 18:39:27.624852,647,Account Access,Resolved
292,16926,2214,2025-10-22 01:41:53.219703,1309,Account Access,Escalated
293,46701,1957,2026-02-25 10:37:50.636400,189,Billing Issue,Resolved
294,6773,1606,2026-01-11 10:45:52.349307,1294,Return/Refund,Pending
295,6286,2777,2025-09-16 16:39:55.117755,1657,Complaint,Dropped
296,42268,436,2026-02-10 13:01:51.544074,823,Return/Refund,Escalated
297,3989,878,2025-06-28 08:00:49.237061,310,Complaint,Escalated
298,39066,2757,2026-02-18 10:19:12.400037,1626,Technical Support,Resolved
299,42797,2073,2025-05-15 19:43:49.997405,1091,Return/Refund,Escalated
300,13660,2951,2025-05-31 14:16:16.448619,263,Billing Issue,Dropped
301,48119,1151,2026-02-18 08:39:50.303022,1212,Technical Support,Escalated
302,24597,326,2025-10-10 02:22:59.608185,1214,Billing Issue,Escalated
303,18362,2757,2026-01-05 06:45:37.652669,1624,Order Inquiry,Pending
304,3049,1291,2026-02-10 21:03:55.248041,71,Product Question,Dropped
305,20890,1605,2025-09-15 04:04:08.631922,1462,Product Question,Escalated
306,15292,1262,2025-06-25 19:39:06.947607,1715,Complaint,Escalated
307,25490,118,2025-05-05 14:52:05.788119,1494,Product Question,Escalated
308,40915,2605,2025-06-16 01:10:39.014444,168,Order Inquiry,Dropped
309,16181,2827,2025-11-23 04:06:51.534387,1357,Complaint,Resolved
310,47709,2496,2025-07-07 15:12:38.752612,1742,Product Question,Resolved
311,6601,1486,2025-05-20 20:40:07.616062,1150,Account Access,Resolved
312,11231,1486,2025-12-26 03:41:38.871428,949,Order Inquiry,Dropped
313,22223,2718,2025-06-29 00:49:33.481960,1657,Return/Refund,Dropped
314,4790,1390,2025-06-06 22:40:12.358403,445,Product Question,Dropped
315,26148,392,2025-09-11 07:07:36.391278,650,Complaint,Pending
316,15718,1525,2025-09-09 06:37:55.407871,930,Account Access,Dropped
317,39314,163,2025-09-07 19:00:32.599929,1569,Product Question,Pending
318,25627,1053,2025-07-27 04:02:53.707795,642,Return/Refund,Dropped
319,12104,2579,2025-05-02 06:13:20.592224,1319,Account Access,Pending
320,11888,326,2025-08-12 19:23:25.401773,1132,Order Inquiry,Resolved
321,27740,336,2025-07-04 13:33:49.849899,1516,Order Inquiry,Pending
322,7185,2448,2026-01-06 06:24:32.683229,1262,Account Access,Resolved
323,41318,2073,2026-02-07 10:37:37.994891,338,Complaint,Resolved
324,32433,1096,2026-01-20 05:03:30.385840,335,Product Question,Dropped
325,436,425,2026-02-05 08:03:52.183117,1595,Account Access,Resolved
326,40352,2273,2025-03-03 06:12:20.323551,80,Return/Refund,Escalated
327,43881,2019,2026-01-10 03:22:01.636587,1311,Complaint,Pending
328,36924,1390,2025-06-07 05:20:23.754482,358,Return/Refund,Dropped
329,416,1291,2025-12-24 16:33:11.816895,939,Return/Refund,Dropped
330,43590,1626,2025-10-23 10:07:14.992172,1094,Order Inquiry,Resolved
331,6194,342,2025-03-21 20:51:07.953672,261,Order Inquiry,Escalated
332,20717,2302,2025-05-13 02:36:26.438621,1669,Product Question,Resolved
333,43815,1922,2026-02-24 13:32:02.298905,1076,Product Question,Resolved
334,10087,369,2026-01-06 06:07:16.594965,1102,Complaint,Resolved
335,35441,336,2025-06-06 18:34:10.914216,1776,Return/Refund,Escalated
336,10914,2287,2026-01-17 09:52:30.168961,579,Account Access,Pending
337,43230,1390,2025-12-20 15:45:04.236524,755,Return/Refund,Escalated
338,5789,789,2025-06-17 15:02:00.109138,486,Return/Refund,Escalated
339,14043,2191,2025-03-31 14:33:51.547949,1569,Product Question,Resolved
340,42184,305,2025-06-15 05:39:18.333137,1230,Return/Refund,Dropped
341,20963,2827,2025-05-01 07:30:23.712618,1074,Complaint,Escalated
342,10607,1370,2025-09-20 12:36:57.658210,721,Technical Support,Resolved
343,24260,1674,2025-07-14 11:31:08.549007,1416,Return/Refund,Resolved
344,28480,1069,2025-04-15 05:59:34.449043,462,Billing Issue,Escalated
345,44498,2234,2025-07-06 16:41:57.657268,971,Order Inquiry,Dropped
346,21276,134,2025-03-05 03:18:41.027784,560,Complaint,Escalated
347,44792,2579,2025-10-25 12:03:28.906177,545,Return/Refund,Escalated
348,38200,2707,2026-01-07 08:21:06.536414,1600,Product Question,Pending
349,23238,602,2025-07-11 20:26:25.677509,1110,Account Access,Escalated
350,23355,1746,2025-11-03 01:48:58.726264,1426,Complaint,Resolved
351,33365,2041,2025-12-17 05:06:45.391427,283,Return/Refund,Dropped
352,560,134,2025-10-01 14:26:29.599002,633,Account Access,Escalated
353,17654,369,2025-12-11 15:47:54.771335,1751,Order Inquiry,Dropped
354,446,1129,2025-10-12 21:19:28.430443,797,Product Question,Pending
355,31195,2393,2025-09-13 17:53:41.366397,854,Account Access,Escalated
356,35473,1219,2025-11-01 15:22:09.204857,1025,Return/Refund,Dropped
357,1712,255,2025-11-10 06:37:40.310242,1595,Return/Refund,Resolved
358,48162,1151,2025-08-23 02:14:31.888091,320,Order Inquiry,Resolved
359,1713,2390,2025-03-16 10:29:39.844969,1489,Complaint,Escalated
360,33314,436,2026-01-16 08:23:15.824750,1656,Complaint,Dropped
361,49473,647,2025-09-05 05:32:57.763153,645,Account Access,Resolved
362,5792,74,2025-04-08 22:18:11.881045,905,Billing Issue,Resolved
363,35199,1151,2025-07-06 06:44:31.269257,198,Order Inquiry,Pending
364,48404,920,2026-01-24 00:51:45.541382,1506,Product Question,Resolved
365,15058,1872,2026-02-14 21:24:39.660384,1015,Return/Refund,Escalated
366,35271,2033,2025-06-15 00:03:14.668460,1733,Technical Support,Pending
367,40600,433,2025-03-07 07:37:35.814172,947,Return/Refund,Resolved
368,15476,1706,2025-10-02 11:24:34.892011,938,Return/Refund,Dropped
369,3831,19,2025-03-18 09:05:04.162752,441,Product Question,Resolved
370,49185,1168,2025-04-30 23:12:48.250506,864,Complaint,Pending
371,40991,678,2025-06-17 18:11:36.219530,961,Complaint,Resolved
372,34251,878,2025-06-14 05:18:47.941428,890,Product Question,Resolved
373,27188,2073,2025-10-27 23:27:44.768576,938,Complaint,Dropped
374,6355,791,2025-12-22 06:51:01.335932,238,Order Inquiry,Resolved
375,45246,1605,2026-02-25 20:30:19.953657,986,Account Access,Escalated
