cust_id,total_points,last_updated
473,4605,2024-06-09
474,4783,2024-01-28
475,695,2024-03-08
476,182,2024-11-20
477,2453,2025-01-07
478,4736,2024-04-07
479,2472,2025-05-31
480,3828,2024-10-01
481,2610,2024-03-06
482,1572,2024-01-29
483,238,2024-09-21
484,3334,2025-01-07
485,4786,2025-02-03
486,925,2024-11-20
487,447,2024-09-02
488,2093,2024-11-04
489,3382,2024-12-06
490,1505,2025-03-30
491,1065,2025-08-31
492,691,2025-02-28
493,1382,2024-02-20
494,4048,2024-05-01
495,1551,2025-03-04
496,3256,2024-08-05
497,2902,2025-09-12
498,4037,2024-12-13
499,2953,2025-03-16
500,447,2024-08-23
501,4594,2025-05-11
502,1378,2025-06-04
503,4080,2024-04-06
504,3770,2025-05-06
505,454,2024-03-13
506,3182,2025-02-16
507,3649,2025-02-01
508,331,2025-06-09
509,3912,2024-11-03
510,881,2025-06-06
511,1492,2025-02-06
512,4948,2024-09-22
513,4930,2025-05-13
514,130,2024-07-11
515,3882,2025-03-08
516,2415,2025-08-06
517,497,2025-06-24
518,1574,2025-04-25
519,2951,2025-04-28
520,3407,2025-05-20
521,3527,2024-04-26
522,4222,2025-09-10
523,967,2024-07-29
524,1128,2024-05-05
525,4338,2025-03-07
526,2771,2024-11-18
527,3293,2025-07-20
528,3622,2024-12-19
529,4520,2024-11-15
530,4157,2024-12-28
531,3093,2025-06-16
532,3375,2024-03-24
533,4579,2025-06-15
534,1741,2025-04-11
535,3043,2024-11-08
536,1002,2025-07-14
537,3775,2025-04-05
538,725,2024-06-18
539,152,2024-05-03
540,3580,2024-07-03
541,2093,2024-04-01
542,3381,2024-11-27
543,2206,2024-03-03
544,4544,2024-05-08
545,2008,2025-07-04
546,3114,2024-12-25
547,1007,2024-05-23
548,4911,2024-12-02
549,3217,2025-07-05
550,3790,2025-01-14
551,1811,2024-08-27
552,4098,2025-05-20
553,1867,2025-06-19
554,3333,2024-10-07
555,3677,2024-11-19
556,792,2024-01-29
557,445,2024-12-07
558,2566,2024-03-07
559,3124,2025-02-15
560,1576,2024-04-20
561,361,2024-03-02
562,2809,2024-10-25
563,1648,2024-03-11
564,1797,2024-01-04
565,2931,2024-01-31
566,1793,2024-09-25
567,3737,2024-09-02
568,3065,2024-11-21
569,2294,2024-05-09
570,4171,2025-01-18
571,1798,2024-07-26
572,688,2024-10-29
573,2236,2025-01-26
574,2264,2024-08-21
575,2248,2024-07-14
576,1858,2024-08-02
577,1138,2025-08-14
578,263,2024-05-22
579,1404,2024-04-16
580,4247,2024-01-12
581,3540,2025-05-01
582,2022,2025-06-22
583,3539,2025-04-13
584,546,2024-08-10
585,218,2024-03-15
586,1118,2024-11-30
587,1321,2024-06-23
588,1457,2024-08-09
589,1652,2024-09-12
590,517,2024-08-13
591,1696,2025-07-08
592,3758,2024-08-13
593,4392,2025-08-05
594,4985,2025-08-22
595,1995,2025-09-26
596,4899,2025-03-30
597,2034,2024-08-15
598,751,2024-06-26
599,2039,2024-11-06
600,3856,2025-03-27
601,3116,2025-04-19
602,34,2024-01-14
603,3152,2025-08-02
604,2960,2024-01-29
605,3148,2025-02-11
606,4690,2024-12-18
607,3422,2025-06-21
608,4645,2024-08-05
609,3094,2024-05-07
610,59,2025-08-19
611,2810,2024-11-18
612,1137,2024-01-27
613,2666,2025-03-30
614,4684,2025-05-31
615,3562,2024-01-30
616,2726,2024-08-17
617,912,2024-04-01
618,3179,2025-03-09
619,3773,2024-11-19
620,4701,2025-05-04
621,430,2024-07-02
622,2318,2024-10-16
623,1126,2025-03-28
624,786,2024-12-30
625,4002,2024-11-05
626,4175,2024-08-18
627,161,2025-02-07
628,4544,2025-04-02
629,0,2024-09-11
630,366,2024-08-30
631,3457,2024-03-17
632,1173,2025-07-02
633,3552,2025-01-23
634,728,2025-01-06
635,1011,2024-06-28
636,2605,2025-02-02
637,2190,2024-02-24
638,1874,2024-11-08
639,2341,2025-07-21
640,3481,2025-07-01
641,1092,2025-06-10
642,4416,2024-04-30
643,3999,2024-02-28
644,2904,2024-01-10
645,1274,2024-09-13
646,3599,2024-06-14
647,3449,2024-12-05
648,898,2024-04-20
649,3933,2024-10-23
650,2026,2025-03-15
651,314,2024-10-07
652,3925,2024-03-03
653,334,2024-01-01
654,2978,2024-12-08
655,871,2024-05-13
656,1047,2024-07-15
657,4290,2025-05-30
658,4361,2025-06-09
659,4200,2025-04-11
660,1951,2024-10-25
661,2846,2025-09-11
662,2097,2024-01-17
663,1670,2025-08-18
664,4666,2025-05-17
665,3297,2024-04-12
666,358,2024-05-15
667,1140,2025-05-06
668,4453,2024-05-06
669,2894,2024-10-20
670,624,2025-09-22
671,2351,2024-12-22
672,1210,2025-02-03
673,3154,2024-12-27
674,4372,2025-05-19
675,1665,2024-01-18
676,1839,2024-02-27
677,4865,2024-06-10
678,1147,2025-06-24
679,1313,2024-01-12
680,753,2025-06-18
681,2565,2025-02-18
682,2748,2024-01-29
683,265,2024-09-03
684,4097,2024-07-18
685,4803,2024-02-08
686,1319,2025-05-28
687,4644,2025-05-24
688,1322,2024-03-10
689,4659,2025-05-14
690,349,2025-09-27
691,765,2024-12-23
692,3983,2024-08-05
693,3115,2024-03-04
694,1442,2024-03-26
695,2432,2024-06-17
696,4738,2025-09-23
697,3680,2025-08-15
698,1565,2025-08-13
699,3361,2024-12-26
700,2334,2025-03-23
701,2374,2025-03-06
702,1834,2025-06-03
703,1396,2025-08-08
704,1297,2025-03-23
705,210,2025-03-23
706,1816,2024-10-31
707,3761,2025-09-02
708,1703,2025-02-04
709,3693,2024-06-13
710,4965,2024-01-31
711,1036,2024-10-01
712,2302,2025-02-06
713,3137,2025-03-15
714,4947,2025-06-27
715,3044,2025-01-15
716,1738,2025-06-23
717,3450,2024-05-02
718,2329,2024-05-14
719,2598,2024-12-20
720,1835,2024-02-18
721,4403,2024-01-06
722,3774,2024-05-02
723,2637,2025-05-09
724,4051,2024-03-02
725,2554,2025-04-09
726,2516,2025-08-14
727,4508,2024-03-27
728,3461,2024-07-17
729,943,2024-02-24
730,2197,2025-05-22
731,2501,2024-09-01
732,2736,2024-01-22
733,896,2024-02-16
734,2749,2025-04-08
735,2211,2025-06-15
736,1690,2024-04-01
737,3203,2025-08-26
738,2842,2024-10-22
739,3718,2024-02-11
740,4112,2025-07-28
741,2905,2024-09-11
742,1634,2024-09-13
743,2566,2025-05-30
744,2477,2024-09-05
745,448,2024-10-03
746,1180,2025-07-29
747,550,2024-01-01
748,455,2024-05-04
749,1971,2024-06-23
750,3160,2024-04-19
751,3641,2024-02-13
752,4301,2025-02-03
753,3962,2025-01-20
754,3307,2024-03-10
755,3146,2025-03-06
756,1091,2025-08-10
757,4768,2024-01-25
758,1699,2025-08-07
759,966,2025-05-25
760,4241,2025-09-17
761,2740,2024-03-01
762,4900,2025-09-19
763,2869,2025-03-17
764,1025,2025-03-16
765,4821,2024-01-11
766,358,2024-11-17
767,1686,2025-05-21
768,3983,2024-10-13
769,1925,2025-03-26
770,154,2025-01-26
771,2754,2024-09-25
772,3797,2025-03-10
773,2047,2025-07-09
774,1464,2025-03-30
775,3608,2024-07-03
776,937,2024-02-09
777,132,2024-12-27
778,1671,2024-11-29
779,3343,2025-01-18
780,2564,2025-06-07
781,4323,2024-02-22
782,945,2024-09-03
783,1887,2025-04-04
784,2571,2024-04-30
785,3429,2024-09-26
786,2902,2024-05-10
787,3684,2025-03-22
788,4858,2025-01-13
789,2644,2025-01-28
790,3986,2025-03-25
791,4902,2024-02-10
792,3644,2025-06-17
793,1822,2024-03-17
794,65,2024-09-08
795,4069,2024-10-16
796,1459,2024-02-09
797,3973,2025-05-16
798,3663,2024-11-29
799,1049,2025-05-10
800,3206,2025-03-28
801,1689,2024-04-22
802,4386,2024-07-22
803,164,2025-06-23
804,3095,2025-02-14
805,2651,2025-03-11
806,2385,2025-03-15
807,3224,2025-01-16
808,892,2024-11-14
809,3879,2025-06-19
810,2196,2024-08-02
811,111,2024-06-14
812,4297,2025-05-13
813,1359,2024-05-24
814,2602,2025-03-02
815,775,2024-03-03
816,3491,2025-08-21
817,1460,2024-09-26
818,748,2025-09-21
819,3864,2024-11-30
820,2275,2024-05-26
821,3474,2024-08-06
822,4118,2024-01-14
823,3723,2025-05-17
824,3437,2024-05-02
825,1386,2025-08-23
826,2184,2024-03-26
827,2872,2024-04-30
828,2600,2025-08-28
829,1087,2024-11-13
830,3601,2024-09-27
831,2364,2024-07-31
832,4235,2024-07-09
833,3452,2025-05-01
834,3271,2025-04-29
835,2206,2025-08-14
836,440,2024-04-02
837,1512,2024-08-29
838,1740,2025-04-28
839,3478,2025-09-03
840,4107,2024-01-02
841,3146,2024-07-03
842,830,2025-02-18
843,446,2024-11-06
844,655,2024-06-02
845,4010,2025-04-16
846,3416,2024-01-18
847,4382,2024-04-06
848,3053,2024-02-09
849,3550,2024-04-29
850,3265,2024-07-04
851,2606,2024-04-09
852,4568,2024-01-13
853,4680,2024-03-21
854,4791,2024-06-19
855,1731,2024-04-23
856,2975,2024-04-18
857,3801,2024-06-25
858,4674,2025-02-22
859,1322,2025-04-13
860,4731,2025-04-17
861,3786,2024-03-12
862,3938,2024-03-02
863,4749,2024-04-24
864,2004,2024-09-23
865,4616,2025-01-06
866,1867,2024-01-29
867,3066,2025-01-22
868,1229,2024-10-11
869,269,2025-02-12
870,3736,2024-06-30
871,1701,2024-08-21
872,683,2025-05-02
873,3626,2024-07-18
874,2255,2025-07-28
875,2495,2024-04-06
876,1266,2024-11-27
877,1187,2024-11-09
878,1146,2025-04-12
879,4571,2025-07-27
880,3929,2025-08-30
881,2328,2024-04-23
882,4350,2024-10-25
883,3774,2025-01-05
884,3059,2024-01-17
885,1296,2025-06-09
886,4712,2024-12-13
887,1825,2025-08-21
888,2527,2024-07-04
889,3475,2024-10-04
890,1627,2024-07-29
891,4006,2025-09-11
892,3440,2025-02-13
893,129,2024-10-08
894,319,2024-03-03
895,1487,2025-01-08
896,233,2025-04-26
897,1824,2024-04-04
898,2645,2025-07-06
899,673,2024-04-07
900,3457,2025-01-18
901,1948,2024-06-14
902,2152,2025-07-12
903,4496,2025-04-12
904,4509,2024-10-29
905,1817,2024-01-18
906,4348,2024-06-19
907,3833,2024-11-25
908,1312,2024-09-05
909,1853,2024-10-09
910,960,2025-06-17
911,335,2025-01-25
912,4051,2025-03-18
913,3977,2024-09-05
914,1954,2025-01-04
915,4644,2024-07-04
916,391,2024-11-28
917,4409,2024-08-21
918,2760,2025-03-24
919,4586,2025-07-05
920,848,2024-10-27
921,1793,2024-09-08
922,4557,2025-07-18
923,1101,2024-11-25
924,2204,2025-08-11
925,3904,2024-05-31
926,4410,2024-11-07
927,581,2025-09-20
928,978,2024-12-05
929,3525,2024-09-15
930,4965,2024-03-03
931,226,2025-08-04
932,3065,2025-08-10
933,882,2024-12-23
934,4489,2025-02-02
935,2935,2024-03-01
936,3492,2025-02-17
937,451,2025-06-24
938,1542,2024-12-26
939,2623,2024-03-15
940,1969,2024-12-04
941,4673,2024-11-13
942,3239,2024-02-12
943,4393,2024-10-20
944,292,2025-04-25
945,3038,2025-03-24
946,2868,2025-04-18
947,3595,2024-01-26
948,912,2024-03-07
949,1914,2024-01-07
950,3162,2024-10-16
951,1428,2025-02-01
952,4435,2024-08-20
953,3267,2024-05-16
954,3852,2024-04-21
955,3148,2025-06-13
956,3292,2025-08-11
957,175,2024-01-09
958,2584,2025-08-20
959,3401,2024-05-01
960,322,2024-05-18
961,696,2025-01-13
962,680,2024-12-29
963,2511,2024-09-26
964,3851,2025-01-24
965,1580,2025-05-15
966,876,2024-09-05
967,2794,2025-09-24
968,664,2024-07-09
969,4336,2024-07-16
970,2156,2024-05-27
971,3233,2025-08-29
972,1321,2024-03-07
973,2149,2024-11-22
974,2657,2025-02-16
975,1223,2025-02-13
976,3868,2024-06-02
977,1309,2025-05-14
978,2523,2024-06-11
979,1049,2025-01-13
980,3900,2024-10-14
981,4614,2025-04-26
982,2262,2024-05-26
983,3970,2024-11-17
984,89,2024-11-01
985,3129,2025-07-22
986,138,2024-05-06
987,1458,2024-11-30
988,1241,2024-04-14
989,3281,2025-07-12
990,2136,2024-08-20
991,1127,2025-05-27
992,294,2024-08-01
993,4556,2025-01-18
994,4942,2025-06-08
995,1755,2025-08-30
996,1482,2024-12-07
997,2035,2024-03-20
998,4653,2024-06-12
999,286,2024-05-02
1000,184,2025-07-30
1001,3815,2025-02-26
1002,3669,2024-01-02
1003,3041,2025-07-18
1004,4442,2025-02-21
1005,2798,2025-07-07
1006,33,2024-09-17
1007,3342,2024-04-18
1008,2511,2024-09-04
1009,1521,2024-03-14
1010,1707,2024-11-07
1011,4415,2024-04-10
1012,2065,2025-07-10
1013,3363,2024-04-07
1014,4628,2025-02-01
1015,2378,2025-09-07
1016,2476,2024-07-06
1017,4064,2025-01-10
1018,2152,2025-01-01
1019,4472,2025-01-17
1020,1091,2025-02-04
1021,1749,2024-07-12
1022,4176,2024-05-28
1023,2625,2025-02-08
1024,4913,2024-02-01
1025,3849,2025-06-07
1026,2655,2024-09-02
1027,2416,2024-07-13
1028,4899,2024-12-11
1029,1019,2025-01-20
1030,885,2025-05-02
1031,785,2025-03-09
1032,2896,2024-08-30
1033,3983,2024-05-07
1034,879,2024-01-04
1035,3638,2025-03-29
1036,4157,2025-09-22
1037,2245,2024-09-11
1038,4683,2024-12-19
1039,2204,2025-01-10
1040,1872,2024-04-02
1041,3354,2024-11-15
1042,1375,2024-08-29
1043,1465,2024-06-05
1044,396,2025-04-25
1045,2033,2024-06-14
1046,4960,2025-08-14
1047,2444,2024-04-28
1048,4836,2024-05-23
1049,1068,2025-03-01
1050,3550,2024-03-20
1051,202,2025-06-05
1052,3993,2025-03-19
1053,343,2024-02-15
1054,4,2024-03-08
1055,2807,2025-09-23
1056,182,2025-03-20
1057,1212,2025-07-22
1058,1330,2025-09-30
1059,2523,2024-08-29
1060,1304,2025-09-04
1061,756,2024-06-04
1062,818,2024-02-09
1063,4309,2024-03-14
1064,2324,2024-02-02
1065,2675,2024-08-03
1066,1033,2024-06-01
1067,277,2025-01-07
1068,1088,2024-11-30
1069,4200,2025-09-10
1070,3055,2024-12-11
1071,4841,2025-07-14
1072,4840,2024-08-16
1073,3680,2024-09-01
1074,4524,2024-10-21
1075,2693,2024-09-08
1076,2365,2024-11-12
1077,928,2025-04-07
1078,2050,2024-01-19
1079,2786,2025-02-02
1080,2639,2025-01-12
1081,3796,2024-03-28
1082,3486,2024-10-27
1083,4349,2025-01-07
1084,762,2024-05-20
1085,402,2024-10-10
1086,2730,2024-10-02
1087,4439,2024-04-19
1088,1037,2024-06-22
1089,3520,2024-08-04
1090,4958,2025-05-24
1091,329,2024-08-24
1092,23,2024-08-03
1093,4250,2024-10-08
1094,400,2024-09-15
1095,3491,2024-01-15
1096,3906,2025-02-03
1097,4175,2024-05-28
1098,2001,2025-07-23
1099,2509,2025-03-11
1100,375,2024-12-10
1101,1679,2025-04-23
1102,2100,2024-01-12
1103,3899,2024-10-10
1104,2274,2024-01-01
1105,1409,2024-06-09
1106,3682,2024-08-19
1107,1403,2025-01-18
1108,888,2025-03-21
1109,2586,2024-09-23
1110,4370,2024-04-25
1111,4971,2025-07-10
1112,1681,2024-05-23
1113,2766,2024-01-31
1114,4415,2025-01-15
1115,4470,2024-05-31
1116,3108,2025-04-25
1117,3095,2024-12-19
1118,3383,2024-06-01
1119,3848,2024-02-24
1120,384,2024-05-05
1121,1537,2025-06-25
1122,169,2024-09-05
1123,3784,2024-02-11
1124,3023,2024-12-14
1125,4716,2025-06-27
1126,4997,2024-03-04
1127,4310,2024-09-20
1128,3821,2024-05-06
1129,321,2025-02-20
1130,217,2024-01-31
1131,4074,2024-09-27
1132,474,2024-03-19
1133,1141,2025-02-21
1134,3426,2024-03-19
1135,4033,2025-02-08
1136,3199,2025-02-11
1137,426,2025-03-16
1138,1983,2024-11-07
1139,1016,2024-02-24
1140,3711,2024-09-18
1141,4659,2024-09-11
1142,1515,2024-08-16
1143,964,2025-04-13
1144,1998,2025-06-16
1145,245,2025-07-16
1146,3333,2024-03-15
1147,4435,2024-06-01
1148,53,2025-06-10
1149,208,2024-02-19
1150,1451,2025-06-18
1151,3626,2025-09-05
1152,4031,2025-04-30
1153,1086,2024-11-17
1154,4939,2024-06-16
1155,1787,2025-04-03
1156,2256,2024-10-18
1157,615,2024-01-15
1158,4690,2025-07-13
1159,4221,2024-06-30
1160,500,2025-02-16
1161,1400,2024-07-03
1162,2170,2025-02-18
1163,4867,2024-02-10
1164,2710,2024-02-04
1165,4994,2025-06-08
1166,4456,2025-02-15
1167,5000,2025-06-28
1168,312,2025-06-28
