expense_id,store_id,expense_date,expense_type,amount
249,74,2025-04-26,Marketing,71195.09
250,94,2025-04-15,Maintenance,5478.82
251,134,2024-12-22,Misc,88774.49
252,14,2024-06-10,Misc,119213.14
253,27,2025-04-13,Marketing,191955.77
254,72,2024-08-25,Maintenance,90053.9
255,41,2024-08-15,Misc,156376.69
256,28,2024-01-14,Maintenance,177525.53
257,90,2024-07-18,Rent,108304.4
258,164,2024-07-20,Maintenance,107182.1
259,95,2025-08-19,Rent,108250.69
260,114,2025-06-01,Marketing,76581.96
261,98,2025-01-05,Utilities,99885.11
262,189,2025-01-16,Misc,141240.3
263,86,2024-05-30,Maintenance,197056.34
264,113,2025-06-07,Marketing,196230.13
265,196,2024-09-13,Utilities,194349.73
266,97,2025-05-02,Marketing,22767.85
267,23,2025-08-08,Security,36030.17
268,120,2025-01-14,Rent,110337.38
269,51,2025-01-05,Misc,82121.15
270,151,2025-03-31,Rent,25825.88
271,45,2025-04-05,Security,153045.15
272,98,2024-12-05,Security,87450.88
273,47,2024-12-06,Maintenance,161787.87
274,7,2024-11-12,Maintenance,167873.22
275,70,2024-08-13,Rent,59626.85
276,48,2025-05-24,Security,53508.56
277,100,2025-08-20,Rent,157488.18
278,115,2024-12-12,Rent,119004.79
279,145,2024-01-16,Security,81692.78
280,77,2025-08-21,Maintenance,1858.01
281,174,2024-06-11,Rent,111564.8
282,102,2024-11-26,Rent,33260.13
283,199,2024-01-24,Security,70078.43
284,138,2024-10-31,Maintenance,191599.94
285,155,2025-08-03,Maintenance,152228.81
286,136,2025-06-16,Utilities,88975.52
287,158,2024-10-26,Marketing,130645.5
288,58,2024-07-20,Marketing,44637.45
289,27,2024-10-22,Misc,81515.63
290,119,2024-11-13,Rent,156523.17
291,180,2025-03-13,Marketing,155928.39
292,142,2024-10-29,Utilities,117811.76
293,112,2025-01-29,Security,48833.21
294,123,2024-02-10,Rent,39360.96
295,13,2024-12-26,Misc,150412.49
296,182,2024-04-02,Rent,2168.08
297,34,2025-06-23,Security,187856.2
298,143,2024-04-22,Misc,94281.02
299,194,2024-01-11,Marketing,187138.01
300,116,2024-05-12,Marketing,126907.22
301,141,2024-10-03,Security,48067.54
302,104,2024-11-15,Rent,10832.01
303,100,2025-03-28,Security,177353.19
304,196,2025-03-06,Marketing,48626.96
305,143,2024-05-25,Rent,92993.01
306,82,2024-11-25,Rent,126116.67
307,122,2025-05-10,Marketing,136026.45
308,52,2025-09-16,Security,61652.06
309,64,2025-02-20,Utilities,80236.98
310,78,2024-01-15,Rent,108254.63
311,112,2024-07-24,Marketing,20934.51
312,151,2024-02-03,Utilities,81402.4
313,199,2025-01-06,Misc,23295.18
314,81,2025-05-17,Rent,107011.37
315,5,2024-08-12,Marketing,186115.96
316,32,2024-09-21,Maintenance,37053.88
317,104,2024-04-23,Security,45186.08
318,85,2024-05-26,Marketing,99523.26
319,134,2024-03-30,Rent,55667.78
320,61,2025-07-11,Utilities,66252.24
321,164,2025-05-03,Marketing,103821.52
322,107,2024-02-02,Rent,146416.38
323,150,2025-02-27,Rent,100947.16
324,177,2024-07-10,Rent,108726.33
325,73,2024-06-04,Marketing,154776.62
326,40,2024-03-05,Misc,140542.41
327,161,2024-08-25,Maintenance,88113.24
328,16,2024-01-30,Maintenance,83860.52
329,62,2024-05-23,Maintenance,188270.68
330,167,2024-01-30,Security,32178.61
331,14,2024-05-13,Security,144288.59
332,120,2024-01-26,Maintenance,10119.22
333,148,2024-08-19,Utilities,90761.92
334,179,2025-07-06,Marketing,20175.51
335,55,2025-09-29,Utilities,120762.65
336,69,2025-09-30,Utilities,163172.3
337,198,2024-11-25,Misc,182097.32
338,3,2024-03-02,Utilities,102772.92
339,24,2025-04-06,Utilities,60342.44
340,109,2025-09-11,Security,136610.2
341,43,2024-11-25,Security,152072.77
342,40,2025-09-16,Rent,29152.98
343,193,2024-07-01,Maintenance,82811.49
344,161,2024-05-17,Security,24238.45
345,62,2025-05-16,Maintenance,112938.53
346,59,2024-03-03,Utilities,142492.62
347,103,2025-01-23,Maintenance,152376.33
348,79,2025-03-03,Misc,35303.74
349,139,2025-01-20,Misc,177538.83
350,155,2025-04-18,Maintenance,92644.32
351,177,2024-02-09,Rent,32598.73
352,154,2025-07-21,Marketing,79148.45
353,153,2025-03-30,Security,195432.43
354,67,2024-03-21,Rent,85464.98
355,131,2024-01-27,Security,102413.35
356,73,2024-03-04,Security,198351.03
357,199,2024-07-24,Rent,82053.59
358,134,2024-06-30,Misc,109897.6
359,41,2025-07-19,Marketing,22094.3
360,165,2025-08-12,Maintenance,109262.36
361,128,2024-05-16,Rent,8606.87
362,82,2025-03-21,Marketing,198450.61
363,103,2025-07-18,Security,107874.24
364,156,2025-09-08,Marketing,60015.44
365,80,2024-10-08,Maintenance,106099.44
366,57,2025-09-11,Maintenance,32412.25
367,197,2024-08-11,Marketing,65656.72
368,56,2024-04-06,Misc,72345.12
369,103,2025-01-06,Maintenance,85459.82
370,64,2025-02-24,Security,185294.33
371,70,2025-09-21,Security,151396.52
372,175,2025-08-25,Security,172654.47
373,174,2024-01-30,Utilities,71949.32
374,180,2024-06-14,Rent,78942.51
375,129,2024-01-01,Misc,136923.05
376,71,2024-04-04,Utilities,93424.15
377,159,2024-02-20,Misc,192495.01
378,68,2024-01-05,Marketing,21976.28
379,88,2024-04-25,Utilities,114589.97
380,144,2025-01-06,Misc,140495.49
381,6,2024-10-23,Security,95434.65
382,188,2025-05-07,Marketing,8150.51
383,131,2025-09-24,Misc,83915.78
384,11,2024-04-20,Marketing,44782.6
385,151,2024-10-24,Rent,192216.69
386,115,2024-11-12,Maintenance,61899.61
387,102,2024-06-11,Rent,1232.39
388,108,2025-08-16,Security,156280.69
389,11,2025-07-14,Security,198696.65
390,2,2024-11-19,Utilities,95173.38
391,156,2025-03-09,Marketing,36700.91
392,73,2025-01-11,Maintenance,158770.28
393,75,2025-09-24,Maintenance,140714.43
394,93,2024-02-27,Maintenance,69538.47
395,144,2024-10-24,Misc,84981.28
396,2,2025-07-20,Misc,99066.9
397,155,2025-06-21,Maintenance,194976.72
398,78,2024-08-30,Security,34197.85
399,105,2025-06-07,Utilities,194232.98
400,170,2024-11-09,Misc,186667.39
401,198,2024-01-14,Maintenance,40497.38
402,152,2024-08-25,Security,1502.2
403,58,2024-05-01,Marketing,199650.42
404,171,2024-01-01,Marketing,94317.37
405,170,2024-05-08,Misc,134047.24
406,60,2025-03-08,Misc,193324.06
407,42,2025-06-05,Rent,77047.4
408,89,2024-10-15,Maintenance,84942.53
409,48,2024-09-30,Misc,145435.24
410,190,2025-06-12,Maintenance,191753.29
411,20,2025-02-26,Utilities,70785.91
412,9,2025-04-14,Maintenance,118462.99
413,19,2024-02-18,Rent,101028.7
414,53,2024-08-15,Marketing,188883.37
415,51,2025-01-18,Security,39529.74
416,96,2025-04-26,Security,83210.66
417,74,2024-08-18,Marketing,42647.38
418,9,2024-12-01,Utilities,135639.26
419,56,2025-04-06,Marketing,197854.62
420,57,2024-06-02,Utilities,155408.27
421,103,2024-05-18,Marketing,46396.79
422,8,2025-01-28,Maintenance,14704.4
423,152,2024-04-28,Utilities,35257.53
424,172,2024-09-29,Misc,131394.65
425,120,2025-09-20,Maintenance,46856.61
426,31,2024-04-08,Rent,70454.78
427,80,2024-09-17,Maintenance,85906.66
428,63,2025-02-16,Security,53831.75
429,174,2025-04-09,Misc,55898.73
430,56,2024-01-02,Misc,112845.11
431,15,2025-06-21,Security,67264.27
432,129,2025-07-05,Security,77382.82
433,47,2025-03-09,Marketing,61238.51
434,106,2025-05-05,Rent,110423.8
435,22,2024-07-05,Misc,61932.45
436,141,2025-08-08,Misc,22491.02
437,4,2024-03-03,Utilities,31738.68
438,26,2024-11-11,Marketing,182211.19
439,71,2024-02-18,Marketing,142782.87
440,113,2024-04-17,Security,102585.93
441,191,2025-05-14,Maintenance,123651.12
442,134,2024-12-30,Misc,68526.75
443,46,2025-07-27,Misc,162949.47
444,133,2024-03-11,Maintenance,110981.17
445,84,2025-06-14,Security,104201.34
446,2,2024-01-02,Utilities,16850.95
447,162,2025-09-06,Rent,166259.55
448,15,2024-04-21,Maintenance,118516.04
449,55,2025-01-03,Marketing,82164.24
450,138,2025-06-02,Utilities,129709.44
451,55,2024-12-14,Misc,111986.2
452,86,2025-02-21,Maintenance,82084.2
453,115,2024-04-27,Marketing,154165.85
454,17,2024-08-17,Rent,22067.94
455,156,2025-02-17,Utilities,109064.04
456,154,2024-08-26,Marketing,80289.7
457,27,2025-04-02,Security,29570.52
458,5,2024-02-16,Rent,49702.51
459,123,2024-12-19,Marketing,12875.83
460,29,2025-09-20,Marketing,95017.76
461,123,2025-02-01,Maintenance,1019.37
462,89,2025-03-22,Maintenance,121786.74
463,49,2024-04-09,Security,84694.39
464,156,2025-03-18,Marketing,127436.24
465,33,2024-08-26,Security,48571.87
466,179,2025-01-20,Rent,48682.96
467,77,2024-02-04,Marketing,151479.86
468,94,2025-02-08,Security,76964.62
469,94,2025-06-18,Security,131753.94
470,122,2024-06-24,Rent,185006.32
471,124,2025-03-31,Security,184676.36
472,72,2024-01-26,Maintenance,181563.6
473,125,2024-02-10,Utilities,138807.78
474,53,2025-07-23,Misc,163328.15
475,188,2025-07-27,Security,149858.76
476,135,2024-05-24,Security,186348.62
477,92,2025-05-26,Maintenance,130992.02
478,51,2024-08-06,Utilities,80324.66
479,165,2025-05-09,Marketing,23929.34
480,162,2024-04-24,Marketing,142530.01
481,44,2024-11-18,Maintenance,24998.42
482,138,2024-10-07,Security,52645.97
483,179,2024-01-19,Misc,159539.02
484,70,2024-06-20,Misc,139952.2
485,64,2025-09-18,Utilities,96013.18
486,196,2025-08-12,Marketing,167858.29
487,6,2025-07-06,Marketing,125657.16
488,129,2025-05-27,Marketing,183968.73
489,60,2024-11-28,Marketing,33287.38
490,53,2025-04-08,Marketing,33546.6
491,97,2024-05-28,Utilities,97408.84
492,158,2024-02-10,Utilities,193603.87
493,164,2025-02-03,Misc,187842.97
494,47,2025-05-07,Rent,50458.48
495,145,2024-12-25,Utilities,176622.83
496,40,2024-07-27,Misc,11745.96
497,32,2025-04-29,Maintenance,73473.02
498,6,2024-06-04,Misc,77425.38
499,141,2025-07-16,Marketing,120648.8
500,55,2025-08-03,Marketing,76314.23
501,126,2024-03-22,Rent,27332.0
502,126,2024-03-07,Security,170500.86
503,141,2025-01-04,Misc,132516.87
504,184,2024-06-13,Misc,91762.84
505,164,2025-01-29,Misc,43834.66
506,141,2025-07-14,Utilities,129560.85
507,185,2024-10-11,Marketing,112722.69
508,71,2024-08-13,Security,68112.53
509,106,2025-05-03,Security,75988.12
510,172,2024-10-29,Security,57403.63
511,135,2025-07-29,Maintenance,51883.75
512,187,2024-06-15,Maintenance,65175.17
513,192,2024-10-27,Utilities,151300.51
514,117,2024-08-21,Security,50245.31
515,29,2024-09-29,Marketing,128618.99
516,23,2025-05-16,Security,31544.4
517,198,2025-05-23,Misc,26199.52
518,114,2024-05-04,Maintenance,162309.63
519,9,2025-05-14,Utilities,186363.11
520,196,2024-11-27,Marketing,49134.06
521,47,2025-08-09,Misc,199307.88
522,103,2024-09-08,Misc,100697.47
523,52,2024-11-30,Security,86349.19
524,18,2024-03-29,Marketing,59944.58
525,86,2024-02-26,Security,137145.17
526,45,2025-06-04,Utilities,10528.93
527,25,2025-01-06,Misc,61397.74
528,106,2024-04-06,Security,72145.94
529,3,2025-07-31,Maintenance,73617.38
530,179,2024-02-08,Utilities,45492.71
531,4,2025-09-14,Utilities,180561.55
532,77,2025-07-16,Security,55411.02
533,105,2024-02-07,Marketing,178300.54
534,19,2025-08-15,Maintenance,107061.82
535,55,2025-04-24,Maintenance,24499.99
536,164,2024-04-22,Maintenance,138664.57
537,76,2025-01-18,Security,36781.94
538,161,2024-07-01,Maintenance,111648.15
539,151,2025-02-25,Utilities,119929.07
540,103,2024-02-21,Marketing,191469.29
541,200,2024-12-03,Utilities,17671.08
542,200,2024-10-03,Misc,150206.69
543,172,2024-02-06,Security,40628.07
544,60,2025-01-28,Utilities,56194.21
545,147,2024-12-06,Marketing,189400.83
546,126,2025-09-22,Security,137248.82
547,3,2025-08-06,Utilities,40461.36
548,157,2025-08-12,Marketing,71217.67
549,44,2025-06-16,Utilities,2723.37
550,177,2024-10-11,Marketing,64388.5
551,116,2024-02-27,Security,180715.23
552,7,2024-08-16,Security,123016.15
553,38,2024-03-14,Maintenance,29887.74
554,109,2024-08-27,Utilities,111548.79
555,187,2024-10-09,Rent,97305.29
556,45,2024-07-14,Maintenance,178990.87
557,113,2024-10-31,Misc,118296.82
558,160,2025-09-26,Maintenance,199808.5
559,189,2025-06-22,Utilities,5740.2
560,171,2025-09-22,Rent,164457.53
561,97,2024-08-25,Misc,23642.88
562,145,2025-02-12,Rent,152169.34
563,94,2024-12-08,Marketing,184235.62
564,7,2025-06-28,Utilities,87144.36
565,102,2024-07-26,Rent,105552.11
566,10,2025-05-17,Marketing,151161.17
567,171,2024-08-12,Rent,21569.63
568,19,2025-07-05,Misc,71471.64
569,83,2024-10-14,Marketing,104754.55
570,79,2024-10-03,Utilities,13964.29
571,46,2025-08-18,Security,38185.47
572,21,2024-03-11,Security,172797.29
573,83,2025-03-09,Maintenance,189294.74
574,16,2024-04-05,Utilities,159241.21
575,118,2025-08-31,Security,82010.06
576,91,2025-05-20,Misc,77917.05
577,85,2025-06-28,Misc,179633.53
578,114,2024-06-03,Security,24979.47
579,196,2025-01-01,Rent,32362.12
580,167,2024-09-27,Rent,196101.4
581,12,2025-02-28,Rent,41884.68
582,76,2024-02-04,Utilities,22562.38
583,24,2025-08-25,Misc,82181.1
584,196,2025-03-21,Utilities,111405.26
585,124,2025-08-06,Rent,139892.75
586,59,2024-07-17,Marketing,164060.57
587,15,2025-01-05,Marketing,150250.8
588,108,2024-08-15,Misc,134470.89
589,4,2025-03-02,Misc,166334.35
590,112,2024-06-05,Rent,9404.42
591,176,2025-05-10,Marketing,155095.99
592,153,2024-07-22,Rent,25799.85
593,4,2024-05-04,Utilities,183304.18
594,24,2024-02-12,Rent,80464.98
595,13,2024-09-09,Marketing,81400.76
596,72,2024-08-11,Marketing,10550.06
597,152,2025-06-18,Maintenance,25622.9
598,106,2024-12-05,Misc,166282.65
599,63,2024-04-17,Misc,65069.34
600,125,2025-05-30,Utilities,73045.13
601,173,2025-02-14,Marketing,50773.89
602,29,2025-02-05,Marketing,76738.58
603,126,2025-01-13,Security,17507.34
604,179,2024-01-12,Misc,134362.84
605,173,2025-06-12,Marketing,4822.22
606,89,2024-03-20,Utilities,176661.25
607,179,2024-06-21,Rent,9559.76
608,7,2025-09-18,Marketing,148956.34
609,85,2025-06-03,Maintenance,108505.07
610,84,2024-10-31,Rent,116230.7
611,97,2024-07-23,Rent,32936.18
612,167,2024-12-20,Utilities,65830.98
613,105,2025-07-07,Marketing,33031.81
614,2,2024-10-20,Security,101876.72
615,152,2025-02-27,Utilities,161077.68
616,91,2024-12-01,Marketing,43911.4
617,120,2024-05-01,Utilities,165390.42
618,187,2024-03-01,Security,147170.51
619,175,2024-12-27,Maintenance,107090.72
620,176,2025-02-28,Maintenance,39984.17
621,174,2024-09-23,Rent,73450.45
622,34,2025-02-04,Marketing,35222.18
623,81,2024-01-30,Rent,89556.59
624,125,2024-06-24,Maintenance,40909.33
625,197,2024-07-25,Utilities,50381.47
626,15,2024-06-29,Security,19200.74
627,34,2024-07-10,Maintenance,60759.39
628,108,2025-09-30,Utilities,59773.33
629,45,2025-02-16,Marketing,114208.96
630,117,2024-08-05,Maintenance,84606.8
631,56,2024-09-05,Utilities,74199.65
632,156,2025-07-02,Utilities,129931.48
633,166,2025-09-12,Rent,94704.56
634,180,2024-02-28,Utilities,168671.16
635,120,2024-05-07,Security,199279.94
636,83,2024-01-30,Misc,8613.01
637,195,2025-07-23,Marketing,33230.19
638,117,2025-07-22,Utilities,175887.1
639,135,2024-05-01,Utilities,186386.97
640,46,2024-12-16,Marketing,82415.99
641,66,2024-11-01,Rent,141335.35
642,157,2025-08-05,Rent,101208.32
643,33,2024-10-11,Rent,22277.55
644,145,2025-07-18,Utilities,69701.89
645,115,2024-07-27,Rent,18585.39
646,200,2025-07-14,Marketing,90584.11
647,100,2025-04-13,Misc,6702.03
648,82,2024-03-03,Misc,41033.99
649,110,2024-06-20,Utilities,47095.16
650,167,2024-03-15,Utilities,147201.52
651,176,2025-02-15,Security,78681.19
652,173,2025-05-10,Maintenance,79766.39
653,39,2025-02-12,Misc,49394.67
654,96,2024-11-29,Utilities,81018.91
655,142,2024-05-29,Rent,78010.63
656,130,2024-08-21,Utilities,156162.29
657,133,2024-05-02,Rent,185603.83
658,10,2024-04-03,Security,133395.79
659,139,2024-09-17,Utilities,168171.33
660,1,2025-07-18,Marketing,135020.82
661,88,2024-07-04,Utilities,187083.51
662,37,2025-01-02,Utilities,115151.22
663,172,2024-09-27,Security,134066.29
664,109,2024-01-09,Utilities,3119.42
665,103,2025-07-31,Rent,124247.54
666,7,2024-01-14,Marketing,119499.59
667,48,2024-05-25,Marketing,129015.37
668,56,2024-02-28,Marketing,187810.49
669,25,2025-05-25,Marketing,123190.51
670,23,2024-09-30,Maintenance,133548.69
671,43,2024-05-02,Utilities,5494.03
672,2,2025-06-03,Maintenance,112532.15
673,194,2024-10-19,Marketing,142676.13
674,11,2024-04-17,Security,140201.45
675,48,2024-06-08,Misc,178448.92
676,152,2024-08-07,Security,92784.95
677,145,2024-05-03,Maintenance,4760.52
678,122,2025-04-22,Security,50514.8
679,61,2024-02-19,Security,108264.54
680,93,2024-08-27,Security,31624.32
681,35,2024-09-16,Security,77513.51
