summary_date,store_id,total_sales,total_expenses,net_profit
2025-01-01,19,2114966.1,295932.41,1819033.69
2025-02-01,19,491702.22,157704.67,333997.55
2025-03-01,19,965244.95,331618.88,633626.07
2025-04-01,19,948430.04,474093.97,474336.07
2025-05-01,19,305834.67,326585.57,-20750.9
2025-06-01,19,1542753.55,450371.28,1092382.27
2025-07-01,19,404967.76,626263.89,-221296.13
2025-08-01,19,1490248.14,214971.82,1275276.32
2025-09-01,19,2419585.98,712061.54,1707524.44
2025-10-01,19,1583726.74,359200.24,1224526.5
2025-11-01,19,295869.36,789737.76,-493868.4
2025-12-01,19,1133241.1,656993.25,476247.85
2025-01-01,20,1577319.52,401523.86,1175795.66
2025-02-01,20,1979558.93,605043.88,1374515.05
2025-03-01,20,979307.17,293605.56,685701.61
2025-04-01,20,1384093.52,275793.0,1108300.52
2025-05-01,20,1825567.06,177835.41,1647731.65
2025-06-01,20,1770962.91,332847.25,1438115.66
2025-07-01,20,1298482.77,505509.76,792973.01
2025-08-01,20,450242.71,380501.7,69741.01
2025-09-01,20,1772304.73,419939.5,1352365.23
2025-10-01,20,492198.22,678623.7,-186425.48
2025-11-01,20,1891280.5,238838.97,1652441.53
2025-12-01,20,946125.56,255495.01,690630.55
2025-01-01,21,1974621.84,147335.03,1827286.81
2025-02-01,21,2369695.85,382302.0,1987393.85
2025-03-01,21,1440051.45,525788.42,914263.03
2025-04-01,21,2093038.04,303033.27,1790004.77
2025-05-01,21,657405.37,179127.42,478277.95
2025-06-01,21,825790.37,591555.63,234234.74
2025-07-01,21,2465800.0,540165.59,1925634.41
2025-08-01,21,1746104.4,609538.37,1136566.03
2025-09-01,21,300597.49,280262.68,20334.81
2025-10-01,21,1864818.82,536471.46,1328347.36
2025-11-01,21,2063123.75,660284.97,1402838.78
2025-12-01,21,2328650.39,283728.8,2044921.59
2025-01-01,22,1243387.86,727593.93,515793.93
2025-02-01,22,2244842.31,150740.17,2094102.14
2025-03-01,22,969883.09,743887.15,225995.94
2025-04-01,22,2429828.75,715211.38,1714617.37
2025-05-01,22,2165351.32,179125.49,1986225.83
2025-06-01,22,2373486.84,194915.86,2178570.98
2025-07-01,22,2245511.62,352568.41,1892943.21
2025-08-01,22,1513202.87,514584.38,998618.49
2025-09-01,22,437543.05,379622.49,57920.56
2025-10-01,22,655410.14,393933.41,261476.73
2025-11-01,22,1681149.95,485995.31,1195154.64
2025-12-01,22,1357017.49,750322.46,606695.03
2025-01-01,23,493770.83,795666.5,-301895.67
2025-02-01,23,269440.64,787170.52,-517729.88
2025-03-01,23,1839635.48,219754.52,1619880.96
2025-04-01,23,1174458.88,604025.34,570433.54
2025-05-01,23,582076.59,124413.03,457663.56
2025-06-01,23,460658.1,306993.77,153664.33
2025-07-01,23,469468.12,201930.6,267537.52
2025-08-01,23,1903934.88,129643.41,1774291.47
2025-09-01,23,1025982.36,751841.67,274140.69
2025-10-01,23,1876736.16,296818.87,1579917.29
2025-11-01,23,357930.22,788319.78,-430389.56
2025-12-01,23,2006756.26,185545.11,1821211.15
2025-01-01,24,1796761.55,162626.33,1634135.22
2025-02-01,24,359137.85,102523.54,256614.31
2025-03-01,24,634081.41,450054.28,184027.13
2025-04-01,24,1453972.05,169318.11,1284653.94
2025-05-01,24,370098.77,296473.44,73625.33
2025-06-01,24,1963614.45,392284.29,1571330.16
2025-07-01,24,1323927.39,395392.22,928535.17
2025-08-01,24,363479.35,187059.17,176420.18
2025-09-01,24,749444.43,452468.17,296976.26
2025-10-01,24,1200954.26,104686.07,1096268.19
2025-11-01,24,1165340.62,795978.73,369361.89
2025-12-01,24,1719146.11,648648.47,1070497.64
2025-01-01,25,708953.18,797773.18,-88820.0
2025-02-01,25,401632.36,199355.99,202276.37
2025-03-01,25,2065239.33,543638.55,1521600.78
2025-04-01,25,1633879.97,471020.69,1162859.28
2025-05-01,25,1226444.81,102294.93,1124149.88
2025-06-01,25,1212060.18,211642.69,1000417.49
2025-07-01,25,1487093.22,721004.96,766088.26
2025-08-01,25,1143708.69,320615.34,823093.35
2025-09-01,25,1975125.01,178091.26,1797033.75
2025-10-01,25,711092.55,215272.03,495820.52
2025-11-01,25,1482966.56,585284.36,897682.2
2025-12-01,25,1218988.62,706075.84,512912.78
2025-01-01,26,227392.64,479834.73,-252442.09
2025-02-01,26,270612.19,680843.42,-410231.23
2025-03-01,26,2147323.99,683812.52,1463511.47
2025-04-01,26,1476458.81,365787.0,1110671.81
2025-05-01,26,1466175.72,451555.24,1014620.48
2025-06-01,26,1437337.4,645025.09,792312.31
2025-07-01,26,1035536.13,392114.67,643421.46
2025-08-01,26,764244.89,134041.45,630203.44
2025-09-01,26,449068.01,767614.88,-318546.87
2025-10-01,26,2093351.86,435301.35,1658050.51
2025-11-01,26,1202423.55,409059.9,793363.65
2025-12-01,26,1441824.45,731636.43,710188.02
2025-01-01,27,423438.18,472961.27,-49523.09
2025-02-01,27,2361575.1,727506.58,1634068.52
2025-03-01,27,1175893.51,714566.8,461326.71
2025-04-01,27,993739.12,219027.51,774711.61
2025-05-01,27,298341.91,486860.25,-188518.34
2025-06-01,27,2173659.03,360971.4,1812687.63
2025-07-01,27,1664360.76,305731.13,1358629.63
2025-08-01,27,1991139.81,407367.13,1583772.68
2025-09-01,27,331470.16,550667.7,-219197.54
2025-10-01,27,1903174.42,521388.57,1381785.85
2025-11-01,27,1212397.07,610705.48,601691.59
2025-12-01,27,456517.38,565514.72,-108997.34
2025-01-01,28,1755153.57,149039.83,1606113.74
2025-02-01,28,253654.4,338206.04,-84551.64
2025-03-01,28,288557.25,684605.63,-396048.38
2025-04-01,28,2290211.34,277830.52,2012380.82
2025-05-01,28,2125493.62,356427.09,1769066.53
2025-06-01,28,2401863.18,351282.14,2050581.04
2025-07-01,28,1340219.62,632879.75,707339.87
2025-08-01,28,429125.67,267224.47,161901.2
2025-09-01,28,1411194.96,584710.0,826484.96
2025-10-01,28,2228204.2,186484.92,2041719.28
2025-11-01,28,1807378.91,501844.75,1305534.16
2025-12-01,28,2037149.88,533905.43,1503244.45
2025-01-01,29,2003670.44,360126.37,1643544.07
2025-02-01,29,328244.35,396062.48,-67818.13
2025-03-01,29,1853677.8,681547.52,1172130.28
2025-04-01,29,1419095.33,287486.6,1131608.73
2025-05-01,29,1268825.59,126650.06,1142175.53
2025-06-01,29,1730315.03,444237.26,1286077.77
2025-07-01,29,524192.09,736567.63,-212375.54
2025-08-01,29,1557382.83,118445.18,1438937.65
2025-09-01,29,2253927.26,622233.36,1631693.9
2025-10-01,29,2253957.63,545978.33,1707979.3
2025-11-01,29,1906628.57,373049.32,1533579.25
2025-12-01,29,2373795.19,649623.6,1724171.59
2025-01-01,30,1942984.34,249766.41,1693217.93
2025-02-01,30,672161.44,230127.53,442033.91
2025-03-01,30,997265.49,781362.52,215902.97
2025-04-01,30,2144644.9,291073.92,1853570.98
2025-05-01,30,459660.42,774973.04,-315312.62
2025-06-01,30,1749315.39,360393.45,1388921.94
2025-07-01,30,2020817.61,392942.25,1627875.36
2025-08-01,30,226706.56,427396.84,-200690.28
2025-09-01,30,739501.14,546184.0,193317.14
2025-10-01,30,2169354.64,214654.36,1954700.28
2025-11-01,30,622542.32,161853.22,460689.1
2025-12-01,30,329318.81,484696.95,-155378.14
2025-01-01,31,1268381.08,269832.14,998548.94
2025-02-01,31,357156.86,718284.76,-361127.9
2025-03-01,31,1077527.1,299109.43,778417.67
2025-04-01,31,2431277.49,284261.18,2147016.31
2025-05-01,31,954793.29,431516.86,523276.43
2025-06-01,31,1882296.86,417574.05,1464722.81
2025-07-01,31,1130432.52,180066.73,950365.79
2025-08-01,31,1099429.33,377743.74,721685.59
2025-09-01,31,1257121.67,345598.27,911523.4
2025-10-01,31,1098474.8,222889.59,875585.21
2025-11-01,31,751828.35,310577.63,441250.72
2025-12-01,31,2333288.11,113331.88,2219956.23
2025-01-01,32,1978036.65,376821.15,1601215.5
2025-02-01,32,438815.44,353308.15,85507.29
2025-03-01,32,2247729.78,275719.89,1972009.89
2025-04-01,32,1733861.02,237359.99,1496501.03
2025-05-01,32,1963558.59,734246.68,1229311.91
2025-06-01,32,1906583.14,280617.35,1625965.79
2025-07-01,32,1904439.56,369718.52,1534721.04
2025-08-01,32,436336.26,761613.92,-325277.66
2025-09-01,32,1660111.12,153789.37,1506321.75
2025-10-01,32,824510.03,331832.06,492677.97
2025-11-01,32,282781.73,758845.77,-476064.04
2025-12-01,32,994419.62,287890.79,706528.83
2025-01-01,33,2063813.77,693461.15,1370352.62
2025-02-01,33,866536.35,506985.21,359551.14
2025-03-01,33,486337.28,151719.4,334617.88
2025-04-01,33,1816011.79,499408.23,1316603.56
2025-05-01,33,582645.97,130693.3,451952.67
2025-06-01,33,1745138.36,420484.4,1324653.96
2025-07-01,33,2442964.46,708989.53,1733974.93
2025-08-01,33,416453.27,428485.95,-12032.68
2025-09-01,33,2299251.3,529178.0,1770073.3
2025-10-01,33,692306.59,669004.15,23302.44
2025-11-01,33,1319268.66,139985.6,1179283.06
2025-12-01,33,603034.52,102119.25,500915.27
2025-01-01,34,361211.24,506548.64,-145337.4
2025-02-01,34,1387578.46,208274.45,1179304.01
2025-03-01,34,220294.48,770141.49,-549847.01
2025-04-01,34,979558.42,235514.68,744043.74
2025-05-01,34,346676.23,187467.67,159208.56
2025-06-01,34,490266.33,286465.73,203800.6
2025-07-01,34,2140368.38,780837.83,1359530.55
2025-08-01,34,678594.85,187908.52,490686.33
2025-09-01,34,1691439.96,129659.12,1561780.84
2025-10-01,34,880661.18,660439.38,220221.8
2025-11-01,34,1755364.21,492203.23,1263160.98
2025-12-01,34,1874461.33,326122.53,1548338.8
2025-01-01,35,2182965.44,453819.77,1729145.67
2025-02-01,35,909252.08,219322.67,689929.41
2025-03-01,35,321854.38,379542.55,-57688.17
2025-04-01,35,327211.93,615155.16,-287943.23
2025-05-01,35,530036.72,655178.5,-125141.78
2025-06-01,35,1367455.38,632832.55,734622.83
2025-07-01,35,2493081.35,717248.88,1775832.47
2025-08-01,35,1774530.5,717355.06,1057175.44
2025-09-01,35,644108.55,306392.21,337716.34
2025-10-01,35,876120.05,767537.69,108582.36
2025-11-01,35,228780.43,327369.38,-98588.95
2025-12-01,35,1367895.19,129732.88,1238162.31
2025-01-01,36,1998531.59,177933.92,1820597.67
2025-02-01,36,1206564.33,411049.38,795514.95
2025-03-01,36,2190474.26,543292.92,1647181.34
2025-04-01,36,1709860.45,123666.49,1586193.96
2025-05-01,36,1086179.22,146502.9,939676.32
2025-06-01,36,1449295.64,524825.89,924469.75
2025-07-01,36,2479404.82,661078.07,1818326.75
2025-08-01,36,2065737.29,467410.49,1598326.8
2025-09-01,36,2328427.48,187071.75,2141355.73
2025-10-01,36,2478912.8,194566.46,2284346.34
2025-11-01,36,810607.88,445500.66,365107.22
2025-12-01,36,1419420.68,574669.79,844750.89
2025-01-01,37,508059.21,198680.87,309378.34
2025-02-01,37,243174.77,667791.72,-424616.95
2025-03-01,37,1339677.42,726620.41,613057.01
2025-04-01,37,1986416.67,628516.2,1357900.47
2025-05-01,37,1981805.41,783545.8,1198259.61
2025-06-01,37,1549527.9,111099.55,1438428.35
2025-07-01,37,1323681.74,765063.18,558618.56
2025-08-01,37,953127.38,178403.77,774723.61
2025-09-01,37,1324201.81,129108.12,1195093.69
2025-10-01,37,719335.84,552820.11,166515.73
2025-11-01,37,717372.11,151624.66,565747.45
2025-12-01,37,507036.17,768896.65,-261860.48
2025-01-01,38,1031091.51,722548.55,308542.96
2025-02-01,38,1088607.68,262046.25,826561.43
2025-03-01,38,2481978.48,770392.72,1711585.76
2025-04-01,38,460725.11,402192.58,58532.53
2025-05-01,38,2464496.26,549078.96,1915417.3
2025-06-01,38,610278.11,125477.89,484800.22
2025-07-01,38,2286115.47,161782.01,2124333.46
2025-08-01,38,1132881.75,165279.06,967602.69
2025-09-01,38,742670.87,658677.24,83993.63
2025-10-01,38,785943.35,508842.43,277100.92
2025-11-01,38,1146859.46,664698.33,482161.13
2025-12-01,38,2102483.72,628389.91,1474093.81
2025-01-01,39,2060992.47,412898.49,1648093.98
2025-02-01,39,765671.78,502813.72,262858.06
2025-03-01,39,1877372.15,697336.3,1180035.85
2025-04-01,39,1443767.91,132494.13,1311273.78
2025-05-01,39,469280.53,600560.29,-131279.76
2025-06-01,39,1958716.67,358477.78,1600238.89
2025-07-01,39,1092168.33,371294.98,720873.35
2025-08-01,39,1004279.56,456600.54,547679.02
2025-09-01,39,1271134.67,614773.54,656361.13
2025-10-01,39,745054.5,345486.03,399568.47
2025-11-01,39,2177006.82,290156.7,1886850.12
2025-12-01,39,544668.23,508780.02,35888.21
2025-01-01,40,1153598.38,316604.77,836993.61
2025-02-01,40,972514.81,297406.66,675108.15
2025-03-01,40,1917130.81,317711.72,1599419.09
2025-04-01,40,2232896.33,416658.1,1816238.23
2025-05-01,40,202612.72,218102.21,-15489.49
2025-06-01,40,1126287.45,699063.33,427224.12
2025-07-01,40,2135958.92,399949.79,1736009.13
2025-08-01,40,503724.32,421393.99,82330.33
2025-09-01,40,1848277.47,562469.14,1285808.33
2025-10-01,40,907534.12,649056.21,258477.91
2025-11-01,40,1252714.99,252067.09,1000647.9
2025-12-01,40,2283888.26,451150.28,1832737.98
2025-01-01,41,2367104.53,720488.98,1646615.55
2025-02-01,41,1613405.49,578373.72,1035031.77
2025-03-01,41,957553.09,545686.23,411866.86
2025-04-01,41,813562.96,117454.44,696108.52
2025-05-01,41,990413.41,106857.74,883555.67
2025-06-01,41,475087.57,158269.0,316818.57
2025-07-01,41,250498.0,555042.7,-304544.7
2025-08-01,41,233137.91,488775.79,-255637.88
2025-09-01,41,907557.14,532612.51,374944.63
2025-10-01,41,2080431.77,316996.74,1763435.03
2025-11-01,41,2409006.4,351626.48,2057379.92
2025-12-01,41,2251928.96,730268.67,1521660.29
2025-01-01,42,1186653.25,357692.69,828960.56
2025-02-01,42,1170496.82,260282.31,910214.51
2025-03-01,42,325057.04,254063.92,70993.12
2025-04-01,42,619043.77,558439.4,60604.37
2025-05-01,42,1816989.23,706127.58,1110861.65
2025-06-01,42,2264859.02,292646.82,1972212.2
2025-07-01,42,2098922.97,698707.31,1400215.66
2025-08-01,42,736714.16,174292.83,562421.33
2025-09-01,42,866395.87,665292.78,201103.09
2025-10-01,42,2212361.49,472502.45,1739859.04
2025-11-01,42,1500467.94,171632.02,1328835.92
2025-12-01,42,1744099.27,667033.32,1077065.95
2025-01-01,43,838362.35,472344.37,366017.98
2025-02-01,43,1315127.19,564610.24,750516.95
2025-03-01,43,1014329.6,233429.24,780900.36
2025-04-01,43,2041067.99,298440.95,1742627.04
2025-05-01,43,2262081.6,714965.77,1547115.83
2025-06-01,43,812992.81,174211.91,638780.9
2025-07-01,43,227214.03,650827.99,-423613.96
2025-08-01,43,1458238.46,413566.75,1044671.71
2025-09-01,43,1236694.28,620763.03,615931.25
2025-10-01,43,1541806.16,759022.68,782783.48
2025-11-01,43,2366215.61,187906.38,2178309.23
2025-12-01,43,689542.88,379607.8,309935.08
2025-01-01,44,650422.37,437721.83,212700.54
2025-02-01,44,2106178.71,256263.84,1849914.87
2025-03-01,44,1991219.37,352750.73,1638468.64
2025-04-01,44,1321088.19,398824.77,922263.42
2025-05-01,44,1896068.7,617399.65,1278669.05
2025-06-01,44,842841.78,799349.29,43492.49
2025-07-01,44,1506640.0,256437.06,1250202.94
2025-08-01,44,504270.65,278247.26,226023.39
2025-09-01,44,606869.95,681699.19,-74829.24
2025-10-01,44,487812.67,662635.09,-174822.42
2025-11-01,44,1147548.16,450385.22,697162.94
2025-12-01,44,338759.26,285602.25,53157.01
2025-01-01,45,448645.07,595342.58,-146697.51
2025-02-01,45,624327.08,133360.1,490966.98
2025-03-01,45,2414036.14,359174.19,2054861.95
2025-04-01,45,2114029.46,399794.71,1714234.75
2025-05-01,45,404728.88,379169.12,25559.76
2025-06-01,45,2420410.68,190563.19,2229847.49
2025-07-01,45,1988593.86,639014.91,1349578.95
2025-08-01,45,491490.27,278548.52,212941.75
2025-09-01,45,1423426.51,689844.77,733581.74
2025-10-01,45,325908.78,616748.36,-290839.58
2025-11-01,45,1129484.73,764278.98,365205.75
2025-12-01,45,1630320.79,380439.81,1249880.98
2025-01-01,46,850486.53,372248.63,478237.9
2025-02-01,46,2273433.8,410252.32,1863181.48
2025-03-01,46,2439098.35,429925.21,2009173.14
2025-04-01,46,1590698.41,588557.14,1002141.27
2025-05-01,46,1095387.39,566058.11,529329.28
2025-06-01,46,1727221.42,481933.02,1245288.4
2025-07-01,46,577709.42,791450.14,-213740.72
2025-08-01,46,386519.89,340726.53,45793.36
2025-09-01,46,1568102.25,729999.95,838102.3
2025-10-01,46,1046535.45,496875.45,549660.0
2025-11-01,46,347733.32,182532.31,165201.01
2025-12-01,46,588892.94,709358.32,-120465.38
2025-01-01,47,2315203.21,382472.22,1932730.99
