return_id,order_id,prod_id,return_date,reason,refund_amount
65,1156,2047,2024-08-30,Wrong Item,2143.43
66,1172,5575,2024-07-06,Wrong Item,10197.13
67,1187,576,2025-02-17,Wrong Item,125967.0
68,1200,1504,2024-12-06,Size issue,1418.71
69,1248,5877,2024-02-08,Defective,2736.79
70,1252,4746,2024-02-11,Wrong Item,120.09
71,1262,1909,2025-11-30,Defective,35998.83
72,1280,213,2024-07-25,Wrong Item,31261.71
73,1288,5304,2024-04-29,Size issue,6764.21
74,1294,2009,2025-05-14,Defective,14716.97
75,1298,2494,2025-08-15,Size issue,3048.63
76,1313,2180,2025-09-01,Defective,22475.55
77,1316,1083,2024-06-05,Defective,9909.3
78,1330,2572,2026-02-15,Not liked,4030.16
79,1339,3190,2024-03-31,Not liked,873.1
80,1349,2386,2025-10-10,Defective,3813.4
81,1361,3838,2024-03-09,Defective,9283.17
82,1367,2001,2025-02-07,Defective,8609.26
83,1371,735,2025-12-04,Size issue,19117.56
84,1422,3198,2025-05-10,Not liked,1624.19
85,1447,4815,2025-09-04,Wrong Item,1675.52
86,1458,1959,2024-05-01,Wrong Item,17937.24
87,1462,1889,2026-01-14,Defective,10723.25
88,1469,1793,2024-11-04,Size issue,13705.73
89,1514,2513,2025-08-05,Wrong Item,2291.61
90,1517,1990,2024-03-16,Wrong Item,34954.11
91,1528,337,2024-01-27,Size issue,85310.48
92,1571,3743,2025-07-21,Not liked,12733.18
93,1586,4074,2025-07-29,Wrong Item,4657.44
94,1636,4257,2024-07-03,Defective,5218.09
95,1644,3166,2025-09-09,Defective,1965.06
96,1671,1073,2025-06-27,Wrong Item,1203.91
97,1676,3237,2024-05-17,Not liked,1346.96
98,1692,5978,2025-06-25,Not liked,33131.5
99,1701,3521,2026-03-05,Wrong Item,76.25
100,1714,3868,2025-12-28,Not liked,13364.91
101,1739,2523,2024-06-10,Not liked,1201.17
102,1807,4052,2024-09-21,Wrong Item,454.79
103,1815,3689,2025-01-09,Wrong Item,341.25
104,1853,630,2025-02-19,Defective,33270.9
105,1866,3000,2025-10-24,Size issue,4381.35
106,1869,3665,2024-09-04,Not liked,1605.77
107,1880,5005,2025-05-10,Size issue,1851.91
108,1894,5132,2024-02-25,Size issue,930.22
109,1898,5959,2024-02-16,Size issue,33875.55
110,1900,1498,2025-04-11,Not liked,4432.79
111,1921,9,2024-11-01,Wrong Item,96006.93
112,1944,2680,2024-10-31,Not liked,1293.25
113,1955,3380,2024-02-14,Defective,54.08
114,1970,3819,2025-08-11,Wrong Item,1421.79
115,1975,1632,2024-08-03,Wrong Item,4384.01
116,1976,3886,2024-03-27,Wrong Item,1125.1
117,2000,5398,2025-11-16,Wrong Item,7656.58
118,2012,3958,2026-01-17,Not liked,13401.2
119,2021,1393,2026-02-10,Defective,1069.56
120,2022,3932,2025-06-21,Defective,5985.39
121,2030,1390,2024-07-29,Size issue,2549.09
122,2049,5043,2026-03-02,Wrong Item,1961.09
123,2066,6012,2024-07-17,Defective,33764.06
124,2083,5564,2025-02-26,Not liked,8114.64
125,2121,1485,2025-07-12,Size issue,7321.0
126,2148,4170,2024-08-19,Not liked,13776.34
127,2188,3289,2024-07-16,Defective,480.06
128,2234,495,2024-12-07,Size issue,98199.21
129,2258,2444,2025-06-14,Defective,2335.04
130,2259,5335,2024-03-02,Wrong Item,12882.78
131,2287,3504,2025-06-17,Not liked,130.53
132,2290,1291,2025-05-23,Size issue,8116.04
133,2295,1510,2024-04-30,Defective,2370.77
134,2325,2967,2025-07-30,Size issue,1521.02
135,2340,4073,2025-03-23,Wrong Item,6859.21
136,2368,5673,2024-07-12,Wrong Item,33535.59
137,2380,4085,2024-08-29,Not liked,11702.74
138,2410,1507,2025-01-24,Defective,4625.11
139,2434,2158,2025-09-01,Defective,33362.96
140,2436,234,2024-12-20,Size issue,69856.44
141,2439,5191,2025-10-31,Size issue,9018.89
142,2457,4723,2024-04-26,Wrong Item,2749.07
143,2493,4369,2024-03-17,Size issue,9652.8
144,2494,4242,2025-12-07,Defective,6309.88
145,2530,5583,2024-11-10,Not liked,13541.57
146,2581,2143,2024-01-24,Size issue,26129.36
147,2595,2189,2024-05-27,Defective,22533.62
148,2608,2159,2025-09-06,Size issue,37258.51
149,2615,875,2024-05-14,Defective,5246.42
150,2648,2738,2024-12-25,Size issue,3893.58
151,2664,4455,2024-10-08,Wrong Item,6248.21
152,2671,2872,2025-11-27,Not liked,1243.59
153,2678,3927,2025-03-13,Not liked,2330.32
154,2679,4329,2025-06-13,Defective,1873.7
155,2691,780,2024-12-31,Size issue,143142.45
156,2692,3890,2024-06-17,Size issue,6100.83
157,2751,3893,2024-04-24,Defective,1083.83
158,2759,1660,2025-01-22,Wrong Item,9571.98
159,2773,3675,2024-12-18,Size issue,765.72
160,2775,4086,2024-11-28,Defective,9001.49
161,2849,5818,2024-05-01,Not liked,36360.03
162,2875,1021,2025-01-06,Defective,1440.49
163,2921,944,2025-03-12,Wrong Item,2798.6
164,2939,970,2024-01-27,Wrong Item,5884.02
165,2943,5923,2025-07-18,Size issue,5581.12
166,2988,4563,2024-06-11,Defective,8631.97
167,2994,2928,2025-11-17,Not liked,2159.19
168,3013,5778,2025-09-18,Wrong Item,30042.41
169,3025,5194,2026-01-12,Size issue,5378.93
170,3032,2627,2026-01-09,Size issue,3925.82
171,3033,1722,2025-12-08,Size issue,5861.38
172,3037,3727,2024-07-23,Wrong Item,3258.01
173,3042,4403,2024-12-05,Defective,1922.75
174,3044,1079,2026-02-16,Size issue,9929.94
175,3051,4574,2025-06-02,Size issue,2643.77
176,3052,4866,2024-09-06,Not liked,1537.92
177,3104,1050,2024-12-10,Size issue,8288.13
178,3148,3131,2024-06-20,Wrong Item,1849.57
179,3151,1232,2026-03-01,Wrong Item,7042.84
180,3162,3401,2025-01-15,Defective,439.57
181,3164,673,2024-07-05,Wrong Item,6512.5
182,3167,2249,2024-03-25,Not liked,28130.04
183,3203,791,2024-08-15,Not liked,121925.71
184,3206,1932,2024-06-29,Not liked,38638.04
185,3292,2775,2024-03-13,Defective,4648.79
186,3304,3067,2024-02-17,Defective,1392.75
187,3314,410,2025-04-23,Size issue,886.65
188,3334,5688,2024-01-27,Not liked,44503.9
189,3343,1350,2025-06-29,Size issue,1908.5
190,3371,2997,2024-05-23,Wrong Item,3534.61
191,3377,5056,2024-04-16,Wrong Item,1659.01
192,3381,3895,2025-12-25,Wrong Item,10791.94
193,3385,1454,2025-10-24,Wrong Item,1196.07
194,3417,3187,2024-01-11,Size issue,1175.03
195,3434,74,2024-02-03,Not liked,139112.28
196,3450,2002,2026-01-03,Size issue,16229.02
197,3485,936,2025-11-06,Wrong Item,2260.68
198,3491,4785,2025-05-23,Size issue,184.15
199,3503,3673,2025-03-18,Size issue,1861.03
200,3511,3879,2025-07-27,Size issue,4243.39
201,3523,4940,2024-03-20,Not liked,271.73
202,3551,4094,2024-01-31,Not liked,8007.95
203,3585,5238,2025-10-14,Size issue,12619.08
204,3625,2076,2026-01-03,Not liked,33498.91
205,3628,919,2025-02-01,Wrong Item,6119.72
206,3636,1617,2025-08-13,Size issue,8777.32
207,3638,2154,2024-10-06,Defective,33661.23
208,3647,2008,2025-04-01,Size issue,17745.36
209,3648,2046,2024-04-17,Size issue,2056.43
210,3659,3093,2025-06-30,Wrong Item,983.57
211,3666,2451,2024-09-12,Not liked,985.28
212,3672,412,2025-06-04,Size issue,54356.33
213,3694,4634,2025-03-27,Wrong Item,8256.81
214,3716,5981,2024-08-15,Not liked,2864.87
215,3759,5449,2024-06-13,Defective,8271.89
216,3769,5957,2025-02-03,Size issue,33751.45
217,3773,4651,2024-05-20,Not liked,9869.79
218,3804,3128,2024-01-21,Wrong Item,1680.17
219,3809,4473,2025-12-13,Defective,5903.88
220,3828,2787,2024-05-20,Defective,4156.84
221,3838,5906,2025-12-03,Size issue,38293.94
222,3884,913,2024-01-26,Size issue,1642.86
223,3914,3574,2025-09-24,Size issue,1789.85
224,3928,441,2026-01-03,Defective,45648.99
225,3947,2120,2025-02-24,Not liked,32975.99
226,3961,5645,2024-06-16,Wrong Item,39378.9
227,3971,5287,2024-04-02,Size issue,4901.38
228,3979,1215,2025-04-11,Size issue,7743.83
229,3995,466,2026-02-22,Wrong Item,145809.79
230,4044,985,2024-08-16,Defective,5068.71
231,4079,5135,2026-02-23,Wrong Item,1277.23
232,4085,3247,2025-03-20,Defective,1166.57
233,4087,2787,2025-11-14,Not liked,4156.84
234,4091,1619,2024-11-19,Defective,2160.08
235,4100,1556,2025-06-02,Defective,8137.39
236,4102,1895,2024-02-03,Defective,24351.31
237,4126,3665,2026-02-15,Not liked,1605.77
238,4164,2440,2025-05-01,Defective,2511.22
239,4203,2029,2024-10-09,Size issue,22505.71
240,4217,5905,2025-03-02,Defective,35704.4
241,4218,802,2025-06-22,Not liked,103342.98
242,4241,2212,2024-10-20,Size issue,21425.52
243,4264,4023,2026-02-25,Defective,9999.53
244,4277,2898,2025-07-29,Size issue,3176.28
245,4280,3411,2024-04-25,Wrong Item,750.98
246,4360,5720,2025-12-01,Defective,7090.85
247,4398,2385,2026-01-19,Not liked,824.91
248,4403,5050,2024-03-23,Size issue,792.04
249,4415,5757,2024-09-17,Wrong Item,44409.68
250,4420,4435,2024-04-25,Defective,4867.67
251,4451,1071,2025-06-25,Not liked,8565.78
252,4473,2216,2024-06-11,Defective,14701.22
253,4512,5542,2025-11-19,Wrong Item,14844.55
254,4560,4028,2025-10-22,Not liked,3381.47
255,4579,4078,2025-06-04,Not liked,3359.25
256,4630,1498,2025-09-16,Wrong Item,4432.79
257,4654,1184,2024-09-02,Defective,9253.26
258,4657,3176,2026-02-11,Wrong Item,1105.93
259,4661,2150,2024-04-11,Wrong Item,16800.3
260,4703,1631,2024-12-13,Wrong Item,3390.19
261,4706,1849,2025-05-04,Defective,34564.28
262,4721,1567,2024-06-03,Defective,3691.94
263,4744,3651,2025-08-24,Defective,1051.13
264,4749,5011,2025-07-25,Not liked,1734.56
265,4769,5475,2024-03-29,Wrong Item,8949.65
266,4774,5318,2024-07-30,Wrong Item,13660.12
267,4800,3955,2024-12-22,Wrong Item,2797.78
268,4813,5228,2025-04-06,Wrong Item,5807.9
269,4818,765,2024-10-20,Size issue,44760.75
270,4821,1881,2025-02-26,Not liked,9896.62
271,4834,4642,2025-02-13,Defective,9120.42
272,4869,5111,2025-05-30,Wrong Item,580.34
273,4922,6008,2024-01-20,Wrong Item,26951.83
274,4931,3867,2025-09-16,Wrong Item,10516.23
275,4935,2719,2024-04-30,Defective,1680.57
276,4982,5372,2024-02-29,Defective,2347.2
277,4991,3162,2024-04-11,Size issue,1167.89
278,5008,46,2025-02-13,Not liked,53492.7
279,5019,1945,2024-08-20,Not liked,22967.6
280,5047,4960,2024-04-10,Defective,147.53
281,5070,5152,2024-04-10,Wrong Item,5869.18
282,5073,4777,2025-10-25,Size issue,1090.47
283,5088,2873,2025-12-22,Wrong Item,1611.84
284,5111,1567,2025-08-12,Not liked,3691.94
285,5112,5251,2024-07-14,Size issue,10017.73
286,5138,5070,2024-11-17,Wrong Item,874.15
287,5145,1672,2025-10-30,Wrong Item,7371.65
288,5163,270,2024-12-11,Wrong Item,139221.32
289,5188,2825,2025-03-26,Size issue,2114.79
290,5190,5752,2025-09-11,Defective,15921.85
291,5218,2918,2025-10-19,Defective,213.06
292,5223,3320,2025-05-06,Wrong Item,947.17
293,5263,5324,2026-01-12,Size issue,3616.04
294,5268,2265,2026-03-04,Defective,22633.98
295,5272,2468,2024-11-19,Defective,1731.24
296,5273,5521,2026-02-27,Size issue,7393.04
297,5300,892,2024-05-11,Wrong Item,1212.38
298,5302,3559,2026-01-26,Size issue,1422.08
299,5314,3018,2024-06-10,Defective,313.78
300,5325,910,2024-12-28,Not liked,7789.32
301,5343,1633,2026-01-11,Not liked,2716.66
302,5345,2910,2025-07-29,Size issue,2283.06
303,5395,3374,2025-05-22,Not liked,1495.08
304,5397,4188,2024-04-28,Wrong Item,4274.85
305,5402,459,2024-08-31,Wrong Item,103393.6
306,5415,4059,2026-02-13,Size issue,4007.12
307,5429,3439,2024-11-20,Not liked,878.19
308,5443,1598,2024-09-21,Size issue,3125.12
309,5456,4737,2024-01-20,Size issue,946.06
310,5471,3510,2024-01-17,Not liked,61.65
311,5496,4679,2025-04-29,Defective,2424.75
312,5513,1103,2025-11-18,Wrong Item,6883.79
313,5546,490,2026-03-04,Defective,18272.63
314,5572,1888,2025-04-24,Wrong Item,14352.89
315,5616,209,2024-10-21,Size issue,139603.4
316,5618,5543,2025-07-03,Size issue,3636.32
317,5648,662,2025-05-18,Size issue,17445.89
318,5668,513,2025-04-06,Defective,127006.54
319,5749,2926,2026-02-08,Size issue,913.62
320,5750,493,2024-11-09,Not liked,26976.86
321,5751,431,2025-05-25,Wrong Item,100964.41
322,5762,2376,2024-11-05,Wrong Item,4193.71
323,5774,850,2025-12-13,Not liked,8658.98
324,5915,753,2024-06-30,Wrong Item,106381.62
325,5916,1957,2025-06-24,Not liked,25718.27
326,5918,3458,2024-06-13,Size issue,534.4
327,5928,2424,2025-04-30,Size issue,460.52
328,5958,895,2024-05-30,Defective,2971.26
329,6011,5454,2026-01-05,Not liked,10732.42
330,6030,3485,2025-03-18,Wrong Item,489.6
331,6034,1360,2025-11-02,Defective,998.43
332,6101,2486,2024-05-04,Size issue,1200.53
333,6114,4672,2026-01-04,Defective,1991.87
334,6230,3189,2024-12-24,Wrong Item,583.92
335,6237,144,2024-09-24,Wrong Item,55920.76
336,6241,3673,2024-10-17,Defective,1861.03
337,6242,5171,2025-02-20,Wrong Item,7447.79
338,6264,1692,2024-08-26,Wrong Item,8459.63
339,6303,3848,2024-11-27,Size issue,8613.37
340,6311,258,2025-05-20,Wrong Item,61110.05
341,6322,2097,2024-01-28,Not liked,14418.26
342,6395,1718,2025-02-20,Not liked,7056.09
343,6424,4936,2024-09-13,Wrong Item,1292.41
344,6433,244,2025-05-24,Not liked,112091.1
345,6457,2696,2025-01-25,Size issue,727.4
346,6460,833,2024-02-21,Not liked,9101.99
347,6468,2581,2025-09-07,Size issue,3557.19
348,6471,5956,2025-10-25,Defective,23239.86
349,6510,5165,2025-06-26,Defective,4791.15
350,6530,3185,2026-03-02,Not liked,274.99
351,6562,1909,2025-09-04,Wrong Item,35998.83
352,6600,3835,2025-06-19,Size issue,2002.75
353,6635,872,2026-01-23,Not liked,4734.45
354,6639,2432,2025-05-21,Defective,428.67
355,6640,4944,2025-09-25,Not liked,1355.9
356,6680,2907,2024-08-04,Wrong Item,4154.53
357,6710,550,2025-03-02,Not liked,53508.98
358,6734,102,2025-05-02,Not liked,23229.86
359,6737,4076,2025-07-16,Defective,2653.97
360,6756,2649,2024-11-01,Not liked,4222.27
361,6790,3745,2024-07-13,Not liked,1850.11
362,6812,5506,2024-04-23,Defective,12461.49
363,6844,362,2024-02-29,Not liked,38905.21
364,6848,1430,2025-07-12,Defective,8540.51
365,6929,5096,2024-11-06,Size issue,250.47
366,6969,1336,2025-04-14,Not liked,9986.08
367,6992,5586,2024-05-01,Defective,2925.91
368,7017,5980,2025-01-07,Defective,42003.71
369,7055,5370,2025-03-06,Wrong Item,8386.67
370,7058,2901,2025-01-06,Wrong Item,2051.85
371,7108,4470,2024-06-09,Size issue,7053.99
372,7113,3222,2024-12-06,Size issue,1811.05
373,7125,1377,2025-04-13,Wrong Item,3325.17
374,7133,2861,2025-10-09,Defective,4509.88
375,7162,1687,2025-08-25,Size issue,24522.93
376,7224,4574,2024-07-24,Defective,2643.77
377,7226,3135,2025-03-16,Wrong Item,520.8
378,7248,788,2025-06-29,Defective,74738.08
379,7344,162,2024-10-30,Not liked,76491.14
380,7370,3585,2024-12-07,Not liked,803.77
381,7402,5325,2026-01-09,Not liked,1840.33
382,7419,201,2025-10-17,Not liked,106832.79
383,7428,4325,2025-03-17,Wrong Item,8950.12
384,7436,4861,2024-10-02,Wrong Item,620.05
385,7475,2287,2026-01-15,Defective,22990.33
386,7484,2168,2024-09-27,Wrong Item,16461.92
387,7497,1126,2025-09-18,Defective,2481.13
388,7510,449,2024-02-01,Size issue,10449.9
389,7521,4536,2025-08-08,Size issue,2252.52
390,7534,927,2025-03-03,Wrong Item,9288.29
391,7541,1876,2024-10-02,Defective,5585.95
392,7547,1257,2025-10-31,Defective,9802.03
393,7556,3472,2025-11-11,Not liked,217.23
394,7583,3535,2024-04-03,Wrong Item,615.41
395,7590,582,2024-07-14,Wrong Item,63050.53
396,7591,5270,2024-08-25,Not liked,14264.4
397,7611,6031,2024-10-21,Size issue,44501.1
398,7629,3227,2024-05-10,Not liked,483.58
399,7630,1690,2024-01-12,Defective,10540.67
400,7659,4625,2025-03-26,Wrong Item,8723.39
401,7687,55,2025-11-15,Wrong Item,120103.87
402,7688,1170,2025-10-31,Defective,9135.58
403,7695,1831,2025-01-12,Size issue,34487.14
404,7702,4217,2024-06-24,Not liked,11781.58
405,7708,1748,2024-12-30,Size issue,1460.07
406,7759,3796,2025-07-27,Defective,815.04
407,7774,2322,2024-10-08,Size issue,18926.66
408,7800,3240,2025-04-03,Defective,250.82
409,7842,5920,2026-02-02,Wrong Item,35883.97
410,7856,4504,2024-05-01,Defective,8979.13
411,7861,3336,2024-08-28,Defective,1490.59
412,7871,5533,2024-11-03,Not liked,1927.89
413,7880,1723,2024-01-17,Size issue,9087.15
414,7888,2395,2024-08-18,Wrong Item,3407.89
415,7941,362,2025-04-23,Not liked,38905.21
416,7962,4914,2024-10-25,Not liked,725.44
417,7968,1579,2024-10-23,Not liked,4579.55
418,7979,4115,2024-08-14,Not liked,9096.46
419,7997,912,2025-05-07,Size issue,8754.5
420,8093,5545,2025-01-24,Defective,10234.06
421,8098,3182,2024-03-24,Not liked,1946.05
422,8105,3278,2026-01-14,Size issue,572.71
423,8108,4442,2025-12-14,Defective,2121.4
424,8137,5925,2026-01-27,Size issue,8271.78
425,8163,2419,2026-01-18,Defective,3198.92
426,8182,630,2025-04-13,Defective,33270.9
427,8211,1493,2024-12-02,Wrong Item,9776.5
428,8239,3568,2024-11-20,Wrong Item,1634.82
429,8254,1913,2025-10-20,Wrong Item,17848.87
430,8262,2438,2025-04-03,Not liked,1785.63
431,8318,1218,2025-03-25,Not liked,8728.46
432,8382,5314,2025-08-15,Size issue,12852.23
433,8394,2073,2024-01-18,Not liked,5685.08
434,8411,956,2025-10-27,Not liked,9725.16
435,8417,4867,2024-03-28,Size issue,1186.45
436,8419,4067,2024-06-06,Not liked,2333.85
437,8441,2061,2024-06-14,Not liked,11032.01
438,8451,3751,2025-02-03,Defective,2951.13
439,8457,2666,2025-01-03,Size issue,990.72
440,8467,778,2024-04-13,Defective,131183.12
441,8482,4268,2025-04-10,Defective,3119.48
442,8506,270,2025-04-18,Wrong Item,139221.32
443,8594,4603,2025-03-09,Size issue,8824.19
444,8626,1085,2024-08-25,Not liked,6431.96
445,8629,5852,2024-11-16,Defective,22872.06
446,8642,5606,2025-05-09,Size issue,22888.94
447,8644,5820,2025-07-27,Size issue,22117.19
448,8647,5819,2024-08-02,Defective,46938.59
449,8690,2214,2024-02-05,Defective,29378.31
450,8697,3011,2024-03-11,Wrong Item,906.47
451,8734,337,2024-03-12,Defective,85310.48
452,8756,2437,2025-11-05,Size issue,3560.82
453,8769,4153,2024-03-18,Wrong Item,11561.22
454,8770,2574,2025-05-09,Defective,1108.55
455,8797,2134,2025-03-11,Wrong Item,14911.17
456,8817,4360,2025-02-16,Defective,2780.28
457,8881,5363,2025-02-08,Defective,11308.72
458,8885,1545,2025-09-28,Not liked,9778.55
459,8943,3710,2025-01-04,Not liked,14598.67
460,8970,1832,2024-10-20,Wrong Item,11045.5
461,8978,2534,2025-10-15,Wrong Item,4601.34
462,8992,2839,2024-02-26,Size issue,3648.53
463,8993,3514,2025-06-23,Defective,1921.28
464,9090,2303,2026-01-17,Size issue,12174.1
465,9103,3448,2026-01-05,Wrong Item,1567.0
466,9114,1572,2024-09-14,Defective,9245.34
467,9136,267,2024-03-30,Size issue,64643.44
468,9185,1172,2024-05-12,Not liked,6810.38
469,9210,1093,2025-02-22,Not liked,9318.88
470,9218,4412,2025-07-02,Defective,369.52
471,9239,5912,2024-07-16,Defective,32041.55
472,9246,3488,2024-02-04,Not liked,1243.21
473,9267,1845,2024-02-18,Defective,39414.97
474,9269,5824,2025-02-25,Defective,7476.64
475,9271,1091,2025-02-14,Wrong Item,1104.48
476,9276,2249,2025-01-17,Wrong Item,28130.04
477,9312,3216,2025-01-13,Defective,1046.35
478,9314,126,2025-11-20,Not liked,81379.76
479,9350,2554,2025-04-06,Size issue,2514.97
480,9391,5763,2024-03-11,Not liked,45603.27
481,9427,4039,2024-03-07,Size issue,11059.19
482,9482,2470,2024-12-08,Size issue,2925.98
483,9529,3383,2024-02-22,Size issue,830.87
484,9559,4944,2025-09-15,Wrong Item,1355.9
485,9568,1231,2024-06-28,Wrong Item,1085.08
486,9599,537,2026-02-14,Size issue,66959.98
487,9602,1688,2025-01-27,Size issue,517.76
488,9631,3800,2025-11-20,Size issue,10947.51
489,9641,3168,2025-11-17,Wrong Item,841.25
490,9676,2778,2024-10-19,Defective,324.0
491,9704,4714,2025-05-29,Size issue,9397.86
492,9739,5792,2025-03-09,Not liked,22066.0
493,9751,1187,2024-01-22,Size issue,521.36
494,9755,5307,2025-12-30,Wrong Item,3016.04
495,9786,4000,2025-01-21,Size issue,1291.51
496,9812,1613,2025-10-21,Not liked,8644.48
497,9813,44,2024-06-07,Wrong Item,24525.18
498,9837,1633,2024-04-11,Size issue,2716.66
499,9842,449,2024-01-17,Defective,10449.9
500,9891,3226,2024-12-05,Wrong Item,1557.95
501,9916,4055,2024-10-03,Wrong Item,9687.44
502,9927,386,2025-05-28,Size issue,65478.05
503,9935,1217,2026-03-02,Defective,8089.65
504,9952,1585,2024-11-23,Defective,2891.02
505,10002,1795,2026-02-08,Defective,3166.76
506,10009,2756,2025-12-08,Size issue,4863.44
507,10018,2400,2024-08-08,Wrong Item,1393.13
508,10022,3084,2025-08-22,Size issue,712.71
509,10065,3403,2026-01-03,Size issue,1833.36
510,10077,3577,2024-12-20,Defective,681.23
511,10083,2704,2025-08-09,Not liked,3759.52
512,10097,4164,2025-01-28,Defective,7262.62
513,10112,4200,2024-03-31,Defective,1256.3
514,10117,1168,2025-02-26,Defective,2000.6
515,10153,1317,2024-05-15,Defective,1955.45
516,10227,5666,2024-05-12,Wrong Item,15659.38
517,10245,5904,2025-04-21,Not liked,16516.57
518,10265,5777,2024-06-07,Defective,19385.13
519,10288,3947,2026-01-03,Size issue,5533.99
520,10312,5886,2024-10-31,Defective,42598.67
521,10333,348,2024-05-05,Not liked,91034.83
522,10359,484,2024-07-16,Size issue,57659.56
523,10383,3505,2025-11-28,Wrong Item,920.78
524,10390,107,2024-01-26,Wrong Item,4373.16
525,10393,5148,2025-05-11,Defective,459.83
526,10395,1231,2025-12-01,Size issue,1085.08
527,10407,4081,2025-01-23,Wrong Item,6576.56
528,10420,4625,2025-04-15,Wrong Item,8723.39
529,10466,542,2024-12-16,Not liked,3120.96
530,10471,5592,2024-01-14,Not liked,41579.67
531,10477,226,2024-02-09,Wrong Item,132486.44
532,10478,2517,2025-04-30,Size issue,622.41
533,10486,172,2024-01-25,Wrong Item,127702.12
534,10497,5540,2025-06-16,Size issue,7194.81
535,10556,4567,2024-10-01,Not liked,276.37
536,10566,469,2024-06-21,Defective,70580.13
537,10598,1960,2026-01-25,Size issue,34203.87
538,10640,4398,2024-08-02,Wrong Item,7767.79
539,10653,3801,2025-07-17,Size issue,7246.3
540,10655,5508,2024-12-16,Defective,1054.52
541,10665,512,2026-02-23,Size issue,65310.4
542,10727,4995,2025-05-25,Not liked,751.99
543,10794,166,2025-10-18,Size issue,91602.6
544,10811,1610,2024-10-01,Not liked,6824.0
545,10819,5991,2025-09-13,Not liked,14813.79
546,10820,2765,2024-12-15,Defective,3388.32
547,10832,4403,2025-03-24,Not liked,1922.75
548,10869,3892,2024-11-28,Wrong Item,12319.93
549,10878,1447,2024-03-26,Wrong Item,1510.02
550,10931,1414,2024-05-27,Not liked,3772.15
551,10946,5521,2025-10-28,Wrong Item,7393.04
552,10953,2355,2025-03-27,Defective,119.67
553,10956,3810,2024-06-24,Defective,11888.01
554,10970,107,2024-11-24,Wrong Item,4373.16
555,11009,2580,2024-03-12,Wrong Item,3474.19
556,11011,1209,2024-12-02,Not liked,4569.8
557,11035,1727,2024-06-29,Wrong Item,9150.95
558,11053,2909,2025-10-17,Not liked,1261.55
559,11115,1531,2025-06-05,Wrong Item,3511.0
560,11122,2106,2024-02-13,Size issue,4671.76
