store_id,prod_id,stock_qty,last_updated
117,526,464,2025-09-06
11,715,109,2025-09-23
77,677,348,2025-08-30
29,631,353,2025-09-16
83,173,380,2025-02-17
117,710,346,2025-02-27
188,65,457,2025-07-21
26,726,104,2025-02-17
110,378,402,2025-06-19
36,499,429,2025-04-09
188,577,184,2025-07-05
113,92,486,2025-03-06
48,182,275,2025-04-24
85,668,306,2025-08-18
115,207,194,2025-09-11
40,617,401,2025-07-29
167,1060,138,2025-09-09
4,666,72,2025-06-27
74,853,56,2025-09-24
49,828,479,2025-07-23
186,198,26,2025-08-15
36,934,335,2025-02-28
125,816,119,2025-05-18
186,1109,183,2025-01-07
23,27,315,2025-09-29
75,1087,288,2025-08-06
109,508,232,2025-03-23
52,772,202,2025-07-09
29,526,26,2025-05-01
183,392,321,2025-02-20
186,95,349,2025-02-01
168,363,192,2025-04-02
69,411,1,2025-03-31
4,828,408,2025-09-06
155,28,22,2025-08-29
126,474,102,2025-08-08
159,1131,212,2025-06-12
179,867,466,2025-08-10
194,360,167,2025-02-18
12,690,386,2025-06-15
136,74,23,2025-06-14
91,697,120,2025-07-18
99,174,158,2025-03-12
10,960,275,2025-08-12
68,145,499,2025-04-29
16,594,343,2025-01-14
107,527,494,2025-05-27
17,318,133,2025-03-17
194,852,357,2025-09-28
59,988,262,2025-05-16
185,1168,200,2025-01-08
132,327,52,2025-07-05
180,227,40,2025-03-23
186,960,15,2025-01-14
25,319,327,2025-07-16
62,441,438,2025-05-14
113,948,403,2025-03-29
189,49,183,2025-06-23
97,89,360,2025-09-14
39,785,360,2025-05-22
98,1210,129,2025-05-28
91,15,196,2025-05-12
79,298,192,2025-03-11
123,1198,51,2025-07-18
67,745,277,2025-06-09
17,1078,399,2025-08-06
20,638,219,2025-03-27
24,587,238,2025-02-08
184,1,102,2025-07-25
31,343,465,2025-08-10
96,506,80,2025-06-03
125,11,35,2025-06-19
68,697,499,2025-05-21
85,903,201,2025-03-20
142,987,87,2025-09-04
2,641,321,2025-04-12
92,836,202,2025-02-15
11,161,336,2025-05-01
157,1194,360,2025-07-09
197,1006,22,2025-06-07
15,12,174,2025-02-20
191,949,478,2025-08-20
157,638,172,2025-04-06
15,39,0,2025-04-05
100,602,271,2025-09-21
195,813,494,2025-03-12
68,829,190,2025-07-07
113,886,100,2025-07-27
56,315,259,2025-05-20
187,913,366,2025-03-02
67,183,440,2025-06-04
21,290,295,2025-03-28
78,856,474,2025-06-12
135,488,332,2025-01-13
7,669,249,2025-08-04
10,20,369,2025-09-01
178,939,292,2025-05-08
74,185,373,2025-06-10
178,883,427,2025-08-26
135,933,183,2025-07-27
63,938,291,2025-04-29
168,981,237,2025-06-09
137,178,200,2025-09-20
92,908,497,2025-08-12
61,856,471,2025-02-09
189,684,91,2025-04-26
57,838,136,2025-09-21
131,50,47,2025-04-07
34,591,411,2025-02-08
23,582,108,2025-09-06
58,630,208,2025-07-30
171,629,36,2025-08-09
151,1179,413,2025-07-23
24,1012,140,2025-01-18
63,615,61,2025-04-16
158,660,294,2025-01-09
97,445,440,2025-07-30
123,916,154,2025-07-03
119,470,102,2025-09-27
50,634,94,2025-02-16
155,957,194,2025-07-09
5,473,328,2025-01-15
77,354,209,2025-04-02
58,182,219,2025-02-08
122,646,273,2025-07-13
158,842,325,2025-03-17
130,498,492,2025-03-22
61,325,165,2025-02-26
79,385,102,2025-04-26
191,701,496,2025-04-18
8,1185,347,2025-04-27
46,495,405,2025-03-19
187,916,407,2025-03-31
144,169,491,2025-05-20
192,936,393,2025-06-03
110,869,52,2025-08-16
60,207,237,2025-10-01
41,712,206,2025-09-02
59,558,6,2025-02-03
21,986,388,2025-05-02
19,487,162,2025-05-20
183,840,184,2025-05-01
31,461,173,2025-07-23
81,544,155,2025-01-27
184,964,330,2025-01-11
163,1057,70,2025-01-13
21,78,302,2025-03-29
69,1116,29,2025-09-29
27,314,361,2025-08-24
153,487,430,2025-08-01
111,807,283,2025-08-13
151,862,469,2025-06-23
72,212,43,2025-08-04
92,662,123,2025-01-24
139,1091,45,2025-03-08
2,985,429,2025-04-25
160,84,146,2025-02-22
72,635,422,2025-03-21
157,52,196,2025-04-01
159,1112,283,2025-01-16
31,243,312,2025-01-29
195,243,38,2025-03-05
158,356,120,2025-05-16
114,1031,174,2025-03-10
119,1146,371,2025-03-22
161,790,129,2025-06-11
46,971,339,2025-03-28
96,356,284,2025-09-21
107,778,114,2025-08-20
1,153,480,2025-08-19
86,209,315,2025-08-22
75,713,456,2025-07-29
68,478,317,2025-08-17
186,553,9,2025-09-13
27,238,492,2025-04-04
102,52,108,2025-05-13
157,143,490,2025-09-11
115,433,483,2025-09-23
9,785,258,2025-01-19
93,194,168,2025-09-24
15,91,15,2025-07-13
118,1032,120,2025-01-09
62,640,279,2025-04-08
72,469,240,2025-03-13
61,542,416,2025-03-09
102,1180,475,2025-08-15
119,1097,397,2025-05-13
37,1132,200,2025-09-10
129,222,419,2025-06-11
130,233,460,2025-01-03
169,914,215,2025-09-16
62,402,171,2025-07-13
127,1072,432,2025-07-23
129,911,366,2025-07-07
11,416,178,2025-05-19
12,699,237,2025-07-26
25,188,137,2025-01-03
171,642,150,2025-07-12
164,1126,269,2025-02-05
163,764,102,2025-05-30
151,245,318,2025-01-19
144,834,464,2025-02-03
85,909,203,2025-01-12
181,842,33,2025-08-05
191,467,388,2025-07-16
172,245,379,2025-05-18
17,1133,172,2025-03-08
42,51,343,2025-08-30
194,86,23,2025-02-15
178,1150,285,2025-08-26
75,42,29,2025-05-30
118,169,29,2025-02-03
187,442,191,2025-05-24
197,748,495,2025-05-28
27,1033,196,2025-06-03
133,191,448,2025-09-08
200,365,151,2025-07-05
114,1128,216,2025-06-14
197,1043,398,2025-06-04
102,352,299,2025-03-20
115,414,123,2025-04-09
12,128,85,2025-08-06
38,993,240,2025-07-12
150,552,191,2025-02-15
158,654,7,2025-06-24
119,364,9,2025-01-27
64,1092,15,2025-03-03
92,143,258,2025-06-30
120,495,34,2025-05-22
188,6,380,2025-05-18
76,384,28,2025-07-07
109,473,444,2025-09-03
58,1074,86,2025-09-15
14,199,257,2025-09-01
97,708,75,2025-04-19
106,974,104,2025-03-05
175,791,469,2025-07-26
100,580,434,2025-09-22
137,108,478,2025-03-15
65,925,199,2025-03-05
127,464,48,2025-08-25
65,886,461,2025-06-22
8,717,61,2025-07-07
97,549,337,2025-03-07
122,163,150,2025-03-01
77,599,138,2025-07-17
2,393,44,2025-08-12
35,609,373,2025-01-12
38,789,237,2025-02-11
54,1149,202,2025-07-05
171,82,326,2025-04-10
29,260,385,2025-07-20
165,759,148,2025-07-04
90,1134,22,2025-01-22
57,747,65,2025-07-18
61,211,376,2025-05-29
68,900,443,2025-08-21
44,578,278,2025-03-07
69,803,199,2025-04-29
150,1073,285,2025-09-21
146,310,307,2025-02-17
186,94,145,2025-05-24
66,888,261,2025-07-13
105,1009,332,2025-04-04
187,207,196,2025-09-06
198,204,45,2025-07-12
187,493,278,2025-04-28
112,611,90,2025-08-14
64,1107,495,2025-05-04
39,586,69,2025-04-10
34,147,18,2025-06-07
8,197,162,2025-09-22
154,430,400,2025-09-08
4,1118,79,2025-01-30
160,721,189,2025-09-25
51,1073,205,2025-08-05
198,879,398,2025-09-02
38,726,339,2025-09-07
146,715,137,2025-07-28
123,178,78,2025-06-09
78,35,193,2025-09-27
197,794,304,2025-01-13
198,1160,312,2025-08-17
148,538,309,2025-09-12
159,576,387,2025-04-25
87,906,195,2025-07-05
6,497,194,2025-04-24
115,107,286,2025-04-08
179,616,85,2025-07-04
71,735,13,2025-07-01
82,71,30,2025-08-11
145,374,175,2025-05-25
122,1115,81,2025-08-05
182,900,387,2025-01-07
128,946,422,2025-08-07
193,967,11,2025-02-13
15,727,58,2025-03-30
161,100,216,2025-08-04
136,545,299,2025-06-09
165,1076,492,2025-02-05
37,243,75,2025-04-18
131,987,20,2025-05-30
161,349,2,2025-02-11
38,522,249,2025-08-08
172,261,398,2025-03-21
75,1193,385,2025-04-19
139,30,278,2025-10-01
145,135,446,2025-04-25
191,744,117,2025-02-27
189,788,66,2025-09-22
155,226,228,2025-03-02
189,911,382,2025-06-30
180,268,392,2025-06-22
71,376,353,2025-06-05
115,9,107,2025-05-03
178,903,154,2025-08-27
24,660,150,2025-01-18
61,773,357,2025-01-15
127,672,200,2025-09-30
61,49,438,2025-02-02
46,477,398,2025-07-05
47,974,206,2025-04-26
183,202,428,2025-03-05
136,216,177,2025-07-04
16,223,450,2025-01-20
156,300,182,2025-04-28
144,1162,493,2025-09-25
65,789,288,2025-08-23
95,1183,155,2025-05-15
107,188,224,2025-06-30
120,804,406,2025-07-29
140,1136,9,2025-01-04
145,608,217,2025-04-16
61,853,106,2025-09-11
20,411,227,2025-07-02
198,229,374,2025-08-07
84,94,211,2025-01-28
75,237,356,2025-02-05
129,436,276,2025-05-20
45,219,448,2025-09-25
123,1061,60,2025-07-30
25,549,343,2025-02-08
195,1039,7,2025-08-08
117,368,483,2025-07-23
115,459,151,2025-09-12
75,1006,214,2025-09-29
180,416,246,2025-01-30
156,911,62,2025-05-07
96,187,110,2025-04-27
53,444,140,2025-06-07
87,256,409,2025-07-29
191,40,490,2025-06-22
49,537,275,2025-01-14
41,919,74,2025-04-06
176,650,153,2025-09-26
39,652,123,2025-06-20
178,757,47,2025-02-28
66,1007,194,2025-01-29
166,1209,412,2025-01-21
103,540,302,2025-06-02
78,965,96,2025-06-09
182,1166,371,2025-06-08
28,938,355,2025-09-18
82,406,23,2025-09-26
2,35,145,2025-06-20
56,312,167,2025-06-15
42,49,28,2025-05-23
62,724,38,2025-08-29
57,52,422,2025-04-18
188,1083,1,2025-01-03
142,288,48,2025-03-18
79,154,187,2025-08-07
152,856,18,2025-03-18
94,284,274,2025-06-08
81,129,283,2025-06-14
115,247,188,2025-08-01
157,662,376,2025-06-17
171,446,86,2025-08-04
159,569,446,2025-02-24
31,929,182,2025-07-01
61,420,410,2025-04-18
39,696,400,2025-06-08
92,251,304,2025-05-04
151,2,82,2025-06-18
185,66,105,2025-02-13
14,166,84,2025-01-07
163,424,31,2025-03-13
29,1016,272,2025-02-11
157,110,431,2025-08-07
24,867,113,2025-07-14
50,676,176,2025-08-18
115,907,70,2025-06-18
14,634,425,2025-04-18
70,1082,408,2025-01-07
40,913,342,2025-05-25
18,939,353,2025-05-30
85,812,193,2025-09-13
8,1165,291,2025-09-24
69,285,392,2025-02-04
105,2,45,2025-07-22
13,56,480,2025-02-11
20,451,252,2025-06-10
183,1154,370,2025-09-07
139,204,491,2025-02-17
8,622,224,2025-08-05
20,1049,339,2025-05-21
135,274,312,2025-08-15
29,897,352,2025-06-17
83,60,172,2025-05-12
46,157,460,2025-03-18
185,1208,81,2025-02-15
200,323,93,2025-09-25
146,219,197,2025-04-02
178,277,394,2025-04-21
17,722,367,2025-06-11
54,1108,491,2025-06-01
157,637,126,2025-05-12
56,289,98,2025-02-08
174,443,174,2025-08-01
126,765,233,2025-07-29
200,932,484,2025-05-15
50,255,328,2025-06-24
78,757,259,2025-03-11
185,1093,181,2025-04-08
78,413,455,2025-08-03
23,829,17,2025-08-03
150,543,223,2025-06-15
76,1202,231,2025-09-05
82,920,343,2025-09-04
37,59,184,2025-02-18
164,825,238,2025-10-01
103,957,202,2025-03-25
26,621,207,2025-08-16
127,180,38,2025-03-03
53,1077,263,2025-05-09
26,80,130,2025-03-18
111,689,412,2025-05-23
113,160,388,2025-01-04
186,616,11,2025-07-24
72,240,151,2025-05-11
17,254,394,2025-08-27
80,108,297,2025-08-09
124,319,282,2025-02-25
173,324,104,2025-01-15
149,898,355,2025-09-03
44,376,247,2025-04-22
128,661,4,2025-09-25
176,649,26,2025-06-10
88,46,463,2025-02-06
199,153,69,2025-01-05
65,485,338,2025-07-31
7,1033,112,2025-09-10
115,384,57,2025-03-06
157,361,362,2025-07-21
145,146,323,2025-08-30
107,816,413,2025-02-28
20,236,17,2025-09-13
171,408,121,2025-01-12
37,26,449,2025-09-09
15,1099,35,2025-02-03
35,991,323,2025-06-29
12,38,146,2025-04-05
10,1092,92,2025-09-03
188,250,155,2025-02-15
128,27,458,2025-09-06
116,317,29,2025-05-13
91,1185,10,2025-02-28
106,680,392,2025-09-01
14,21,293,2025-07-30
186,419,433,2025-09-27
70,1131,210,2025-05-24
48,417,307,2025-06-15
9,315,18,2025-03-06
47,341,329,2025-01-10
157,1074,471,2025-08-06
34,140,55,2025-02-11
2,628,170,2025-05-28
152,1142,409,2025-09-14
91,900,93,2025-05-23
176,87,399,2025-01-09
10,1090,194,2025-04-02
13,753,198,2025-06-12
191,86,286,2025-01-11
2,627,296,2025-03-21
171,1185,49,2025-06-11
35,739,199,2025-06-20
156,169,381,2025-04-20
167,752,177,2025-06-20
107,1060,405,2025-07-10
33,740,198,2025-07-03
17,570,236,2025-02-15
101,896,133,2025-07-28
147,1038,258,2025-07-23
141,53,219,2025-02-28
138,293,375,2025-03-10
195,929,240,2025-08-17
21,120,490,2025-03-04
123,815,287,2025-06-17
74,407,333,2025-05-07
154,530,194,2025-04-02
73,754,377,2025-06-07
198,743,419,2025-08-12
137,924,469,2025-05-12
22,925,450,2025-08-13
169,163,178,2025-06-11
147,731,463,2025-03-17
200,894,192,2025-08-20
122,874,92,2025-03-17
10,743,320,2025-03-25
106,86,418,2025-06-19
51,713,468,2025-03-28
55,2,201,2025-09-07
75,717,139,2025-06-17
91,1063,113,2025-09-22
51,567,299,2025-04-06
14,958,90,2025-01-12
147,66,498,2025-02-12
104,449,320,2025-08-21
162,732,415,2025-05-22
40,289,334,2025-05-14
136,815,466,2025-07-01
97,551,88,2025-03-05
163,1165,359,2025-09-06
111,745,458,2025-06-28
46,342,371,2025-06-03
180,1069,487,2025-07-28
80,309,64,2025-08-10
178,686,460,2025-07-25
104,857,302,2025-05-09
197,628,482,2025-06-01
15,999,357,2025-06-04
168,1098,382,2025-04-10
29,1167,368,2025-04-07
139,671,3,2025-02-01
129,735,477,2025-04-13
94,326,390,2025-04-15
37,980,496,2025-09-12
177,116,77,2025-05-11
44,157,81,2025-04-30
167,492,407,2025-06-20
178,1192,430,2025-01-08
6,510,460,2025-06-02
120,342,494,2025-06-25
70,926,12,2025-06-05
104,463,258,2025-01-22
108,1044,437,2025-03-26
40,8,454,2025-05-20
195,1215,241,2025-03-15
40,440,17,2025-03-24
41,120,134,2025-02-25
119,219,0,2025-08-22
80,502,329,2025-08-19
108,1199,460,2025-04-14
2,246,437,2025-02-26
50,268,47,2025-09-10
191,1147,97,2025-03-04
39,786,186,2025-03-01
146,818,236,2025-02-15
48,585,27,2025-07-28
82,558,144,2025-01-09
144,198,24,2025-03-16
193,41,211,2025-02-07
7,398,89,2025-07-18
36,326,177,2025-07-19
147,732,269,2025-05-10
57,220,176,2025-05-13
80,945,194,2025-02-17
93,992,288,2025-09-04
46,198,302,2025-03-04
102,518,26,2025-09-18
139,681,317,2025-08-21
48,303,346,2025-04-03
1,695,127,2025-01-27
60,547,137,2025-03-17
70,1146,291,2025-04-02
63,861,430,2025-07-14
67,753,126,2025-03-30
78,297,29,2025-07-26
94,1005,344,2025-08-09
192,270,402,2025-06-23
169,1109,220,2025-06-21
168,633,347,2025-09-25
165,1025,243,2025-01-09
176,104,38,2025-01-30
70,611,255,2025-01-27
139,167,254,2025-05-01
155,724,201,2025-08-31
105,224,405,2025-05-25
101,464,427,2025-06-13
103,369,392,2025-02-05
121,972,336,2025-08-30
74,292,221,2025-03-21
45,1016,322,2025-01-14
61,242,11,2025-05-27
88,852,460,2025-04-04
200,653,391,2025-07-18
87,728,233,2025-05-27
70,1199,410,2025-09-12
116,736,272,2025-04-28
118,1118,209,2025-07-08
96,761,186,2025-05-17
154,605,457,2025-03-28
34,1111,36,2025-07-23
77,997,37,2025-09-27
198,675,225,2025-02-05
74,1162,412,2025-03-13
165,903,34,2025-02-02
155,868,148,2025-08-02
107,1034,483,2025-04-11
62,18,356,2025-08-11
113,836,79,2025-06-22
17,224,72,2025-09-17
170,437,248,2025-06-29
86,1053,194,2025-06-03
135,1035,4,2025-01-24
76,1201,45,2025-02-20
81,630,20,2025-01-08
159,931,144,2025-09-26
169,682,2,2025-03-27
171,888,369,2025-08-08
31,190,212,2025-07-25
91,973,248,2025-06-08
197,71,157,2025-05-15
74,1206,498,2025-07-05
69,654,54,2025-01-29
78,858,251,2025-02-16
86,855,147,2025-06-30
37,6,80,2025-08-19
129,505,338,2025-05-19
181,164,62,2025-08-20
50,1006,341,2025-05-26
12,787,401,2025-07-23
45,198,307,2025-04-19
136,134,286,2025-09-23
195,255,248,2025-09-05
90,501,422,2025-06-18
15,323,402,2025-08-27
48,88,136,2025-02-19
94,608,215,2025-05-05
115,1039,35,2025-06-27
54,491,278,2025-09-08
53,69,239,2025-05-02
190,29,496,2025-09-13
91,546,359,2025-09-27
167,1206,189,2025-01-05
153,281,95,2025-06-22
58,57,292,2025-06-26
68,942,310,2025-01-25
166,858,95,2025-08-20
124,59,103,2025-06-01
37,642,322,2025-09-17
55,299,391,2025-09-05
8,605,204,2025-08-13
142,86,95,2025-01-04
74,1027,449,2025-04-14
73,29,316,2025-02-06
196,579,370,2025-04-14
33,1099,41,2025-02-14
122,397,320,2025-07-09
164,191,119,2025-01-29
111,224,275,2025-03-18
140,692,420,2025-01-24
155,477,387,2025-02-11
158,51,433,2025-05-01
131,1088,420,2025-08-14
6,565,132,2025-07-01
74,197,362,2025-09-26
41,791,3,2025-03-30
182,481,474,2025-02-16
173,348,34,2025-04-25
19,97,21,2025-03-10
170,1151,114,2025-04-26
145,1035,321,2025-01-25
195,1058,444,2025-01-05
16,1120,265,2025-03-05
31,1170,404,2025-03-28
78,52,175,2025-05-18
35,1125,128,2025-05-14
108,619,184,2025-04-22
83,457,35,2025-01-18
80,631,366,2025-03-23
68,750,37,2025-09-11
48,747,77,2025-05-16
54,931,355,2025-09-23
7,257,497,2025-03-20
109,1080,18,2025-05-23
158,464,458,2025-08-19
142,1204,395,2025-08-30
111,866,142,2025-04-02
104,964,256,2025-08-06
174,1068,257,2025-08-05
6,413,369,2025-08-26
190,618,140,2025-07-10
99,836,25,2025-01-17
155,324,419,2025-07-01
188,1101,391,2025-08-16
168,848,361,2025-09-07
1,916,155,2025-03-20
37,512,308,2025-03-01
174,1112,174,2025-09-21
125,21,407,2025-06-30
199,523,497,2025-08-08
116,473,396,2025-01-01
55,56,187,2025-05-13
193,953,224,2025-07-04
112,962,276,2025-06-01
45,1182,98,2025-01-20
173,932,124,2025-07-19
170,1127,130,2025-02-28
24,68,396,2025-01-20
183,217,213,2025-07-31
125,656,410,2025-06-25
79,1164,22,2025-08-12
123,739,299,2025-05-27
8,817,63,2025-01-13
193,517,91,2025-01-27
151,172,446,2025-09-15
16,151,351,2025-02-15
47,229,455,2025-09-02
33,266,230,2025-03-03
133,193,424,2025-09-29
168,985,236,2025-09-26
89,466,8,2025-06-13
163,262,366,2025-02-12
139,1173,207,2025-06-30
15,718,333,2025-03-17
67,910,297,2025-07-20
85,99,426,2025-07-13
159,658,434,2025-07-02
53,223,337,2025-06-20
131,446,274,2025-07-21
48,952,352,2025-07-16
108,864,181,2025-09-03
199,393,399,2025-05-30
77,519,44,2025-06-07
144,481,360,2025-04-02
195,864,409,2025-05-21
83,294,464,2025-09-16
162,775,433,2025-02-24
48,246,175,2025-03-20
2,181,330,2025-04-19
191,1122,403,2025-08-12
167,433,396,2025-03-12
3,258,434,2025-06-10
75,700,365,2025-09-25
157,530,474,2025-09-18
30,1019,216,2025-06-14
59,8,286,2025-04-23
101,1146,213,2025-08-14
146,628,476,2025-06-05
173,906,408,2025-04-17
59,1147,262,2025-06-30
138,696,470,2025-03-24
40,974,449,2025-03-01
182,1129,91,2025-01-20
129,389,397,2025-07-18
46,624,444,2025-03-16
17,784,445,2025-07-25
184,702,105,2025-03-08
180,93,453,2025-02-09
113,391,72,2025-08-17
169,827,488,2025-03-22
110,1100,415,2025-01-15
69,546,36,2025-04-20
71,546,215,2025-05-24
101,1015,150,2025-09-04
17,274,328,2025-04-17
15,553,105,2025-02-09
18,1212,422,2025-02-13
89,977,214,2025-05-14
144,643,102,2025-09-20
115,141,462,2025-02-14
37,559,450,2025-02-25
8,397,438,2025-05-25
74,1071,449,2025-05-07
76,584,315,2025-05-11
38,356,493,2025-05-10
168,220,11,2025-08-08
69,1074,37,2025-03-27
9,332,188,2025-09-23
186,171,346,2025-09-30
30,111,296,2025-01-22
58,1102,439,2025-07-23
13,330,176,2025-06-14
37,765,314,2025-04-30
191,971,177,2025-07-12
135,990,425,2025-03-04
50,979,397,2025-01-27
128,727,400,2025-08-28
80,608,75,2025-01-25
122,979,77,2025-01-06
118,224,125,2025-04-14
173,1181,165,2025-02-02
12,616,280,2025-05-24
97,939,385,2025-02-06
45,368,408,2025-03-01
48,759,132,2025-05-17
160,209,359,2025-01-01
134,377,252,2025-04-01
23,409,470,2025-07-06
53,458,450,2025-04-05
147,707,291,2025-03-29
46,1164,130,2025-04-01
77,959,312,2025-07-02
3,929,143,2025-04-04
118,1094,205,2025-01-30
139,1157,466,2025-08-21
184,955,191,2025-01-16
160,931,500,2025-02-15
84,520,85,2025-08-18
145,1110,1,2025-01-05
122,144,115,2025-02-06
78,234,344,2025-05-10
200,409,410,2025-08-12
68,496,182,2025-02-01
30,861,127,2025-08-06
61,102,437,2025-06-12
12,34,126,2025-02-16
89,379,473,2025-01-28
126,534,62,2025-06-24
56,773,139,2025-09-03
118,908,242,2025-05-24
148,738,174,2025-02-08
45,134,206,2025-07-14
37,228,472,2025-06-13
163,884,370,2025-08-25
168,1072,309,2025-07-14
5,594,242,2025-04-14
162,331,209,2025-05-10
60,861,421,2025-04-08
57,1092,357,2025-05-07
122,32,183,2025-03-22
118,131,247,2025-04-14
67,129,262,2025-07-30
174,577,212,2025-01-12
120,145,415,2025-06-14
176,737,94,2025-03-07
75,661,205,2025-02-14
34,507,204,2025-08-16
124,591,104,2025-08-14
9,337,361,2025-02-24
94,492,54,2025-07-31
183,8,41,2025-04-24
12,598,241,2025-06-19
191,457,114,2025-01-23
195,783,172,2025-02-09
183,1215,138,2025-04-05
62,172,211,2025-08-15
31,977,475,2025-09-26
15,405,246,2025-03-21
95,237,36,2025-02-17
153,141,108,2025-04-26
130,1117,40,2025-02-03
125,810,108,2025-04-13
81,1077,315,2025-08-29
73,1117,302,2025-09-18
33,83,18,2025-07-22
58,185,411,2025-03-14
146,917,60,2025-02-12
82,23,46,2025-04-07
143,1170,27,2025-05-06
180,172,200,2025-04-14
17,1209,127,2025-08-09
13,965,395,2025-06-07
42,186,365,2025-09-21
144,1030,122,2025-06-13
91,1050,200,2025-05-16
7,638,469,2025-03-04
49,257,326,2025-01-10
182,334,273,2025-01-19
169,432,385,2025-07-07
58,609,404,2025-09-01
