store_expense_id,store_id,expense_type,amount,expense_date
60,149,Security,3287.04,2025-06-14
61,8,Water,3917.34,2025-08-30
62,94,Water,2749.92,2025-07-23
63,178,Repair,8295.94,2026-02-07
64,23,Internet,3599.7,2025-07-15
65,126,Security,2845.3,2025-05-14
66,64,Internet,5449.83,2025-07-26
67,23,Security,1452.2,2026-02-25
68,133,Repair,8031.86,2025-08-14
69,173,Security,791.78,2025-09-19
70,179,Repair,9869.53,2025-04-04
71,52,Water,7733.84,2025-04-15
72,74,Water,2027.22,2025-06-04
73,134,Water,104.95,2025-05-01
74,24,Electricity,8163.84,2025-12-24
75,172,Repair,7083.23,2026-01-23
76,159,Repair,7303.62,2025-12-25
77,161,Water,7724.14,2025-09-23
78,53,Security,786.74,2025-06-18
79,119,Security,3616.73,2026-01-09
80,6,Cleaning,1202.9,2025-05-07
81,86,Security,8637.88,2026-01-11
82,13,Electricity,6251.82,2025-10-28
83,140,Security,3342.44,2025-08-11
84,115,Internet,682.41,2026-02-02
85,132,Cleaning,3144.27,2025-09-07
86,200,Water,3285.57,2025-10-30
87,161,Electricity,7309.58,2025-03-22
88,24,Cleaning,6393.7,2025-12-30
89,93,Water,8877.77,2025-06-15
90,76,Internet,4748.54,2025-03-28
91,176,Security,1239.96,2025-07-08
92,68,Electricity,7146.79,2026-02-15
93,128,Repair,7619.81,2026-02-19
94,31,Cleaning,5634.71,2025-04-24
95,116,Water,7721.12,2025-08-14
96,163,Internet,4963.27,2025-07-09
97,193,Security,5251.19,2025-03-23
98,76,Electricity,4304.03,2025-12-27
99,101,Electricity,302.92,2025-09-15
100,132,Electricity,1123.52,2025-12-03
101,135,Electricity,362.72,2025-09-10
102,63,Repair,6382.28,2025-05-20
103,21,Security,3177.84,2025-10-28
104,24,Electricity,5110.28,2025-07-07
105,99,Repair,9080.29,2025-08-26
106,25,Cleaning,2530.46,2025-10-05
107,106,Internet,4133.31,2025-09-04
108,183,Water,7567.73,2025-08-16
109,47,Water,2326.54,2025-09-13
110,177,Internet,815.95,2025-12-05
111,158,Internet,2933.03,2025-08-08
112,115,Cleaning,1654.15,2025-04-11
113,128,Repair,9300.49,2026-01-20
114,137,Repair,8090.8,2025-06-16
115,130,Security,6352.37,2025-05-12
116,94,Internet,8721.03,2025-03-09
117,95,Cleaning,8046.54,2026-01-08
118,106,Water,1906.37,2025-09-19
119,162,Electricity,8930.96,2025-07-31
120,67,Repair,5416.46,2025-03-07
121,12,Water,8084.03,2025-08-02
122,134,Repair,8966.11,2025-09-14
123,24,Electricity,3214.13,2026-01-16
124,103,Water,1145.02,2025-04-29
125,133,Repair,2317.95,2025-05-12
126,187,Cleaning,4299.72,2025-07-29
127,75,Security,8189.25,2026-01-11
128,5,Security,8614.27,2025-06-15
129,108,Security,119.17,2025-07-26
130,195,Electricity,5131.94,2025-02-25
131,179,Water,4203.24,2025-07-19
132,168,Cleaning,2259.97,2025-07-18
133,71,Security,1242.66,2025-04-17
134,91,Cleaning,3409.27,2025-06-29
135,78,Repair,9431.95,2026-02-05
136,42,Water,3265.87,2025-12-17
137,175,Security,5211.97,2026-02-12
138,5,Repair,7045.04,2025-06-24
139,53,Internet,3668.11,2025-12-10
140,22,Cleaning,9719.23,2026-01-29
141,131,Internet,9626.35,2025-05-30
142,38,Water,2555.23,2025-06-22
143,46,Electricity,4997.62,2025-12-22
144,64,Cleaning,3043.74,2025-11-03
145,15,Water,2884.16,2025-08-11
146,133,Repair,417.03,2025-10-10
147,80,Water,6115.17,2025-09-06
148,180,Cleaning,5051.66,2025-11-12
149,47,Repair,562.21,2025-05-29
150,127,Security,2822.53,2025-11-06
151,35,Repair,9087.25,2025-04-06
152,70,Internet,2433.64,2025-07-03
153,75,Repair,1491.7,2025-04-16
154,162,Internet,4920.05,2025-06-12
155,170,Security,9857.22,2025-06-14
156,191,Water,2458.45,2025-09-03
157,25,Security,6737.75,2025-08-26
158,71,Security,7628.12,2025-10-29
159,164,Internet,2414.49,2025-10-18
160,36,Security,7295.75,2025-03-27
161,159,Security,3709.44,2025-03-31
162,168,Security,6341.44,2025-05-27
163,48,Cleaning,6353.62,2025-06-13
164,161,Security,5380.96,2025-12-12
165,182,Water,948.38,2025-11-05
166,105,Internet,8361.26,2025-10-27
167,147,Water,3241.76,2026-02-22
168,120,Repair,1905.86,2026-01-22
169,59,Repair,455.71,2025-12-18
170,127,Internet,5929.38,2026-02-04
171,198,Security,6791.77,2026-01-18
172,59,Repair,215.05,2025-04-29
173,131,Cleaning,5145.33,2025-10-26
174,148,Water,2303.63,2025-05-03
175,127,Water,6469.47,2025-05-01
176,96,Electricity,1784.95,2025-05-05
177,144,Electricity,6924.83,2025-11-04
178,186,Security,3898.02,2025-03-19
179,131,Electricity,9370.46,2025-11-05
180,28,Internet,1418.33,2025-03-25
181,11,Cleaning,3443.61,2025-06-09
182,137,Repair,1179.06,2025-08-17
183,46,Internet,9250.7,2025-07-16
184,126,Security,8779.53,2025-07-04
185,110,Repair,2616.52,2025-09-30
186,118,Electricity,6616.84,2025-06-12
187,106,Repair,8181.36,2025-12-30
188,191,Repair,5574.25,2025-12-08
189,30,Security,5320.02,2025-05-20
190,198,Water,2456.43,2025-12-05
191,110,Electricity,976.37,2025-11-12
192,181,Water,8977.3,2026-02-15
193,187,Electricity,9009.16,2026-02-02
194,145,Electricity,6349.36,2025-06-17
195,140,Internet,3423.35,2025-12-11
196,27,Electricity,3524.64,2025-07-27
197,199,Cleaning,7273.26,2025-09-29
198,33,Internet,8976.25,2026-02-07
199,134,Electricity,8876.51,2025-05-08
200,157,Internet,7809.76,2025-07-16
201,165,Internet,6438.21,2026-01-25
202,130,Water,887.19,2025-03-03
203,78,Repair,1658.21,2025-09-08
204,74,Repair,8990.61,2025-10-11
205,176,Cleaning,6083.97,2025-06-09
206,60,Water,141.51,2025-03-08
207,195,Repair,1059.64,2025-05-31
208,100,Water,6651.84,2025-04-29
209,31,Internet,100.36,2025-05-17
210,83,Repair,1650.04,2026-01-05
211,134,Water,5509.9,2026-02-25
212,131,Security,6934.36,2025-03-21
213,18,Security,6537.01,2025-08-25
214,182,Security,2281.48,2025-07-08
215,128,Security,7136.18,2025-04-21
216,74,Security,2410.63,2026-01-11
217,49,Cleaning,3287.73,2025-04-02
218,19,Internet,7477.59,2025-10-20
219,115,Security,6513.85,2025-05-04
220,70,Water,8499.77,2025-04-03
221,178,Cleaning,6593.25,2025-04-03
222,18,Security,5704.67,2025-05-28
223,18,Cleaning,982.06,2025-11-09
224,76,Water,3708.77,2025-12-10
225,18,Repair,2688.76,2026-02-02
226,167,Repair,2477.7,2026-01-18
227,78,Water,9731.46,2026-01-12
228,154,Electricity,3961.32,2025-04-05
229,184,Repair,8925.86,2025-11-05
230,17,Electricity,6329.83,2025-12-18
231,101,Security,7958.37,2026-02-13
232,194,Internet,5051.24,2025-07-08
233,197,Security,5790.19,2026-02-14
234,78,Cleaning,4950.55,2025-02-28
235,164,Water,1992.67,2025-11-01
236,119,Security,7238.4,2025-10-14
237,151,Repair,2843.69,2025-08-07
238,20,Water,291.94,2025-05-13
239,39,Cleaning,6472.45,2025-10-21
240,111,Repair,1812.25,2025-03-13
241,100,Internet,9407.56,2025-10-25
242,162,Security,9541.59,2026-02-16
243,53,Internet,9152.9,2025-10-01
244,53,Cleaning,3733.08,2026-01-16
245,2,Electricity,203.79,2025-05-10
246,57,Security,9286.77,2025-03-24
247,45,Water,4310.43,2026-01-29
248,151,Security,9668.22,2025-08-21
249,31,Security,9638.02,2025-05-05
250,185,Internet,8537.44,2025-05-31
251,34,Internet,2979.77,2025-09-24
252,91,Water,3881.72,2026-01-11
253,1,Repair,8518.81,2026-02-14
254,79,Water,3203.37,2025-03-06
255,106,Electricity,1736.45,2025-12-18
256,43,Repair,5590.17,2025-03-14
257,43,Cleaning,9364.74,2025-03-11
258,195,Security,6975.5,2025-02-26
259,165,Internet,5722.11,2025-10-27
260,159,Cleaning,1016.91,2026-01-05
261,170,Internet,6169.32,2026-01-05
262,198,Water,9901.04,2025-03-12
263,175,Repair,1443.84,2025-03-26
264,171,Water,5207.38,2025-11-04
265,184,Repair,8779.86,2025-11-03
266,25,Security,7420.65,2025-10-31
267,118,Security,6985.31,2025-06-30
268,189,Water,7039.72,2025-08-14
269,111,Water,3626.94,2025-11-17
270,114,Internet,2971.24,2025-08-09
271,4,Electricity,8103.14,2025-11-10
272,68,Water,8110.63,2025-08-31
273,27,Internet,8677.37,2025-09-21
274,55,Internet,9136.74,2025-09-11
275,121,Cleaning,5137.86,2026-02-25
276,68,Electricity,5040.09,2025-07-10
277,139,Security,7993.04,2025-04-24
278,103,Internet,6517.14,2025-03-16
279,90,Water,7034.57,2025-04-06
280,71,Electricity,7968.14,2026-01-15
281,162,Cleaning,8905.55,2025-12-14
282,69,Internet,3413.05,2025-06-20
283,103,Electricity,3787.05,2025-03-19
284,159,Electricity,985.12,2025-04-24
285,178,Electricity,5803.89,2025-10-18
286,79,Internet,407.63,2025-03-25
287,35,Electricity,4682.7,2025-09-03
288,91,Internet,5449.31,2025-10-21
289,87,Electricity,2901.09,2026-01-22
290,184,Electricity,5928.79,2025-06-27
291,17,Water,353.48,2025-11-28
292,26,Cleaning,421.61,2025-06-12
293,163,Water,8234.88,2026-02-11
294,110,Water,3633.9,2025-10-19
295,58,Cleaning,1314.25,2025-06-26
296,121,Repair,5246.32,2025-12-26
297,21,Cleaning,7711.44,2025-04-20
298,14,Cleaning,2197.42,2025-09-18
299,128,Repair,6247.76,2025-08-27
300,100,Electricity,899.21,2026-01-15
301,79,Electricity,564.23,2026-02-12
302,17,Cleaning,5336.98,2026-01-24
303,137,Security,5429.32,2025-07-05
304,45,Cleaning,6392.43,2025-04-08
305,107,Security,7274.61,2025-03-03
306,100,Security,9759.73,2025-03-17
307,181,Repair,5187.19,2026-02-04
308,199,Security,3263.42,2026-01-10
309,53,Water,7962.1,2026-01-31
310,19,Repair,2744.78,2025-06-14
311,113,Electricity,4417.77,2025-09-14
312,96,Cleaning,830.64,2025-10-14
313,68,Security,302.24,2025-10-26
314,100,Cleaning,9628.35,2025-05-04
315,25,Electricity,8368.0,2025-08-08
316,5,Electricity,6974.94,2025-11-26
317,174,Security,4119.08,2026-01-12
318,46,Internet,1774.28,2025-09-13
319,125,Cleaning,1606.55,2025-07-01
320,58,Repair,2539.92,2025-03-27
321,72,Water,5514.81,2026-02-13
322,186,Cleaning,7160.23,2025-05-29
323,22,Internet,6618.96,2025-08-03
324,56,Security,2835.34,2026-01-02
325,150,Electricity,9550.91,2025-11-27
326,163,Repair,7392.07,2025-11-13
327,141,Internet,5565.82,2025-10-08
328,4,Cleaning,6136.62,2025-07-30
329,149,Cleaning,4225.02,2025-03-04
330,40,Security,2514.92,2025-06-24
331,63,Internet,3591.93,2025-08-31
332,93,Electricity,7590.57,2026-01-06
333,30,Cleaning,193.22,2025-05-12
334,193,Internet,1204.92,2025-05-17
335,166,Electricity,507.73,2025-04-10
336,198,Cleaning,455.25,2025-03-26
337,159,Electricity,8561.83,2025-12-30
338,123,Cleaning,7051.4,2025-06-06
339,27,Security,4768.03,2025-12-21
340,162,Electricity,1023.45,2025-12-28
341,163,Security,4941.58,2025-07-02
342,172,Security,4761.04,2025-07-02
343,122,Internet,1773.36,2025-05-05
344,113,Repair,4366.82,2025-10-09
345,67,Water,4015.12,2025-09-26
346,107,Internet,6177.71,2025-08-23
347,89,Internet,6369.18,2025-05-10
348,108,Water,500.77,2025-03-24
349,120,Security,3777.4,2025-05-13
350,38,Security,6277.31,2025-09-06
351,168,Water,5056.21,2025-03-07
352,62,Repair,8572.07,2025-07-26
353,117,Internet,6604.0,2025-07-23
354,159,Security,1671.2,2025-12-21
355,128,Internet,752.16,2025-05-20
356,142,Internet,6442.07,2025-07-29
357,97,Cleaning,313.79,2025-08-09
358,27,Repair,5878.47,2025-03-13
359,135,Cleaning,9405.29,2025-02-28
360,93,Internet,5775.97,2025-12-29
361,23,Water,3912.29,2025-09-24
362,183,Repair,6450.72,2025-07-06
363,145,Repair,4609.62,2025-08-03
364,121,Internet,5478.89,2025-10-18
365,125,Security,9417.57,2025-12-16
366,163,Internet,3891.72,2025-11-06
367,82,Internet,9613.85,2025-08-29
368,94,Security,9058.24,2025-04-10
369,96,Internet,1998.12,2025-11-07
370,115,Cleaning,740.14,2025-09-29
371,177,Cleaning,1052.74,2025-06-20
372,148,Electricity,231.31,2025-04-19
373,190,Security,989.71,2025-08-26
374,142,Water,6845.92,2025-09-06
375,159,Water,758.33,2025-08-09
376,83,Electricity,3223.81,2026-02-09
377,154,Electricity,8456.51,2025-02-28
378,144,Internet,281.56,2025-07-22
379,27,Internet,8153.96,2025-04-25
380,195,Water,2854.46,2026-01-24
381,161,Electricity,1225.74,2025-08-24
382,72,Electricity,6982.53,2026-02-02
383,122,Internet,6307.98,2025-05-10
384,107,Repair,8780.85,2025-11-19
385,177,Water,7363.96,2025-11-03
386,45,Repair,8044.64,2025-08-28
387,137,Cleaning,2856.24,2025-04-04
388,93,Internet,1815.52,2025-09-01
389,182,Security,7518.62,2025-05-07
390,81,Repair,8078.01,2026-01-29
391,173,Water,9905.53,2025-07-27
392,176,Internet,4155.55,2025-03-15
393,8,Security,3751.58,2025-12-12
394,76,Internet,7775.31,2026-01-04
395,150,Repair,3441.0,2025-10-18
396,45,Security,9311.04,2025-07-10
397,2,Electricity,8591.21,2025-07-02
398,64,Repair,4318.49,2025-07-13
399,85,Cleaning,7521.17,2026-02-15
400,186,Security,7557.7,2025-11-26
401,147,Electricity,1076.08,2025-11-26
402,127,Security,9030.4,2025-12-04
403,8,Cleaning,5077.26,2025-08-08
404,195,Cleaning,8273.25,2026-02-07
405,82,Internet,3234.49,2025-07-29
406,47,Repair,8960.46,2026-01-07
407,122,Electricity,3922.56,2025-11-30
408,43,Cleaning,157.83,2025-08-23
409,189,Security,9058.55,2025-07-23
410,95,Cleaning,958.3,2026-02-05
411,25,Electricity,3227.17,2025-11-11
412,103,Security,9503.12,2025-05-25
413,81,Security,9508.54,2025-05-10
414,57,Water,5755.71,2025-06-18
415,68,Cleaning,6336.78,2025-12-18
416,37,Repair,4512.03,2025-10-20
417,91,Internet,2967.45,2025-06-09
418,127,Electricity,3320.21,2025-08-07
419,37,Repair,6741.56,2026-01-07
420,126,Water,7536.13,2025-06-24
421,75,Cleaning,7926.21,2025-06-24
422,40,Cleaning,7906.7,2025-05-12
423,123,Electricity,957.5,2025-05-22
424,138,Cleaning,4969.48,2025-04-08
425,145,Security,622.71,2025-11-06
426,132,Cleaning,5517.81,2025-12-11
427,146,Electricity,4443.23,2025-12-15
428,144,Electricity,8882.66,2025-03-10
429,146,Repair,3541.6,2026-01-17
430,128,Security,1214.82,2025-11-03
431,165,Internet,1472.77,2025-08-03
432,24,Water,7627.03,2025-04-28
433,59,Electricity,6201.27,2025-04-19
434,107,Electricity,1056.17,2025-11-22
435,101,Electricity,886.86,2026-01-09
436,111,Cleaning,7024.64,2025-09-21
437,95,Cleaning,773.99,2025-05-06
438,184,Security,8227.51,2025-05-08
439,57,Security,7077.11,2025-07-05
440,43,Repair,859.42,2025-04-11
441,52,Cleaning,894.14,2025-12-20
442,98,Water,9867.06,2025-11-19
443,14,Water,3773.99,2025-08-21
444,87,Electricity,3737.89,2025-07-29
445,19,Water,8137.36,2025-05-21
446,48,Internet,9475.12,2025-08-30
447,71,Repair,9860.71,2025-09-11
448,61,Cleaning,7546.11,2025-07-28
449,99,Security,3793.78,2025-04-29
450,57,Cleaning,880.83,2025-04-18
451,100,Cleaning,7782.61,2025-10-01
452,36,Cleaning,5606.12,2026-02-05
453,99,Security,4271.01,2025-12-06
454,144,Repair,9068.23,2026-01-18
455,13,Security,1156.41,2025-08-13
456,40,Security,4951.62,2026-01-03
457,39,Internet,162.97,2026-01-28
458,108,Water,4713.17,2025-12-30
459,58,Internet,610.22,2025-04-13
460,47,Cleaning,1232.24,2025-05-31
461,116,Security,1219.39,2025-04-07
462,48,Electricity,6509.64,2025-11-21
463,94,Internet,7473.15,2026-01-29
464,48,Water,5854.52,2025-09-04
465,126,Cleaning,9623.62,2025-11-25
466,153,Cleaning,3779.96,2025-09-17
467,101,Water,2892.84,2025-04-16
468,153,Security,8692.56,2025-05-14
469,175,Security,2274.78,2025-11-24
470,160,Cleaning,9634.06,2025-05-04
471,192,Internet,170.94,2025-10-28
472,87,Security,9700.29,2025-11-25
473,13,Internet,479.44,2025-06-05
474,143,Water,8916.87,2025-05-21
475,133,Water,5300.63,2026-01-18
476,135,Security,9930.0,2025-12-29
477,24,Security,784.28,2025-05-16
478,108,Cleaning,5560.85,2025-09-10
479,26,Security,9694.56,2026-01-29
480,77,Security,5254.82,2025-10-15
481,83,Electricity,6312.52,2025-08-24
482,46,Water,6972.7,2025-10-18
483,138,Security,4572.68,2025-09-23
484,68,Cleaning,6294.2,2025-11-12
485,3,Electricity,5863.93,2025-03-08
486,18,Electricity,9016.52,2025-03-21
487,49,Security,502.19,2025-04-13
488,158,Cleaning,2845.58,2025-09-29
489,39,Electricity,9506.59,2025-06-15
490,106,Cleaning,8908.12,2026-02-03
491,131,Repair,4583.78,2025-08-13
492,195,Internet,6220.32,2025-10-15
493,40,Internet,2809.94,2025-03-03
494,99,Cleaning,1921.81,2025-04-04
495,180,Water,4663.8,2026-02-21
496,45,Internet,3565.85,2025-09-24
497,166,Water,5857.38,2025-03-31
498,135,Internet,823.46,2025-04-14
499,41,Water,9745.23,2025-04-23
500,107,Internet,9862.8,2025-03-23
501,1,Cleaning,6996.71,2025-11-11
502,40,Security,5384.16,2025-07-13
503,161,Security,3129.8,2025-05-07
504,2,Electricity,8147.26,2025-05-01
505,159,Water,6863.08,2025-05-25
506,72,Water,1668.04,2025-04-22
507,174,Water,9113.73,2026-01-04
508,157,Cleaning,8234.25,2025-10-29
509,159,Cleaning,9500.51,2025-09-23
510,16,Water,7270.91,2025-11-11
511,182,Internet,6153.48,2025-06-03
512,38,Repair,4211.52,2025-11-30
513,112,Security,9330.65,2025-06-05
514,13,Internet,8667.34,2025-10-02
515,86,Repair,499.93,2025-07-01
516,91,Water,312.35,2025-06-26
517,43,Electricity,3795.81,2025-09-20
518,74,Cleaning,8115.01,2025-07-19
519,199,Repair,9873.4,2025-10-11
520,76,Security,1546.65,2025-08-29
521,117,Repair,5961.6,2025-10-21
522,109,Electricity,3839.86,2025-12-27
523,12,Water,9700.65,2025-05-02
524,60,Security,8429.08,2025-08-19
525,172,Security,8391.37,2025-05-09
526,195,Water,4713.5,2025-09-13
527,37,Security,4177.45,2025-07-25
528,94,Electricity,2770.4,2025-04-30
529,11,Electricity,610.94,2025-03-20
530,189,Electricity,8653.99,2025-05-29
531,194,Water,8138.37,2025-05-08
532,138,Water,9997.19,2025-03-16
533,26,Security,9966.54,2025-10-08
534,111,Water,5576.55,2025-12-14
535,58,Cleaning,7701.42,2025-12-08
536,179,Water,9450.42,2025-04-28
537,177,Repair,8503.99,2025-09-21
538,98,Electricity,2511.11,2025-09-13
539,86,Water,4532.91,2025-10-27
540,73,Cleaning,1335.14,2025-07-23
541,59,Cleaning,9542.81,2026-01-11
542,179,Repair,6081.44,2025-09-13
543,199,Security,2325.0,2025-11-23
544,165,Cleaning,6733.42,2025-12-05
545,93,Repair,6200.38,2025-07-14
546,127,Electricity,3613.72,2025-08-13
547,158,Cleaning,1179.9,2025-08-16
548,142,Electricity,6732.15,2025-09-13
549,153,Electricity,5227.06,2026-01-21
550,52,Security,7734.57,2026-01-07
551,188,Security,5225.63,2025-10-07
552,4,Security,8529.21,2026-01-05
553,30,Security,5541.47,2025-12-04
554,76,Internet,5631.33,2025-04-12
555,178,Water,8772.7,2026-01-21
556,187,Electricity,4064.65,2025-03-19
557,58,Repair,1383.45,2025-12-08
558,188,Repair,336.39,2025-12-28
559,171,Water,7563.62,2025-07-08
560,151,Water,6222.08,2025-03-12
561,155,Cleaning,7055.59,2025-09-09
562,105,Security,2168.99,2026-01-03
563,127,Internet,1406.9,2025-09-30
564,153,Internet,194.72,2026-01-11
565,47,Repair,3538.35,2025-08-27
566,112,Security,5919.68,2025-12-16
567,154,Electricity,3952.83,2025-09-07
568,63,Repair,4402.88,2025-11-25
569,128,Internet,9046.38,2025-10-15
570,110,Water,3515.14,2026-01-18
571,8,Cleaning,5164.2,2025-02-26
572,162,Water,7847.35,2025-03-23
573,13,Security,3995.6,2025-10-22
574,134,Cleaning,6239.76,2025-11-30
575,50,Water,8630.52,2025-07-10
576,81,Electricity,9497.73,2025-08-28
577,26,Water,1513.38,2025-07-01
578,150,Cleaning,9269.55,2025-06-11
579,90,Cleaning,4946.56,2026-02-21
580,150,Repair,2619.53,2025-05-15
581,140,Repair,4618.4,2025-12-18
582,38,Cleaning,9801.32,2025-10-22
583,21,Repair,4951.55,2025-08-16
584,115,Security,3321.08,2025-09-18
585,101,Cleaning,6352.34,2025-06-23
586,152,Water,2439.45,2025-11-20
587,191,Water,804.84,2026-01-03
588,6,Water,1332.35,2025-08-13
589,107,Cleaning,1324.06,2026-01-19
590,199,Internet,1561.43,2025-05-21
591,57,Internet,1431.33,2025-12-03
592,87,Water,6426.7,2025-09-29
593,159,Security,1859.71,2025-06-26
594,164,Repair,3489.39,2026-01-11
595,137,Water,8973.04,2025-08-18
596,20,Cleaning,4765.92,2026-01-05
597,28,Electricity,6692.2,2025-10-26
598,66,Security,1764.58,2025-11-12
599,112,Internet,1963.28,2025-12-19
600,69,Cleaning,456.64,2026-02-01
601,79,Internet,1730.9,2025-03-20
602,165,Cleaning,2821.97,2026-01-18
603,139,Water,1811.25,2025-10-14
604,148,Water,932.59,2025-07-09
605,8,Internet,1250.33,2025-11-14
606,27,Electricity,4634.75,2025-12-10
607,60,Water,2103.02,2025-09-25
608,163,Cleaning,3674.49,2026-02-06
609,53,Water,5059.0,2026-01-08
610,99,Security,6919.43,2025-12-20
611,149,Electricity,441.16,2025-11-24
612,38,Water,8004.13,2025-04-24
613,59,Repair,6297.61,2025-03-01
614,87,Electricity,863.5,2026-02-02
615,40,Security,8742.11,2025-09-11
616,10,Internet,9212.68,2025-10-20
617,64,Water,657.73,2025-11-22
618,131,Cleaning,2804.93,2025-06-26
619,141,Security,8071.7,2025-12-03
620,18,Internet,7495.18,2026-01-13
621,14,Cleaning,1885.98,2025-10-16
622,171,Internet,2133.03,2025-07-05
623,115,Cleaning,3736.2,2025-07-10
624,157,Cleaning,4871.0,2025-11-25
625,9,Repair,6201.63,2025-02-25
626,197,Water,3720.69,2025-06-01
627,34,Electricity,4652.22,2025-08-06
628,7,Internet,7487.34,2025-10-07
629,119,Cleaning,415.0,2025-10-15
630,68,Repair,2561.75,2025-07-03
631,42,Electricity,7147.83,2025-05-31
632,23,Repair,8957.31,2026-02-25
633,90,Internet,5141.19,2026-01-29
634,128,Water,5344.53,2025-10-02
635,84,Water,1116.36,2025-12-26
636,29,Cleaning,4501.75,2025-07-25
637,197,Electricity,5349.54,2025-10-24
638,35,Repair,2462.58,2025-04-08
639,184,Water,2728.97,2025-04-27
640,176,Water,3803.98,2025-08-30
641,65,Cleaning,249.71,2025-09-21
642,13,Cleaning,3254.69,2025-11-12
643,109,Water,2153.91,2025-10-21
644,103,Repair,3308.6,2025-07-17
645,11,Repair,1241.63,2026-02-11
646,107,Internet,8910.75,2025-07-09
647,127,Internet,5956.24,2025-12-28
648,64,Electricity,6807.07,2025-12-14
649,149,Internet,7902.25,2026-02-02
650,128,Security,5009.5,2026-02-12
651,185,Electricity,914.86,2025-12-11
652,108,Electricity,5394.21,2025-06-17
653,54,Repair,5889.07,2025-04-06
654,145,Water,7467.12,2026-01-03
655,148,Cleaning,4345.01,2025-10-05
656,36,Cleaning,1319.42,2025-02-26
657,146,Cleaning,2873.57,2025-07-15
658,19,Internet,3662.67,2025-07-26
659,198,Repair,6476.88,2025-03-07
660,189,Electricity,5729.24,2025-11-20
661,69,Security,3593.16,2025-03-05
662,96,Internet,9865.83,2026-02-18
663,141,Water,6077.46,2025-11-18
664,130,Cleaning,2410.41,2025-05-10
665,92,Repair,1062.74,2025-11-03
666,152,Repair,1570.95,2026-01-07
667,160,Security,2497.28,2025-07-23
668,57,Water,1648.78,2025-08-05
669,19,Electricity,1906.34,2025-03-08
670,72,Internet,2886.7,2025-12-09
671,94,Internet,1775.07,2025-11-19
672,198,Repair,8972.82,2025-03-12
673,168,Water,848.33,2026-01-13
674,143,Cleaning,5268.89,2025-06-19
675,150,Security,4133.45,2025-07-31
676,187,Water,9824.67,2025-03-23
677,142,Electricity,1164.79,2025-08-03
678,126,Electricity,4008.66,2025-07-07
679,34,Internet,9696.23,2025-12-21
680,1,Cleaning,8661.8,2026-02-18
681,24,Internet,8179.87,2025-06-30
682,59,Cleaning,2616.13,2025-09-03
683,114,Repair,1750.33,2025-07-24
684,30,Repair,6703.0,2025-08-28
685,197,Cleaning,9297.29,2025-08-27
686,127,Security,5589.79,2026-02-18
687,107,Cleaning,5737.55,2025-07-29
688,112,Internet,2835.79,2026-01-11
689,132,Cleaning,7706.45,2025-03-05
690,91,Water,1911.09,2025-07-30
691,80,Repair,3270.61,2025-03-14
692,199,Repair,4283.09,2026-01-18
693,30,Repair,5100.72,2025-11-13
694,108,Security,2461.98,2025-08-06
695,55,Internet,1192.63,2025-04-14
696,26,Cleaning,6125.67,2025-09-07
