store_id,product_id,quantity_on_hand,reorder_level
115,2073,53,10
131,3107,14,34
199,1750,163,38
128,3874,28,16
120,2221,165,23
153,535,83,25
113,3946,94,28
15,2139,187,33
83,3658,121,14
188,784,80,18
83,5814,100,34
23,3652,129,14
11,626,169,34
187,398,141,12
116,3920,174,21
162,3183,106,12
103,3923,198,27
7,4474,12,14
106,2691,132,11
172,2346,152,15
192,5315,100,31
114,5810,193,20
23,1207,46,45
102,4290,127,38
58,1748,59,10
20,2613,24,42
155,4506,53,39
117,4115,0,12
188,4469,99,29
136,6012,167,11
101,3954,121,12
195,111,47,11
2,866,48,14
22,2352,4,48
70,1720,76,37
103,5632,101,30
104,157,135,20
36,1589,50,24
108,1818,18,29
24,5499,168,22
140,2977,35,21
22,1733,101,29
83,3690,133,27
73,2633,195,18
124,475,55,33
81,3194,187,37
151,2235,59,19
74,1499,169,46
191,3546,154,37
30,3301,190,22
147,5710,87,26
26,3203,117,48
128,3770,159,27
11,917,34,44
20,3070,172,22
118,1637,130,26
56,1448,56,35
173,4808,137,13
196,2630,142,40
47,4153,177,38
89,2694,70,20
58,4471,144,22
10,1723,129,19
22,3879,110,35
71,5579,11,21
24,3198,7,33
194,1605,2,13
96,3402,1,34
189,564,138,15
7,1895,78,24
72,3110,69,18
127,3655,71,40
38,2415,18,35
149,1610,62,41
136,185,189,38
121,3719,108,20
89,3378,141,11
28,1864,145,30
92,296,182,36
54,4136,14,27
159,5340,154,43
116,4698,99,43
116,5122,184,10
120,3950,181,18
41,4348,109,49
37,5527,190,41
125,3665,190,11
166,1193,142,41
179,185,29,19
76,2087,103,18
37,4762,118,27
101,2143,134,22
31,4403,192,44
190,4679,90,44
146,5653,103,47
90,5108,116,47
6,2106,94,44
137,4119,71,37
139,5965,68,33
95,5751,67,42
119,298,71,22
110,860,149,36
120,936,76,30
130,702,192,13
123,2829,49,13
29,3242,55,37
110,3650,114,19
121,2603,80,11
179,5843,60,11
69,561,168,14
151,5467,126,14
7,1676,107,41
128,1270,58,16
56,2088,118,43
127,5578,181,11
77,4988,123,35
62,508,126,10
74,2908,14,40
15,1656,185,24
53,4096,120,28
171,4228,166,26
120,4188,156,17
35,3626,171,11
14,2269,98,39
93,5516,116,30
197,2929,46,33
122,1302,114,42
177,4164,21,24
18,5490,162,48
179,1608,86,17
129,5341,12,36
125,4167,172,36
27,2440,186,43
64,4626,78,10
60,2108,84,17
169,4553,194,17
149,445,196,47
14,740,78,39
116,543,48,16
148,5233,43,42
92,4559,193,34
85,3825,102,26
87,5430,15,23
139,1192,107,20
120,5043,145,49
194,202,115,41
84,1480,180,19
24,3673,194,27
119,3748,68,33
89,4102,142,24
37,1559,43,44
86,4708,105,18
127,5524,65,20
152,3005,54,29
15,5207,93,34
12,855,8,14
95,629,78,43
192,1316,175,49
31,5421,10,28
181,1366,78,37
94,2391,159,25
84,5162,70,26
72,841,47,39
44,2333,67,43
30,5141,116,37
35,5350,154,47
21,3518,158,30
111,4517,95,10
63,1189,37,32
92,5315,94,27
145,3361,109,35
12,1778,183,45
146,5949,42,35
92,304,10,43
60,999,78,46
67,5547,156,48
115,1104,11,10
15,1044,35,11
16,5675,71,42
22,74,148,10
118,5916,175,34
113,5485,43,48
95,8,66,45
191,5223,102,43
159,4952,64,44
1,1940,123,27
75,3725,150,49
6,1421,18,37
87,1257,154,37
137,2975,15,28
180,1807,3,48
62,2383,75,33
58,1762,156,38
108,47,13,19
19,4606,195,44
109,3108,133,29
141,2912,21,30
123,1279,162,44
160,3028,94,45
100,2841,37,43
9,3125,160,43
49,1110,146,47
165,4291,169,41
31,1961,159,47
159,1705,92,13
59,4676,197,41
183,2002,157,27
147,168,38,44
191,3477,103,17
130,4447,126,46
45,1890,153,30
96,2193,121,30
43,3445,133,42
98,3828,197,10
1,2906,36,31
189,2393,84,48
131,516,82,36
91,2108,115,28
44,2812,137,21
135,4060,126,27
33,3494,91,38
137,3010,98,38
30,451,87,32
146,4765,75,28
56,5020,89,11
105,1638,131,41
31,2823,31,49
200,1429,154,42
191,4302,167,34
178,4212,190,30
89,2092,33,24
1,1239,76,23
110,3636,136,46
82,2659,36,49
19,4701,132,48
115,5101,149,49
126,3891,28,21
64,3991,76,17
53,5189,141,14
6,782,107,38
17,4879,0,28
46,3198,3,20
200,4259,153,19
118,11,102,25
73,5704,84,26
101,3442,48,15
183,3477,69,28
91,3727,172,35
6,4141,84,10
198,5708,23,14
109,3815,127,35
196,3592,111,13
40,4888,79,35
91,3143,13,46
66,1817,8,45
137,3953,119,25
11,5349,19,20
148,3921,87,40
116,3966,32,12
43,4447,131,32
58,127,98,23
154,3978,36,19
38,4343,100,33
94,3179,188,49
36,4530,109,45
183,3314,76,25
6,4792,19,36
131,1537,124,13
65,2154,145,44
124,1328,55,22
192,3994,40,15
186,6026,53,14
117,4826,2,27
186,1722,9,16
18,5165,85,32
151,2322,105,36
96,5561,176,16
157,2755,15,24
151,1948,197,42
128,2897,40,28
36,163,90,26
70,3481,190,24
95,4665,25,21
134,4925,127,38
162,4438,99,10
44,4306,95,41
44,3979,85,23
27,3834,94,22
100,5237,183,47
52,2617,171,30
170,3499,11,10
25,1711,11,49
74,298,16,44
39,1412,162,48
167,409,88,10
140,2850,58,18
139,1592,183,27
113,69,97,47
3,3625,105,28
115,3745,139,37
22,3326,161,25
4,2604,102,22
136,2140,102,20
14,3564,34,42
14,3156,23,27
16,842,88,44
160,158,14,44
64,5500,171,27
16,5315,14,38
52,5343,157,46
19,5928,61,25
69,2663,23,44
140,5151,63,13
93,4191,178,21
5,3082,102,36
42,4936,60,36
17,1749,10,33
111,3285,15,46
72,1195,54,42
104,4910,199,26
94,5077,55,10
10,2271,124,23
16,1435,5,29
144,861,28,24
42,1998,86,19
3,1035,161,49
151,327,111,46
121,5253,81,28
156,5353,98,48
173,2619,71,44
196,5537,80,29
24,4179,36,32
19,815,60,25
75,112,81,46
40,2729,4,15
46,5385,107,35
40,4491,83,19
62,3235,129,32
18,4748,158,47
140,5260,196,24
142,3710,118,26
82,1634,159,28
189,2098,15,45
108,2739,31,48
12,1913,89,40
104,2212,98,24
155,2846,100,26
134,425,168,11
88,3682,55,27
115,5809,6,11
33,4023,8,25
118,3791,116,13
80,3962,28,46
178,3464,8,19
12,1843,171,45
95,2407,16,37
185,490,198,13
53,4401,102,15
13,1097,107,32
122,1242,97,33
200,5055,169,16
102,2675,159,24
131,678,178,16
192,2910,4,39
58,3726,181,18
4,522,42,38
173,3756,8,37
66,6016,168,12
115,1433,141,29
36,2516,162,45
23,587,197,43
19,51,106,37
40,4386,17,49
72,68,29,12
144,5988,144,13
58,3253,128,20
107,3892,45,39
18,2972,118,23
36,330,46,47
152,2264,153,33
129,1414,10,17
1,4389,182,18
64,4362,90,13
62,4324,13,31
110,1193,192,49
164,5556,38,21
75,5922,104,48
146,3337,100,18
16,41,162,46
17,3438,157,19
24,5633,140,38
98,4210,95,40
196,1728,78,29
130,5260,101,22
138,663,28,39
181,2689,33,32
179,5343,107,39
197,614,130,49
14,5017,53,28
112,1446,89,10
66,891,93,43
82,5239,88,22
93,1796,195,28
181,5547,90,16
192,32,197,12
72,3228,155,35
101,3227,138,40
49,1288,15,22
90,1047,163,34
190,4512,158,46
37,4739,86,24
177,4652,79,30
196,4790,170,45
161,326,176,21
150,4095,92,23
70,3505,101,35
33,4539,9,33
28,5626,133,46
88,4057,38,23
4,1597,53,14
66,5801,194,19
77,1491,174,20
110,1357,97,18
49,1065,79,34
128,2462,148,44
139,5468,104,37
35,1450,100,24
167,1316,13,42
138,5176,158,31
74,1607,52,30
200,3539,33,32
69,6001,19,18
151,4174,183,15
34,5745,159,20
124,1818,20,14
111,5518,134,13
32,2215,22,19
16,5728,187,40
68,5743,166,29
54,1852,133,42
124,5854,155,25
156,1308,92,11
112,2220,191,46
60,1298,159,23
78,3614,198,47
76,2278,101,26
60,2815,82,45
85,1222,37,42
112,1478,75,46
80,131,63,30
118,3591,69,41
172,4642,51,30
2,1089,107,30
23,667,164,24
46,5942,156,36
73,1103,117,42
54,2091,128,19
71,4829,97,21
125,3444,187,47
81,2167,107,12
9,2856,130,33
70,2078,106,11
172,5548,189,10
84,613,10,30
74,1969,138,19
73,4951,184,12
12,4907,5,31
32,2694,112,22
162,4402,183,26
83,3118,44,46
33,5990,148,38
64,5416,173,11
48,5356,154,20
16,4382,69,10
178,5105,9,18
114,888,37,34
151,2334,199,25
26,769,90,33
54,1437,185,28
172,3801,51,31
37,3807,122,29
9,3471,109,31
13,3217,142,24
60,4409,23,29
106,4687,24,46
126,2716,161,25
80,1242,177,15
128,3924,131,44
130,3615,4,30
60,2355,88,16
185,2420,29,49
115,334,143,20
43,2333,196,48
147,5326,84,30
124,5992,192,19
139,3086,12,39
47,4052,91,29
63,3625,123,39
135,2723,99,49
94,2821,137,49
123,1984,124,47
31,4047,125,17
55,1336,96,10
153,1799,107,20
200,1804,32,15
30,1760,95,10
36,4885,189,49
50,4132,73,35
142,4641,80,43
29,3716,156,31
155,4531,98,14
117,4809,76,38
178,3623,199,45
36,4551,74,37
162,4370,107,31
21,3131,1,38
38,3709,24,39
75,5527,188,44
178,3871,62,47
126,4580,79,12
37,4035,39,43
120,53,54,32
147,3126,172,41
118,830,158,40
1,2196,172,26
168,4377,149,12
55,4446,111,12
154,2739,27,31
171,2965,185,17
59,382,108,25
51,3248,186,43
107,3835,79,16
143,4835,78,21
8,3427,163,31
94,5854,197,30
142,400,36,42
97,1879,15,44
7,956,151,21
18,1227,155,14
12,1676,166,39
2,5219,114,22
178,197,30,38
93,5944,186,27
149,3561,118,28
7,1190,167,14
12,3606,193,14
84,3153,120,25
57,5110,17,17
78,5653,145,12
74,3821,129,12
23,5236,34,10
30,5261,186,14
111,5806,167,19
58,5455,121,26
95,1323,79,22
52,5175,164,39
56,1227,26,20
10,583,79,20
147,4201,25,35
147,2720,83,34
108,2704,99,41
87,4826,155,11
187,6008,150,28
172,5499,180,39
187,1705,175,23
84,2230,106,36
4,5666,194,12
97,341,87,24
112,5010,80,36
193,1356,193,16
141,5461,153,26
67,1417,126,37
140,943,31,26
93,3773,156,30
183,3195,133,45
189,1163,160,30
95,5237,121,34
41,1163,40,46
164,3537,17,42
2,113,46,22
22,3554,89,17
150,1944,109,46
41,4714,140,12
95,5387,40,46
116,3576,73,29
120,4384,73,43
14,615,83,17
93,922,141,19
35,4498,160,41
178,5626,1,45
9,1740,19,46
118,3818,17,47
96,5666,101,36
59,1115,83,23
56,3445,115,34
10,2658,144,36
25,3393,23,41
173,847,102,45
11,5006,111,47
101,2859,112,17
9,667,176,46
135,3267,172,23
71,4219,100,29
162,1024,55,34
83,502,63,46
20,4731,166,29
114,831,178,18
89,4275,30,18
5,5858,108,35
112,733,177,22
55,1865,38,13
89,1295,54,41
15,3457,163,11
176,2597,109,49
4,4618,129,23
78,4770,19,48
120,4841,62,18
113,4811,89,46
21,688,100,32
137,1974,21,10
66,3694,14,30
107,2628,153,46
163,3914,102,15
112,2288,44,26
117,650,23,32
179,5223,70,21
128,5535,162,33
102,2674,35,15
78,628,2,31
37,2417,65,38
6,5899,11,16
82,5636,50,25
86,3818,47,11
82,3177,10,37
51,2507,18,10
66,5253,107,48
96,4007,164,26
145,425,112,37
65,4491,44,49
9,1072,124,32
141,3194,102,14
101,3016,187,14
186,3833,109,16
158,5941,34,14
31,2361,139,44
151,3496,166,49
63,2300,161,13
156,5054,15,15
59,3901,88,35
10,2100,41,31
89,3740,15,31
124,4339,101,40
100,4173,178,43
90,2346,62,17
26,4430,5,28
77,5283,155,28
17,354,45,12
168,3081,65,44
68,2311,194,28
23,5433,74,46
163,36,90,34
9,1806,96,49
45,4682,13,20
165,755,104,29
197,81,88,41
147,330,166,30
75,3480,172,39
27,807,180,17
141,3327,184,14
185,2471,185,45
188,4520,143,37
140,2191,50,49
9,4750,99,39
92,2447,44,39
77,4095,54,40
84,5373,192,25
77,3474,106,22
155,390,67,42
191,5821,157,25
29,1288,49,43
150,3694,39,11
73,5938,7,27
88,3986,78,12
106,3295,77,24
147,3173,56,26
38,5955,103,23
95,3736,58,15
39,1499,135,48
143,3032,16,44
54,5800,73,44
160,4987,146,12
110,5784,139,48
112,2037,60,22
174,3980,44,30
189,2215,17,10
52,1243,63,12
162,3485,120,12
35,1025,17,13
198,4225,177,48
37,5752,22,21
78,4773,105,34
61,652,2,43
111,2631,54,46
114,1261,56,43
177,3760,158,13
9,5160,41,31
19,5775,117,40
121,4762,89,39
105,409,102,16
156,5983,190,47
80,3754,48,47
26,2585,119,15
166,3609,37,44
40,1945,73,46
25,785,185,34
99,4427,160,14
118,3861,144,17
69,5050,160,10
71,5999,43,22
151,5345,90,17
89,2379,136,28
65,4485,176,17
150,4706,11,48
64,2457,169,41
196,4481,15,46
58,5054,130,19
156,2040,31,17
112,3233,195,47
123,1998,146,36
97,3759,61,30
196,4924,40,11
106,3115,4,47
4,645,60,44
129,858,149,17
26,3775,60,30
33,1794,89,22
27,5222,51,27
42,2563,161,10
197,5121,5,28
71,2018,91,11
64,3817,45,16
25,1163,5,49
72,766,164,29
105,3811,62,37
132,3187,7,18
12,3013,167,13
58,861,125,22
95,5867,163,12
139,2977,131,36
101,414,80,15
108,4941,189,35
59,3636,137,32
117,1133,74,31
164,649,189,26
109,200,95,42
22,5451,198,23
65,3459,10,14
50,432,163,19
4,852,54,20
200,1333,32,31
180,3138,103,26
102,5313,34,31
43,5469,47,21
105,1776,94,34
174,2310,38,45
4,683,96,38
141,4834,36,22
166,5481,41,13
173,5843,7,37
153,2784,5,13
67,2259,54,48
55,2685,11,44
96,1374,60,29
167,3169,137,16
65,1725,141,24
75,4778,77,19
130,5231,188,45
197,1217,92,40
120,3328,80,38
86,4376,73,35
62,5234,30,38
174,4899,51,38
112,1049,168,32
159,5758,62,38
163,271,163,32
126,4123,82,49
173,399,33,37
77,1532,111,15
182,3946,21,39
199,5142,56,13
197,727,117,24
122,193,99,36
157,3985,65,23
200,2875,100,30
8,3339,153,49
54,5250,154,19
135,2397,28,15
83,1210,169,45
103,5958,81,28
151,5900,64,39
100,695,43,13
32,3698,99,32
62,2413,48,11
173,1613,122,31
196,5826,179,17
30,4188,22,25
106,3650,111,49
39,3841,37,41
133,3565,166,45
195,2896,76,17
22,799,98,15
156,5756,6,36
150,5856,85,12
128,3451,53,22
29,2066,14,24
171,2222,46,48
42,1562,139,21
60,1705,187,26
119,3440,87,38
77,3358,158,29
199,1198,4,18
196,3260,44,30
187,2734,52,33
96,3289,156,47
86,1498,168,12
112,2634,73,29
84,1537,91,31
6,4499,27,46
73,515,24,17
156,1494,18,43
77,4966,168,22
31,1127,89,30
39,3063,62,12
50,1657,121,43
78,2639,172,10
126,3391,172,48
165,845,103,22
109,1404,125,40
88,2117,39,39
200,2619,14,17
15,1452,44,22
51,2285,11,25
198,5344,15,13
23,3571,180,49
153,4964,127,17
174,507,15,33
151,879,166,39
10,2293,61,10
73,3000,17,12
113,5012,35,48
77,3224,107,47
32,975,143,19
113,1594,65,15
179,2967,4,21
169,553,105,27
65,3515,88,24
193,2702,190,29
101,1513,62,32
168,43,106,33
18,103,150,13
164,1419,27,11
31,3158,154,42
54,3171,156,33
63,4511,153,21
1,338,185,46
180,4142,129,17
185,3278,149,35
9,665,123,37
120,4505,52,19
92,5782,145,26
90,3290,26,35
116,1194,175,26
56,12,100,41
175,2016,58,19
3,1574,172,12
130,4918,106,26
54,5905,104,17
37,3541,69,38
184,5997,64,26
159,1425,92,15
97,1525,10,48
12,2848,92,42
186,1342,175,47
195,5819,103,10
112,5866,90,10
154,1093,148,14
78,5722,176,13
140,900,72,14
90,1133,166,45
144,1748,107,18
181,3318,117,32
72,1018,190,48
177,5448,161,45
177,3398,125,47
92,3281,56,28
7,3435,189,37
15,5337,70,23
105,4494,73,16
164,188,2,29
72,4559,34,17
74,729,139,34
143,4493,43,39
62,4323,148,46
146,2152,182,12
46,30,134,34
105,3602,161,41
109,3349,196,24
61,4953,187,15
121,3116,14,34
43,1593,64,45
172,5679,127,37
99,2951,190,23
194,1247,125,21
55,3555,136,34
167,4553,182,26
133,449,93,18
185,6014,151,18
112,2067,44,35
143,3241,198,36
91,2295,141,22
16,3168,164,19
57,2449,50,39
102,1664,151,15
25,3759,54,20
22,5262,7,12
159,1357,24,28
123,1392,44,17
162,5008,112,32
87,2593,110,16
144,1635,24,14
198,4536,62,44
187,2303,2,30
143,3621,184,32
82,5772,151,42
102,4463,122,15
141,5095,111,37
24,3913,137,22
141,4645,7,21
193,2386,86,16
36,961,1,24
49,5511,9,15
82,2071,47,49
48,5802,74,24
97,2622,155,11
102,871,76,46
171,1008,37,35
6,2230,155,29
68,4780,34,41
14,5937,164,29
30,31,118,33
110,4106,37,14
8,2407,148,15
182,1841,132,30
66,2812,40,33
132,5925,100,25
84,4908,53,41
188,2977,75,34
120,4094,129,42
53,2607,66,26
99,2888,60,24
74,588,155,13
143,4763,18,25
100,1643,17,39
129,5093,4,45
150,1467,127,46
15,2531,24,47
22,2708,194,23
178,97,120,16
48,4983,68,26
117,5816,54,12
73,18,71,39
120,976,194,36
179,2753,18,15
17,3815,176,25
106,3407,147,36
83,1974,54,15
104,5381,20,43
91,2319,171,22
179,3774,155,31
165,1622,121,23
49,4774,114,23
59,3117,102,39
138,2521,21,10
30,4669,189,13
85,4577,128,32
21,3940,122,26
34,3579,25,11
73,1599,197,40
98,778,172,23
178,5422,65,49
76,2675,41,14
175,4358,157,14
85,1481,68,20
84,334,166,45
134,891,32,31
178,1525,36,39
109,3359,135,38
63,5411,34,27
12,1059,61,17
169,2963,99,47
159,1569,53,21
2,4313,7,35
144,4604,95,19
129,2943,193,17
132,1646,33,29
47,4864,136,18
193,5703,8,45
52,1017,90,48
47,3179,139,22
99,1666,172,26
50,2556,129,36
45,2201,63,46
42,3303,138,45
184,3572,108,47
71,2031,131,24
57,5477,27,23
33,5301,1,40
156,2073,125,11
114,5885,48,20
44,662,24,17
114,2929,69,23
56,1153,54,49
44,4256,91,30
96,3056,121,34
73,4559,25,15
34,4814,181,12
14,4419,57,15
196,4162,2,17
157,1783,55,13
125,5305,159,19
79,5725,190,15
145,5194,106,16
83,1293,40,13
137,5607,71,10
27,3316,56,43
177,1145,56,49
165,4070,152,30
156,4435,112,13
50,428,133,19
55,3794,165,36
132,4783,132,34
98,2206,56,15
147,3273,63,47
37,5106,194,15
132,1187,161,45
37,3379,90,20
179,1589,73,17
160,3557,33,20
173,906,121,40
112,2987,54,35
12,769,179,33
169,5378,35,40
56,4709,54,18
80,4741,8,11
14,5471,131,32
54,2855,108,26
191,5788,102,17
65,327,26,30
116,4147,33,10
58,116,31,25
96,3458,169,42
21,2796,180,11
4,4427,50,43
73,2864,31,30
127,2034,144,20
46,2259,158,31
12,4123,74,39
128,688,59,16
30,5952,50,25
94,5087,32,17
60,4608,4,14
100,1457,9,20
71,289,171,41
81,5143,5,38
193,2909,139,26
142,616,88,49
111,3910,152,18
44,1425,153,45
108,2178,198,33
102,2318,194,17
154,1872,147,40
91,3749,197,35
109,3049,18,10
16,3140,102,47
110,4637,20,22
7,878,174,37
160,5651,112,19
89,4242,106,30
95,4492,64,24
16,725,76,46
105,1860,58,22
122,3479,94,26
89,3258,97,33
62,6029,199,29
30,4241,179,13
199,4063,54,41
140,4937,100,12
67,4870,105,42
46,1609,73,18
43,834,148,17
183,2619,23,31
45,4414,183,11
188,3464,141,24
199,688,172,39
80,1386,144,26
32,4617,49,44
8,355,147,39
113,1766,5,28
62,4812,183,38
20,2411,97,47
146,4334,137,34
101,4265,123,32
6,2798,162,44
84,2563,156,25
108,2584,75,49
157,2800,102,47
4,1335,92,42
71,5930,19,18
171,4075,152,34
84,73,34,46
162,3588,165,21
100,4995,43,35
71,5323,75,23
33,4937,151,12
143,4851,95,18
120,2750,76,28
168,1630,1,35
93,2878,112,23
133,3261,196,41
178,5519,80,36
99,3038,58,20
66,1460,143,35
54,5991,19,10
174,3256,97,30
80,4610,155,48
139,1786,166,14
124,327,86,15
177,2621,152,34
151,1721,134,48
55,356,82,12
5,3849,41,29
192,602,123,24
35,2591,5,31
93,106,9,23
119,2843,103,49
197,3254,155,43
54,5348,18,45
3,2190,55,32
6,4597,66,16
87,3036,23,37
110,1096,60,49
56,1714,45,43
2,1884,1,17
82,5356,72,20
94,2557,113,48
166,524,108,13
184,595,100,14
5,438,148,13
174,1582,86,13
139,3269,174,12
193,844,196,38
138,1862,11,20
41,600,192,18
116,5778,164,37
44,153,120,24
90,764,141,49
33,696,36,38
56,5660,102,18
140,433,7,28
2,2264,132,19
1,1367,46,15
193,1089,161,47
121,4302,80,43
125,4179,128,33
33,5414,153,12
103,2145,152,20
36,5221,149,37
149,4806,19,36
84,2338,189,25
164,919,170,41
26,5979,167,16
175,2190,37,44
129,2262,112,47
166,806,6,45
142,78,194,41
90,2093,58,30
46,6025,54,40
42,3531,184,36
135,1113,188,17
55,2690,50,23
56,521,135,24
118,946,162,18
76,547,60,19
63,3964,189,22
152,1598,107,34
83,5582,112,13
99,1977,188,37
132,979,91,24
42,2916,125,48
96,965,68,26
110,3153,103,14
70,5474,129,24
28,982,136,37
126,2123,50,32
92,3486,130,19
40,306,176,27
179,3677,124,37
157,804,165,27
42,423,77,11
118,465,5,46
197,5275,185,15
5,3126,121,34
101,2050,110,22
169,2308,115,15
61,5727,136,19
183,5561,171,49
156,5441,23,15
41,3564,21,41
111,2234,122,15
9,5238,172,40
157,3831,12,37
166,3375,185,12
62,4429,52,11
54,1862,140,15
180,2722,108,24
104,1488,176,37
126,2743,151,46
34,2255,62,45
165,4420,162,19
177,4011,159,33
42,844,77,36
14,5514,79,42
33,1474,77,32
118,344,183,33
98,3344,95,47
92,5923,26,25
100,2296,60,44
87,1064,153,29
145,3537,66,30
124,2287,166,11
32,3656,117,18
101,4957,161,14
196,5666,116,33
39,2686,57,34
94,3754,133,45
10,991,81,14
152,246,21,29
100,4604,41,18
58,5892,77,14
197,959,49,49
101,3095,88,10
64,4235,166,17
19,535,121,28
101,3773,15,25
117,1014,70,33
136,436,31,14
71,4583,30,38
40,3389,114,26
13,1285,9,39
101,1041,63,29
124,599,160,47
155,3362,179,17
82,4571,96,27
88,5601,87,34
105,656,195,35
130,2681,182,43
16,1388,191,20
