store_id,store_name,region_id,city,square_ft,opening_date
117,RetailMart Patiala,8,Patiala,1032,2023-10-19
118,RetailMart Bilaspur,12,Bilaspur,4939,2022-01-16
119,RetailMart Jamshedpur,4,Jamshedpur,4413,2025-01-26
120,RetailMart Port Blair,4,Port Blair,1542,2024-04-26
121,RetailMart Bhopal,1,Bhopal,1196,2022-10-11
122,RetailMart Erode,15,Erode,3731,2024-11-12
123,RetailMart Kota,6,Kota,1556,2023-01-06
124,RetailMart Noida,17,Noida,1553,2023-04-10
125,RetailMart Noida,15,Noida,3631,2022-06-04
126,RetailMart Ahmedabad,5,Ahmedabad,3089,2023-09-26
127,RetailMart Lucknow,3,Lucknow,4252,2024-12-13
128,RetailMart Salem,19,Salem,4863,2021-08-28
129,RetailMart Port Blair,15,Port Blair,2341,2022-01-03
130,RetailMart Bilaspur,2,Bilaspur,4007,2021-05-30
131,RetailMart Agartala,13,Agartala,2581,2021-10-25
132,RetailMart Dhanbad,19,Dhanbad,1783,2024-11-02
133,RetailMart New Delhi,20,New Delhi,3472,2021-06-06
134,RetailMart Erode,10,Erode,4942,2022-12-20
135,RetailMart Ahmedabad,11,Ahmedabad,3891,2022-10-05
136,RetailMart Nagpur,12,Nagpur,1312,2023-10-06
137,RetailMart Chandigarh,17,Chandigarh,1580,2022-09-14
138,RetailMart Noida,18,Noida,3350,2023-02-28
139,RetailMart Nagpur,11,Nagpur,2093,2022-03-16
140,RetailMart Varanasi,10,Varanasi,1804,2022-12-17
141,RetailMart Ahmedabad,16,Ahmedabad,3741,2023-09-05
142,RetailMart Kanpur,9,Kanpur,1026,2023-07-06
143,RetailMart Kanpur,18,Kanpur,2882,2025-01-20
144,RetailMart Bhubaneswar,9,Bhubaneswar,2110,2024-03-08
145,RetailMart Bilaspur,10,Bilaspur,1769,2021-05-01
146,RetailMart Agartala,3,Agartala,1171,2024-11-02
147,RetailMart Erode,10,Erode,2380,2022-11-13
148,RetailMart Raipur,8,Raipur,3053,2021-07-19
149,RetailMart Leh,19,Leh,2948,2023-04-24
150,RetailMart Hyderabad,5,Hyderabad,4948,2023-08-10
151,RetailMart Kota,20,Kota,3388,2022-04-03
152,RetailMart Varanasi,7,Varanasi,1167,2021-08-17
153,RetailMart Siliguri,5,Siliguri,1077,2022-06-04
154,RetailMart Port Blair,10,Port Blair,1188,2023-07-25
155,RetailMart Delhi,11,Delhi,2554,2021-05-24
156,RetailMart Agartala,13,Agartala,3074,2022-12-10
157,RetailMart Shimla,17,Shimla,2542,2021-04-23
158,RetailMart Indore,17,Indore,3953,2022-05-05
159,RetailMart Siliguri,12,Siliguri,4328,2021-05-19
160,RetailMart Dehradun,13,Dehradun,3411,2024-05-14
161,RetailMart Gaya,16,Gaya,1140,2024-08-16
162,RetailMart Udaipur,5,Udaipur,1828,2021-08-08
163,RetailMart Shillong,2,Shillong,3652,2021-07-08
164,RetailMart Jaipur,13,Jaipur,1354,2023-06-13
165,RetailMart Meerut,4,Meerut,1692,2024-10-06
166,RetailMart Haridwar,8,Haridwar,4361,2022-04-17
167,RetailMart Coimbatore,2,Coimbatore,3627,2024-08-08
168,RetailMart Aizawl,16,Aizawl,4701,2023-02-01
169,RetailMart Mangalore,8,Mangalore,2101,2022-08-03
170,RetailMart Kanpur,7,Kanpur,1429,2024-10-13
171,RetailMart Udupi,7,Udupi,3435,2023-08-26
172,RetailMart Udupi,17,Udupi,1107,2023-10-01
173,RetailMart Imphal,2,Imphal,1085,2022-03-02
174,RetailMart Noida,8,Noida,2292,2022-04-06
175,RetailMart Agra,4,Agra,1248,2021-11-27
176,RetailMart Panaji,3,Panaji,3716,2024-03-29
177,RetailMart Indore,9,Indore,1263,2024-11-07
178,RetailMart Prayagraj,18,Prayagraj,1978,2023-04-08
179,RetailMart Mysuru,2,Mysuru,1341,2022-09-06
180,RetailMart Gaya,6,Gaya,4742,2025-01-16
181,RetailMart Shimla,20,Shimla,1580,2021-04-08
182,RetailMart Prayagraj,4,Prayagraj,2357,2024-06-22
183,RetailMart Ranchi,5,Ranchi,2599,2025-02-15
184,RetailMart Chandigarh,15,Chandigarh,3264,2021-10-21
185,RetailMart Agra,18,Agra,4759,2025-02-14
186,RetailMart Udupi,6,Udupi,3336,2024-07-09
187,RetailMart Kolkata,19,Kolkata,4456,2023-03-08
188,RetailMart Agartala,11,Agartala,2145,2022-08-09
189,RetailMart Madurai,7,Madurai,1794,2022-02-13
190,RetailMart Patiala,8,Patiala,4174,2023-04-27
191,RetailMart Surat,17,Surat,1429,2021-07-25
192,RetailMart Leh,13,Leh,1933,2022-01-24
193,RetailMart Agra,14,Agra,3507,2022-01-03
194,RetailMart New Delhi,11,New Delhi,1366,2023-08-01
195,RetailMart Surat,7,Surat,2486,2022-08-30
196,RetailMart Trichy,17,Trichy,3558,2024-05-17
197,RetailMart Erode,10,Erode,4097,2022-12-29
198,RetailMart Jamshedpur,9,Jamshedpur,4034,2023-01-12
199,RetailMart Leh,19,Leh,2147,2023-12-23
200,RetailMart Jaipur,9,Jaipur,2115,2021-11-05
