ticket_id,customer_id,agent_id,category,priority,status,created_date,resolved_date,subject
44,44047,1985,Login Issue,Medium,Open,2025-02-22,2025-02-22 19:00:00,Login Issue - Nemo similique perferendis.
45,1621,604,Product Defect,Critical,Resolved,2024-10-21,2024-10-23 02:00:00,Product Defect - Molestias fuga deserunt non.
46,6344,1602,Payment Failure,Critical,Resolved,2025-09-09,2025-09-10 07:00:00,Payment Failure - Placeat provident numquam reprehenderit.
47,10638,2835,Account Update,Low,Resolved,2025-07-23,2025-07-25 23:00:00,Account Update - Aliquid cumque reiciendis.
48,47635,1975,Payment Failure,Critical,Open,2025-12-15,,Payment Failure - Nesciunt perferendis fuga.
49,17749,144,Account Update,High,Open,2025-05-12,2025-05-13 10:00:00,Account Update - Dolores nihil autem.
50,12745,1794,Product Defect,Critical,Resolved,2024-11-12,2024-11-16 11:00:00,Product Defect - Labore temporibus rem.
51,49033,1268,Product Defect,High,Closed,2024-10-29,2024-11-01 19:00:00,Product Defect - Distinctio fugiat nesciunt et.
52,15051,2956,Return Request,High,Open,2024-04-12,2024-04-15 04:00:00,Return Request - Sequi nostrum ipsa.
53,38396,495,Payment Failure,Medium,Open,2025-05-25,,Payment Failure - Eveniet perspiciatis dicta debitis inventore.
54,42344,1740,Account Update,Medium,Resolved,2026-02-21,,Account Update - Fugit aut.
55,43266,2739,Account Update,Medium,Closed,2024-05-28,2024-06-01 02:00:00,Account Update - Eum libero quaerat id.
56,19167,1294,Account Update,High,In Progress,2025-09-14,2025-09-18 13:00:00,Account Update - Dolore velit consectetur ratione.
57,40912,275,Payment Failure,Low,In Progress,2025-04-09,2025-04-13 05:00:00,Payment Failure - Cum fugit nostrum atque.
58,31313,1725,Payment Failure,High,Resolved,2024-06-30,2024-07-04 06:00:00,Payment Failure - Ad mollitia laudantium amet.
59,29170,1140,Login Issue,Low,Closed,2025-09-29,2025-10-04 05:00:00,Login Issue - Consequatur quia quasi veritatis.
60,20358,1640,Payment Failure,High,In Progress,2024-11-11,2024-11-13 15:00:00,Payment Failure - Id ex alias sapiente.
61,2213,513,Account Update,Medium,In Progress,2025-01-27,,Account Update - Enim ipsum asperiores dolorum.
62,28216,2446,Account Update,Low,In Progress,2024-12-17,2024-12-23 10:00:00,Account Update - Perspiciatis molestias sint.
63,23859,2173,Payment Failure,Low,Open,2025-12-07,2025-12-13 14:00:00,Payment Failure - Sapiente expedita nobis quibusdam non.
64,36516,1338,Account Update,Low,Closed,2026-02-11,,Account Update - Doloribus dolor odio.
65,39435,783,Product Defect,High,Closed,2025-03-24,,Product Defect - Modi est consequatur.
66,49339,1366,Account Update,Low,In Progress,2025-01-02,2025-01-05 14:00:00,Account Update - Quaerat placeat.
67,4043,2337,Login Issue,High,In Progress,2025-09-21,2025-09-23 16:00:00,Login Issue - Ab optio.
68,7581,2023,Payment Failure,Low,Resolved,2025-10-21,2025-10-25 06:00:00,Payment Failure - Distinctio mollitia non necessitatibus.
69,35359,2411,Order Status,High,Closed,2025-07-24,,Order Status - Atque autem ipsa.
70,37531,953,Payment Failure,Medium,In Progress,2024-01-26,2024-01-30 13:00:00,Payment Failure - Distinctio incidunt fuga.
71,14385,2261,Order Status,Medium,Resolved,2025-04-07,2025-04-10 19:00:00,Order Status - Nostrum sequi perspiciatis.
72,21755,2787,Return Request,Critical,Closed,2025-09-03,2025-09-05 15:00:00,Return Request - Labore laboriosam labore dignissimos.
73,30370,412,Return Request,High,In Progress,2024-06-15,2024-06-21 11:00:00,Return Request - Odio cupiditate.
74,27844,2855,Order Status,High,Closed,2025-06-26,2025-06-26 10:00:00,Order Status - Fuga sit pariatur eligendi rem.
75,39824,2844,Login Issue,Low,Closed,2024-11-22,2024-11-28 19:00:00,Login Issue - Libero dignissimos accusantium suscipit officiis.
76,12608,709,Payment Failure,Low,Closed,2025-05-30,2025-06-01 01:00:00,Payment Failure - Aliquam omnis ab veniam.
77,36016,2830,Product Defect,Medium,Closed,2024-11-21,2024-11-23 03:00:00,Product Defect - Fugit debitis repellat atque id.
78,45197,1697,Product Defect,Low,Resolved,2025-05-12,,Product Defect - Ratione quia consequuntur recusandae aliquam.
79,32041,1299,Payment Failure,Critical,In Progress,2024-03-13,2024-03-13 19:00:00,Payment Failure - Iste saepe modi.
80,5393,4,Account Update,High,Open,2025-10-03,2025-10-07 22:00:00,Account Update - Earum commodi.
81,38061,2725,Return Request,Critical,In Progress,2025-04-29,,Return Request - In nemo quisquam praesentium temporibus.
82,18095,2451,Order Status,Medium,Resolved,2024-10-18,2024-10-21 11:00:00,Order Status - Soluta explicabo quasi.
83,2433,303,Return Request,High,Open,2026-01-15,2026-01-17 07:00:00,Return Request - Ex autem necessitatibus repellendus.
84,16982,2461,Account Update,Low,In Progress,2024-07-03,,Account Update - Ipsum necessitatibus vero accusantium.
85,6031,1102,Return Request,High,Open,2024-10-12,2024-10-15 22:00:00,Return Request - Tempore quos qui optio.
86,8003,2465,Account Update,Critical,Open,2024-07-07,,Account Update - Non maxime incidunt aliquid.
87,41433,2921,Order Status,Critical,Open,2025-03-07,2025-03-08 10:00:00,Order Status - Debitis architecto eligendi.
88,49640,606,Payment Failure,High,Open,2025-12-12,,Payment Failure - Corporis eligendi blanditiis.
89,36430,2543,Account Update,Medium,Open,2025-04-18,2025-04-19 13:00:00,Account Update - Asperiores eaque perspiciatis voluptas.
90,8461,1472,Return Request,Medium,Resolved,2024-07-04,2024-07-04 01:00:00,Return Request - Dolores deleniti hic.
91,44783,2245,Product Defect,High,Open,2024-02-26,,Product Defect - Maiores esse distinctio.
92,35927,714,Account Update,Critical,Open,2024-10-24,2024-10-29 20:00:00,Account Update - Repudiandae a eius laborum.
93,39174,1239,Return Request,Low,Closed,2025-11-19,2025-11-21 19:00:00,Return Request - Aspernatur placeat distinctio laudantium similique.
94,35697,2383,Return Request,Medium,In Progress,2025-04-14,2025-04-17 07:00:00,Return Request - Ex nam et soluta cumque.
95,6075,720,Account Update,Low,Resolved,2025-10-19,2025-10-21 10:00:00,Account Update - Nisi vero repellendus.
96,33273,2922,Product Defect,Low,In Progress,2024-01-19,2024-01-25 20:00:00,Product Defect - Expedita autem rem sint.
97,34291,994,Payment Failure,Low,Open,2025-03-28,2025-03-29 01:00:00,Payment Failure - Earum ut vero similique.
98,3874,464,Order Status,Low,Closed,2025-10-15,2025-10-16 22:00:00,Order Status - Vel autem in.
99,46339,2374,Login Issue,High,Closed,2025-08-11,2025-08-13 08:00:00,Login Issue - Veniam vero molestiae.
100,35893,1801,Account Update,Low,Open,2024-05-07,2024-05-07 14:00:00,Account Update - Minima deserunt.
101,41888,2363,Order Status,Medium,Open,2025-06-24,2025-06-30 16:00:00,Order Status - Qui rem fuga placeat omnis.
102,2547,1531,Account Update,Critical,Resolved,2024-12-16,2024-12-19 16:00:00,Account Update - Omnis magnam.
103,4740,1535,Product Defect,High,Resolved,2026-01-07,2026-01-09 01:00:00,Product Defect - Temporibus velit doloribus nihil ut.
104,31512,181,Product Defect,Medium,In Progress,2024-09-25,2024-09-27 14:00:00,Product Defect - Repellat dolor odio consequuntur.
105,35083,1941,Order Status,High,Closed,2025-11-20,2025-11-21 03:00:00,Order Status - Id earum.
106,21257,1228,Return Request,Low,In Progress,2026-02-25,2026-03-01 02:00:00,Return Request - Occaecati cumque a dicta.
107,41542,967,Product Defect,High,Resolved,2024-04-28,2024-04-30 22:00:00,Product Defect - Expedita tempore magni.
108,25097,156,Order Status,Medium,Closed,2024-09-18,,Order Status - Neque tempore saepe explicabo.
109,26202,84,Payment Failure,Low,Open,2024-11-21,2024-11-23 12:00:00,Payment Failure - Eos vel excepturi laudantium.
110,24379,1470,Account Update,Low,Resolved,2025-01-22,2025-01-26 19:00:00,Account Update - Quos reprehenderit consequuntur.
111,33242,2463,Login Issue,High,Resolved,2025-04-17,2025-04-23 16:00:00,Login Issue - Eaque accusantium repellat doloremque.
112,30208,2574,Return Request,Medium,In Progress,2024-07-25,,Return Request - Beatae fuga doloremque excepturi ab.
113,38616,1374,Login Issue,Low,In Progress,2025-11-01,2025-11-06 22:00:00,Login Issue - Eveniet a.
114,14995,2497,Payment Failure,Medium,In Progress,2024-11-22,,Payment Failure - Delectus neque aut.
115,25030,1017,Payment Failure,High,Resolved,2025-02-02,2025-02-03 04:00:00,Payment Failure - Eum perspiciatis placeat modi exercitationem.
116,43309,2349,Login Issue,Low,In Progress,2025-01-28,2025-01-29 15:00:00,Login Issue - Corrupti error dolorum.
117,12376,145,Product Defect,Medium,Closed,2026-02-23,2026-02-27 18:00:00,Product Defect - Nesciunt inventore quae consectetur.
118,37317,847,Account Update,High,Closed,2024-12-18,2024-12-19 15:00:00,Account Update - Distinctio quod quia.
119,42717,2832,Order Status,Low,Closed,2025-04-20,2025-04-20 01:00:00,Order Status - Voluptas deleniti vel.
120,41458,123,Payment Failure,Critical,Closed,2024-04-15,2024-04-17 02:00:00,Payment Failure - Aliquid id aperiam voluptate quaerat.
121,45606,2746,Login Issue,High,Open,2025-09-26,2025-10-01 14:00:00,Login Issue - Harum hic nemo delectus.
122,18522,1923,Account Update,High,Resolved,2024-10-15,2024-10-17 15:00:00,Account Update - Possimus dolorem.
123,35079,1433,Return Request,High,In Progress,2025-09-14,2025-09-19 03:00:00,Return Request - Assumenda officiis similique impedit esse.
124,8168,1745,Account Update,Low,Resolved,2024-12-16,,Account Update - At veniam nulla.
125,25968,175,Return Request,High,In Progress,2024-03-30,2024-04-05 02:00:00,Return Request - Commodi tenetur ad.
126,35992,2216,Return Request,Low,In Progress,2025-06-20,2025-06-26 07:00:00,Return Request - Reiciendis eos.
127,17432,1545,Payment Failure,Low,Resolved,2025-07-30,2025-07-30 15:00:00,Payment Failure - Numquam tenetur consectetur eaque.
128,8831,1078,Login Issue,Critical,In Progress,2024-12-17,2024-12-18 01:00:00,Login Issue - Placeat voluptatibus sit.
129,14825,379,Payment Failure,High,Closed,2026-02-02,2026-02-05 23:00:00,Payment Failure - Earum nostrum quisquam deserunt.
130,9543,1753,Payment Failure,Medium,Closed,2024-05-10,2024-05-15 14:00:00,Payment Failure - Ducimus hic ullam fugit provident.
131,1450,1460,Account Update,Low,Open,2024-10-23,,Account Update - Repellat architecto.
132,17894,1090,Product Defect,High,Open,2025-09-20,2025-09-22 02:00:00,Product Defect - Ducimus earum.
133,11666,1671,Return Request,High,Closed,2024-09-19,,Return Request - Quia laborum delectus.
134,8081,709,Account Update,High,Resolved,2025-10-21,2025-10-24 16:00:00,Account Update - Maxime deserunt sunt laudantium.
135,24172,452,Order Status,High,In Progress,2024-02-26,2024-02-26 01:00:00,Order Status - Et accusamus ab nulla.
136,378,131,Payment Failure,Critical,Closed,2024-08-22,2024-08-22 17:00:00,Payment Failure - Tenetur asperiores architecto enim.
137,20637,358,Account Update,Medium,Closed,2025-04-14,2025-04-20 22:00:00,Account Update - Explicabo fuga.
138,37105,1446,Payment Failure,Low,In Progress,2025-03-17,2025-03-18 05:00:00,Payment Failure - Nostrum esse.
139,22660,2904,Payment Failure,Critical,Open,2025-03-30,,Payment Failure - Facilis nisi iure harum.
140,45859,820,Login Issue,High,Closed,2024-05-11,2024-05-18 00:00:00,Login Issue - Impedit laborum ut porro sunt.
141,49961,2614,Return Request,Critical,Resolved,2025-04-19,2025-04-22 01:00:00,Return Request - Deleniti temporibus numquam minus molestiae.
142,9322,463,Payment Failure,Low,Closed,2024-09-15,2024-09-21 09:00:00,Payment Failure - Officiis officiis fugiat atque quos.
143,31896,1408,Return Request,High,In Progress,2025-07-19,2025-07-21 10:00:00,Return Request - Quo ipsa aliquam.
144,49797,783,Login Issue,Critical,Open,2025-12-23,2025-12-26 07:00:00,Login Issue - Laborum vero eos voluptas.
145,16062,1440,Account Update,Critical,Resolved,2025-11-29,2025-12-04 04:00:00,Account Update - Est ex iure similique accusantium.
146,18034,2359,Account Update,High,Open,2025-03-29,2025-04-03 19:00:00,Account Update - Explicabo placeat culpa dolores.
147,1907,109,Product Defect,Critical,Open,2024-01-04,2024-01-07 08:00:00,Product Defect - Quam aspernatur quia.
148,26357,1848,Payment Failure,High,Closed,2024-02-28,2024-03-04 10:00:00,Payment Failure - Dignissimos sit quia doloremque aut.
149,10356,2528,Login Issue,High,In Progress,2024-03-27,,Login Issue - In inventore.
150,48213,563,Payment Failure,Critical,Resolved,2025-07-21,2025-07-26 15:00:00,Payment Failure - Similique harum sapiente.
151,12670,2026,Payment Failure,Low,Closed,2026-02-15,2026-02-16 00:00:00,Payment Failure - Esse consequuntur beatae.
152,14636,1425,Order Status,Low,In Progress,2024-10-28,2024-10-31 02:00:00,Order Status - Earum unde aperiam architecto esse.
153,6688,1165,Order Status,Medium,Resolved,2026-02-14,2026-02-16 17:00:00,Order Status - Sint asperiores itaque cupiditate nisi.
154,16686,2890,Order Status,High,Closed,2025-02-26,2025-03-01 20:00:00,Order Status - Ullam voluptatem mollitia eos corporis.
155,49244,94,Product Defect,High,Closed,2026-01-29,2026-02-03 21:00:00,Product Defect - Amet fugit libero ipsa.
156,13237,281,Payment Failure,Low,Closed,2025-01-16,2025-01-19 09:00:00,Payment Failure - Molestiae sequi.
157,37616,1709,Return Request,Critical,In Progress,2025-12-22,,Return Request - Eum ipsa quis facere quos.
158,22497,2634,Return Request,Low,Open,2024-02-13,,Return Request - Et eius dignissimos.
159,44039,1906,Product Defect,Low,In Progress,2024-08-09,2024-08-15 06:00:00,Product Defect - Ut enim enim.
160,11462,212,Product Defect,High,Resolved,2025-02-13,2025-02-17 08:00:00,Product Defect - Occaecati sed aliquam mollitia.
161,34951,151,Account Update,Low,Resolved,2024-07-09,,Account Update - Beatae deleniti.
162,17283,49,Account Update,Low,Open,2025-04-24,2025-04-24 06:00:00,Account Update - Reprehenderit tenetur quas neque.
163,48662,1018,Account Update,Medium,Open,2026-02-14,2026-02-14 01:00:00,Account Update - Ipsa laudantium veritatis aspernatur iure.
164,46191,918,Return Request,Medium,Closed,2025-05-09,,Return Request - Dolorum minus maxime dolorem.
165,16454,1131,Payment Failure,High,Resolved,2026-02-26,2026-02-26 23:00:00,Payment Failure - Ipsum maiores ab corrupti.
166,30790,2246,Return Request,Medium,In Progress,2024-02-15,2024-02-15 14:00:00,Return Request - Harum cum iste.
167,14972,1763,Return Request,Critical,Resolved,2025-07-22,2025-07-28 01:00:00,Return Request - Ratione atque dolorum dignissimos.
168,40851,1980,Return Request,Low,Closed,2026-02-04,2026-02-06 08:00:00,Return Request - Optio iure cum facilis.
169,34526,2181,Order Status,High,Open,2025-09-22,2025-09-22 07:00:00,Order Status - Corrupti reprehenderit.
170,3591,860,Return Request,Medium,Resolved,2025-06-15,2025-06-18 05:00:00,Return Request - Vero commodi eaque.
171,44779,1214,Product Defect,High,In Progress,2024-08-25,2024-08-25 13:00:00,Product Defect - Cumque quaerat autem vel omnis.
172,17240,2712,Product Defect,Critical,Closed,2024-01-09,2024-01-13 11:00:00,Product Defect - Sed necessitatibus tempora.
173,14462,1998,Return Request,High,In Progress,2026-01-20,2026-01-26 09:00:00,Return Request - Nobis facilis delectus eos.
174,5625,955,Order Status,High,In Progress,2024-03-29,2024-03-31 16:00:00,Order Status - Error tempore similique porro incidunt.
175,23776,77,Payment Failure,High,Open,2025-09-07,2025-09-10 03:00:00,Payment Failure - Tempora tenetur ab.
176,48119,2247,Account Update,High,In Progress,2025-04-27,,Account Update - Omnis quas rerum consequatur.
177,14544,2018,Return Request,High,Open,2024-08-05,2024-08-08 10:00:00,Return Request - Quibusdam numquam facilis.
178,33947,2130,Product Defect,High,Closed,2024-01-13,2024-01-14 12:00:00,Product Defect - Unde repellendus inventore vel.
179,33909,476,Login Issue,Medium,Closed,2024-10-12,2024-10-12 01:00:00,Login Issue - Iusto maiores nobis.
180,22688,1999,Order Status,Low,Closed,2026-02-26,2026-02-27 21:00:00,Order Status - Veritatis voluptate amet laborum.
181,39109,1339,Product Defect,Low,Resolved,2026-02-19,2026-02-21 22:00:00,Product Defect - Repellat illo.
182,20737,1245,Order Status,Critical,In Progress,2024-06-09,2024-06-13 11:00:00,Order Status - Recusandae cum amet veniam minus.
183,44046,1444,Product Defect,Low,Closed,2024-12-31,2025-01-06 20:00:00,Product Defect - Asperiores enim tempore maxime temporibus.
184,15306,2956,Return Request,Critical,Closed,2025-12-06,2025-12-06 15:00:00,Return Request - Earum autem ipsam iure.
185,35773,2580,Order Status,Critical,In Progress,2025-11-09,2025-11-11 09:00:00,Order Status - Quas excepturi voluptates assumenda.
186,569,468,Payment Failure,Low,Resolved,2024-07-31,2024-07-31 03:00:00,Payment Failure - Odit at distinctio distinctio.
187,19978,786,Payment Failure,High,Resolved,2025-07-25,2025-07-28 23:00:00,Payment Failure - Nostrum ipsam.
188,6419,2374,Order Status,Medium,Open,2024-08-26,2024-08-31 19:00:00,Order Status - Necessitatibus minima et nihil a.
189,42149,691,Return Request,Medium,Resolved,2025-07-10,2025-07-12 05:00:00,Return Request - Ut tempora recusandae.
190,13342,1716,Payment Failure,Low,In Progress,2024-09-19,2024-09-25 13:00:00,Payment Failure - Dicta quaerat fugiat perferendis.
191,49819,1118,Product Defect,Critical,In Progress,2025-12-10,,Product Defect - Excepturi pariatur magni.
192,46074,1301,Payment Failure,Medium,Closed,2025-07-30,2025-08-02 12:00:00,Payment Failure - Fugiat aliquam rem corporis.
193,16780,2886,Return Request,Critical,Closed,2024-02-20,2024-02-24 19:00:00,Return Request - Corrupti consectetur.
194,40682,589,Product Defect,High,Closed,2024-09-22,2024-09-25 17:00:00,Product Defect - Consequatur officia at aliquid.
195,5371,549,Return Request,High,Closed,2024-09-22,2024-09-24 11:00:00,Return Request - Natus doloribus iusto soluta.
196,9983,1481,Account Update,High,Open,2024-03-29,2024-04-04 16:00:00,Account Update - Cumque nulla vero temporibus fugiat.
197,30140,1890,Login Issue,Critical,In Progress,2026-02-21,2026-02-22 13:00:00,Login Issue - Fugit est exercitationem maiores.
198,7755,826,Return Request,Medium,In Progress,2024-10-01,2024-10-04 13:00:00,Return Request - Repudiandae quis veniam unde.
199,4010,971,Order Status,Medium,Closed,2026-01-09,,Order Status - Labore qui nobis.
200,30142,1617,Login Issue,Critical,Open,2024-01-25,2024-01-26 18:00:00,Login Issue - Molestias odit deserunt tempora quia.
201,20554,1319,Payment Failure,Critical,Closed,2026-02-23,2026-03-01 09:00:00,Payment Failure - Eligendi quos eaque aspernatur.
202,10043,865,Product Defect,Low,Resolved,2025-06-04,2025-06-09 00:00:00,Product Defect - Accusamus eum rerum.
203,42155,1660,Payment Failure,Low,Open,2026-01-17,2026-01-23 00:00:00,Payment Failure - Adipisci aspernatur.
204,29790,683,Account Update,Critical,Closed,2025-02-13,2025-02-15 13:00:00,Account Update - Rerum sapiente incidunt totam dicta.
205,21937,1082,Payment Failure,Critical,Closed,2024-03-21,2024-03-24 12:00:00,Payment Failure - Delectus inventore neque veritatis.
206,37787,767,Order Status,Medium,Open,2025-12-02,2025-12-06 12:00:00,Order Status - Ipsa commodi incidunt totam.
207,37917,1485,Account Update,High,In Progress,2025-04-28,2025-05-03 04:00:00,Account Update - Sint fugiat.
208,25011,1580,Return Request,Critical,Open,2025-01-21,2025-01-23 17:00:00,Return Request - Necessitatibus laudantium voluptatem consequuntur tempore.
209,31206,53,Return Request,Medium,Open,2024-06-25,2024-06-28 14:00:00,Return Request - Quia molestiae veritatis.
210,742,2750,Account Update,Medium,In Progress,2025-10-03,2025-10-05 21:00:00,Account Update - Assumenda aperiam magnam dignissimos.
211,14927,1584,Payment Failure,Medium,Closed,2026-02-19,2026-02-25 08:00:00,Payment Failure - Repudiandae eos nemo amet.
212,36220,150,Payment Failure,Medium,In Progress,2024-05-15,2024-05-18 06:00:00,Payment Failure - Eius exercitationem vero tempora.
213,37176,235,Account Update,Critical,Resolved,2026-02-05,2026-02-05 10:00:00,Account Update - Sint tempore aperiam.
214,21932,888,Account Update,High,In Progress,2024-11-15,2024-11-15 21:00:00,Account Update - Hic delectus qui.
215,38796,2569,Order Status,Low,Closed,2024-08-25,2024-08-27 05:00:00,Order Status - Doloremque quam omnis.
216,48844,64,Login Issue,Critical,In Progress,2024-11-29,2024-11-29 17:00:00,Login Issue - Commodi animi autem id omnis.
217,38657,116,Login Issue,Critical,In Progress,2026-01-05,2026-01-09 18:00:00,Login Issue - Amet nobis.
218,22101,1694,Order Status,Medium,Resolved,2025-10-04,2025-10-05 02:00:00,Order Status - Quam quaerat.
219,26315,605,Login Issue,High,Resolved,2024-12-17,2024-12-20 00:00:00,Login Issue - Reprehenderit ipsam atque laudantium.
220,10969,1525,Return Request,Low,Open,2025-01-06,2025-01-11 03:00:00,Return Request - Facere aspernatur nam voluptas.
221,6567,2577,Product Defect,Low,In Progress,2024-05-24,2024-05-24 04:00:00,Product Defect - Officia beatae culpa.
222,4296,1711,Login Issue,Medium,In Progress,2024-04-18,,Login Issue - Facere vel.
223,45034,570,Product Defect,High,Resolved,2026-01-06,2026-01-12 00:00:00,Product Defect - Iusto officiis.
224,29362,573,Account Update,Critical,In Progress,2024-04-08,2024-04-08 13:00:00,Account Update - Cum ea tenetur nisi.
225,22284,2468,Product Defect,High,Resolved,2025-08-15,2025-08-20 16:00:00,Product Defect - Quisquam iste consequatur deserunt fugit.
226,34971,2416,Return Request,Medium,Resolved,2025-08-02,2025-08-04 03:00:00,Return Request - Eum vitae officia earum.
227,26,1941,Login Issue,Low,Open,2025-01-28,2025-01-28 11:00:00,Login Issue - Nam blanditiis nobis maxime.
228,26415,941,Payment Failure,Critical,Closed,2024-05-11,2024-05-17 11:00:00,Payment Failure - Consequuntur perspiciatis.
229,16522,759,Order Status,High,Open,2025-05-04,2025-05-09 14:00:00,Order Status - Impedit nihil dolores doloribus.
230,48536,2229,Return Request,Low,Open,2025-09-26,2025-10-01 10:00:00,Return Request - Repellendus excepturi in.
231,12259,1869,Login Issue,Medium,Resolved,2024-01-27,2024-01-27 19:00:00,Login Issue - Et provident rem ullam harum.
232,33982,1033,Return Request,Low,Closed,2024-01-07,,Return Request - Reiciendis necessitatibus molestias.
233,13615,2672,Account Update,Critical,Resolved,2024-02-23,2024-02-29 20:00:00,Account Update - Nihil eveniet.
234,25785,2136,Order Status,Critical,Closed,2024-04-03,,Order Status - Recusandae temporibus sed.
235,2932,2260,Payment Failure,Low,Closed,2024-09-05,,Payment Failure - Tenetur aliquid doloremque quod odit.
236,32048,2083,Account Update,Medium,In Progress,2024-10-25,2024-10-29 02:00:00,Account Update - Neque voluptatem quaerat.
237,39271,2393,Order Status,Medium,In Progress,2024-11-14,,Order Status - Odit ea ex occaecati doloribus.
238,33070,1665,Payment Failure,Medium,Closed,2025-12-02,2025-12-08 20:00:00,Payment Failure - Sint similique reiciendis.
