spend_id,campaign_id,channel,amount,clicks,conversions
68,99,OOH,68097.82,25080,5285
69,183,OOH,45666.5,32898,6093
70,18,Affiliate,215556.45,49668,7315
71,106,Print,96685.86,48318,9945
72,216,YouTube,122839.48,33039,7305
73,182,Print,130919.77,33199,7063
74,95,Google,206384.01,13519,3697
75,137,YouTube,143070.19,9583,7913
76,180,Meta,87103.02,30983,4283
77,229,TV,221668.06,1189,880
78,178,Google,60037.31,1093,8832
79,127,TV,67625.5,4679,4159
80,238,Affiliate,36858.48,14868,8755
81,134,Email,19549.81,2779,9334
82,61,Meta,65704.93,19827,2918
83,84,YouTube,74301.73,636,2126
84,114,Meta,129905.13,22674,1825
85,220,OOH,218818.37,6265,6513
86,24,Email,165754.36,32069,5392
87,23,Print,97119.39,34133,7960
88,103,OOH,17323.26,38196,9720
89,13,Affiliate,210041.57,20510,3026
90,148,Affiliate,128055.34,14646,7777
91,197,OOH,42738.97,30654,2160
92,11,Google,113294.02,5554,3805
93,247,YouTube,195607.8,44703,4687
94,38,Meta,182683.06,41736,1334
95,90,YouTube,124350.82,20803,2326
96,116,Google,86980.93,41403,9888
97,66,Affiliate,84437.41,4276,2748
98,95,YouTube,33935.95,25060,8055
99,203,YouTube,226808.94,41038,1040
100,97,Affiliate,16397.33,39851,6326
101,79,Affiliate,217647.39,30903,7783
102,164,Print,110440.17,36523,1802
103,174,YouTube,25509.3,43267,3512
104,85,OOH,218898.84,47690,5243
105,209,YouTube,86043.88,11790,3576
106,21,Google,216160.35,17923,5705
107,212,Affiliate,58516.86,37948,3106
108,65,TV,180900.14,39200,3729
109,195,Google,131120.92,15491,8316
110,205,Email,86710.02,10600,7684
111,25,Google,147363.1,34944,9433
112,88,Affiliate,59119.14,35263,6092
113,72,Email,197308.64,17455,1188
114,244,Print,93856.26,12992,5980
115,16,Google,248784.46,32015,5144
116,204,OOH,57095.29,6333,5879
117,6,OOH,179083.29,32149,6870
118,171,OOH,109768.04,43437,6735
119,234,Google,65694.65,9755,1122
120,225,OOH,161563.25,41647,18
121,1,Meta,31891.92,6599,9701
122,43,Google,36156.51,26456,6875
123,247,OOH,214153.79,10873,495
124,4,OOH,171559.54,46382,603
125,144,Print,147377.97,43403,4430
126,133,Google,177404.27,11351,6476
127,50,Google,218942.69,1531,2412
128,159,Email,13074.4,17981,5452
129,208,Meta,34375.24,31774,3689
130,247,Google,39126.48,3398,3598
131,155,Meta,171051.42,11205,2705
132,245,TV,131708.53,13031,6434
133,162,YouTube,150069.6,34285,9009
134,70,Print,130267.66,5498,1104
135,7,YouTube,59297.42,22899,7145
136,29,OOH,165626.94,1519,9394
137,185,Google,181516.25,36804,9464
138,228,OOH,131166.32,9385,9581
139,38,Email,70429.17,48492,6166
140,170,Meta,161773.68,9717,5067
141,219,OOH,79295.77,6935,6541
142,37,Email,133452.35,31899,6214
143,57,YouTube,247105.56,32078,9472
144,151,YouTube,61694.63,29048,5116
145,90,Google,57550.65,39386,4429
146,240,Google,161742.23,3340,2888
147,244,Email,236143.66,1676,9559
148,88,Email,7879.26,34336,8753
149,94,Print,72078.92,34367,6049
150,105,Affiliate,99948.79,40883,6592
151,131,YouTube,47919.53,24239,8556
152,131,TV,229615.87,23312,4502
153,229,Meta,88412.89,40650,7386
154,154,Email,187643.29,37029,9195
155,119,Google,53232.96,27262,2959
156,125,Print,66677.43,35098,5815
157,223,Affiliate,160663.24,25586,8559
158,29,OOH,211587.25,25969,4281
159,93,TV,159717.24,30860,4118
160,158,TV,228524.2,33118,3366
161,54,Email,242557.27,48339,2620
162,209,Email,180974.82,48395,8770
163,120,OOH,19453.05,35388,5606
164,132,Meta,108828.85,977,1273
165,185,Meta,13890.35,36255,3422
166,168,OOH,146315.51,48574,6443
167,127,Email,80601.37,23236,7035
168,250,Meta,225719.88,38862,9216
169,209,OOH,222033.57,29212,1816
170,64,Google,78672.73,33449,2424
171,155,TV,15652.6,12995,2097
172,88,Email,129124.74,13636,1623
173,93,Google,145686.53,16976,8390
174,5,Meta,163950.64,12533,1257
175,13,Print,107232.7,240,4202
176,217,Print,41847.04,19535,2277
177,172,Affiliate,95956.72,41090,9681
178,22,OOH,196478.4,9087,6605
179,225,OOH,240922.11,28291,7893
180,173,TV,222063.94,21034,484
181,66,Email,151562.68,8628,33
182,1,OOH,24777.53,23731,3221
183,215,TV,151126.3,44491,7942
184,15,OOH,54833.2,37183,1808
185,59,YouTube,152052.94,44977,3824
186,161,OOH,5279.83,39359,9845
187,94,OOH,234849.53,5960,9838
188,17,YouTube,26878.71,11311,3198
189,16,TV,213287.5,48249,3750
190,194,Print,7612.46,33699,6914
191,62,Email,218361.2,43628,9249
192,152,Meta,207126.11,24136,5383
193,171,Google,172074.55,29195,2673
194,226,Email,122954.19,41833,7968
195,225,Meta,161644.75,2250,2871
196,250,OOH,126042.19,9599,3436
197,80,Meta,130701.83,18199,9172
198,157,Meta,185295.08,22195,6197
199,84,Meta,81628.18,49908,1446
200,147,OOH,11515.62,23521,8643
201,67,OOH,138535.66,43882,2929
202,34,Affiliate,168129.49,39648,1856
203,211,Meta,67182.74,42388,7010
204,116,Google,97545.87,41448,1557
205,8,Email,116160.01,20170,5353
206,229,Meta,87191.22,24552,292
207,169,Affiliate,85790.17,42700,9228
208,61,Email,142202.83,33669,5968
209,113,YouTube,117814.23,44317,3714
210,90,Meta,223241.54,4132,6131
211,228,OOH,40075.85,7975,755
212,120,Meta,221367.25,8178,2572
213,82,Affiliate,185496.62,36980,9855
214,20,OOH,9638.78,34268,100
215,116,OOH,146350.33,46740,8255
216,199,Email,81928.22,2419,736
217,229,Email,207641.34,26343,8910
218,130,Email,185692.96,22218,3534
219,182,Google,35435.56,40935,4138
220,84,Google,173028.33,27398,8273
221,224,Email,18637.54,32307,4411
222,124,Email,95146.86,35782,8115
223,188,YouTube,141429.14,16177,9545
224,140,YouTube,144153.65,33724,8753
225,14,OOH,46228.83,767,5225
226,195,Print,52046.07,40548,491
227,125,Meta,34571.33,30760,285
228,119,Affiliate,66064.03,22139,5284
229,242,OOH,99953.87,1860,3017
230,169,Email,242608.24,14173,5562
231,148,Email,194528.74,43246,7673
232,86,YouTube,107277.35,21376,4112
233,161,Google,150423.51,44319,942
234,132,Meta,18042.44,14357,3652
235,131,Print,126190.45,30696,8070
236,107,TV,198377.02,17617,976
237,25,YouTube,52832.34,39172,4031
238,163,OOH,227038.31,42454,7233
239,144,Affiliate,221453.89,25885,3021
240,147,Email,244765.72,4866,5161
241,7,Print,60883.7,40153,3968
242,70,Google,140336.68,2056,3909
243,243,Print,115831.37,41746,3504
244,142,Affiliate,180249.67,18041,5481
245,105,Print,142286.36,22341,5076
246,118,Print,60326.21,11681,4027
247,32,Meta,118975.28,1089,563
248,82,YouTube,229310.43,28075,2788
249,221,Affiliate,195822.96,39367,7753
250,62,TV,162183.86,15381,908
251,94,TV,162256.61,21562,723
252,132,YouTube,211466.75,35303,1914
253,228,TV,176363.26,2005,7899
254,142,OOH,81400.78,41585,8671
255,159,OOH,249056.94,12016,1050
256,49,Affiliate,233203.97,33328,8541
257,195,Meta,231878.01,22328,5892
258,155,Email,243917.09,42139,4450
259,81,Email,210351.27,13682,705
260,240,Meta,175397.87,10230,6899
261,16,TV,192839.07,38276,9992
262,96,Google,192050.76,49383,5872
263,17,Email,67138.21,39501,2824
264,78,Affiliate,166888.83,8578,8323
265,185,Meta,155811.41,24093,1866
266,43,OOH,135039.53,9359,5115
267,51,Google,214327.02,16140,6139
268,126,Meta,134266.67,6587,6072
269,154,Google,236568.6,33569,8807
270,69,Email,112744.09,15334,7039
271,215,OOH,199287.35,1687,4414
272,201,OOH,77843.79,42648,2004
273,51,Google,162730.58,3501,2958
274,213,Print,41128.35,24191,1709
275,112,OOH,116935.96,30554,1527
276,96,YouTube,25770.13,43634,1222
277,208,Meta,73061.57,34909,2093
278,147,OOH,163284.77,23700,6578
279,150,Print,19999.0,38011,1915
280,237,Email,180311.64,43505,706
281,130,TV,245359.17,30788,9184
282,52,Print,222851.13,27261,8041
283,223,Meta,79722.84,10551,789
284,138,Meta,48015.3,24380,8798
285,216,Meta,56760.88,14788,7471
286,156,Meta,191367.48,38781,9491
287,223,Meta,54867.88,34862,9877
288,193,Affiliate,84482.5,40144,597
289,161,Google,53375.98,49163,3876
290,160,TV,86316.6,36333,3688
291,111,Meta,239115.67,7816,9171
292,44,Affiliate,147192.42,16616,8183
293,214,YouTube,152202.01,17206,4707
294,38,Print,33283.95,12846,4042
295,165,Affiliate,157745.59,42485,8339
296,60,Meta,235263.37,23023,1727
297,192,Google,45544.27,28919,9883
298,110,Email,158223.9,36005,5972
299,59,YouTube,35322.56,22715,5658
300,98,Print,87629.22,34973,6292
301,237,YouTube,71854.73,49617,5705
302,245,Google,106063.65,43956,4487
303,175,YouTube,183222.06,18152,5847
304,217,Google,132328.44,9184,5782
305,131,YouTube,43213.17,2365,3688
306,54,Google,101775.49,503,2695
307,117,Meta,144349.16,4238,9874
308,250,YouTube,90899.77,24358,5540
309,24,Print,237511.46,20875,7143
310,225,Affiliate,94902.86,4614,587
311,136,Affiliate,212382.61,24404,3260
312,15,Email,120563.77,40348,3866
313,150,OOH,232077.78,18450,2661
314,195,TV,23387.18,36276,6632
315,133,TV,61302.99,24749,2967
316,118,Print,123423.38,7267,4021
317,172,Meta,76550.51,22164,4801
318,197,Meta,50273.05,32146,3493
319,99,YouTube,149667.12,6209,4616
320,28,OOH,171049.98,23054,4280
321,235,Meta,240413.25,16481,1473
322,174,YouTube,5622.89,3891,2086
323,122,Affiliate,171855.15,48315,7632
324,141,Meta,188142.22,28515,314
325,159,Email,86729.67,27103,8942
326,229,OOH,81655.23,30523,8469
327,83,Print,75144.55,16788,4141
328,136,Affiliate,141905.55,46456,5996
329,35,Affiliate,46690.32,26823,8898
330,118,Email,245426.11,31340,5335
331,83,Meta,174716.13,31885,7858
332,58,Google,187614.04,44920,5738
333,220,Affiliate,34167.38,475,1253
334,233,Meta,173881.86,40166,3335
335,43,Affiliate,87927.06,40953,3338
336,92,Google,48213.06,44339,4208
337,168,Print,19971.24,5280,5836
338,178,Email,244643.71,27485,6053
339,162,Meta,224619.6,27202,3487
340,247,Meta,47387.29,26819,4117
341,148,Email,203018.91,1859,3185
342,151,Affiliate,218889.21,38665,582
343,103,Google,208783.73,42724,4317
344,92,Email,59617.3,25047,7772
345,217,Email,214288.94,48668,1949
346,102,Affiliate,145220.83,14626,4343
347,56,Affiliate,154311.92,31144,870
348,190,TV,178241.78,19626,3847
349,106,Affiliate,22867.53,19242,4632
350,79,OOH,23591.93,10121,5502
351,68,YouTube,19800.7,3349,8369
352,196,Email,135764.01,1919,9601
353,139,Meta,147552.04,43420,5999
354,22,Print,146479.2,13517,1415
355,212,OOH,17439.45,2995,9875
356,235,OOH,189771.79,30322,3137
357,190,YouTube,178284.7,11666,506
358,151,Email,222660.93,35071,44
359,197,Email,81835.85,30074,505
360,70,Email,148222.57,10463,9775
361,41,TV,189534.61,7405,5285
362,45,Google,49887.82,43955,8496
363,53,Print,181474.68,25952,2281
364,135,Print,47801.92,35610,1469
365,94,YouTube,53335.04,46468,4616
366,68,Email,230828.63,3630,1341
367,42,Print,112532.1,17722,5311
368,209,YouTube,30654.08,3398,2020
369,51,Print,106685.72,5083,5365
370,110,OOH,15520.78,9407,1434
371,100,Print,17883.5,43248,6912
372,108,Email,193141.27,16952,1678
373,201,Email,160927.23,16907,3111
374,115,Email,190282.34,30905,4589
375,36,OOH,56837.89,38389,8387
376,122,Affiliate,208167.96,36567,785
377,195,Affiliate,177658.44,15081,2469
378,113,Email,150647.23,25445,1770
379,2,YouTube,121911.18,43239,2026
380,87,Meta,139524.13,31032,3938
381,203,Meta,22436.36,20522,5752
382,225,Meta,76802.96,19709,9571
383,10,TV,88394.8,42127,8207
384,63,Email,94173.25,8005,882
385,118,YouTube,67845.33,32957,2677
386,106,OOH,83143.42,18510,7341
387,203,YouTube,117901.81,20971,834
388,178,Meta,207592.91,9892,9222
389,190,Print,171365.33,33092,161
390,185,Google,215605.55,48036,1527
391,120,Google,137352.87,44104,2887
392,150,Google,22774.55,3534,3153
393,147,OOH,188296.85,5933,2246
394,114,YouTube,62313.29,8918,4507
395,244,Meta,211389.97,8684,7660
396,167,Email,17643.36,24270,1690
397,76,OOH,18433.83,10178,3991
398,249,TV,130378.76,30101,7105
399,146,Meta,126366.31,27211,2736
400,235,YouTube,75851.1,19386,4589
401,180,OOH,145273.45,43001,2615
402,80,OOH,240362.9,15071,1227
403,61,OOH,164929.04,43544,3243
404,226,Affiliate,75135.54,34365,7931
405,17,Meta,249434.06,11011,7665
406,198,Google,31071.9,6196,9066
407,239,Meta,45016.16,11248,529
408,32,Meta,151526.2,17809,8137
409,79,Meta,202561.4,32195,7783
410,119,YouTube,29969.48,42733,3130
411,19,Google,134254.6,4968,7725
412,249,TV,124301.82,7786,9215
413,59,OOH,175673.65,27628,4465
414,96,Affiliate,149928.97,23933,2247
415,98,YouTube,123836.23,31888,3371
416,234,Meta,128839.73,35626,9034
417,225,Meta,244034.47,7252,8861
418,93,TV,126511.33,43849,9181
419,217,Meta,72480.78,30987,3321
420,196,TV,96700.54,7303,8479
421,172,Print,116888.22,41458,1457
422,127,Print,8362.16,25303,1659
423,180,Affiliate,130393.4,13623,6929
424,6,Email,131130.12,5526,415
425,171,Google,166677.18,28458,9401
426,203,Meta,186415.62,27689,6876
427,65,Email,204800.35,27335,9010
428,101,YouTube,218604.26,18752,1085
429,85,YouTube,34684.97,41938,4600
430,170,OOH,223159.2,28792,2236
431,130,Print,91179.74,40051,6001
432,34,Email,192491.8,36392,2854
433,33,Email,69139.67,21845,8074
434,235,Google,109420.84,4156,3361
435,204,YouTube,6253.13,38460,1239
436,197,TV,112497.6,29760,7460
437,147,TV,154879.34,15644,6885
438,209,TV,199859.9,38066,7380
439,212,YouTube,191398.73,7228,82
440,63,Email,205410.7,46794,9864
441,78,Email,191686.78,866,7147
442,172,Affiliate,125973.29,12790,391
443,154,Google,238093.82,25785,7663
444,88,Email,168318.68,9417,5759
445,100,TV,161283.53,16241,7484
446,73,OOH,64053.98,19604,4054
447,194,Google,68324.57,23388,4020
448,197,Google,24810.76,23306,8221
449,136,OOH,147527.67,7134,403
450,243,YouTube,151304.87,39297,8739
451,151,Meta,162329.09,12745,5577
452,146,Affiliate,163806.42,24275,275
453,52,Google,82032.4,11954,4211
454,109,Meta,106827.38,42252,2919
455,23,OOH,197010.87,47931,91
456,34,TV,97686.97,38742,862
457,60,Affiliate,20757.96,38864,1411
458,149,OOH,223575.37,37439,9705
459,215,Print,133576.61,23797,8597
460,189,Google,112111.84,20808,7601
461,102,Google,202672.27,48475,4868
462,24,TV,166522.74,45496,5497
463,231,TV,186149.82,17469,115
464,175,Email,199845.49,21608,5570
465,30,Meta,47549.33,2840,7703
466,53,Google,43725.55,41251,6341
467,169,OOH,179472.8,24225,3100
468,65,Affiliate,226536.46,21039,882
469,105,Meta,158190.42,22203,8769
470,123,TV,248839.33,15238,9273
471,71,Affiliate,28268.46,40508,9176
472,249,Affiliate,226425.56,49782,3992
473,106,Affiliate,131207.63,42015,9532
474,68,Email,192846.83,5874,1899
475,173,Meta,62002.71,6982,7502
476,243,Print,124831.47,14123,8891
477,11,OOH,235118.79,23111,9996
478,218,Email,35530.89,18380,8907
479,60,TV,82216.43,23518,9385
480,2,Google,188544.33,27410,2999
481,166,Meta,234672.94,42605,6964
482,225,YouTube,229006.02,36613,7267
483,49,Meta,165574.58,6564,5716
484,247,OOH,102503.31,13152,4815
485,204,Affiliate,147036.06,3654,4941
486,9,OOH,188347.85,20153,2144
487,29,OOH,228476.97,7400,3968
488,59,Email,52174.97,26552,8606
489,76,Email,209406.7,29692,221
490,119,Meta,34673.58,4906,7625
491,141,Google,53212.79,18442,857
492,35,YouTube,185848.03,5567,382
493,231,YouTube,237200.17,12562,9834
494,84,Google,41900.53,30371,5046
495,173,TV,37922.85,15203,909
496,94,YouTube,76975.21,43136,4937
497,20,Meta,192012.37,27768,300
498,150,OOH,87886.82,31430,9069
499,142,TV,37257.73,16698,9740
500,31,Google,103083.76,44063,9593
501,19,Print,21654.42,195,5125
502,233,Print,45603.35,13377,2741
503,249,TV,166328.69,12262,4620
504,162,Google,76733.28,3753,5281
505,233,Email,231819.69,35092,1454
506,74,Google,100320.76,23571,684
507,180,TV,243150.47,31956,8660
508,131,Print,173473.46,43732,4397
509,205,OOH,170208.62,14492,5713
510,196,OOH,226212.87,7462,5881
511,222,OOH,190681.38,43693,6077
512,100,OOH,21723.7,40097,6055
513,177,Email,25061.7,2295,6633
514,26,Email,196480.14,26362,2446
515,242,Meta,176136.46,35938,5629
516,182,OOH,90551.76,8489,1493
517,148,Meta,10290.03,19692,9403
518,64,YouTube,108690.81,29109,1025
519,45,Meta,76550.01,14679,3816
520,104,Print,237556.06,17429,1947
521,114,YouTube,112545.66,25149,4180
522,208,OOH,166473.44,5302,8214
523,230,Google,134961.09,43067,3946
524,176,YouTube,109028.27,18763,6510
525,90,Email,141984.71,45518,2575
526,155,Print,108471.38,39309,8781
527,231,OOH,56565.42,44095,8405
528,44,Print,232265.44,21491,5521
529,181,Print,124950.87,41588,7317
530,200,Google,202662.58,45445,6700
531,151,Google,236672.7,38375,4402
532,70,Google,82485.41,20054,5901
533,225,Print,7292.52,27127,2761
534,95,Print,22504.09,38953,7233
535,64,Meta,153003.6,1778,2548
536,180,Google,172337.98,46465,9326
537,129,Affiliate,6440.53,5041,9566
538,203,Print,119617.14,28403,1327
539,216,Meta,234534.49,24428,7346
540,184,Print,62473.92,17713,1446
541,59,TV,36210.1,35844,8795
542,45,TV,141480.38,37223,2804
543,77,OOH,172895.6,31068,9694
544,76,TV,225635.22,16986,2023
545,30,Meta,243209.03,38557,5254
546,117,Google,152197.84,5944,6022
547,239,Affiliate,130359.07,39218,5753
548,22,TV,128355.72,17871,8036
549,157,OOH,139791.82,33522,5042
550,218,OOH,103235.41,47367,4113
551,145,Meta,204316.95,16973,2772
552,48,Print,121044.08,8030,6004
553,34,OOH,204419.92,13493,834
554,180,Google,247561.54,37294,6257
555,195,TV,137337.48,47319,2851
556,169,OOH,176067.53,46280,3759
557,36,YouTube,136567.48,9823,5724
558,140,Affiliate,219577.57,31409,7188
559,109,Meta,179806.61,37622,695
560,203,Google,58962.23,15283,2065
561,51,Affiliate,50716.64,41008,4776
562,64,Meta,53782.83,44726,5593
563,87,Email,187758.12,7609,383
564,139,Print,207992.59,36113,1139
565,39,YouTube,132041.21,12580,2964
566,185,Email,191029.96,3216,2610
567,166,Print,59254.36,9141,8400
568,216,Email,23429.14,5222,3233
569,206,YouTube,90307.53,22312,9290
570,139,TV,161394.07,45979,1276
571,119,TV,198436.77,8477,1185
572,45,Google,89676.33,35793,9657
573,14,TV,29773.01,14387,5367
574,226,Email,122211.6,1195,1055
575,222,Affiliate,100758.31,13274,1467
576,99,Print,161377.53,14454,7400
577,188,Google,231181.73,24240,6139
578,120,TV,185875.76,6816,3578
579,175,Affiliate,167601.41,19641,980
580,239,OOH,140666.8,1297,4719
581,35,Google,111338.44,46326,4219
582,243,Print,32692.17,28104,3644
583,200,TV,206998.56,16412,6059
584,111,Google,222445.61,25951,5653
585,204,Print,22576.69,49786,8929
586,133,YouTube,139976.74,5815,1049
587,59,Affiliate,10355.33,32291,5891
588,239,TV,104439.47,37868,2540
589,7,Affiliate,68551.29,12135,7653
590,82,OOH,47880.96,6591,1730
591,55,Google,175349.99,35242,8271
592,110,TV,5583.11,178,2639
593,161,Print,56013.01,43103,1313
594,241,OOH,236632.84,29701,2856
595,196,OOH,133312.1,6284,2632
596,36,OOH,112627.94,48948,6899
597,140,OOH,70290.66,5919,3393
598,88,TV,249693.03,8213,4326
599,147,Print,121921.34,43660,6601
600,122,Meta,247568.01,41826,2392
601,79,Affiliate,106241.96,24904,7617
602,221,Affiliate,111019.06,17756,6813
603,47,OOH,73182.98,12896,8195
604,139,Google,219254.24,10802,8736
605,233,Affiliate,205287.72,37470,5944
606,52,Meta,76254.57,27549,2062
607,193,Print,111957.25,37684,2286
608,137,Email,134977.72,38236,8376
609,183,Email,173327.67,12547,6842
610,241,Print,73050.0,9163,7447
611,106,Meta,32810.74,3432,1426
612,2,Google,184211.97,2056,7449
613,135,Meta,202605.49,19046,5100
614,201,YouTube,224388.96,16381,4129
615,175,OOH,20133.28,27652,6748
616,169,Google,135336.07,39332,642
617,226,Print,39373.14,44540,746
618,103,Email,173377.27,6146,6137
619,154,Google,42735.4,23663,1499
620,57,Print,107500.68,43627,5803
621,179,OOH,92618.24,3698,5953
622,90,Google,50572.73,16413,1378
623,172,OOH,88130.79,29182,1366
624,75,Meta,48555.37,43362,2254
625,36,OOH,115218.68,27111,3126
626,118,YouTube,26205.06,3720,6828
627,64,Meta,126549.89,5137,8050
628,7,Print,128103.8,31919,7845
629,137,Print,62875.27,14197,8934
630,205,OOH,32120.69,38530,2907
631,100,YouTube,81907.09,10320,367
632,160,Affiliate,13441.26,5954,8381
633,3,Google,83042.57,4377,1808
634,111,OOH,205275.41,35533,2181
635,204,Meta,76281.89,13601,2452
636,152,Affiliate,84897.02,2731,8451
637,116,TV,230999.57,15110,5463
638,2,OOH,221939.15,30837,4002
639,214,Meta,225788.8,6173,7645
640,26,Email,82270.19,32896,4025
641,168,TV,5440.4,7733,3084
642,118,Print,110817.96,11011,228
643,133,Affiliate,26012.41,39908,2906
644,177,Email,60008.88,15481,8956
645,123,Affiliate,114604.17,26523,9696
646,97,Affiliate,13118.63,13648,2672
647,182,Print,25508.33,45656,4909
648,72,YouTube,195884.51,37244,46
649,177,Print,111394.32,19194,9148
650,229,OOH,208371.84,49329,1273
651,170,Affiliate,235404.2,20744,2321
652,45,YouTube,187800.14,24121,625
653,134,Affiliate,151089.58,29646,6807
654,247,Google,188411.66,44882,5962
655,120,Meta,80185.3,21636,1165
656,233,YouTube,155402.89,45628,7551
657,212,Google,49813.49,39404,1213
658,106,Google,238226.36,13395,7717
659,164,Affiliate,160136.19,40875,3365
660,223,Google,8758.16,24251,1949
661,159,YouTube,29866.42,8982,1823
662,203,OOH,130684.6,26653,1897
663,175,Google,186658.55,48425,4511
664,56,Google,109443.48,31800,3613
665,44,Affiliate,86690.43,40489,1904
666,163,Email,12141.64,45855,4351
667,177,TV,185403.03,13624,5275
668,111,Print,25586.35,7162,4241
669,82,Print,51294.3,2705,5353
670,128,Affiliate,180245.29,26732,9730
671,144,Affiliate,230411.59,36232,5455
672,21,OOH,145544.01,3893,7317
673,159,Google,67288.91,47783,9823
674,51,Email,231295.54,418,6871
675,72,Affiliate,154869.77,3586,6133
676,156,Meta,187199.38,43074,7278
677,2,Email,239308.31,14896,9493
678,248,Meta,34202.26,7751,3597
679,234,Email,227858.75,13160,4819
680,57,Print,28585.68,10646,9051
681,146,Affiliate,44496.09,8832,7285
682,14,OOH,223399.63,38161,326
683,99,YouTube,37942.37,5995,1096
684,115,Google,131260.69,19209,761
685,185,Print,232258.56,25011,8079
686,221,OOH,218742.4,23093,1393
687,14,Meta,8827.32,6972,3182
688,189,Email,227701.21,45481,8183
689,134,Email,37219.66,24093,575
690,156,Email,198119.81,24547,3715
691,177,Affiliate,241283.48,17027,8975
692,234,Email,206093.37,7025,9413
693,142,Print,36998.87,13958,8501
694,172,Affiliate,23458.59,20369,1690
695,236,Email,71887.67,34004,6910
696,205,OOH,105430.61,15748,5488
697,80,Print,111885.58,4294,1353
698,247,TV,86143.22,46000,1053
699,229,OOH,228585.26,2579,4670
700,61,OOH,136285.06,42108,3176
701,84,Print,162695.04,14932,3991
702,4,Print,229776.34,16564,9855
703,66,Print,47741.17,1760,8308
704,8,OOH,228861.36,23380,4197
705,163,Print,233296.94,31480,2644
706,105,Email,88852.77,32655,1987
707,153,Print,144595.01,21297,1893
708,131,YouTube,153706.42,41786,954
709,93,YouTube,148423.31,15567,3738
710,113,OOH,87851.79,16617,3186
711,220,Print,112895.16,15285,4308
712,215,Meta,170396.46,26411,2216
713,142,Meta,27420.88,14288,7618
714,245,OOH,55638.2,47617,9947
715,69,Affiliate,186774.66,21722,6776
716,126,Google,167638.1,32618,2127
717,66,TV,114646.52,48811,2196
718,222,YouTube,195629.79,47700,401
719,243,Affiliate,79341.07,47605,7913
720,207,Email,19019.67,47834,4686
721,92,Affiliate,249292.56,41674,306
722,189,TV,16383.23,22184,8903
723,48,YouTube,55650.0,33378,3235
724,115,Meta,148090.41,800,7203
725,91,OOH,24979.21,38891,3273
726,238,Google,198168.29,10916,7691
727,23,Meta,50690.7,24797,1615
728,229,Affiliate,202998.76,20564,5881
729,176,OOH,99660.29,46208,8568
730,64,TV,23747.43,2934,6378
731,105,Print,75368.44,23988,7946
732,18,Email,181064.25,13761,228
733,91,Meta,245241.09,5685,2200
734,141,Google,146523.69,40305,1537
735,141,Print,90800.96,9481,9736
736,175,Print,173814.49,25314,6880
737,73,Meta,224629.33,38290,5809
738,41,Print,184137.11,24338,791
739,157,Google,109728.7,20971,7459
740,14,TV,48326.38,46487,1156
741,234,TV,181048.77,39350,6176
742,161,OOH,234667.21,26898,9134
743,73,Print,61174.73,41505,2034
744,236,Google,53915.43,20666,8722
