change_id,table_name,record_id,column_name,old_value,new_value,changed_by,changed_at,action
87,products,5481,price,3569.79,3726.32,482,2025-10-30 23:15:58,UPDATE
88,products,2237,price,1613.51,1594.72,2846,2025-07-27 14:37:22,UPDATE
89,products,4066,price,189.99,173.79,758,2025-12-07 06:34:24,UPDATE
90,products,1989,price,2608.9,2504.53,2636,2025-09-30 21:36:05,UPDATE
91,products,1607,price,3430.65,3286.23,727,2026-01-24 05:39:29,UPDATE
92,products,40,price,272.7,257.26,2773,2024-09-06 09:23:48,UPDATE
93,products,4499,price,102.82,94.47,26,2025-06-22 08:27:29,UPDATE
94,employees,1276,salary,55278,58581,559,2025-04-12 02:42:05,UPDATE
95,products,5089,price,631.39,646.3,1992,2024-10-09 22:04:15,UPDATE
96,products,2417,price,3048.13,2834.07,392,2024-11-21 06:48:16,UPDATE
97,products,2450,price,4515.7,4895.56,2581,2024-06-19 05:15:42,UPDATE
98,products,916,price,4706.09,5037.25,1202,2024-05-15 14:30:40,UPDATE
99,products,471,price,1691.58,1679.42,1158,2025-06-23 23:42:30,UPDATE
100,products,5596,price,3626.57,3794.4,749,2025-08-05 00:15:10,UPDATE
101,products,2588,price,4969.9,5353.2,2043,2024-05-13 13:18:18,UPDATE
102,products,3175,price,3554.97,3479.02,575,2024-01-12 05:41:11,UPDATE
103,products,2021,price,4765.81,4954.73,592,2026-01-20 06:51:52,UPDATE
104,employees,643,salary,58590,61641,2570,2026-02-13 04:07:20,UPDATE
105,products,662,price,2782.5,2769.07,2691,2024-05-25 04:30:08,UPDATE
106,employees,2544,salary,66045,76906,127,2024-01-12 23:40:59,UPDATE
107,products,5697,price,801.13,833.44,823,2024-02-18 05:19:45,UPDATE
108,products,3012,price,3734.75,3743.36,2970,2025-07-12 16:57:48,UPDATE
109,products,3871,price,848.54,871.09,1318,2025-08-24 15:11:06,UPDATE
110,products,5956,price,3447.65,3337.17,387,2025-01-02 09:07:07,UPDATE
111,employees,275,salary,56145,63379,2399,2025-01-04 03:57:38,UPDATE
112,employees,1621,salary,79958,87814,2567,2024-03-29 10:17:32,UPDATE
113,products,1036,price,3500.95,3181.16,1109,2025-09-23 17:52:31,UPDATE
114,products,3127,price,1552.42,1478.8,1705,2025-12-03 16:21:02,UPDATE
115,products,3567,price,1234.61,1215.35,2264,2024-12-23 20:00:14,UPDATE
116,products,3013,price,2808.15,2821.49,424,2025-04-10 02:50:38,UPDATE
117,products,1289,price,4985.58,4646.34,1346,2025-05-21 06:00:29,UPDATE
118,products,3192,price,1875.35,1712.22,561,2024-01-18 04:45:49,UPDATE
119,products,2774,price,2265.1,2278.8,454,2026-01-03 23:55:45,UPDATE
120,products,3299,price,2633.63,2694.84,1755,2024-10-06 01:30:53,UPDATE
121,employees,606,salary,59769,65350,2096,2024-03-18 04:30:43,UPDATE
122,products,4453,price,3906.85,4121.37,2141,2025-09-14 18:45:07,UPDATE
123,products,1326,price,194.48,190.96,420,2026-02-01 04:33:13,UPDATE
124,employees,47,salary,72821,85162,2344,2024-06-24 18:32:35,UPDATE
125,products,4335,price,2852.01,2773.93,1170,2025-08-04 11:36:32,UPDATE
126,products,5029,price,2625.0,2674.26,161,2025-11-05 05:10:27,UPDATE
127,products,5744,price,3619.86,3861.29,2993,2025-03-15 08:42:49,UPDATE
128,employees,1639,salary,52330,56724,1134,2024-10-10 10:32:42,UPDATE
129,employees,774,salary,49667,59073,1820,2025-08-12 12:03:52,UPDATE
130,products,1123,price,1140.39,1049.23,2607,2024-08-12 08:41:32,UPDATE
131,employees,1324,salary,31052,33776,1849,2024-05-09 15:02:11,UPDATE
132,products,3585,price,2112.53,2077.19,485,2025-03-03 05:42:28,UPDATE
133,products,5802,price,2706.75,2918.43,2564,2025-12-30 14:24:48,UPDATE
134,employees,2419,salary,43889,48351,2389,2024-12-16 10:05:52,UPDATE
135,products,2126,price,4007.23,4002.5,2119,2024-07-31 17:45:57,UPDATE
136,employees,1784,salary,66020,71847,1827,2024-04-03 19:26:41,UPDATE
137,products,1457,price,839.32,809.84,1663,2025-01-03 19:35:47,UPDATE
138,products,1633,price,1790.1,1616.94,1859,2024-07-18 04:42:22,UPDATE
139,products,4513,price,2515.49,2355.55,286,2025-02-01 16:09:12,UPDATE
140,products,3834,price,932.95,902.68,323,2026-01-06 03:28:20,UPDATE
141,products,1871,price,4480.99,4048.43,1992,2024-11-18 05:08:54,UPDATE
142,products,2749,price,4453.92,4857.78,2496,2025-02-22 13:12:23,UPDATE
143,products,182,price,3801.57,3847.92,2094,2025-11-02 19:13:24,UPDATE
144,products,4371,price,3081.16,3320.67,1349,2025-02-26 03:38:42,UPDATE
145,employees,1244,salary,67113,75271,2965,2025-08-10 11:01:18,UPDATE
146,products,5328,price,978.54,975.29,519,2026-01-27 13:09:22,UPDATE
147,products,5577,price,2438.47,2580.06,833,2024-12-01 22:38:58,UPDATE
148,products,5354,price,1947.47,1820.05,2050,2025-06-02 09:04:32,UPDATE
149,products,4223,price,4712.82,4310.13,777,2024-06-23 05:25:47,UPDATE
150,employees,897,salary,56568,60540,503,2024-03-18 02:47:24,UPDATE
151,products,5394,price,3766.37,3614.27,1658,2025-06-17 01:20:11,UPDATE
152,employees,2349,salary,31728,36193,2874,2025-03-15 15:51:48,UPDATE
153,employees,2399,salary,62911,70986,2490,2025-01-03 13:59:01,UPDATE
154,products,3884,price,865.95,883.78,1589,2025-09-14 07:21:31,UPDATE
155,products,755,price,3219.08,2906.98,108,2024-01-29 23:13:05,UPDATE
156,products,5361,price,1098.56,1190.48,1619,2024-11-09 02:51:13,UPDATE
157,products,3941,price,2376.28,2305.44,1809,2024-09-22 17:32:32,UPDATE
158,employees,615,salary,34363,39212,1055,2024-01-16 02:22:38,UPDATE
159,employees,1851,salary,36094,42652,383,2025-08-31 08:08:18,UPDATE
160,products,4194,price,2037.67,1918.53,365,2024-02-02 00:56:49,UPDATE
161,employees,172,salary,48032,51903,2128,2024-02-09 21:59:35,UPDATE
162,products,1845,price,4242.79,4280.79,696,2025-10-30 05:48:08,UPDATE
163,employees,1216,salary,70395,74268,2778,2024-06-09 07:55:33,UPDATE
164,products,3504,price,1350.18,1296.3,1416,2025-12-01 04:11:45,UPDATE
165,products,2514,price,1727.96,1858.48,699,2024-03-10 23:52:36,UPDATE
166,employees,1329,salary,65529,73009,1275,2024-11-16 05:28:39,UPDATE
167,products,4096,price,931.12,846.23,1619,2025-12-17 09:17:06,UPDATE
168,products,3619,price,262.07,285.42,2646,2024-04-06 04:36:33,UPDATE
169,employees,2664,salary,75886,80614,307,2024-09-03 19:40:15,UPDATE
170,products,2002,price,2777.56,2935.22,1263,2025-07-12 16:43:14,UPDATE
171,employees,2095,salary,30861,33065,694,2025-10-08 07:09:39,UPDATE
172,products,2952,price,371.12,394.08,1939,2024-07-02 17:03:03,UPDATE
173,products,4455,price,2743.06,2899.78,2149,2024-01-08 19:46:43,UPDATE
174,employees,2469,salary,63160,67359,1467,2025-01-27 02:44:15,UPDATE
175,products,581,price,1357.28,1278.79,79,2026-01-26 19:20:56,UPDATE
176,employees,1571,salary,38844,44547,1885,2024-11-04 18:32:42,UPDATE
177,products,3019,price,3043.77,3321.18,401,2024-01-02 12:59:12,UPDATE
178,products,1725,price,3403.89,3288.16,2036,2025-07-31 05:54:48,UPDATE
179,products,4543,price,1324.58,1309.19,406,2025-03-23 14:23:03,UPDATE
180,products,424,price,2848.23,2906.02,766,2024-12-16 11:41:38,UPDATE
181,products,1503,price,1818.12,1713.34,2220,2024-04-26 01:59:30,UPDATE
182,products,1398,price,2555.22,2796.15,795,2025-11-25 05:02:47,UPDATE
183,products,409,price,561.06,535.17,466,2024-05-30 09:37:50,UPDATE
184,products,2690,price,3158.54,3301.66,1506,2025-09-12 04:11:16,UPDATE
185,products,4090,price,3181.44,2909.62,828,2025-04-28 09:39:39,UPDATE
186,employees,153,salary,47388,53312,423,2024-02-19 10:40:15,UPDATE
187,employees,319,salary,66530,70235,118,2024-12-19 16:09:04,UPDATE
188,products,2903,price,785.31,862.61,1083,2024-12-09 11:08:10,UPDATE
189,products,111,price,3130.45,3123.29,2702,2025-12-20 11:48:16,UPDATE
190,products,2082,price,3756.38,3534.81,936,2025-04-13 02:59:14,UPDATE
191,products,3546,price,4368.9,4657.57,1077,2024-01-16 19:41:36,UPDATE
192,employees,2593,salary,56020,62031,1810,2026-01-30 18:12:51,UPDATE
193,products,4426,price,4650.92,4998.47,2925,2026-02-14 01:43:09,UPDATE
194,employees,2324,salary,47262,49676,1950,2025-11-28 20:17:43,UPDATE
195,employees,2618,salary,73498,85702,2088,2025-04-01 10:41:15,UPDATE
196,products,689,price,646.62,691.51,1667,2025-11-12 02:54:32,UPDATE
197,employees,2806,salary,69280,78142,2409,2025-02-18 00:30:53,UPDATE
198,employees,2707,salary,73623,87817,1343,2025-02-23 23:44:33,UPDATE
199,products,2182,price,2573.4,2512.24,1598,2024-10-13 03:01:39,UPDATE
200,products,1194,price,4760.39,4921.26,2218,2025-03-29 18:00:15,UPDATE
201,products,4675,price,2833.8,2949.81,1253,2025-09-03 04:00:45,UPDATE
202,products,3835,price,617.41,669.68,1224,2026-02-11 00:40:24,UPDATE
203,employees,2469,salary,30046,34224,650,2024-01-01 21:19:33,UPDATE
204,employees,2314,salary,59370,71113,1074,2024-11-22 21:07:07,UPDATE
205,products,357,price,3631.85,3489.46,2179,2026-02-22 04:54:06,UPDATE
206,products,95,price,1496.9,1409.58,2772,2024-02-25 21:42:52,UPDATE
207,products,2151,price,2630.84,2513.62,1032,2025-05-11 10:37:36,UPDATE
208,products,3557,price,640.36,618.89,471,2025-12-10 14:27:12,UPDATE
209,products,2698,price,4600.18,4255.47,720,2024-03-18 22:23:47,UPDATE
210,products,1761,price,726.32,692.71,2393,2024-02-18 22:42:22,UPDATE
211,products,5660,price,190.47,180.31,778,2025-12-23 02:37:41,UPDATE
212,employees,172,salary,69515,73788,1651,2024-06-05 22:09:51,UPDATE
213,products,2700,price,937.47,958.99,124,2024-10-16 23:41:07,UPDATE
214,employees,2063,salary,37297,40118,1039,2025-09-16 10:01:06,UPDATE
215,employees,2025,salary,70418,77517,1277,2024-02-26 10:56:32,UPDATE
216,products,1000,price,4263.83,3977.43,2280,2025-07-11 03:54:13,UPDATE
217,products,1467,price,3663.34,3936.43,708,2025-06-07 08:42:43,UPDATE
218,products,5978,price,1982.52,1877.33,259,2024-04-27 09:52:38,UPDATE
219,employees,2510,salary,33766,37535,1445,2025-11-19 22:11:42,UPDATE
220,products,5200,price,3612.5,3966.34,1767,2025-01-07 20:50:18,UPDATE
221,products,5732,price,3151.93,3034.27,606,2025-06-29 01:36:24,UPDATE
222,products,5473,price,3632.59,3666.01,2283,2024-01-05 17:03:48,UPDATE
223,products,1763,price,2223.26,2141.07,954,2025-03-27 19:12:57,UPDATE
224,employees,67,salary,34794,40554,2449,2026-02-25 03:01:34,UPDATE
225,employees,971,salary,63303,67423,1002,2024-04-24 20:40:25,UPDATE
226,employees,1695,salary,33249,37081,1218,2025-04-29 12:37:45,UPDATE
227,employees,563,salary,48518,57667,543,2024-11-13 11:31:51,UPDATE
228,products,3008,price,199.48,210.09,2813,2024-04-12 18:31:24,UPDATE
229,products,4375,price,1432.49,1297.69,126,2024-09-22 05:57:51,UPDATE
230,products,4241,price,4376.69,4062.07,1900,2024-09-16 01:43:56,UPDATE
231,products,2206,price,1486.97,1494.14,2147,2024-08-03 17:22:10,UPDATE
232,products,3209,price,2053.33,1849.6,1950,2026-01-04 07:43:19,UPDATE
233,products,4585,price,4665.85,4612.22,56,2025-02-15 03:38:47,UPDATE
234,products,784,price,805.37,829.42,1014,2025-08-17 14:29:09,UPDATE
235,products,2675,price,1936.0,1838.59,239,2024-05-27 19:07:57,UPDATE
236,employees,272,salary,77487,85556,2565,2025-02-07 11:35:16,UPDATE
237,employees,2819,salary,73222,86002,1882,2025-04-30 19:18:04,UPDATE
238,products,1100,price,2948.18,2917.35,269,2024-07-10 17:00:57,UPDATE
239,employees,1781,salary,41913,46992,1784,2024-01-20 19:31:01,UPDATE
240,employees,2275,salary,54988,62328,946,2025-12-11 19:31:18,UPDATE
241,products,4565,price,3950.58,4146.54,185,2024-10-21 07:49:38,UPDATE
242,products,5642,price,1732.62,1788.66,488,2025-02-08 02:43:36,UPDATE
243,employees,1251,salary,68871,72468,2210,2026-02-04 15:41:22,UPDATE
244,products,2568,price,2855.8,2602.72,426,2025-12-02 22:16:00,UPDATE
245,products,120,price,4791.4,4681.25,2840,2025-09-12 20:42:45,UPDATE
246,products,2375,price,3812.65,3521.04,364,2025-02-24 11:09:46,UPDATE
247,products,3793,price,2263.34,2079.8,122,2025-01-04 03:13:23,UPDATE
248,products,2792,price,3142.57,3246.5,1106,2025-10-04 09:35:00,UPDATE
249,products,3841,price,3855.78,3958.71,777,2025-01-30 00:15:11,UPDATE
250,products,2385,price,644.05,678.02,2182,2025-10-18 02:30:16,UPDATE
251,products,3265,price,2292.5,2453.0,875,2025-06-29 16:36:04,UPDATE
252,products,330,price,431.68,399.54,2080,2025-04-11 13:35:54,UPDATE
253,employees,1604,salary,64087,67347,2274,2025-05-05 10:31:47,UPDATE
254,products,3588,price,2711.79,2564.33,319,2024-07-29 16:45:01,UPDATE
255,products,4385,price,2177.34,2106.68,1650,2024-05-18 20:27:15,UPDATE
256,products,1880,price,539.92,554.78,2257,2024-02-25 23:58:11,UPDATE
257,products,3425,price,2960.96,2881.64,515,2025-02-19 20:47:08,UPDATE
258,employees,2936,salary,52124,60718,1218,2025-07-06 00:08:13,UPDATE
259,products,5052,price,767.84,823.5,2209,2024-10-28 12:00:48,UPDATE
260,products,5885,price,3151.12,3163.27,1804,2026-01-03 13:06:18,UPDATE
261,products,2225,price,1736.55,1763.87,608,2024-09-25 05:38:20,UPDATE
262,products,4408,price,2439.68,2511.0,620,2025-11-26 17:09:02,UPDATE
263,products,402,price,345.82,327.98,1364,2024-05-26 00:18:50,UPDATE
264,products,63,price,3407.18,3212.55,1465,2025-10-08 15:24:30,UPDATE
265,products,3482,price,933.56,881.09,1841,2024-10-05 11:41:20,UPDATE
266,products,3307,price,618.88,667.66,2865,2024-06-29 18:23:25,UPDATE
267,products,341,price,753.89,803.51,693,2024-12-16 21:53:20,UPDATE
268,products,843,price,2263.98,2298.4,2816,2024-07-21 01:28:33,UPDATE
269,products,4151,price,4440.57,4209.15,1841,2024-11-16 23:20:07,UPDATE
270,employees,2080,salary,42497,46830,1197,2024-10-10 16:40:39,UPDATE
271,products,4694,price,2631.3,2416.99,102,2024-04-06 17:01:53,UPDATE
272,products,4292,price,3609.9,3820.27,1178,2024-09-10 08:59:29,UPDATE
273,products,4441,price,4204.55,3949.86,1641,2024-07-28 07:30:40,UPDATE
274,products,3343,price,2706.04,2526.89,88,2026-02-09 01:35:18,UPDATE
275,employees,678,salary,68829,75214,2903,2024-02-24 04:42:28,UPDATE
276,products,1998,price,2349.46,2551.11,2355,2024-08-24 13:15:32,UPDATE
277,products,2836,price,3590.51,3852.5,509,2024-04-01 20:53:16,UPDATE
278,products,527,price,1214.27,1276.25,2765,2024-12-03 05:10:17,UPDATE
279,products,3089,price,2077.05,2157.14,228,2026-01-16 23:46:45,UPDATE
280,employees,2541,salary,35429,41031,628,2024-06-27 07:12:18,UPDATE
281,employees,276,salary,35146,41505,2671,2024-06-04 19:06:11,UPDATE
282,products,5242,price,1183.24,1279.18,329,2025-04-01 04:52:08,UPDATE
283,employees,2912,salary,53525,62530,1170,2024-03-19 01:14:08,UPDATE
284,products,4609,price,3812.12,4193.0,1295,2025-07-17 10:19:03,UPDATE
285,employees,2408,salary,73989,82775,2570,2024-04-18 07:18:03,UPDATE
286,products,1092,price,794.79,868.61,2840,2025-10-11 10:00:09,UPDATE
287,employees,1935,salary,58627,68857,1894,2026-02-19 15:23:26,UPDATE
288,products,3887,price,2652.72,2465.25,2961,2025-09-24 15:56:17,UPDATE
289,products,4780,price,3633.01,3673.41,2003,2024-12-14 00:02:06,UPDATE
290,employees,737,salary,70689,76744,575,2024-09-10 03:40:40,UPDATE
291,products,3398,price,234.46,251.57,1218,2024-10-29 20:36:22,UPDATE
292,products,3198,price,4837.58,4738.01,2000,2024-10-26 07:37:34,UPDATE
293,products,244,price,2078.42,2253.7,1622,2024-12-09 21:47:02,UPDATE
294,products,2564,price,2939.56,2770.47,610,2024-02-22 13:27:15,UPDATE
295,products,1685,price,4656.63,4483.8,63,2025-11-17 16:05:14,UPDATE
296,products,4948,price,767.71,754.22,2599,2024-09-29 09:20:52,UPDATE
297,products,2523,price,2433.33,2609.87,2947,2024-02-06 15:25:23,UPDATE
298,products,3507,price,2400.45,2332.11,926,2026-02-15 02:11:19,UPDATE
299,products,735,price,2869.18,3002.12,46,2024-03-19 04:00:44,UPDATE
300,employees,2930,salary,54972,65265,540,2026-01-29 20:40:18,UPDATE
301,products,3749,price,4375.27,4810.72,2774,2026-01-22 23:19:53,UPDATE
302,employees,59,salary,71627,77437,2973,2025-03-27 00:15:58,UPDATE
303,products,457,price,4273.83,3940.58,717,2024-10-10 07:33:01,UPDATE
304,employees,1178,salary,64100,72649,624,2024-09-30 23:05:28,UPDATE
305,products,1646,price,3365.98,3122.97,253,2025-03-05 13:35:44,UPDATE
306,employees,2767,salary,61761,72266,1362,2025-04-23 07:54:58,UPDATE
307,employees,1771,salary,78422,85209,2729,2024-10-05 16:05:16,UPDATE
308,employees,1886,salary,56576,62210,2816,2025-04-23 13:52:06,UPDATE
309,products,3574,price,3101.46,3276.9,173,2024-06-20 06:56:39,UPDATE
310,products,5190,price,4314.8,4489.5,1453,2026-01-15 08:59:13,UPDATE
311,products,3559,price,2727.02,2469.0,1237,2024-03-18 22:57:40,UPDATE
312,products,4994,price,4428.94,4033.15,1902,2024-04-05 01:20:31,UPDATE
313,products,4347,price,1385.61,1279.98,2584,2024-05-25 12:17:42,UPDATE
314,products,5903,price,1304.69,1218.82,872,2025-07-20 14:39:51,UPDATE
315,products,3759,price,1803.45,1788.39,1889,2025-12-07 10:11:14,UPDATE
316,employees,2137,salary,45680,48622,2276,2025-01-12 01:35:41,UPDATE
317,employees,936,salary,41376,43447,1468,2024-02-25 15:19:25,UPDATE
318,products,4165,price,2895.15,2897.0,1981,2025-06-10 16:41:07,UPDATE
319,products,4086,price,2161.35,2072.41,1041,2024-12-24 08:47:43,UPDATE
320,products,4925,price,4312.21,4703.91,132,2024-01-19 05:09:35,UPDATE
321,employees,696,salary,52762,59575,1260,2024-10-02 09:13:50,UPDATE
322,products,696,price,1795.16,1935.69,2833,2025-03-27 03:55:56,UPDATE
323,products,1525,price,4420.95,4612.15,879,2025-04-13 03:35:27,UPDATE
324,employees,843,salary,65970,71951,1321,2024-02-27 12:46:39,UPDATE
325,products,2423,price,2468.29,2385.23,2536,2024-12-25 23:56:47,UPDATE
326,products,258,price,1989.7,1924.66,852,2025-07-25 10:30:29,UPDATE
327,products,2285,price,3895.71,3919.75,2755,2025-12-01 14:15:35,UPDATE
328,products,3000,price,1108.38,1110.0,2155,2024-11-15 21:02:21,UPDATE
329,employees,510,salary,69296,79869,579,2025-10-13 07:12:58,UPDATE
330,employees,2291,salary,60450,71247,877,2024-05-29 02:08:22,UPDATE
331,products,3496,price,4061.37,3704.52,2052,2025-11-16 03:34:35,UPDATE
332,products,5020,price,500.32,456.85,2005,2024-08-25 02:37:19,UPDATE
333,products,5006,price,3678.61,3316.91,2094,2024-02-05 19:24:39,UPDATE
334,employees,2597,salary,40890,42951,2111,2025-08-24 02:58:21,UPDATE
335,products,248,price,1014.13,995.22,936,2025-10-31 22:35:34,UPDATE
336,products,4980,price,4450.86,4663.41,1743,2024-12-28 22:38:05,UPDATE
337,employees,2258,salary,46178,50401,1099,2024-03-30 17:22:59,UPDATE
338,products,1739,price,2082.49,1876.92,2476,2025-03-03 08:33:46,UPDATE
339,products,3994,price,1341.66,1325.44,759,2025-03-11 23:48:28,UPDATE
340,products,3880,price,189.78,206.68,162,2024-10-05 17:15:20,UPDATE
341,products,449,price,1528.78,1492.18,354,2025-12-23 17:56:20,UPDATE
342,employees,2910,salary,79626,85312,2342,2026-02-05 11:52:07,UPDATE
343,products,4857,price,3090.41,2948.7,1649,2025-04-01 11:34:58,UPDATE
344,products,4524,price,1103.48,1059.91,2776,2025-07-23 02:45:17,UPDATE
345,products,3075,price,2579.41,2694.32,21,2024-07-31 10:06:41,UPDATE
346,products,2164,price,3823.41,3503.81,109,2025-10-07 10:32:57,UPDATE
347,employees,2429,salary,79631,86610,1699,2025-06-03 00:56:36,UPDATE
348,employees,1054,salary,70499,80193,2812,2024-02-03 07:36:56,UPDATE
349,employees,723,salary,73634,86029,493,2025-11-03 06:06:33,UPDATE
350,employees,2697,salary,77610,92623,752,2025-11-24 11:58:07,UPDATE
351,products,5539,price,2546.3,2605.45,1588,2025-11-22 03:44:18,UPDATE
