pay_slip_id,employee_id,salary_month,salary_year,basic_salary,hra,other_allowances,pf,professional_tax,income_tax,gross_salary,net_salary,payment_date
46,5,November,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-11-30
47,5,December,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-12-31
48,6,January,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-01-31
49,6,February,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-02-29
50,6,March,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-03-31
51,6,April,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-04-30
52,6,May,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-05-31
53,6,June,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-06-30
54,6,July,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-07-31
55,6,August,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-08-31
56,6,September,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-09-30
57,6,October,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-10-31
58,6,November,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-11-30
59,6,December,2024,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2024-12-31
60,6,January,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-01-31
61,6,February,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-02-28
62,6,March,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-03-31
63,6,April,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-04-30
64,6,May,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-05-31
65,6,June,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-06-30
66,6,July,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-07-31
67,6,August,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-08-31
68,6,September,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-09-30
69,6,October,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-10-31
70,6,November,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-11-30
71,6,December,2025,728.9,364.45,546.67,87.47,200,0.0,1822.25,1534.78,2025-12-31
72,7,July,2024,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2024-07-31
73,7,August,2024,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2024-08-31
74,7,September,2024,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2024-09-30
75,7,October,2024,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2024-10-31
76,7,November,2024,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2024-11-30
77,7,December,2024,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2024-12-31
78,7,January,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-01-31
79,7,February,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-02-28
80,7,March,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-03-31
81,7,April,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-04-30
82,7,May,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-05-31
83,7,June,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-06-30
84,7,July,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-07-31
85,7,August,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-08-31
86,7,September,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-09-30
87,7,October,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-10-31
88,7,November,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-11-30
89,7,December,2025,739.47,369.73,554.6,88.74,200,0.0,1848.67,1559.93,2025-12-31
90,8,January,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-01-31
91,8,February,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-02-29
92,8,March,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-03-31
93,8,April,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-04-30
94,8,May,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-05-31
95,8,June,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-06-30
96,8,July,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-07-31
97,8,August,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-08-31
98,8,September,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-09-30
99,8,October,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-10-31
100,8,November,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-11-30
101,8,December,2024,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2024-12-31
102,8,January,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-01-31
103,8,February,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-02-28
104,8,March,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-03-31
105,8,April,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-04-30
106,8,May,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-05-31
107,8,June,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-06-30
108,8,July,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-07-31
109,8,August,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-08-31
110,8,September,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-09-30
111,8,October,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-10-31
112,8,November,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-11-30
113,8,December,2025,1242.57,621.28,931.92,149.11,200,0.0,3106.42,2757.31,2025-12-31
114,9,November,2025,575.6,287.8,431.7,69.07,200,0.0,1439.0,1169.93,2025-11-30
115,9,December,2025,575.6,287.8,431.7,69.07,200,0.0,1439.0,1169.93,2025-12-31
116,10,June,2025,462.27,231.13,346.7,55.47,200,0.0,1155.67,900.19,2025-06-30
117,10,July,2025,462.27,231.13,346.7,55.47,200,0.0,1155.67,900.19,2025-07-31
118,10,August,2025,462.27,231.13,346.7,55.47,200,0.0,1155.67,900.19,2025-08-31
119,10,September,2025,462.27,231.13,346.7,55.47,200,0.0,1155.67,900.19,2025-09-30
120,10,October,2025,462.27,231.13,346.7,55.47,200,0.0,1155.67,900.19,2025-10-31
121,10,November,2025,462.27,231.13,346.7,55.47,200,0.0,1155.67,900.19,2025-11-30
122,10,December,2025,462.27,231.13,346.7,55.47,200,0.0,1155.67,900.19,2025-12-31
123,11,August,2025,1106.03,553.02,829.52,132.72,200,0.0,2765.08,2432.36,2025-08-31
124,11,September,2025,1106.03,553.02,829.52,132.72,200,0.0,2765.08,2432.36,2025-09-30
125,11,October,2025,1106.03,553.02,829.52,132.72,200,0.0,2765.08,2432.36,2025-10-31
126,11,November,2025,1106.03,553.02,829.52,132.72,200,0.0,2765.08,2432.36,2025-11-30
127,11,December,2025,1106.03,553.02,829.52,132.72,200,0.0,2765.08,2432.36,2025-12-31
128,12,March,2024,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2024-03-31
129,12,April,2024,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2024-04-30
130,12,May,2024,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2024-05-31
131,12,June,2024,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2024-06-30
132,12,July,2024,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2024-07-31
133,12,August,2024,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2024-08-31
134,12,September,2024,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2024-09-30
135,12,October,2024,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2024-10-31
136,12,November,2024,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2024-11-30
137,12,December,2024,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2024-12-31
138,12,January,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-01-31
139,12,February,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-02-28
140,12,March,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-03-31
141,12,April,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-04-30
142,12,May,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-05-31
143,12,June,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-06-30
144,12,July,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-07-31
145,12,August,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-08-31
146,12,September,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-09-30
147,12,October,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-10-31
148,12,November,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-11-30
149,12,December,2025,6194.33,3097.17,4645.75,743.32,200,0.0,15485.83,14542.51,2025-12-31
150,13,January,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-01-31
151,13,February,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-02-29
152,13,March,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-03-31
153,13,April,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-04-30
154,13,May,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-05-31
155,13,June,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-06-30
156,13,July,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-07-31
157,13,August,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-08-31
158,13,September,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-09-30
159,13,October,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-10-31
160,13,November,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-11-30
161,13,December,2024,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2024-12-31
162,13,January,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-01-31
163,13,February,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-02-28
164,13,March,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-03-31
165,13,April,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-04-30
166,13,May,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-05-31
167,13,June,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-06-30
168,13,July,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-07-31
169,13,August,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-08-31
170,13,September,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-09-30
171,13,October,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-10-31
172,13,November,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-11-30
173,13,December,2025,1749.2,874.6,1311.9,209.9,200,0.0,4373.0,3963.1,2025-12-31
174,14,December,2024,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2024-12-31
175,14,January,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-01-31
176,14,February,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-02-28
177,14,March,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-03-31
178,14,April,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-04-30
179,14,May,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-05-31
180,14,June,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-06-30
181,14,July,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-07-31
182,14,August,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-08-31
183,14,September,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-09-30
184,14,October,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-10-31
185,14,November,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-11-30
186,14,December,2025,2078.53,1039.27,1558.9,249.42,200,0.0,5196.33,4746.91,2025-12-31
187,15,October,2024,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2024-10-31
188,15,November,2024,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2024-11-30
189,15,December,2024,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2024-12-31
190,15,January,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-01-31
191,15,February,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-02-28
192,15,March,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-03-31
193,15,April,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-04-30
194,15,May,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-05-31
195,15,June,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-06-30
196,15,July,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-07-31
197,15,August,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-08-31
198,15,September,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-09-30
199,15,October,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-10-31
200,15,November,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-11-30
201,15,December,2025,632.03,316.02,474.02,75.84,200,0.0,1580.08,1304.24,2025-12-31
202,16,October,2024,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2024-10-31
203,16,November,2024,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2024-11-30
204,16,December,2024,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2024-12-31
205,16,January,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-01-31
206,16,February,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-02-28
207,16,March,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-03-31
208,16,April,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-04-30
209,16,May,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-05-31
210,16,June,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-06-30
211,16,July,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-07-31
212,16,August,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-08-31
213,16,September,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-09-30
214,16,October,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-10-31
215,16,November,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-11-30
216,16,December,2025,6118.5,3059.25,4588.88,734.22,200,0.0,15296.25,14362.03,2025-12-31
217,17,January,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-01-31
218,17,February,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-02-29
219,17,March,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-03-31
220,17,April,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-04-30
221,17,May,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-05-31
222,17,June,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-06-30
223,17,July,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-07-31
224,17,August,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-08-31
225,17,September,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-09-30
226,17,October,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-10-31
227,17,November,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-11-30
228,17,December,2024,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2024-12-31
229,17,January,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-01-31
230,17,February,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-02-28
231,17,March,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-03-31
232,17,April,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-04-30
233,17,May,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-05-31
234,17,June,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-06-30
235,17,July,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-07-31
236,17,August,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-08-31
237,17,September,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-09-30
238,17,October,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-10-31
239,17,November,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-11-30
240,17,December,2025,771.73,385.87,578.8,92.61,200,0.0,1929.33,1636.73,2025-12-31
241,18,June,2025,3619.2,1809.6,2714.4,434.3,200,0.0,9048.0,8413.7,2025-06-30
242,18,July,2025,3619.2,1809.6,2714.4,434.3,200,0.0,9048.0,8413.7,2025-07-31
243,18,August,2025,3619.2,1809.6,2714.4,434.3,200,0.0,9048.0,8413.7,2025-08-31
244,18,September,2025,3619.2,1809.6,2714.4,434.3,200,0.0,9048.0,8413.7,2025-09-30
245,18,October,2025,3619.2,1809.6,2714.4,434.3,200,0.0,9048.0,8413.7,2025-10-31
246,18,November,2025,3619.2,1809.6,2714.4,434.3,200,0.0,9048.0,8413.7,2025-11-30
247,18,December,2025,3619.2,1809.6,2714.4,434.3,200,0.0,9048.0,8413.7,2025-12-31
248,20,January,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-01-31
249,20,February,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-02-29
250,20,March,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-03-31
251,20,April,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-04-30
252,20,May,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-05-31
253,20,June,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-06-30
254,20,July,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-07-31
255,20,August,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-08-31
256,20,September,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-09-30
257,20,October,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-10-31
258,20,November,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-11-30
259,20,December,2024,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2024-12-31
260,20,January,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-01-31
261,20,February,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-02-28
262,20,March,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-03-31
263,20,April,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-04-30
264,20,May,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-05-31
265,20,June,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-06-30
266,20,July,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-07-31
267,20,August,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-08-31
268,20,September,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-09-30
269,20,October,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-10-31
270,20,November,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-11-30
271,20,December,2025,2311.47,1155.73,1733.6,277.38,200,0.0,5778.67,5301.29,2025-12-31
272,21,August,2025,700.0,350.0,525.0,84.0,200,0.0,1750.0,1466.0,2025-08-31
273,21,September,2025,700.0,350.0,525.0,84.0,200,0.0,1750.0,1466.0,2025-09-30
274,21,October,2025,700.0,350.0,525.0,84.0,200,0.0,1750.0,1466.0,2025-10-31
275,21,November,2025,700.0,350.0,525.0,84.0,200,0.0,1750.0,1466.0,2025-11-30
276,21,December,2025,700.0,350.0,525.0,84.0,200,0.0,1750.0,1466.0,2025-12-31
277,22,January,2024,6607.4,3303.7,4955.55,792.89,200,0.0,16518.5,15525.61,2024-01-31
278,22,February,2024,6607.4,3303.7,4955.55,792.89,200,0.0,16518.5,15525.61,2024-02-29
279,22,March,2024,6607.4,3303.7,4955.55,792.89,200,0.0,16518.5,15525.61,2024-03-31
280,22,April,2024,6607.4,3303.7,4955.55,792.89,200,0.0,16518.5,15525.61,2024-04-30
